abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:inu-afrmap-4014996,,https://api.dc.library.northwestern.edu/api/v2/works/16f99e3b-98af-43b8-94fb-bc19030af485,Work,ark:/81985/n2pk0927f,,,,https://dc.library.northwestern.edu/items/16f99e3b-98af-43b8-94fb-bc19030af485,,9940149964202441,16th-Early 20th Century Maps of Africa,,2021-03-15T16:56:11.469616Z,"André, Gaspard, 1840-1896|Bonne, Rigobert, 1727-1794",,,1782,"dressée par M. Bonne ; Scale approximately 1:40,000,000 ; Prime meridians: Ferro and Paris ; Relief shown pictorially ; ""Liv. I. III. et XI."" ; Map numbered ""5."" ; ""André sculp."" ; Probably disbound from Bonne's Atlas Portatif, c. 1781-1783 ; Paris : Publisher not identified",inu-dil-128808c9-7b1c-41e4-9b20-7ee38294d6cf.tif,,,historical maps,16f99e3b-98af-43b8-94fb-bc19030af485,,https://api.dc.library.northwestern.edu/api/v2/works/16f99e3b-98af-43b8-94fb-bc19030af485?as=iiif,2023-02-20T16:06:56.668417,None,None,,,inu:dil-128808c9-7b1c-41e4-9b20-7ee38294d6cf,Herskovits Library of African Studies,None,France--Paris,2021-06-10T16:43:09.761465Z,,1 map : color,22 x 32 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Publisher not identified,"Garson, Y. Africa in Europe's eyes, 87",,https://iiif.dc.library.northwestern.edu/iiif/2/54a545cd-4274-4582-9dbc-a3b2d8c2de5f,,No Copyright - United States,,,,Done,,Africa|Maps--Early works to 1800,,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/16f99e3b-98af-43b8-94fb-bc19030af485/thumbnail,Afrique,Public,Image
,Accession:inu-afrmap-4249793,"Typus orarum maritimarum Guineae, Manicongo, & Angôlae ultra promontorium Bonae Spei ..|Affbeeldinghe der custen des landts genaempt Terra do Natal, item van alle de custen van Çoffala, Mozambique, Melinde, ende t'eylandt van S. Lorenzo",https://api.dc.library.northwestern.edu/api/v2/works/8a1b0cd7-affb-45ba-8a24-7ab7fdc3859f,Work,ark:/81985/n29884n9g,,,,https://dc.library.northwestern.edu/items/8a1b0cd7-affb-45ba-8a24-7ab7fdc3859f,,9942497934202441,16th-Early 20th Century Maps of Africa,,2021-03-16T05:43:33.052338Z,"Langren, Arnold Florent van, 1580-1644",,,1596,"Arnoldus F. à Langren delineavit & scalpsit ; Scale approximately 1:13,000,000 ; Relief shown pictorially ; Companion map to Typus orarum maritimarum Guineae, Manicongo, & Angôlae ultra promontorium Bonae Spei ... ; Includes decorative strapwork cartouche, compass roses and navigation hazards ; Title in Latin and Dutch. Place names in Latin and Portuguese. ; Detached from Itinerario, voyage ofte schipvaert van Jan Huygen van Linschoten naer Oost ofte Portugaels Indien ; Amsterdam : A. Langren",inu-dil-4ea0c637-e060-49dc-88bd-fd492c7e5d9b.tif,,,historical maps,8a1b0cd7-affb-45ba-8a24-7ab7fdc3859f,,https://api.dc.library.northwestern.edu/api/v2/works/8a1b0cd7-affb-45ba-8a24-7ab7fdc3859f?as=iiif,2023-02-20T16:10:19.665058,None,None,,Dutch|Latin|Portuguese,inu:dil-4ea0c637-e060-49dc-88bd-fd492c7e5d9b,Herskovits Library of African Studies,None,Netherlands--Amsterdam,2021-06-10T16:43:09.761465Z,,1 map,38 x 54 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,A. Langren,,,https://iiif.dc.library.northwestern.edu/iiif/2/65c48ba8-b7a3-449d-9e5c-eb7b6642825f,,No Copyright - United States,,,"Langren, Arnold Florent van, 1580-1644. Itinerario, voyage ofte schipvaert van Jan. Huygen van Linschoten naer Oost ofte Portugaels Indien. Amsterdam : A. Langren, 1596.",Done,,"Coasts--Africa, Southern|Southern Africa|Maps--Early works to 1800",,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/8a1b0cd7-affb-45ba-8a24-7ab7fdc3859f/thumbnail,"Delineatio orarum maritimarum, terrae vulgo indigetatae terra do Natal item Sofalae, Mozambicae & Melindae, insulæque sancti Laurentij ",Public,Image
,Accession:inu-afrmap-3993456,,https://api.dc.library.northwestern.edu/api/v2/works/b31ecbbd-09a9-4b42-be23-b68f923cec2c,Work,ark:/81985/n2g739507,,,,https://dc.library.northwestern.edu/items/b31ecbbd-09a9-4b42-be23-b68f923cec2c,,9939934564202441,16th-Early 20th Century Maps of Africa,,2021-03-16T14:31:19.822221Z,"L'Isle, Guillaume de, 1675-1726",,,1745,"par Guillaume Delisle ; Scale approximately 1:21,000,000 ; Relief shown pictorially ; In cartouche: A Paris, chez l'auteur sur le Quay de l'horloge du palais, avec privelége du Roy ; ""Ph. Buache P.G. d.R; d. l'A.R.d.S. Gendre de l'Auteur, Avec Priv. du 30. av. 1745."" ; Paris, Ph. Buache ;",inu-dil-2f728a20-5366-4efc-8d92-7430bd2ca534.tif,,,historical maps,b31ecbbd-09a9-4b42-be23-b68f923cec2c,,https://api.dc.library.northwestern.edu/api/v2/works/b31ecbbd-09a9-4b42-be23-b68f923cec2c?as=iiif,2023-02-20T16:13:18.083275,None,None,,,inu:dil-2f728a20-5366-4efc-8d92-7430bd2ca534,Herskovits Library of African Studies,None,France--Paris,2022-12-20T21:17:56.871361Z,,1 map : hand colored,49 x 64 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Ph. Buache,,,https://iiif.dc.library.northwestern.edu/iiif/2/ead5bcce-a14b-44d5-be35-863bb826b3fd,,No Copyright - United States,,,,Done,,Africa|Maps--Early works to 1800,,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/b31ecbbd-09a9-4b42-be23-b68f923cec2c/thumbnail,Carte d'Afrique : dressée pour l'usage du Roy,Public,Image
,Accession:inu-afrmap-4220914,,https://api.dc.library.northwestern.edu/api/v2/works/b77e5e07-7cbe-401e-be32-d31c4823a8e5,Work,ark:/81985/n2bv7b383,,,,https://dc.library.northwestern.edu/items/b77e5e07-7cbe-401e-be32-d31c4823a8e5,,9942209144202441,16th-Early 20th Century Maps of Africa,,2021-03-16T14:56:42.027095Z,Dépôt de la guerre (France)|Erhard (Firm),,,1855,"gravé sur pierrre par Erhard Schièble ; Scale 1:200,000 ; Map originally folded. ; Label pasted on back: ""Imprimerie et Librarie Dubos Frères, a Alger, A. Dubos, successeur"" ; Relief shown by hachures and spot heights ; Paris : Dépôt de la guerre",inu-dil-1da17309-140f-4048-94e9-7e847c2812f7.tif,,,historical maps,b77e5e07-7cbe-401e-be32-d31c4823a8e5,,https://api.dc.library.northwestern.edu/api/v2/works/b77e5e07-7cbe-401e-be32-d31c4823a8e5?as=iiif,2023-02-20T16:13:41.187936,None,None,,,inu:dil-1da17309-140f-4048-94e9-7e847c2812f7,Herskovits Library of African Studies,None,France--Paris,2021-06-10T16:43:09.761465Z,,1 map : dissected and mounted on linen,65 x 95 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Dépôt de la guerre,,,https://iiif.dc.library.northwestern.edu/iiif/2/7d2ffac8-a103-441f-a859-f5ad77e4abd4,,No Copyright - United States,,,,Done,,Algeria|Algeria--Chlef|Maps--Early works to 1800,,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/b77e5e07-7cbe-401e-be32-d31c4823a8e5/thumbnail,Carte topographique des environs d'Orléansville : d'apres les levées et les reconnaissances des officiers d'état-major et autres documents,Public,Image
,Accession:inu-afrmap-4007596,,https://api.dc.library.northwestern.edu/api/v2/works/ba8b6ce8-103e-4dc4-92b8-31ad56e28511,Work,ark:/81985/n2tx37677,,,,https://dc.library.northwestern.edu/items/ba8b6ce8-103e-4dc4-92b8-31ad56e28511,,9940075964202441,16th-Early 20th Century Maps of Africa,,2021-03-16T15:14:04.082097Z,"Bowen, Thomas, -1790",,,1777 or 1778,"drawn from the best authorities by Tho.s Bowen ; Scale approximately 1:15,500,000 ; Prime meridian: London ; Relief shown pictorially ; Above the top of the map: ""Engraved for Middleton's Complete System of Geography"" ; London : Publisher not identified",inu-dil-833edd4e-41f6-4208-bd47-8ff3ebf86ec4.tif,,,historical maps,ba8b6ce8-103e-4dc4-92b8-31ad56e28511,,https://api.dc.library.northwestern.edu/api/v2/works/ba8b6ce8-103e-4dc4-92b8-31ad56e28511?as=iiif,2023-02-20T16:13:54.467260,None,None,,,inu:dil-833edd4e-41f6-4208-bd47-8ff3ebf86ec4,Herskovits Library of African Studies,None,England--London,2021-06-10T16:43:09.761465Z,,1 map : color,34 x 41 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Publisher not identified,"Tooley, R.V. Maps of the African continent, 33",,https://iiif.dc.library.northwestern.edu/iiif/2/c61608e0-51f0-4001-8d34-884a19d408b9,,No Copyright - United States,,,,Done,,Africa|Maps--Early works to 1800,,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/ba8b6ce8-103e-4dc4-92b8-31ad56e28511/thumbnail,A new and accurate map of Africa,Public,Image
,Accession:inu-afrmap-4265886,Title across top and on verso: Description du royaume de Congo,https://api.dc.library.northwestern.edu/api/v2/works/e574e739-3f8b-4d06-b412-3fe840099452,Work,ark:/81985/n27s7kt4v,,,,https://dc.library.northwestern.edu/items/e574e739-3f8b-4d06-b412-3fe840099452,,9942658864202441,16th-Early 20th Century Maps of Africa,,2021-03-16T20:34:23.152655Z,"Hondius, Jodocus, 1563-1612",,,1617,"Scale 1:22,500,000 ; Relief shown pictorially ; Covers central Africa centering on modern western Congo ; Place names in Latin and Portuguese. Text on verso in French. ; Detached from a French edition of Tabularum geographicarum contractarum ..., by Petrus Bertius, p. 656 (map) & 655 (text) ; Amsterdam : Petrus Bertius",Recto|Verso,,,historical maps,e574e739-3f8b-4d06-b412-3fe840099452,,https://api.dc.library.northwestern.edu/api/v2/works/e574e739-3f8b-4d06-b412-3fe840099452?as=iiif,2023-02-20T16:17:37.468098,None,None,,Latin|French|Portuguese,inu:dil-8127349f-303a-43a8-8318-af17db053c6c|inu:dil-74728da0-f95f-43fd-be27-d40e917b4e22,Herskovits Library of African Studies,None,Netherlands--Amsterdam,2021-06-10T16:43:09.761465Z,,1 map,10 x 14 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Petrus Bertius,,,https://iiif.dc.library.northwestern.edu/iiif/2/ca868ed8-2937-4526-8747-9d89ab892c1d,,No Copyright - United States,,,"Bertius, Petrus, 1565-1629. Tabularum geographicarum contractarum ... Amsterdam : Petrus Bertius, 1617, pages 643-644.",Done,,Central Africa|Congo (Brazzaville)|Angola|Congo (Democratic Republic)|Maps--Early works to 1800,,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/e574e739-3f8b-4d06-b412-3fe840099452/thumbnail,"Congo regnum Christian, in Africa.",Public,Image
,Accession:inu-afrmap-4156661,Title across top: Appendix III. Tabulae Afr:,https://api.dc.library.northwestern.edu/api/v2/works/00e0e9f5-e289-46a4-b380-ec282591e08c,Work,ark:/81985/n28s4mq43,,,,https://dc.library.northwestern.edu/items/00e0e9f5-e289-46a4-b380-ec282591e08c,,9941566614202441,16th-Early 20th Century Maps of Africa,,2021-03-15T15:33:40.343790Z,"Ptolemy, active 2nd century|Mercator, Gerhard, 1512-1594|Bertius, Petrus, 1565-1629",,,1618,"Scale approximately 1:1,260,000 ; Title across top: Appendix III. Tabulae Afr: ; Based on Ptolemy's Geography ; Map covers Nile River Delta ; Leiden : Petrus Bertius",inu-dil-fd794ab3-c1c7-4795-a4f8-56a38f85b53c.tif,,,historical maps,00e0e9f5-e289-46a4-b380-ec282591e08c,,https://api.dc.library.northwestern.edu/api/v2/works/00e0e9f5-e289-46a4-b380-ec282591e08c?as=iiif,2023-02-20T16:22:38.320033,None,None,,,inu:dil-fd794ab3-c1c7-4795-a4f8-56a38f85b53c,Herskovits Library of African Studies,None,Netherlands--Leiden,2021-06-10T16:43:09.761465Z,,1 map,25 x 37 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Petrus Bertius,,,https://iiif.dc.library.northwestern.edu/iiif/2/67fae871-5f57-4280-839d-f554e570f061,,No Copyright - United States,,,,Done,,Egypt--Nile River Delta|Maps--Early works to 1800,,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/00e0e9f5-e289-46a4-b380-ec282591e08c/thumbnail,"Meridiani equidistant pro ratione 56, paralleli 30 1/2",Public,Image
,Accession:inu-afrmap-3826231,,https://api.dc.library.northwestern.edu/api/v2/works/12ec88fe-a9f2-4c2b-82d9-84438aba4cbd,Work,ark:/81985/n2z894g05,,,,https://dc.library.northwestern.edu/items/12ec88fe-a9f2-4c2b-82d9-84438aba4cbd,,9938262314202441,16th-Early 20th Century Maps of Africa,,2021-03-15T16:40:36.057391Z,"Wit, Frederik de",,,1680,"authore Frederico de Wit ; Scale approximately 1:20,000,000. ; Relief shown pictorially ; Includes decorative title cartouche ; Amstelodami : Publisher not identified",inu-dil-2fd1f307-1644-4e6a-bf36-67d7d344ced8.tif,,,historical maps,12ec88fe-a9f2-4c2b-82d9-84438aba4cbd,,https://api.dc.library.northwestern.edu/api/v2/works/12ec88fe-a9f2-4c2b-82d9-84438aba4cbd?as=iiif,2023-02-20T16:27:21.903665,None,None,,,inu:dil-2fd1f307-1644-4e6a-bf36-67d7d344ced8,Herskovits Library of African Studies,None,Netherlands--Amsterdam,2021-06-10T16:43:09.761465Z,,1 map : hand colored,48 x 58 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Publisher not identified,"Norwich, I. Maps of Africa, 48",,https://iiif.dc.library.northwestern.edu/iiif/2/19246215-9bd1-4e9c-8263-b2913e2d41c9,,No Copyright - United States,,,,Done,,Africa|Maps--Early works to 1800,,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/12ec88fe-a9f2-4c2b-82d9-84438aba4cbd/thumbnail,Totius Africæ accuratissima tabula,Public,Image
,Accession:inu-afrmap-4004357,,https://api.dc.library.northwestern.edu/api/v2/works/1f5b2d67-1b03-4ccf-a726-fe96b00ca8db,Work,ark:/81985/n2s17vt2k,,,,https://dc.library.northwestern.edu/items/1f5b2d67-1b03-4ccf-a726-fe96b00ca8db,,9940043574202441,16th-Early 20th Century Maps of Africa,"Schrämbl, Franz Anton, 1751-1803",2021-03-15T17:28:24.283904Z,"Bowen, Emanuel, 1693 or 1694-1767",,,1747,"by Eman: Bowen ; Scale approximately 1:25,000,000 ; Relief shown pictorially. ; Illustrated cartouche ; Numbered ""No. 64."" ; London : Publisher not identified",inu-dil-36452d38-64eb-4b89-9577-2a8831df577e.tif,,,historical maps,1f5b2d67-1b03-4ccf-a726-fe96b00ca8db,,https://api.dc.library.northwestern.edu/api/v2/works/1f5b2d67-1b03-4ccf-a726-fe96b00ca8db?as=iiif,2023-02-20T16:27:22.109373,None,None,,,inu:dil-36452d38-64eb-4b89-9577-2a8831df577e,Herskovits Library of African Studies,None,England--London,2021-06-10T16:43:09.761465Z,,1 map,35 x 43 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Publisher not identified,"Garson, Y. Africa in Europe's eyes, 67",,https://iiif.dc.library.northwestern.edu/iiif/2/85cd5388-13bf-4fa3-b83d-818c47b7441e,,No Copyright - United States,,,,Done,,Africa|Maps--Early works to 1800,,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/1f5b2d67-1b03-4ccf-a726-fe96b00ca8db/thumbnail,"A new and accurate map of Africa : drawn from the best & most approved modern maps and charts, and regulated by astronomical observations",Public,Image
,Accession:inu-afrmap-4256726,Title on verso: Regnum Abissinorum,https://api.dc.library.northwestern.edu/api/v2/works/18211f53-8c11-436e-92ba-97c2f07d29cb,Work,ark:/81985/n2tb10w1s,,,,https://dc.library.northwestern.edu/items/18211f53-8c11-436e-92ba-97c2f07d29cb,,9942567264202441,16th-Early 20th Century Maps of Africa,,2021-03-15T17:00:41.039978Z,"Blaeu, Joan, 1596-1673",,,circa 1650,"Scale approximately 1:12,500,000 ; Relief shown pictorially ; Map includes decorative title cartouche with native figures. Map interior displays native animals including elephants, birds and a monkey ; Amsterdam : Publisher not identified",Recto|Verso,,,historical maps,18211f53-8c11-436e-92ba-97c2f07d29cb,,https://api.dc.library.northwestern.edu/api/v2/works/18211f53-8c11-436e-92ba-97c2f07d29cb?as=iiif,2023-02-20T16:32:58.966309,None,None,,,inu:dil-e8d82aa3-a949-46b0-8ebd-33ba6c14ca6d|inu:dil-8ca70a49-c2fa-46dd-99ee-89503b43d4ce,Herskovits Library of African Studies,None,Netherlands--Amsterdam,2021-06-10T16:43:09.761465Z,,1 map : hand colored,38 x 49 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Publisher not identified,,,https://iiif.dc.library.northwestern.edu/iiif/2/1b38773a-a3cc-42f9-866f-9c8857989caa,,No Copyright - United States,,,,Done,,Africa|Ethiopia|Maps--Early works to 1800,,,"The images on this web site, from maps in the collection of the Melville J. Herskovits Library of African Studies and housed in the Government & Geographic Information Collection of Northwestern University Libraries are in the public domain in the United States, and as such, not subject to copyright restriction. The Libraries request users cite both the URL and Northwestern University Libraries if they wish to reproduce images from the repository. For access to higher resolution images please contact repository@northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/18211f53-8c11-436e-92ba-97c2f07d29cb/thumbnail,Æthiopia superior vel interior vulgo Abissinorum sive Presbiteri Ioannis Imperium.,Public,Image
