abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,p202-35556043958917-obama,,https://api.dc.library.northwestern.edu/api/v2/works/7e5a3156-3df0-40c5-9f9d-d7323c9f4a8b,Work,ark:/81985/n2bc3w024,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/7e5a3156-3df0-40c5-9f9d-d7323c9f4a8b,,9980533442402441,Africa Embracing Obama,"Sanyang, Gibriel",2021-04-06T16:21:38.032652Z,,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2008,"Wood mask with carving in relief and stained highlights. Mask has symbolic representation of Barack Obama rather than a pictoral likeness. Mask has cowry shell design on forehead, a symbol of fortune-telling; a crown on top, a symbol of leadership; a juju leaf carved on the crown, representing the protection of Obama. Mask accompanied by folder of materials. Mask has round metal hook on back. Artist and Senegambia Market depicted in accompanying materials.",p202-35556043958917-obama.tif,,,masks (costume),7e5a3156-3df0-40c5-9f9d-d7323c9f4a8b,Obama 55,https://api.dc.library.northwestern.edu/api/v2/works/7e5a3156-3df0-40c5-9f9d-d7323c9f4a8b?as=iiif,2023-02-20T16:20:15.202693,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:53.164730Z,,"1 mask : wood, metal",6 x 6 x 19 cm irregular,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",Gambia.,True,Gibriel Sanyang,,,https://iiif.dc.library.northwestern.edu/iiif/2/e4a18c05-044f-4c9d-b631-f7751b6ceb47,,Copyright Undetermined,,,,Done,,"Senegambia Craft Market|Souvenirs (Keepsakes)|Gambia|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/7e5a3156-3df0-40c5-9f9d-d7323c9f4a8b/thumbnail,Obama mask.,Public,Image
,p202-35556043832245-obama,,https://api.dc.library.northwestern.edu/api/v2/works/08b65de6-7bba-4778-8967-0efbc42d496c,Work,ark:/81985/n28c9t62n,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/08b65de6-7bba-4778-8967-0efbc42d496c,,9980468747902441,Africa Embracing Obama,unknown Liberian,2021-04-06T16:20:57.600505Z,,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2009?,"White short-sleeved t-shirt with multicolor silkscreen on front and back. Front of t-shirt: image of Barack Obama in blue oval portrait surrounded by ""Liberians united for change for Barrack Obama President of America"" In red lettering. Reverse of t-shirt: ""Motto: change we need"" in red lettering on two lines at top of t-shirt. Manufacturer's tag attached to t-shirt at collar.",p202-35556043832245-obama-01.tif|p202-35556043832245-obama-02.tif,,,T-shirts,08b65de6-7bba-4778-8967-0efbc42d496c,Obama 37,https://api.dc.library.northwestern.edu/api/v2/works/08b65de6-7bba-4778-8967-0efbc42d496c?as=iiif,2023-02-20T16:20:19.852187,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:55.669992Z,,1 t-shirt : cotton,72 x 93 cm irregular.,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",Liberia.,True,Ebe Ano,,,https://iiif.dc.library.northwestern.edu/iiif/2/01872f89-8a85-43d8-9472-6889c4b44111,,Copyright Undetermined,,,,Done,,"Souvenirs (Keepsakes)|Liberia|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/08b65de6-7bba-4778-8967-0efbc42d496c/thumbnail,Liberians united for change for Barrack Obama President of America t-shirt.,Public,Image
,p108-35556043956713-obama,,https://api.dc.library.northwestern.edu/api/v2/works/69bc0df9-1db2-4790-9114-df66f206d3e9,Work,ark:/81985/n24m93c9r,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/69bc0df9-1db2-4790-9114-df66f206d3e9,,9980445339402441,Africa Embracing Obama,unknown African,2021-04-06T16:20:57.818802Z,,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2009?,"Tie-on black bracelet with red, yellow, and green letters that spell out ""Obama."" Made by wrapping threads around a flexible plastic strip.",p108-35556043956713-obama.tif,,,bracelets (jewelry),69bc0df9-1db2-4790-9114-df66f206d3e9,Obama 422,https://api.dc.library.northwestern.edu/api/v2/works/69bc0df9-1db2-4790-9114-df66f206d3e9?as=iiif,2023-02-20T16:20:19.867576,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:53.164730Z,,"1 bracelet: plastic, thread",2 x 32 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",Ghana; purchased.,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/4560f0e4-4eaa-4b04-ba51-9166ff620422,,Copyright Undetermined,,,,Done,,"Souvenirs (Keepsakes)|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/69bc0df9-1db2-4790-9114-df66f206d3e9/thumbnail,Tie-on Obama bracelet in black.,Public,Image
,p108-35556045458387-obama,,https://api.dc.library.northwestern.edu/api/v2/works/e0eecb1a-a3e1-4360-801b-e81dfcd718de,Work,ark:/81985/n2gb20k11,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/e0eecb1a-a3e1-4360-801b-e81dfcd718de,,9980470963702441,Africa Embracing Obama,unknown South African,2021-04-06T16:21:29.508103Z,,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2008?,"Red and black baseball cap with multicolor embroidery at front. Front of cap: ""Obama"" in blue embroidered lettering at center with two rows of five white embroidered stars, one above and one below central text. Black stripe on right front panel. Brim has black irregularly shaped panel on red surface divided by a red embroidered outline. Adjustable strap on back of cap with metal clasp; ""African Influence"" embossed in clasp.",p108-35556045458387-obama.tif,,,baseball caps,e0eecb1a-a3e1-4360-801b-e81dfcd718de,Obama 128b,https://api.dc.library.northwestern.edu/api/v2/works/e0eecb1a-a3e1-4360-801b-e81dfcd718de?as=iiif,2023-02-20T16:20:20.299446,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:55.669992Z,,"1 baseball cap : cotton, metal",17 x 28 cm irregular.,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",South Africa.,True,African Influence,,,https://iiif.dc.library.northwestern.edu/iiif/2/39c2e325-8ced-4c24-8f93-370e996b0c1d,,Copyright Undetermined,,,,Done,,"Souvenirs (Keepsakes)|South Africa|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/e0eecb1a-a3e1-4360-801b-e81dfcd718de/thumbnail,Obama baseball cap.,Public,Image
,p202-35556043832468-obama,,https://api.dc.library.northwestern.edu/api/v2/works/b5e1fc15-1d29-4d28-9cfc-4b8adfaf5ea9,Work,ark:/81985/n2qz24k4h,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/b5e1fc15-1d29-4d28-9cfc-4b8adfaf5ea9,,9980468596202441,Africa Embracing Obama,unknown South African,2021-04-06T16:21:20.941992Z,,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2009,"Black short-sleeved t-shirt with multicolor silkscreen on front and back. On front: multicolor image of Barack Obama behind a microphone at center superimposed on the words ""Change, change"" in three repeating lines. Caption below image: ""The new hope, Obama"""" in red, white, and blue lettering. On back: same silkscreen design as front in black, grey, and white.",p202-35556043832468-obama-01.tif|p202-35556043832468-obama-02.tif,,,T-shirts,b5e1fc15-1d29-4d28-9cfc-4b8adfaf5ea9,Obama 133,https://api.dc.library.northwestern.edu/api/v2/works/b5e1fc15-1d29-4d28-9cfc-4b8adfaf5ea9?as=iiif,2023-02-20T16:20:24.778571,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:53.223159Z,,"1 t-shirt : cotton, vinyl",66 x 76 cm irregular.,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",South Africa.,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/2e6627c2-f2ec-44e6-9f4f-6d4e63bd2de4,,Copyright Undetermined,,,,Done,,"Souvenirs (Keepsakes)|South Africa|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/b5e1fc15-1d29-4d28-9cfc-4b8adfaf5ea9/thumbnail,"Change, change, change... : the new hope, Obama t-shirt.",Public,Image
,p202-35556043832419-obama,,https://api.dc.library.northwestern.edu/api/v2/works/67bb90c0-c25f-43f0-871b-3afd5a839733,Work,ark:/81985/n2513wz16,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/67bb90c0-c25f-43f0-871b-3afd5a839733,,9980470367102441,Africa Embracing Obama,unknown Ugandan,2021-04-06T16:21:25.945801Z,,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2009,"Gray short-sleeved t-shirt with black silkscreen on front. Portrait of Barack Obama with ""Yes we can"" printed vertically at right, ""Uganda"" at bottom.",p202-35556043832419-obama.tif,,,T-shirts,67bb90c0-c25f-43f0-871b-3afd5a839733,Obama 218,https://api.dc.library.northwestern.edu/api/v2/works/67bb90c0-c25f-43f0-871b-3afd5a839733?as=iiif,2023-02-20T16:20:24.780799,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:53.223159Z,,"1 t-shirt : cotton, vinyl","size S, 62 x 78 cm irregular.",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",Uganda.,True,Cheds,,,https://iiif.dc.library.northwestern.edu/iiif/2/89bec05d-ec59-498c-a4c4-189bb680ba2c,,Copyright Undetermined,,,,Done,,"Souvenirs (Keepsakes)|Uganda|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/67bb90c0-c25f-43f0-871b-3afd5a839733/thumbnail,"Yes we can written, Uganda t-shirt.",Public,Image
,p108-35556045458205-obama,,https://api.dc.library.northwestern.edu/api/v2/works/6f06251b-bf8b-42b9-b0d1-cfb90c69f9f2,Work,ark:/81985/n2d50j05v,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/6f06251b-bf8b-42b9-b0d1-cfb90c69f9f2,,9980472350502441,Africa Embracing Obama,unknown Kenyan,2021-04-06T16:20:57.415594Z,,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2010,"Black short-sleeved t-shirt with multicolor rectangular vinyl decal on front. Decal has portrait of Barack Obama at right superimposed on image of the United States White House. The sky above the White House is replaced with an American flag. Caption reads ""Mr. President Obama"" in white lettering on a blue stripe.",p108-35556045458205-obama.tif,,,T-shirts,6f06251b-bf8b-42b9-b0d1-cfb90c69f9f2,Obama 294,https://api.dc.library.northwestern.edu/api/v2/works/6f06251b-bf8b-42b9-b0d1-cfb90c69f9f2?as=iiif,2023-02-20T16:20:24.916656,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:53.291987Z,,1 t-shirt : cotton,"size L, 72 x 88 cm irregular.",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",Kenya.,True,Punch,,,https://iiif.dc.library.northwestern.edu/iiif/2/c3d8da03-995a-4870-8364-63c26b404ca5,,Copyright Undetermined,,,,Done,,"Souvenirs (Keepsakes)|Kenya|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/6f06251b-bf8b-42b9-b0d1-cfb90c69f9f2/thumbnail,Mr. President Obama t-shirt.,Public,Image
,p108-35556043958065-obama,Obama bust,https://api.dc.library.northwestern.edu/api/v2/works/128b091f-fb12-41fe-8d7b-491591bf754b,Work,ark:/81985/n2zk57p34,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/128b091f-fb12-41fe-8d7b-491591bf754b,,9980440879502441,Africa Embracing Obama,unknown African,2021-04-06T16:21:15.151188Z,,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2010?,"Handpainted plastic bust of Barack Obama. Base is painted gold and has ""Barack Obama"" in raised letters on front. Obama is wearing a black suit, white shirt, and a blue tie.",p108-35556043958065-obama.tif,,,"busts (general, figures)",128b091f-fb12-41fe-8d7b-491591bf754b,Obama 270,https://api.dc.library.northwestern.edu/api/v2/works/128b091f-fb12-41fe-8d7b-491591bf754b?as=iiif,2023-02-20T16:20:24.930756,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:55.715061Z,,"1 sculpture : plastic, multicolored",14 x 15 x 8 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",Kenya.,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/cd3171b3-7ad4-48f2-81fc-709f19a898ba,,Copyright Undetermined,,,,Done,,"Kenya|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/128b091f-fb12-41fe-8d7b-491591bf754b/thumbnail,Barack Obama bust.,Public,Image
,p108-35556043956283-obama,,https://api.dc.library.northwestern.edu/api/v2/works/2e417ca3-9ea0-4aad-ac05-4f4da85959fd,Work,ark:/81985/n2q816v35,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/2e417ca3-9ea0-4aad-ac05-4f4da85959fd,,9980445369902441,Africa Embracing Obama,Akosombo Textiles Limited,2021-04-06T16:21:08.216937Z,unknown Ghanaian,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2009?,"Cotton fabric printed with an orange, black, and yellow geometric background design of nested, broken squares. The cloth is further decorated with a regular pattern of the phrase ""African Image"" in black text with a white background, the Adinkra symbols ""Ohene Adwa"" and ""Gye Nyame"" in black, and large white ovals printed with full-color photographic images of Barack Obama, with ""Barack Obama, 44th President of the United States"" on a ribbon shaped banner below it. The top and bottom borders of the cloth contain the Adinkra symbols ""Gye Nyame"" and ""Ohene Adwa"" repeated along it in black with yellow outlines, all on an orange and black background. The maker's mark on the selvage reads ""Akosombo Textiles Limited.""",p108-35556043956283-obama.tif,,,textile art (visual works)|yardage,2e417ca3-9ea0-4aad-ac05-4f4da85959fd,Obama 227,https://api.dc.library.northwestern.edu/api/v2/works/2e417ca3-9ea0-4aad-ac05-4f4da85959fd?as=iiif,2023-02-20T16:20:25.376383,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:53.338975Z,,"1 length of cloth : cotton, dyes",115 x 183 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",Ghana.,True,Akosombo Textiles Limited,,,https://iiif.dc.library.northwestern.edu/iiif/2/584d6537-b2de-4680-b2fd-5eeb02c5103f,,Copyright Undetermined,,,,Done,,"Obama, Barack|Obama, Barack|Ghana|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/2e417ca3-9ea0-4aad-ac05-4f4da85959fd/thumbnail,Barack Obama African Image fabric in orange.,Public,Image
,p202-35556045458304-obama,,https://api.dc.library.northwestern.edu/api/v2/works/d6b104e3-dfee-42bd-bec7-371036523818,Work,ark:/81985/n2z894h4j,55be8458-c7ed-4d00-9d29-0cd713565d2b|7485786b-b5e3-49f9-a7ac-3ff34beac152|a4ed35f1-6b06-4b0f-8057-0f798bfaa158|fee6e169-dfac-4151-8fe9-2c20c0b16a94,,,https://dc.library.northwestern.edu/items/d6b104e3-dfee-42bd-bec7-371036523818,,9980472456102441,Africa Embracing Obama,unknown South African,2021-04-06T16:21:30.385415Z,,eaa76ebf-139e-471c-9b44-8540ffbfbea0,,2009,"Red zip-up hoodie sweatshirt with portrait of Barack Obama on front in black. Sweatshirt has two large pockets at front, red zipper, and red pull ties at front collar. Manufacturer's label attached at top.",p202-35556045458304-obama.tif,,,sweat shirts,d6b104e3-dfee-42bd-bec7-371036523818,Obama 245,https://api.dc.library.northwestern.edu/api/v2/works/d6b104e3-dfee-42bd-bec7-371036523818?as=iiif,2023-02-20T16:20:25.381873,P0394-P0108-P202-Obama,P0394-P0108-P202-Obama.csv,,,,Herskovits Library of African Studies,None,,2022-02-25T19:39:55.715061Z,,1 sweat shirt : cotton,"XXL, 102 x 168 cm irregular.",Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'Africa Embraces Obama', 'proposer': 'Esmeralda Kale', 'task_number': None}",South Africa.,True,HYGG,,,https://iiif.dc.library.northwestern.edu/iiif/2/ba4602a4-b4fa-43dc-b430-875bb9d435c4,,Copyright Undetermined,,,,Done,,"Souvenirs (Keepsakes)|South Africa|Obama, Barack",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries. The images are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.  The copyright for these materials is undetermined. If you hold the rights to any materials presented on this site and would like them removed please contact the Melville J. Herskovits Library of African Studies and your issue will be addressed",https://api.dc.library.northwestern.edu/api/v2/works/d6b104e3-dfee-42bd-bec7-371036523818/thumbnail,Barack Obama sweat shirt.,Public,Image
