abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:320605,,https://api.dc.library.northwestern.edu/api/v2/works/b7dff830-8689-4bfd-b277-7136d7bcb20e,Work,ark:/81985/n2nz81c1s,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/b7dff830-8689-4bfd-b277-7136d7bcb20e,,9937307934202441,Architectural Drawings,,2021-03-16T14:59:11.338359Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-d888e165-56f8-4b64-9c12-b7c262f43a56.tif,,,architectural drawings (visual works),b7dff830-8689-4bfd-b277-7136d7bcb20e,,https://api.dc.library.northwestern.edu/api/v2/works/b7dff830-8689-4bfd-b277-7136d7bcb20e?as=iiif,2023-02-20T16:13:45.663186,None,None,,,inu:dil-d888e165-56f8-4b64-9c12-b7c262f43a56,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.163773Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/04576e49-88ba-446f-b613-08321dcc038f,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 5.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b7dff830-8689-4bfd-b277-7136d7bcb20e/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
,Accession:320610,,https://api.dc.library.northwestern.edu/api/v2/works/b09825b6-bdcc-4d7d-a519-fc5fed0f839e,Work,ark:/81985/n2ff3mn4x,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/b09825b6-bdcc-4d7d-a519-fc5fed0f839e,,9937307934202441,Architectural Drawings,,2021-03-16T14:17:36.553395Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-642f67d1-b3f9-40e9-8c32-40b384b41f81.tif,,,architectural drawings (visual works),b09825b6-bdcc-4d7d-a519-fc5fed0f839e,,https://api.dc.library.northwestern.edu/api/v2/works/b09825b6-bdcc-4d7d-a519-fc5fed0f839e?as=iiif,2023-02-20T16:22:55.594042,None,None,,,inu:dil-642f67d1-b3f9-40e9-8c32-40b384b41f81,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.163773Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/0ad3a323-312c-4292-b37c-5f88ee2452b2,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 40.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b09825b6-bdcc-4d7d-a519-fc5fed0f839e/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
,Accession:320607,,https://api.dc.library.northwestern.edu/api/v2/works/b48796d4-9c67-4e2f-a3b2-8ae98b77f413,Work,ark:/81985/n2xg9g018,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/b48796d4-9c67-4e2f-a3b2-8ae98b77f413,,9937307934202441,Architectural Drawings,,2021-03-16T14:38:46.613379Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-c18ed22f-955e-4b48-a5a7-5339e869c099.tif,,,architectural drawings (visual works),b48796d4-9c67-4e2f-a3b2-8ae98b77f413,,https://api.dc.library.northwestern.edu/api/v2/works/b48796d4-9c67-4e2f-a3b2-8ae98b77f413?as=iiif,2023-02-20T16:22:59.994705,None,None,,,inu:dil-c18ed22f-955e-4b48-a5a7-5339e869c099,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.163773Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/5687e4cf-4211-4cbe-b323-c13d8f1d882b,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 23.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b48796d4-9c67-4e2f-a3b2-8ae98b77f413/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
,Accession:320608,,https://api.dc.library.northwestern.edu/api/v2/works/2aaed0e3-9cd1-4e28-abf5-b29fbb7e73c4,Work,ark:/81985/n2k64bf82,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/2aaed0e3-9cd1-4e28-abf5-b29fbb7e73c4,,9937307934202441,Architectural Drawings,,2021-03-15T18:13:31.111334Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-5a5339a9-1bf4-44bb-91c7-a10386379bec.tif,,,architectural drawings (visual works),2aaed0e3-9cd1-4e28-abf5-b29fbb7e73c4,,https://api.dc.library.northwestern.edu/api/v2/works/2aaed0e3-9cd1-4e28-abf5-b29fbb7e73c4?as=iiif,2023-02-20T16:44:26.926211,None,None,,,inu:dil-5a5339a9-1bf4-44bb-91c7-a10386379bec,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.235928Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/74a972e6-486f-479e-b178-c17a882446bd,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 26.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/2aaed0e3-9cd1-4e28-abf5-b29fbb7e73c4/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
,Accession:320611,,https://api.dc.library.northwestern.edu/api/v2/works/cc0c8f5e-5824-4685-a478-79208912da7a,Work,ark:/81985/n22805m59,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/cc0c8f5e-5824-4685-a478-79208912da7a,,9937307934202441,Architectural Drawings,,2021-03-16T16:54:32.415427Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-b9d98256-adf3-426c-b219-3e674a8ac2c6.tif,,,architectural drawings (visual works),cc0c8f5e-5824-4685-a478-79208912da7a,,https://api.dc.library.northwestern.edu/api/v2/works/cc0c8f5e-5824-4685-a478-79208912da7a?as=iiif,2023-02-20T16:15:28.873578,None,None,,,inu:dil-b9d98256-adf3-426c-b219-3e674a8ac2c6,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.163773Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/df2fa7c5-a6ec-4b9b-9a52-feac88dc410b,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 41.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/cc0c8f5e-5824-4685-a478-79208912da7a/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
,Accession:320606,,https://api.dc.library.northwestern.edu/api/v2/works/a05bf451-165c-44f8-97f3-95ed06cf1086,Work,ark:/81985/n2j679j7b,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/a05bf451-165c-44f8-97f3-95ed06cf1086,,9937307934202441,Architectural Drawings,,2021-03-16T12:59:41.756387Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-eec4ecf8-6257-4bfa-8770-5f69fbaca334.tif,,,architectural drawings (visual works),a05bf451-165c-44f8-97f3-95ed06cf1086,,https://api.dc.library.northwestern.edu/api/v2/works/a05bf451-165c-44f8-97f3-95ed06cf1086?as=iiif,2023-02-20T16:33:36.511042,None,None,,,inu:dil-eec4ecf8-6257-4bfa-8770-5f69fbaca334,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.163773Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/da6902d5-a31f-49bc-af84-f7f730d220d0,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 12.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a05bf451-165c-44f8-97f3-95ed06cf1086/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
,Accession:320615,,https://api.dc.library.northwestern.edu/api/v2/works/bf4c3c3c-9b15-4454-87c5-11e685fe17c4,Work,ark:/81985/n2sq8r561,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/bf4c3c3c-9b15-4454-87c5-11e685fe17c4,,9937307934202441,Architectural Drawings,,2021-03-16T15:40:35.648048Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-c4cc33d7-cd38-4c04-bfc6-b13e35aa7cdf.tif,,,architectural drawings (visual works),bf4c3c3c-9b15-4454-87c5-11e685fe17c4,,https://api.dc.library.northwestern.edu/api/v2/works/bf4c3c3c-9b15-4454-87c5-11e685fe17c4?as=iiif,2023-02-20T16:14:19.252680,None,None,,,inu:dil-c4cc33d7-cd38-4c04-bfc6-b13e35aa7cdf,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.163773Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/0bf78b60-d49e-48fb-97d7-0e2b3c277562,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 79.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bf4c3c3c-9b15-4454-87c5-11e685fe17c4/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
,Accession:320613,,https://api.dc.library.northwestern.edu/api/v2/works/c77c1fb6-03f3-4518-b945-16e734302a2d,Work,ark:/81985/n2348h454,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/c77c1fb6-03f3-4518-b945-16e734302a2d,,9937307934202441,Architectural Drawings,,2021-03-16T16:26:41.713917Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-1664fe64-f8e0-472b-84b9-22a56b2dd766.tif,,,architectural drawings (visual works),c77c1fb6-03f3-4518-b945-16e734302a2d,,https://api.dc.library.northwestern.edu/api/v2/works/c77c1fb6-03f3-4518-b945-16e734302a2d?as=iiif,2023-02-20T16:23:00.102466,None,None,,,inu:dil-1664fe64-f8e0-472b-84b9-22a56b2dd766,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.235928Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/2efba4b8-dbd9-40be-81b4-f0156f1a17ff,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 48.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c77c1fb6-03f3-4518-b945-16e734302a2d/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
,Accession:320604,,https://api.dc.library.northwestern.edu/api/v2/works/545b5f97-1e1a-4eba-a8b7-18c43605faff,Work,ark:/81985/n25x26179,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/545b5f97-1e1a-4eba-a8b7-18c43605faff,,9937307934202441,Architectural Drawings,,2021-03-15T21:44:05.841788Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-76c297c5-6684-4d9c-b914-ee75381257cc.tif,,,architectural drawings (visual works),545b5f97-1e1a-4eba-a8b7-18c43605faff,,https://api.dc.library.northwestern.edu/api/v2/works/545b5f97-1e1a-4eba-a8b7-18c43605faff?as=iiif,2023-02-20T16:41:14.490087,None,None,,,inu:dil-76c297c5-6684-4d9c-b914-ee75381257cc,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.163773Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/9f6a891c-c5b1-4764-8846-44f35f03b0ee,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 4.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/545b5f97-1e1a-4eba-a8b7-18c43605faff/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
,Accession:320614,,https://api.dc.library.northwestern.edu/api/v2/works/ccf9af15-b990-4cda-888a-69439305782d,Work,ark:/81985/n2pz52830,4b2070f8-9311-43ca-a081-09b8c6eec208|5bea94f5-faf3-4e40-977a-6b4f0a766b94|a5e9e314-612f-4bc0-b34b-752374f4b3ab|b562641f-11e0-4522-91c0-83476a9ddd0a,,,https://dc.library.northwestern.edu/items/ccf9af15-b990-4cda-888a-69439305782d,,9937307934202441,Architectural Drawings,,2021-03-16T16:59:55.746699Z,"Dubut, Louis Ambrose (French architect, 1769-1846, active in Russia)",,,1847,"Nouv. éd., augm. d'un exposé des principes généraux d'architecture",inu-dil-2139d5ce-3bc4-4fd4-976b-91a0c62514c4.tif,,,architectural drawings (visual works),ccf9af15-b990-4cda-888a-69439305782d,,https://api.dc.library.northwestern.edu/api/v2/works/ccf9af15-b990-4cda-888a-69439305782d?as=iiif,2023-02-20T16:15:30.311009,None,None,,,inu:dil-2139d5ce-3bc4-4fd4-976b-91a0c62514c4,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:08:34.163773Z,,,46 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11741'}",,True,Marie et Benard,,,https://iiif.dc.library.northwestern.edu/iiif/2/c669c3c8-fa44-4464-971c-f6feed66ee5c,,No Copyright - United States,,,"Dubut, L. (1847). Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres ... / par L.-A. Dubut. (Nouv. éd., augm. d'un exposé des principes généraux d'architecture). Paris: Marie et Bernard, plate 74.",Done,,"Architecture, Domestic--France|Architecture, Domestic--Designs and plans|Country homes--Designs and plans",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/ccf9af15-b990-4cda-888a-69439305782d/thumbnail,Architecture civile : Maisons de ville et de campagne de toutes formes et de tous genres,Public,Image
