abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:0g354g686,,https://api.dc.library.northwestern.edu/api/v2/works/dc46d512-c0a2-4db0-9659-8bbc7a92274c,Work,ark:/81985/n28k77f1k,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/dc46d512-c0a2-4db0-9659-8bbc7a92274c,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:09:23.964199Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"July 17, 1981",,Track 1|Track 2|Track 1|Track 2|mg74qn63p/0g354g686.mods.xml|Track 1 technical metadata file|Track 1 asset front,,,Music Master Class,dc46d512-c0a2-4db0-9659-8bbc7a92274c,,https://api.dc.library.northwestern.edu/api/v2/works/dc46d512-c0a2-4db0-9659-8bbc7a92274c?as=iiif,2023-02-20T16:32:43.704176,AVR Migration,avr_migration.csv,,English,0g354g686,Music Library,None,,2022-09-23T17:04:49.576455Z,"{'note': 'Lutkin Hall (Evanston, Ill.)', 'type': 'Venue/Event Date'}",,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/697ce545-87ec-42d8-ace0-8aaef238597b,,Copyright Undetermined,,,,Done,,"Mozart, Wolfgang Amadeus, 1756-1791|Martin, Frank, 1890-1974|Lutkin Hall (Evanston, Ill.)","Track 1 - Removing Growl in Tone Through Articulation, Syllable, and Breath: Breathing: Buzzing: Resonance: Lung Capacity: Instrument: Bass Trombone, Tenor Trombone. Piece: Mozart Tuba Mirum, Martin Ballade. Track 2 - Tools for Practice: Solfege: Visualizer / Rim Buzzing: Slurring: Lung Capacity: Instrument: Trombone",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/dc46d512-c0a2-4db0-9659-8bbc7a92274c/thumbnail,Tuba Master Class 1981-07-17,Public,Audio
,avr:x346d5748,,https://api.dc.library.northwestern.edu/api/v2/works/fb938a55-a750-4607-a0fa-0e26024173c2,Work,ark:/81985/n27m06j9r,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/fb938a55-a750-4607-a0fa-0e26024173c2,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:21:39.915980Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"July 15, 1981",,Track 1|Track 2|Track 1|Track 2|mg74qn63p/x346d5748.mods.xml|Track 1 technical metadata file|Track 1 asset front,,,Music Master Class,fb938a55-a750-4607-a0fa-0e26024173c2,,https://api.dc.library.northwestern.edu/api/v2/works/fb938a55-a750-4607-a0fa-0e26024173c2?as=iiif,2023-02-20T16:32:43.707674,AVR Migration,avr_migration.csv,,English,x346d5748,Music Library,None,,2022-09-23T17:06:01.560148Z,"{'note': 'Lutkin Hall (Evanston, Ill.)', 'type': 'Venue/Event Date'}",,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/4f37d0a6-7b69-4403-a145-03f7f8cf99c8,,Copyright Undetermined,,,,Done,,"Kodály, Zoltán, 1882-1967|Beethoven, Ludwig van, 1770-1827|Strauss, Richard, 1864-1949|Vaughan Williams, Ralph, 1872-1958|Wagner, Richard, 1813-1883|Lutkin Hall (Evanston, Ill.)","Track 1 - Warming Up: Playing High Notes: Full Capacity Breaths. Instruments: Bass Trombone, Trumpet. Track 2 - Programming the Brain by Imitation: Stage Fright: Vibrato: Oscilloscope: Instruments: Tuba, French Horn",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/fb938a55-a750-4607-a0fa-0e26024173c2/thumbnail,Tuba Master Class 1981-07-15,Public,Audio
,avr:g445cf551,,https://api.dc.library.northwestern.edu/api/v2/works/7b0f2874-4780-495b-89c6-c7afd1ebf34a,Work,ark:/81985/n26w98t72,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/7b0f2874-4780-495b-89c6-c7afd1ebf34a,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:17:40.707159Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"July 30, 1984",,Track 1|Track 2|Track 3|Track 4|Track 5|Track 1|Track 2|Track 3|Track 4|Track 5|mg74qn63p/g445cf551.mods.xml|Track 1 technical metadata file|Track 3 technical metadata file|Track 1 asset front|Track 3 asset front,,,Music Master Class,7b0f2874-4780-495b-89c6-c7afd1ebf34a,,https://api.dc.library.northwestern.edu/api/v2/works/7b0f2874-4780-495b-89c6-c7afd1ebf34a?as=iiif,2023-02-20T16:32:43.711932,AVR Migration,avr_migration.csv,,English,g445cf551,Music Library,None,,2022-09-23T17:10:13.966377Z,,,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9563d9f7-1c1b-4a2b-9df4-6307b3307b4c,,Copyright Undetermined,,,,Done,,,"Track 1 - Pitch Recall in the Brain: Stimuli and Reflex Response: Suzuki: Tone Production: Conditioned Response: Learning Through Imitation: Establishing Quality with Beginning Students. Track 2 - Embouchure: Paralysis by Analysis: Control the Sound, not the Muscles: Play by Sound, not Feel: Resonance: Stage Fright: Audition Preparation. Track 3 - Concept of Sound: Thinking Outwardly, Not Inwardly: Diaphragm: Breathing: Breathing Bag: Quantitative Breathing Exercises. Track 4 - Buzzing: Song and Wind: Conception of the Desired Product: Appearance of Embouchure: Playing in front of a Mirror. Track 5 - Simple Thoughts: Breathing: Muscle Innervation: Effort Used to Blow Depending on Fullness of Lungs: Regulation of Pressure: Blow for Wind, not Pressure: Dominance of the Art Form",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7b0f2874-4780-495b-89c6-c7afd1ebf34a/thumbnail,Tuba Master Class 1984-07-30,Public,Audio
,avr:qr46r232z,,https://api.dc.library.northwestern.edu/api/v2/works/845ed691-55dc-45b2-a450-b25e5c58bcbe,Work,ark:/81985/n2js9kt3x,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/845ed691-55dc-45b2-a450-b25e5c58bcbe,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:27:28.614379Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"July 18, 1981",,Track 1|Track 2|Track 1|Track 2|mg74qn63p/qr46r232z.mods.xml|Track 1 technical metadata file|Track 1 asset front,,,Music Master Class,845ed691-55dc-45b2-a450-b25e5c58bcbe,,https://api.dc.library.northwestern.edu/api/v2/works/845ed691-55dc-45b2-a450-b25e5c58bcbe?as=iiif,2023-02-20T16:37:41.166908,AVR Migration,avr_migration.csv,,English,qr46r232z,Music Library,None,,2022-09-23T17:04:39.714674Z,"{'note': 'Lutkin Hall (Evanston, Ill.)', 'type': 'Venue/Event Date'}",,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/16311a5a-f73c-4aaa-8163-4d764f9796c6,,Copyright Undetermined,,,,Done,,"Kopprasch, G.|Bona, Pasquale, 1808-1878|Lutkin Hall (Evanston, Ill.)","Track 1 - Breathing: Capacity Breaths: Question and Answer Session: Students With Physical Disabilities: The Diaphragm Cannot be Used to Exhale: Instrument: Saxophone, Tuba, Flute. Track 2 - Diaphragm Breathing: Breathing for Young Students: Tonguing/Articulation: Mouthpiece Pressure and Position: Mouthpiece Rim Size and Cup Size: Embouchure Shift: Facial Hair: An Amusing Poem: Instrument: Flute",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/845ed691-55dc-45b2-a450-b25e5c58bcbe/thumbnail,Tuba Master Class 1981-07-18,Public,Audio
,avr:6h440t98j,,https://api.dc.library.northwestern.edu/api/v2/works/b04dc699-cd42-447d-953a-8ffdd1369239,Work,ark:/81985/n2j09zp85,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/b04dc699-cd42-447d-953a-8ffdd1369239,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:24:28.783701Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"August 7, 1987",,Track 1|Track 2|Track 1|Track 2|mg74qn63p/6h440t98j.mods.xml|Track 1 technical metadata file|Track 2 technical metadata file|Track 1 asset front|Track 2 asset front,,,Music Master Class,b04dc699-cd42-447d-953a-8ffdd1369239,,https://api.dc.library.northwestern.edu/api/v2/works/b04dc699-cd42-447d-953a-8ffdd1369239?as=iiif,2023-02-20T16:32:43.502666,AVR Migration,avr_migration.csv,,English,6h440t98j,Music Library,None,,2022-09-23T17:07:36.455483Z,"{'note': 'Regenstein Hall of Music (Evanston, Ill.)', 'type': 'Venue/Event Date'}",,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/402c0ea4-8268-44de-97d0-73c173307881,,Copyright Undetermined,,,,Done,,"Holst, Gustav, 1874-1934|Charlier, Théo, 1868-1944|Wagner, Richard, 1813-1883|Mozart, Wolfgang Amadeus, 1756-1791|Tchaikovsky, Peter Ilich, 1840-1893|Regenstein Hall of Music (Evanston, Ill.)","Track 1 - Mouthpieces: Playing by Feel: Playing by Sound: Instruments: High Range Development: Rim Buzzing: Injuries: Positive Thinking: Focus on the Product: Euphonium: Articulation: Double Buzz: Tongue Position: Tuba: Charlier, 36 Etudes Transcendantes no 2: Die Meistersinger von Neurenberg: Tone Quality. Track 2 - Jacobs Plays: Warm Up: Die Meistersinger Trill: Bassoon: Tchaikovsky, Symphony no 6: Soft Dynamic Playing: Tone Production: Breathing: Physiology of Breathing: Focus on the Product",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b04dc699-cd42-447d-953a-8ffdd1369239/thumbnail,Tuba Master Class 1987-08-07,Public,Audio
,avr:v118rg04x,,https://api.dc.library.northwestern.edu/api/v2/works/7a404f21-eb21-4b59-a166-b8af2cf2a3e5,Work,ark:/81985/n2kp7x988,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/7a404f21-eb21-4b59-a166-b8af2cf2a3e5,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:23:42.149469Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"July 31, 1985 to August 1, 1985",,Track 1|Track 2|Track 3|Track 4|Track 5|Track 6|Track 1|Track 2|Track 3|Track 4|Track 5|Track 6|mg74qn63p/v118rg04x.mods.xml|Track 1 technical metadata file|Track 2 technical metadata file|Track 3 technical metadata file|Track 4 technical metadata file|Track 5 technical metadata file|Track 6 technical metadata file|Track 1 asset front|Track 2 asset front|Track 3 asset front|Track 4 asset front|Track 5 asset front|Track 6 asset front,,,Music Master Class,7a404f21-eb21-4b59-a166-b8af2cf2a3e5,,https://api.dc.library.northwestern.edu/api/v2/works/7a404f21-eb21-4b59-a166-b8af2cf2a3e5?as=iiif,2023-02-20T16:32:43.512406,AVR Migration,avr_migration.csv,,English,v118rg04x,Music Library,None,,2022-09-23T17:12:13.795794Z,"{'note': 'Regenstein Hall of Music (Evanston, Ill.)', 'type': 'Venue/Event Date'}",,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/5e204580-ddec-4e13-978c-2d81da5d1224,,Copyright Undetermined,,,,Done,,"Mendelssohn-Bartholdy, Felix, 1809-1847|Wagner, Richard, 1813-1883|Regenstein Hall of Music (Evanston, Ill.)",Track 1 - Quantitative Breathing: Breathing: Habits: Motivating the Product: Air Velocity: Air Volume: Air Resistance. Track 2 - Resonance: Embouchure: Concept of Sound: Air Pressure: French Horn: Posture: Effort: Breathing: Physiology of Breathing. Track 3 - Breathing: French Horn: Bass Trombone: Tannhouser: Buzzing. Track 4 - Air Usage: Breathing: Trombone: Free Buzzing: Rim Buzzing: Buzzing: Mouthpieces: Strength: Communicating Music. Track 5 - Tuba: Orchestral Excerpts: Lung Capacity: Hyper Ventilation: Circular Breathing: Conceptualizing Entrance. Track 6 - Mental Awareness: Flute: Asthma: Breathing: Altering Habits,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7a404f21-eb21-4b59-a166-b8af2cf2a3e5/thumbnail,Tuba Master Class 1985-07-31 and 1985-08-01,Public,Audio
,avr:zw12z673q,,https://api.dc.library.northwestern.edu/api/v2/works/bf67967a-e6b8-459e-bd0f-e3906ab548e1,Work,ark:/81985/n2qj7bg9t,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/bf67967a-e6b8-459e-bd0f-e3906ab548e1,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:17:58.104447Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"August 2, 1985",,Track 1|Track 2|Track 3|Track 1|Track 2|Track 3|mg74qn63p/zw12z673q.mods.xml|Track 1 technical metadata file|Track 2 technical metadata file|Track 3 technical metadata file|Track 1 asset front|Track 2 asset front|Track 3 asset front,,,Music Master Class,bf67967a-e6b8-459e-bd0f-e3906ab548e1,,https://api.dc.library.northwestern.edu/api/v2/works/bf67967a-e6b8-459e-bd0f-e3906ab548e1?as=iiif,2023-02-20T16:32:43.571985,AVR Migration,avr_migration.csv,,English,zw12z673q,Music Library,None,,2022-09-23T17:07:10.590004Z,"{'note': 'Regenstein Hall of Music (Evanston, Ill.)', 'type': 'Venue/Event Date'}",,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/92f5c0ea-ca77-42e0-aca5-c4f0933fc290,,Copyright Undetermined,,,,Done,,"Tchaikovsky, Peter Ilich, 1840-1893|Mozart, Wolfgang Amadeus, 1756-1791|Regenstein Hall of Music (Evanston, Ill.)",Track 1 - Air Pressure: Physical Pressure: Vibrato: Practicing: Endurance: Tonguing: Lips: Embouchure: Air Leakage. Track 2 - Bassoon: Lung Capacity: Breathing: Habits: Air Pressure: Diaphragm Breathing. Track 3 - Breathing: Trombone: Air Pressure: Beginnings of Notes: Articulation,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bf67967a-e6b8-459e-bd0f-e3906ab548e1/thumbnail,Tuba Master Class 1987-08-02,Public,Audio
,avr:3r074w361,,https://api.dc.library.northwestern.edu/api/v2/works/65111fd3-8839-416e-b197-4cb9012cad72,Work,ark:/81985/n2hx1891j,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/65111fd3-8839-416e-b197-4cb9012cad72,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:23:37.573174Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"July 31, 1984",,Track 1|Track 2|Track 3|Track 4|Track 5|Track 1|Track 2|Track 3|Track 4|Track 5|mg74qn63p/3r074w361.mods.xml|Track 1 technical metadata file|Track 2 technical metadata file|Track 4 technical metadata file|Track 1 asset front|Track 2 asset front|Track 4 asset front,,,Music Master Class,65111fd3-8839-416e-b197-4cb9012cad72,,https://api.dc.library.northwestern.edu/api/v2/works/65111fd3-8839-416e-b197-4cb9012cad72?as=iiif,2023-02-20T16:32:43.592757,AVR Migration,avr_migration.csv,,English,3r074w361,Music Library,None,,2022-09-23T17:08:41.603925Z,,,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/4e9a6731-58dc-4b21-925c-d0fbf90f2f6f,,Copyright Undetermined,,,,Done,,"Rachmaninoff, Sergei, 1873-1943",Track 1 - Warm up: Practicing: Interpretation: French Horn: Embouchure: Solfege. Track 2 - Solfege: Dealing in Sound not Technique: Air Volume and Pressure: Trombone: Rachmaninoff Vocalise Op 34 No 14. Track 3 - Breathing: Trombone: Rachmaninoff Vocalise Op 34 No 14: Condition Response: Song and Wind. Track 4 - Breathing: Trombone: Song and Wind: Playing by Sound: Dynamics. Track 5 - Instrumentation: Conditioned Reflex: Recording Yourself: Tools for Practice: Breathing: Exercise: Playing with Weakness,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/65111fd3-8839-416e-b197-4cb9012cad72/thumbnail,Tuba Master Class 1984-07-31,Public,Audio
,avr:m900nv736,,https://api.dc.library.northwestern.edu/api/v2/works/6efcd153-42cd-41ef-aae2-a0622bdd32c5,Work,ark:/81985/n2th8f61k,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/6efcd153-42cd-41ef-aae2-a0622bdd32c5,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:19:43.015517Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"August 1, 1985 to August 2, 1985",,Track 1|Track 1|mg74qn63p/m900nv736.mods.xml|Track 1 technical metadata file|Track 1 asset front,,,Music Master Class,6efcd153-42cd-41ef-aae2-a0622bdd32c5,,https://api.dc.library.northwestern.edu/api/v2/works/6efcd153-42cd-41ef-aae2-a0622bdd32c5?as=iiif,2023-02-20T16:32:43.595864,AVR Migration,avr_migration.csv,,English,m900nv736,Music Library,None,,2022-09-23T17:06:29.972127Z,"{'note': 'Regenstein Hall of Music (Evanston, Ill.)', 'type': 'Venue/Event Date'}",,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/c4f243bb-1436-4e42-8519-983cd4ff74da,,Copyright Undetermined,,,,Done,,"Regenstein Hall of Music (Evanston, Ill.)",Physiology of Breathing: Flute: Breathing: Tone: Air Pressure: High Range Playing: Articulation: Air Pressure,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/6efcd153-42cd-41ef-aae2-a0622bdd32c5/thumbnail,Tuba Master Class 1985-08-01 and 1985-08-02,Public,Audio
,avr:1g05fd126,,https://api.dc.library.northwestern.edu/api/v2/works/0c191bd8-3573-435e-8a2b-c370a460c9c1,Work,ark:/81985/n22n5227j,eb0a5cbb-ed7d-42f0-a704-9ae66f934606,,,https://dc.library.northwestern.edu/items/0c191bd8-3573-435e-8a2b-c370a460c9c1,,,Arnold Jacobs Master Class Audio Archives,,2022-01-21T06:16:19.051349Z,"Jacobs, Arnold",180ab8ea-e54c-49ea-863d-6f59a40a3eef,,"July 7, 1982",,Track 1|Track 2|Track 1|Track 2|mg74qn63p/1g05fd126.mods.xml|Track 1 technical metadata file|Track 1 asset front,,,Music Master Class,0c191bd8-3573-435e-8a2b-c370a460c9c1,,https://api.dc.library.northwestern.edu/api/v2/works/0c191bd8-3573-435e-8a2b-c370a460c9c1?as=iiif,2023-02-20T16:32:43.599397,AVR Migration,avr_migration.csv,,English,1g05fd126,Music Library,None,,2022-09-23T17:06:41.818378Z,"{'note': 'Lutkin Hall (Evanston, Ill.)', 'type': 'Venue/Event Date'}",,,Level 1,"{'cycle': '2018', 'desc': '51 master class audio recordings and 8 videos of  Arnold Jacobs (low brass) from the 1970s - early 80s. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'Master Classes: Arnold Jacobs', 'proposer': 'Greg MacAyeal', 'task_number': 'P0117 P0027'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/dc531f09-f756-4118-a957-80dd6772aedb,,Copyright Undetermined,,,,Done,,"Rimsky-Korsakov, Nikolay, 1844-1908|Wagner, Richard, 1813-1883|Lutkin Hall (Evanston, Ill.)","Track 1 - Breathing: Vital Capacity: Effort in Air Movement: The Misnomer of Support: Instrument: Trombone. Track 2 - Orchestral Tuba Playing: Instrument: Tuba: Breathing Exercises: The Unconflicted Breath: Isometrics, The Misnomer of Support: Air Pressure: Air Movement in Extreme Ranges: Tongue Position: Stage Fright",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0c191bd8-3573-435e-8a2b-c370a460c9c1/thumbnail,Tuba Master Class 1982-07-07,Public,Audio
