abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:n583xv045,,https://api.dc.library.northwestern.edu/api/v2/works/27e34af6-5eff-42cf-9326-9a99903309d1,Work,ark:/81985/n20c4w445,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/27e34af6-5eff-42cf-9326-9a99903309d1,,,Athletic Department Football Films,"Agase, Alex, 1922-2007",2022-01-21T06:24:14.402439Z,"Northwestern University (Evanston, Ill.)",412c940a-167d-47e5-b8e7-5b37c54b02b0|8c1c3326-18e8-4a07-9530-088bb52e2d60|73bd935d-34d5-4570-8ec1-81b491869d85,,"October 9, 1971","Final score: NU 28, Iowa 3. Coach: Alex Agase. Includes highlight reel.",Part 1|Part 2|Part 4|Highlights|Part 1|Part 2|Part 4|Highlights|h415p952n/n583xv045.mods.xml|Part 1 technical metadata file|Part 1 technical metadata file|Part 1 technical metadata file|Part 2 technical metadata file|Part 2 technical metadata file|Part 2 technical metadata file|Part 4 technical metadata file|Part 4 technical metadata file|Part 4 technical metadata file|Highlights technical metadata file|Highlights technical metadata file|Highlights technical metadata file|Part 1 asset front|Part 2 asset front|Part 4 asset front|Highlights asset front,,,,27e34af6-5eff-42cf-9326-9a99903309d1,,https://api.dc.library.northwestern.edu/api/v2/works/27e34af6-5eff-42cf-9326-9a99903309d1?as=iiif,2023-02-20T16:23:09.916415,AVR Migration,avr_migration.csv,,,n583xv045,University Archives,None,,2022-02-18T13:51:45.899258Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/7b9e6148-948c-4b10-ba6c-db44160feee2,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Iowa--Football--History|Iowa Hawkeyes (Football team)|Iowa City, Iowa",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/27e34af6-5eff-42cf-9326-9a99903309d1/thumbnail,"Northwestern Football vs. Iowa, 1971",Public,Video
,avr:cf95jb495,,https://api.dc.library.northwestern.edu/api/v2/works/7112b96b-ca57-4c83-9617-adf090a64eaa,Work,ark:/81985/n2gx47c3t,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/7112b96b-ca57-4c83-9617-adf090a64eaa,,,Athletic Department Football Films,"Parseghian, Ara, 1923-",2022-01-21T06:11:28.255391Z,"Northwestern University (Evanston, Ill.)",412c940a-167d-47e5-b8e7-5b37c54b02b0|8c1c3326-18e8-4a07-9530-088bb52e2d60|73bd935d-34d5-4570-8ec1-81b491869d85,,"October 6, 1962","Final score, NU: 45, Illinois: 0. Coach: Ara Parseghian.",Part 1|Part 2|Part 3|Part 4|h415p952n/cf95jb495.mods.xml,,,,7112b96b-ca57-4c83-9617-adf090a64eaa,,https://api.dc.library.northwestern.edu/api/v2/works/7112b96b-ca57-4c83-9617-adf090a64eaa?as=iiif,2023-02-20T16:31:40.742202,AVR Migration,avr_migration.csv,,,cf95jb495,University Archives,None,,2022-02-18T13:51:46.158476Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/f47ff3b6-7822-4f2b-b773-a096b739a5f6,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Illinois at Urbana-Champaign--Football--History|Fighting Illini (Football team)|Evanston, Illinois",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7112b96b-ca57-4c83-9617-adf090a64eaa/thumbnail,"Northwestern Football vs. Illinois, 1962",Public,Video
,avr:8s45q8830,,https://api.dc.library.northwestern.edu/api/v2/works/748d455a-0601-43c0-94bc-cf96a11d3323,Work,ark:/81985/n2js9kt2f,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/748d455a-0601-43c0-94bc-cf96a11d3323,,,Athletic Department Football Films,"Agase, Alex, 1922-2007",2022-01-21T06:26:26.810491Z,"Northwestern University (Evanston, Ill.)",8c1c3326-18e8-4a07-9530-088bb52e2d60|412c940a-167d-47e5-b8e7-5b37c54b02b0|73bd935d-34d5-4570-8ec1-81b491869d85,,"September 26, 1970","Final score: NU 7, UCLA 12. Coach: Alex Agase.",Part 1|Part 2|Part 4|Part 1|Part 2|Part 4|h415p952n/8s45q8830.mods.xml|Part 1 technical metadata file|Part 1 technical metadata file|Part 2 technical metadata file|Part 2 technical metadata file|Part 4 technical metadata file|Part 4 technical metadata file|Part 1 asset front|Part 2 asset front|Part 4 asset front,,,,748d455a-0601-43c0-94bc-cf96a11d3323,,https://api.dc.library.northwestern.edu/api/v2/works/748d455a-0601-43c0-94bc-cf96a11d3323?as=iiif,2023-02-20T16:31:40.763322,AVR Migration,avr_migration.csv,,,8s45q8830,University Archives,None,,2022-02-18T13:51:46.162373Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/826470e4-5516-4067-bf0c-580da47f569e,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of California, Los Angeles--Football--History|UCLA Bruins (Football team)|Los Angeles, California",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/748d455a-0601-43c0-94bc-cf96a11d3323/thumbnail,"Northwestern Football vs. UCLA, 1970",Public,Video
,avr:j96020692,,https://api.dc.library.northwestern.edu/api/v2/works/93e70fb3-2662-4fcb-b29e-c166ef7773ba,Work,ark:/81985/n27s7m99z,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/93e70fb3-2662-4fcb-b29e-c166ef7773ba,,,Athletic Department Football Films,"Agase, Alex, 1922-2007",2022-01-21T06:13:03.338374Z,"Northwestern University (Evanston, Ill.)",73bd935d-34d5-4570-8ec1-81b491869d85|412c940a-167d-47e5-b8e7-5b37c54b02b0|8c1c3326-18e8-4a07-9530-088bb52e2d60,,"November 21, 1970","Final score: NU 23, Michigan State 20. Coach: Alex Agase.",Part 1: Defense|Part 2|Part 3|Part 4|Part 2|Part 3|Part 1: Defense|Part 4|h415p952n/j96020692.mods.xml|Part 2 technical metadata file|Part 2 technical metadata file|Part 2 technical metadata file|Part 3 technical metadata file|Part 3 technical metadata file|Part 3 technical metadata file|Part 1: Defense technical metadata file|Part 1: Defense technical metadata file|Part 4 technical metadata file|Part 4 technical metadata file|Part 2 asset front|Part 3 asset front|Part 1: Defense asset front|Part 4 asset front,,,,93e70fb3-2662-4fcb-b29e-c166ef7773ba,,https://api.dc.library.northwestern.edu/api/v2/works/93e70fb3-2662-4fcb-b29e-c166ef7773ba?as=iiif,2023-02-20T16:31:40.896093,AVR Migration,avr_migration.csv,,,j96020692,University Archives,None,,2022-02-18T13:51:46.230610Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/a34bb7ab-9870-4224-9315-8bc9a528f732,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|Michigan State University--Football--History|Michigan State Spartans (Football team)|East Lansing, Michigan",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/93e70fb3-2662-4fcb-b29e-c166ef7773ba/thumbnail,"Northwestern Football vs. Michigan State, 1970",Public,Video
,avr:h128nd72w,,https://api.dc.library.northwestern.edu/api/v2/works/9f26908b-4627-489c-94c0-f42fe4e5c964,Work,ark:/81985/n2cz34q2m,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/9f26908b-4627-489c-94c0-f42fe4e5c964,,,Athletic Department Football Films,"Green, Dennis, 1949-",2022-01-21T06:22:55.972076Z,"Northwestern University (Evanston, Ill.)",73bd935d-34d5-4570-8ec1-81b491869d85|412c940a-167d-47e5-b8e7-5b37c54b02b0|8c1c3326-18e8-4a07-9530-088bb52e2d60,,"November 7, 1981","Final score, NU: 14, Michigan State: 61. Coach: Dennis Green.",Part 1|Part 2|Part 3|Part 4|h415p952n/h128nd72w.mods.xml,,,,9f26908b-4627-489c-94c0-f42fe4e5c964,,https://api.dc.library.northwestern.edu/api/v2/works/9f26908b-4627-489c-94c0-f42fe4e5c964?as=iiif,2023-02-20T16:31:40.970566,AVR Migration,avr_migration.csv,,,h128nd72w,University Archives,None,,2022-02-18T13:51:46.252509Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/68ef01fe-41f8-4a18-8a62-6ab0aea3a876,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|Michigan State University--Football--History|Michigan State Spartans (Football team)|Evanston, Illinois",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9f26908b-4627-489c-94c0-f42fe4e5c964/thumbnail,"Northwestern Football vs. Michigan State, 1981",Public,Video
,avr:9w0323039,,https://api.dc.library.northwestern.edu/api/v2/works/b0ae1256-efa5-4dc7-b54e-71029b2c5495,Work,ark:/81985/n23778d5g,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/b0ae1256-efa5-4dc7-b54e-71029b2c5495,,,Athletic Department Football Films,"Waldorf, Lynn O., 1902-1981",2022-01-21T06:18:33.078342Z,"Northwestern University (Evanston, Ill.)",412c940a-167d-47e5-b8e7-5b37c54b02b0|8c1c3326-18e8-4a07-9530-088bb52e2d60|73bd935d-34d5-4570-8ec1-81b491869d85,,"October 21, 1939","Final score, NU: 13, Wisconsin: 7. Coach: Lynn ""Pappy"" Waldorf. Dad's Day. Northwestern in white jerseys.",1939_Wisconsin.mp4|h415p952n/9w0323039.mods.xml,,,,b0ae1256-efa5-4dc7-b54e-71029b2c5495,,https://api.dc.library.northwestern.edu/api/v2/works/b0ae1256-efa5-4dc7-b54e-71029b2c5495?as=iiif,2023-02-20T16:31:40.987981,AVR Migration,avr_migration.csv,,,9w0323039,University Archives,None,,2022-02-18T13:51:46.300040Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/c3782d8d-7fd9-4f13-b5d5-f3b4c7eb9617,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Wisconsin--Football--History|Wisconsin Badgers (Football team)",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b0ae1256-efa5-4dc7-b54e-71029b2c5495/thumbnail,"Northwestern Football vs. Wisconsin, 1939",Public,Video
,avr:wp988j86k,,https://api.dc.library.northwestern.edu/api/v2/works/400ecc7d-e65a-4a14-a5df-90b8468ad93c,Work,ark:/81985/n2sf2px3k,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/400ecc7d-e65a-4a14-a5df-90b8468ad93c,,,Athletic Department Football Films,"Voigts, Bob",2022-01-21T06:25:27.950930Z,"Northwestern University (Evanston, Ill.)",412c940a-167d-47e5-b8e7-5b37c54b02b0|8c1c3326-18e8-4a07-9530-088bb52e2d60|73bd935d-34d5-4570-8ec1-81b491869d85,,"January 1, 1949","Northwestern (#7) vs. California (#4). Final score, NU: 20, California: 14. Coach: Bob Voigts. Northwestern's Rose Bowl win. The first half is filmed in color, while the halftime show and second half are in black & white.",inu-fbal-am[1949_NU-Rosebowl-vs-Cal].mov|inu-fbal-pm[1949_NU-Rosebowl-vs-Cal].mov|h415p952n/wp988j86k.mods.xml|technical metadata file|technical metadata file|image|image,,,,400ecc7d-e65a-4a14-a5df-90b8468ad93c,,https://api.dc.library.northwestern.edu/api/v2/works/400ecc7d-e65a-4a14-a5df-90b8468ad93c?as=iiif,2023-02-20T16:32:28.645363,AVR Migration,avr_migration.csv,,,wp988j86k,University Archives,None,,2022-02-18T13:51:45.980560Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/31ea9458-6f14-4548-930b-62c3db192eb6,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of California, Berkeley--Football--History|California Golden Bears (Football team)|Rose Bowl (Football game) (1949 : Pasadena, Calif.)",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/400ecc7d-e65a-4a14-a5df-90b8468ad93c/thumbnail,"Northwestern Football vs. California (Rose Bowl), 1949",Public,Video
,avr:n870zq933,,https://api.dc.library.northwestern.edu/api/v2/works/281f50d6-b148-4d61-a831-e6a15861432f,Work,ark:/81985/n2b56gp1q,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/281f50d6-b148-4d61-a831-e6a15861432f,,,Athletic Department Football Films,"Agase, Alex, 1922-2007",2022-01-21T06:09:36.751528Z,"Northwestern University (Evanston, Ill.)",412c940a-167d-47e5-b8e7-5b37c54b02b0|8c1c3326-18e8-4a07-9530-088bb52e2d60|73bd935d-34d5-4570-8ec1-81b491869d85,,"September 11, 1971","Final score: NU 6, Michigan 21. Coach: Alex Agase.",Part 1|Part 2|Part 3|Part 4|Part 1|Part 2|Part 3|Part 4|h415p952n/n870zq933.mods.xml|Part 1 technical metadata file|Part 1 technical metadata file|Part 1 technical metadata file|Part 2 technical metadata file|Part 2 technical metadata file|Part 2 technical metadata file|Part 3 technical metadata file|Part 3 technical metadata file|Part 3 technical metadata file|Part 4 technical metadata file|Part 4 technical metadata file|Part 4 technical metadata file|Part 1 asset front|Part 2 asset front|Part 3 asset front|Part 4 asset front,,,,281f50d6-b148-4d61-a831-e6a15861432f,,https://api.dc.library.northwestern.edu/api/v2/works/281f50d6-b148-4d61-a831-e6a15861432f?as=iiif,2023-02-20T16:32:35.521011,AVR Migration,avr_migration.csv,,,n870zq933,University Archives,None,,2022-02-18T13:51:45.902713Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/75859871-15fb-4fd8-9295-ae0788e76c74,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Michigan--Football--History|Michigan Wolverines (Football team)|Evanston, Illinois",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/281f50d6-b148-4d61-a831-e6a15861432f/thumbnail,"Northwestern Football vs. Michigan, 1971",Public,Video
,avr:n296wz234,,https://api.dc.library.northwestern.edu/api/v2/works/0f91eea2-53cd-4b94-aecd-af91ea684a65,Work,ark:/81985/n2hh6fq7n,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/0f91eea2-53cd-4b94-aecd-af91ea684a65,,,Athletic Department Football Films,"Waldorf, Lynn O., 1902-1981",2022-01-21T06:17:29.092754Z,"Northwestern University (Evanston, Ill.)",412c940a-167d-47e5-b8e7-5b37c54b02b0|73bd935d-34d5-4570-8ec1-81b491869d85|8c1c3326-18e8-4a07-9530-088bb52e2d60,,"October 7, 1939","Final Score: NU 0, Oklahoma 23. Coach: Lynn ""Pappy"" Waldorf",inu-fball_am_1939_oklahoma.mov|inu-fball_1939_oklahoma_pm.mkv|h415p952n/n296wz234.mods.xml|technical metadata file|can front|reel front,,,,0f91eea2-53cd-4b94-aecd-af91ea684a65,,https://api.dc.library.northwestern.edu/api/v2/works/0f91eea2-53cd-4b94-aecd-af91ea684a65?as=iiif,2023-02-20T16:32:35.595863,AVR Migration,avr_migration.csv,,,n296wz234,University Archives,None,,2022-02-18T13:51:45.829691Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/7ef00210-5a90-4a92-88af-8da5f04f3199,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Oklahoma--Football--History|Oklahoma Sooners (Football team)|Evanston, Illinois",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0f91eea2-53cd-4b94-aecd-af91ea684a65/thumbnail,"Northwestern Football vs. Oklahoma, 1939",Public,Video
,avr:mw22v546v,,https://api.dc.library.northwestern.edu/api/v2/works/7b336ac3-0b19-486e-86e6-359766fc1eb6,Work,ark:/81985/n2v40nh1k,170d8a8c-8a6a-412a-88e7-178d96107c9f|e332c241-793b-4e30-b1c5-270005c887e0,,,https://dc.library.northwestern.edu/items/7b336ac3-0b19-486e-86e6-359766fc1eb6,,,Athletic Department Football Films,"Waldorf, Lynn O., 1902-1981",2022-01-21T06:06:45.488657Z,"Northwestern University (Evanston, Ill.)",8c1c3326-18e8-4a07-9530-088bb52e2d60|73bd935d-34d5-4570-8ec1-81b491869d85|412c940a-167d-47e5-b8e7-5b37c54b02b0,,"October 9, 1937","Final score, NU: 7, Michigan: 0. Coach: Lynn ""Pappy"" Waldorf",1937_NU-vs-Michigan.mov|h415p952n/mw22v546v.mods.xml,,,,7b336ac3-0b19-486e-86e6-359766fc1eb6,,https://api.dc.library.northwestern.edu/api/v2/works/7b336ac3-0b19-486e-86e6-359766fc1eb6?as=iiif,2023-02-20T16:32:35.783638,AVR Migration,avr_migration.csv,,,mw22v546v,University Archives,None,,2022-02-18T13:51:46.179453Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': 'Dan Zellner', 'name': 'Football Films', 'proposer': 'Kevin Leonard', 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/4a43a329-a989-4e68-bd48-457179ceaa15,,In Copyright - Educational Use Permitted,,,,Done,,"Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)|University of Michigan--Football--History|Michigan Wolverines (Football team)|Evanston, Illinois",,,"The video recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the video recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7b336ac3-0b19-486e-86e6-359766fc1eb6/thumbnail,"Northwestern Football vs. Michigan, 1937",Public,Video
