abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:320620,,https://api.dc.library.northwestern.edu/api/v2/works/36873672-6c69-48fc-b7a8-f4dea07cd6e0,Work,ark:/81985/n2f47hg6t,09fc74d3-7edc-47a5-8f2a-90866af533e8|68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/36873672-6c69-48fc-b7a8-f4dea07cd6e0,,,Charlotte Moorman Archive,"Paik, Nam June, 1932-2006|Yalkut, Jud|Moorman, Charlotte|Moore, Peter, 1932-1993",2021-03-15T19:05:09.686624Z,"Preston, Dick, photographer",,,"February 9, 1967",,inu-dil-35621a60-e5a5-4939-b9b2-dadf29d262c6.tif,,,performance art,36873672-6c69-48fc-b7a8-f4dea07cd6e0,,https://api.dc.library.northwestern.edu/api/v2/works/36873672-6c69-48fc-b7a8-f4dea07cd6e0?as=iiif,2023-02-20T16:07:57.395648,None,None,,,inu:dil-35621a60-e5a5-4939-b9b2-dadf29d262c6,Charles Deering McCormick Library of Special Collections,None,Film-Makers' Cinematheque,2022-03-14T21:05:29.573151Z,,,34 mm x 23 mm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11775'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/77253d46-c2b0-4935-b7f8-af1f6e662df1,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Performance art--United States|Masks|Cello|Female nude in art|Avant-garde (Music),,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/36873672-6c69-48fc-b7a8-f4dea07cd6e0/thumbnail,"""Opera Sextronique.""  Charlotte Moorman performing in mask.",Institution,Image
,Accession:320655,,https://api.dc.library.northwestern.edu/api/v2/works/bc15c9d4-d12a-47c8-bde2-cf86309654f7,Work,ark:/81985/n29c6sp2p,09fc74d3-7edc-47a5-8f2a-90866af533e8|68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/bc15c9d4-d12a-47c8-bde2-cf86309654f7,,,Charlotte Moorman Archive,"Paik, Nam June, 1932-2006|Yalkut, Jud|Moorman, Charlotte|Moore, Peter, 1932-1993",2021-03-16T15:22:46.414954Z,"Preston, Dick, photographer",,,"February 9, 1967",Still possibly taken from the first movement performed in the dark with Moorman wearing a blinking light bikini bra while playing Massenet's Elegy.,inu-dil-4923ab53-ef29-45e4-a134-b06aebb278bf.tif,,,performance art,bc15c9d4-d12a-47c8-bde2-cf86309654f7,,https://api.dc.library.northwestern.edu/api/v2/works/bc15c9d4-d12a-47c8-bde2-cf86309654f7?as=iiif,2023-02-20T16:14:04.312279,None,None,,,inu:dil-4923ab53-ef29-45e4-a134-b06aebb278bf,Charles Deering McCormick Library of Special Collections,None,Film-Makers' Cinematheque,2022-03-14T21:05:29.702317Z,,,34 mm x 23 mm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11775'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/fbedd72d-5729-475b-a42c-ebccb5ac5dd9,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Performance art--United States|Cello|Female nude in art|Avant-garde (Music),,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bc15c9d4-d12a-47c8-bde2-cf86309654f7/thumbnail,"Charlotte Moorman performing ""Opera Sextronique""",Institution,Image
,Accession:320682,,https://api.dc.library.northwestern.edu/api/v2/works/d865bf01-2919-4729-8aba-01f9c40e50a8,Work,ark:/81985/n27s7jf31,09fc74d3-7edc-47a5-8f2a-90866af533e8|68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/d865bf01-2919-4729-8aba-01f9c40e50a8,,,Charlotte Moorman Archive,"Moorman, Charlotte",2021-03-16T19:18:09.357682Z,,,,1960s,,inu-dil-48fe8dde-2bc8-41da-b178-daf03ecf02bd.tif,,,,d865bf01-2919-4729-8aba-01f9c40e50a8,,https://api.dc.library.northwestern.edu/api/v2/works/d865bf01-2919-4729-8aba-01f9c40e50a8?as=iiif,2023-02-20T16:16:27.721672,None,None,,,inu:dil-48fe8dde-2bc8-41da-b178-daf03ecf02bd,Charles Deering McCormick Library of Special Collections,None,,2022-03-14T21:05:29.702317Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11775'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/01c805a4-4038-46ba-b381-890d90279311,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Cello|Female nude in art,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d865bf01-2919-4729-8aba-01f9c40e50a8/thumbnail,Nude woman reclining,Institution,Image
,Voyager:302665,,https://api.dc.library.northwestern.edu/api/v2/works/8acfe1ff-c698-478b-b6e2-925fa318a397,Work,ark:/81985/n2kp7vd4v,68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|dad5a826-228c-487f-9fa1-6529a24ad8a2|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/8acfe1ff-c698-478b-b6e2-925fa318a397,,,Charlotte Moorman Archive,"Paik, Nam June, 1932-2006|Yalkut, Jud|Moorman, Charlotte|Moore, Peter, 1932-1993",2021-03-16T05:46:51.823742Z,"Preston, Dick, photographer",,,"February 9, 1967",,inu-dil-d0497330-07e9-443c-aff0-fc7372335821.tif,,,performance art,8acfe1ff-c698-478b-b6e2-925fa318a397,,https://api.dc.library.northwestern.edu/api/v2/works/8acfe1ff-c698-478b-b6e2-925fa318a397?as=iiif,2023-02-20T16:29:26.116678,None,None,,,inu:dil-d0497330-07e9-443c-aff0-fc7372335821,Charles Deering McCormick Library of Special Collections,None,Film-Makers' Cinematheque,2022-03-14T21:05:29.573151Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/daa66db9-99cd-45d2-b54f-3fe1f6926791,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Performance art--United States|Cello|Female nude in art|Avant-garde (Music)|Gas masks,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8acfe1ff-c698-478b-b6e2-925fa318a397/thumbnail,Opera Sextronique. Charlotte Moorman performing,Institution,Image
,Accession:320664,,https://api.dc.library.northwestern.edu/api/v2/works/7e40f537-8631-43e6-b00a-9d046bf5177b,Work,ark:/81985/n20863t5t,68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|dad5a826-228c-487f-9fa1-6529a24ad8a2|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/7e40f537-8631-43e6-b00a-9d046bf5177b,,,Charlotte Moorman Archive,"Moorman, Charlotte",2021-03-16T04:50:12.772932Z,,,,1960s,,inu-dil-962f702a-d633-4eea-98cf-c7e494fa5941.tif,,,,7e40f537-8631-43e6-b00a-9d046bf5177b,,https://api.dc.library.northwestern.edu/api/v2/works/7e40f537-8631-43e6-b00a-9d046bf5177b?as=iiif,2023-02-20T16:29:26.118928,None,None,,,inu:dil-962f702a-d633-4eea-98cf-c7e494fa5941,Charles Deering McCormick Library of Special Collections,None,,2022-03-14T21:05:29.767375Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11775'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/a993bade-4add-451a-b753-f444aa9a82ad,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Cello|Female nude in art,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7e40f537-8631-43e6-b00a-9d046bf5177b/thumbnail,Nude woman reclining,Institution,Image
,Accession:320643,,https://api.dc.library.northwestern.edu/api/v2/works/1c8a0e42-999a-4d67-8a1d-c6db32769ebe,Work,ark:/81985/n2z893338,09fc74d3-7edc-47a5-8f2a-90866af533e8|68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/1c8a0e42-999a-4d67-8a1d-c6db32769ebe,,,Charlotte Moorman Archive,"Paik, Nam June, 1932-2006|Yalkut, Jud|Moorman, Charlotte|Moore, Peter, 1932-1993",2021-03-15T17:17:31.660568Z,"Preston, Dick, photographer",,,"February 9, 1967",,inu-dil-bfe1d7d9-69da-486b-90ea-a65ae081a43d.tif,,,performance art,1c8a0e42-999a-4d67-8a1d-c6db32769ebe,,https://api.dc.library.northwestern.edu/api/v2/works/1c8a0e42-999a-4d67-8a1d-c6db32769ebe?as=iiif,2023-02-20T16:29:26.411211,None,None,,,inu:dil-bfe1d7d9-69da-486b-90ea-a65ae081a43d,Charles Deering McCormick Library of Special Collections,None,Film-Makers' Cinematheque,2022-03-14T21:05:29.573151Z,,,34 mm x 23 mm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11775'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/e4c4f4b2-4fcd-404d-9f58-638252cbcc9e,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Performance art--United States|Cello|Female nude in art|Avant-garde (Music),,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/1c8a0e42-999a-4d67-8a1d-c6db32769ebe/thumbnail,"Still taken from ""Opera Sextronique."" Close-up of cello and bow",Institution,Image
,Accession:320675,,https://api.dc.library.northwestern.edu/api/v2/works/b41f1916-944e-4574-86ea-f04d4af420cd,Work,ark:/81985/n2pn8z360,09fc74d3-7edc-47a5-8f2a-90866af533e8|68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/b41f1916-944e-4574-86ea-f04d4af420cd,,,Charlotte Moorman Archive,"Paik, Nam June, 1932-2006|Yalkut, Jud|Moorman, Charlotte|Moore, Peter, 1932-1993",2021-03-16T14:36:41.102118Z,"Preston, Dick, photographer",,,"June 10, 1968",,inu-dil-2dde69c5-e617-4608-83cf-e87ca6924a63.tif,,,programs (documents),b41f1916-944e-4574-86ea-f04d4af420cd,,https://api.dc.library.northwestern.edu/api/v2/works/b41f1916-944e-4574-86ea-f04d4af420cd?as=iiif,2023-02-20T16:32:28.987848,None,None,,,inu:dil-2dde69c5-e617-4608-83cf-e87ca6924a63,Charles Deering McCormick Library of Special Collections,None,New York (State)--New York,2022-03-14T21:05:29.418395Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11775'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/3a592929-3cc9-469b-b380-1fd467300a87,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Performance art--United States|Cello|Female nude in art|Avant-garde (Music),,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b41f1916-944e-4574-86ea-f04d4af420cd/thumbnail,"Program for ""Opera Sextronique""",Institution,Image
,Accession:320652,,https://api.dc.library.northwestern.edu/api/v2/works/c5ab8383-823d-44da-a9e5-dd5e56282ef7,Work,ark:/81985/n2qf8k67h,09fc74d3-7edc-47a5-8f2a-90866af533e8|68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/c5ab8383-823d-44da-a9e5-dd5e56282ef7,,,Charlotte Moorman Archive,"Paik, Nam June, 1932-2006|Yalkut, Jud|Moorman, Charlotte|Moore, Peter, 1932-1993",2021-03-16T16:16:25.727541Z,"Preston, Dick, photographer",,,"February 9, 1967",,inu-dil-d22ac293-cdcf-42ee-a22e-0e7ff3f72348.tif,,,performance art,c5ab8383-823d-44da-a9e5-dd5e56282ef7,,https://api.dc.library.northwestern.edu/api/v2/works/c5ab8383-823d-44da-a9e5-dd5e56282ef7?as=iiif,2023-02-20T16:32:28.990178,None,None,,,inu:dil-d22ac293-cdcf-42ee-a22e-0e7ff3f72348,Charles Deering McCormick Library of Special Collections,None,Film-Makers' Cinematheque,2022-03-14T21:05:29.418395Z,,,34 mm x 23 mm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11775'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/054680e3-a88a-4d2d-93d7-ac02323bc205,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Performance art--United States|Cello|Female nude in art|Avant-garde (Music),,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c5ab8383-823d-44da-a9e5-dd5e56282ef7/thumbnail,"Charlotte Moorman performing ""Opera Sextronique""",Institution,Image
,Voyager:302658,,https://api.dc.library.northwestern.edu/api/v2/works/83a35f22-f7f7-4793-a74b-9f83e656772e,Work,ark:/81985/n2v699118,09fc74d3-7edc-47a5-8f2a-90866af533e8|68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/83a35f22-f7f7-4793-a74b-9f83e656772e,,,Charlotte Moorman Archive,"Paik, Nam June, 1932-2006|Yalkut, Jud|Moorman, Charlotte|Moore, Peter, 1932-1993",2021-03-16T05:14:52.112462Z,"Preston, Dick, photographer",,,circa 1967,,inu-dil-c58c23c5-bb53-4bfd-9fb9-0e58233d366f.tif,,,performance art,83a35f22-f7f7-4793-a74b-9f83e656772e,,https://api.dc.library.northwestern.edu/api/v2/works/83a35f22-f7f7-4793-a74b-9f83e656772e?as=iiif,2023-02-20T16:32:29.037542,None,None,,,inu:dil-c58c23c5-bb53-4bfd-9fb9-0e58233d366f,Charles Deering McCormick Library of Special Collections,None,Film-Makers' Cinematheque,2022-03-14T21:05:29.510998Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/943efd05-b7a8-41d4-8882-27f091fc1647,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Performance art--United States|Cello|Female nude in art|Avant-garde (Music),,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/83a35f22-f7f7-4793-a74b-9f83e656772e/thumbnail,Opera Sextronique. Charlotte Moorman performing,Institution,Image
,Accession:320641,,https://api.dc.library.northwestern.edu/api/v2/works/4384be19-dfb3-4252-b461-425d330dfeab,Work,ark:/81985/n2rf5m387,09fc74d3-7edc-47a5-8f2a-90866af533e8|68c6f27b-230f-422f-90a7-85a976cac944|dac1f8cf-1588-4269-a0f1-25e53bd1aa5e|f80339f7-d109-4b83-8d5b-ba54ce50f081,,,https://dc.library.northwestern.edu/items/4384be19-dfb3-4252-b461-425d330dfeab,,,Charlotte Moorman Archive,"Paik, Nam June, 1932-2006|Yalkut, Jud|Moorman, Charlotte|Moore, Peter, 1932-1993",2021-03-15T20:01:47.543356Z,"Preston, Dick, photographer",,,"February 9, 1967",,inu-dil-93935ec3-531d-4070-92ab-37192db7f193.tif,,,performance art,4384be19-dfb3-4252-b461-425d330dfeab,,https://api.dc.library.northwestern.edu/api/v2/works/4384be19-dfb3-4252-b461-425d330dfeab?as=iiif,2023-02-20T16:32:29.089944,None,None,,,inu:dil-93935ec3-531d-4070-92ab-37192db7f193,Charles Deering McCormick Library of Special Collections,None,Film-Makers' Cinematheque,2022-03-14T21:05:29.767375Z,,,34 mm x 23 mm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11775'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/cfe81630-a0c9-44e8-83ce-44a202c589cf,,In Copyright,,Charlotte Moorman Archive,,Done,Fluxus,Performance art--United States|Cello|Female nude in art|Avant-garde (Music),,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/4384be19-dfb3-4252-b461-425d330dfeab/thumbnail,"Charlotte Moorman performing ""Opera Sextronique""",Institution,Image
