abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:inudilcsmi471,,https://api.dc.library.northwestern.edu/api/v2/works/77073b77-6bc7-43aa-8fa7-d41c891fa386,Work,ark:/81985/n2v40kn3h,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce,,,https://dc.library.northwestern.edu/items/77073b77-6bc7-43aa-8fa7-d41c891fa386,,,Collection of Carl Smith,,2021-03-16T04:18:33.765646Z,"Mason, Oscar G.",,,1863,,inu-dil-ef874a14-7c03-42ce-a53e-f2d70b4275cc.tif,,,photographs,77073b77-6bc7-43aa-8fa7-d41c891fa386,,https://api.dc.library.northwestern.edu/api/v2/works/77073b77-6bc7-43aa-8fa7-d41c891fa386?as=iiif,2023-02-20T16:05:20.609127,None,None,,,inu:dil-ef874a14-7c03-42ce-a53e-f2d70b4275cc,Faculty Collections,None,,2023-01-24T17:16:51.285424Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/cdeda921-cbcf-4f15-98cf-11b3ae639183,,In Copyright - Educational Use Permitted,,,"Welling, William. Photography in America. New York: Crowell, 1978. Page 168.",Done,,Spirit photography|portraits,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/77073b77-6bc7-43aa-8fa7-d41c891fa386/thumbnail,'Spirit' Portrait,Public,Image
,Voyager:inudilcsmi3565,,https://api.dc.library.northwestern.edu/api/v2/works/07fcacdc-26ca-438a-9f50-6b5f86356f91,Work,ark:/81985/n2kd1r79r,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce|e6dec3f4-78f8-4ddc-89df-5bff0f36f743,,,https://dc.library.northwestern.edu/items/07fcacdc-26ca-438a-9f50-6b5f86356f91,,,Collection of Carl Smith,,2021-03-15T16:00:15.099743Z,unknown,,,1967 to 1999,,inu-dil-092b47a5-fa0c-408a-9da9-b85a86e32f3f.tif,,,,07fcacdc-26ca-438a-9f50-6b5f86356f91,,https://api.dc.library.northwestern.edu/api/v2/works/07fcacdc-26ca-438a-9f50-6b5f86356f91?as=iiif,2023-02-20T16:07:05.685214,None,None,,,inu:dil-092b47a5-fa0c-408a-9da9-b85a86e32f3f,Faculty Collections,None,,2023-02-15T19:46:25.420016Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}","Everglades, The",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/7a6c9332-fe5c-4760-a0cd-40e5da5544b1,,In Copyright - Educational Use Permitted,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/07fcacdc-26ca-438a-9f50-6b5f86356f91/thumbnail,Alligator in the Everglades,Public,Image
,Voyager:inudilcsmi3552,,https://api.dc.library.northwestern.edu/api/v2/works/0ffdd54d-fe6d-419f-80bb-1bbb3de2b1d2,Work,ark:/81985/n2668968m,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce|e6dec3f4-78f8-4ddc-89df-5bff0f36f743,,,https://dc.library.northwestern.edu/items/0ffdd54d-fe6d-419f-80bb-1bbb3de2b1d2,,,Collection of Carl Smith,,2021-03-15T16:30:16.600223Z,unknown,,,1977,,inu-dil-41858c95-f49b-4575-b120-7c7008da5ab6.tif,,,,0ffdd54d-fe6d-419f-80bb-1bbb3de2b1d2,,https://api.dc.library.northwestern.edu/api/v2/works/0ffdd54d-fe6d-419f-80bb-1bbb3de2b1d2?as=iiif,2023-02-20T16:07:05.726857,None,None,,,inu:dil-41858c95-f49b-4575-b120-7c7008da5ab6,Faculty Collections,None,,2023-02-15T19:46:25.420016Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}","Fulton county, Atlanta",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/247017c9-1189-4da4-894e-f64645b9b5dd,,In Copyright - Educational Use Permitted,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0ffdd54d-fe6d-419f-80bb-1bbb3de2b1d2/thumbnail,"Martin Luther King, Jr. and Corretta Scott King Tomb",Public,Image
,Voyager:inudilcsmi3568,,https://api.dc.library.northwestern.edu/api/v2/works/15587657-0af5-4e9b-9944-36a0db5b6f38,Work,ark:/81985/n2kk9517t,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce|e6dec3f4-78f8-4ddc-89df-5bff0f36f743,,,https://dc.library.northwestern.edu/items/15587657-0af5-4e9b-9944-36a0db5b6f38,,,Collection of Carl Smith,,2021-03-15T16:49:51.921617Z,unknown,,,1967 to 1999,,inu-dil-a827f083-76de-41d7-85e1-be521afccea7.tif,,,,15587657-0af5-4e9b-9944-36a0db5b6f38,,https://api.dc.library.northwestern.edu/api/v2/works/15587657-0af5-4e9b-9944-36a0db5b6f38?as=iiif,2023-02-20T16:07:05.729331,None,None,,,inu:dil-a827f083-76de-41d7-85e1-be521afccea7,Faculty Collections,None,,2023-02-15T19:46:25.420016Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}","Everglades, The",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/74f97752-1465-424f-8556-b72b3f0a594d,,In Copyright - Educational Use Permitted,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/15587657-0af5-4e9b-9944-36a0db5b6f38/thumbnail,Alligators in the Everglades. View from above,Public,Image
,Voyager:inudilcsmi102,,https://api.dc.library.northwestern.edu/api/v2/works/2ac88059-5c64-4744-b8bc-214f63e5f64c,Work,ark:/81985/n2x05z153,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce|e6dec3f4-78f8-4ddc-89df-5bff0f36f743,,,https://dc.library.northwestern.edu/items/2ac88059-5c64-4744-b8bc-214f63e5f64c,,,Collection of Carl Smith,,2021-03-15T18:13:56.311288Z,unknown,,,1817,,inu-dil-ef058273-90bf-42e5-8e70-8652208342af.tif,,,,2ac88059-5c64-4744-b8bc-214f63e5f64c,,https://api.dc.library.northwestern.edu/api/v2/works/2ac88059-5c64-4744-b8bc-214f63e5f64c?as=iiif,2023-02-20T16:07:05.731685,None,None,,,inu:dil-ef058273-90bf-42e5-8e70-8652208342af,Faculty Collections,None,,2023-02-15T19:46:25.420016Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/99af1117-527f-4b7b-bece-b1f9f8d38bd9,,In Copyright - Educational Use Permitted,,,"Klingender, Francis D. Art and the Industrial Revolution. London: Evelyn, Adams & Mackay, 1968 plate 17.",Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/2ac88059-5c64-4744-b8bc-214f63e5f64c/thumbnail,"Rolling Mills, Merthyr Tydfil",Public,Image
,Voyager:inudilcsmi3604,,https://api.dc.library.northwestern.edu/api/v2/works/2ad9cdf6-4bfe-4c78-977d-a2ce7767f3b2,Work,ark:/81985/n2pg1jb3b,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce|e6dec3f4-78f8-4ddc-89df-5bff0f36f743,,,https://dc.library.northwestern.edu/items/2ad9cdf6-4bfe-4c78-977d-a2ce7767f3b2,,,Collection of Carl Smith,,2021-03-15T18:14:12.110975Z,unknown,,,1967 to 1999,,inu-dil-3f29ef47-85d0-490a-ae33-6cfb69e8b6d0.tif,,,,2ad9cdf6-4bfe-4c78-977d-a2ce7767f3b2,,https://api.dc.library.northwestern.edu/api/v2/works/2ad9cdf6-4bfe-4c78-977d-a2ce7767f3b2?as=iiif,2023-02-20T16:07:05.734116,None,None,,,inu:dil-3f29ef47-85d0-490a-ae33-6cfb69e8b6d0,Faculty Collections,None,,2023-02-15T19:46:25.420016Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/0efab956-b5ee-4982-9bfa-471c959eeca9,,In Copyright - Educational Use Permitted,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/2ad9cdf6-4bfe-4c78-977d-a2ce7767f3b2/thumbnail,Unknown,Public,Image
,Voyager:inudilcsmi3736,,https://api.dc.library.northwestern.edu/api/v2/works/6cd5f1e5-3354-4cf0-a295-a9a653784331,Work,ark:/81985/n21v5c303,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce|e6dec3f4-78f8-4ddc-89df-5bff0f36f743,,,https://dc.library.northwestern.edu/items/6cd5f1e5-3354-4cf0-a295-a9a653784331,,,Collection of Carl Smith,,2021-03-16T03:34:42.902620Z,unknown,,,1967 to 1999,,inu-dil-06a928bc-82c8-4f9a-a70a-628a9aa8dc2d.tif,,,,6cd5f1e5-3354-4cf0-a295-a9a653784331,,https://api.dc.library.northwestern.edu/api/v2/works/6cd5f1e5-3354-4cf0-a295-a9a653784331?as=iiif,2023-02-20T16:07:05.741901,None,None,,,inu:dil-06a928bc-82c8-4f9a-a70a-628a9aa8dc2d,Faculty Collections,None,,2023-02-15T19:46:25.420016Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}","Los Angeles county, Los Angeles",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/597124c7-ecdf-4fc0-807f-ba86db6e3b63,,In Copyright - Educational Use Permitted,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/6cd5f1e5-3354-4cf0-a295-a9a653784331/thumbnail,"La Plaza United Methodist Church in Los Angeles, California",Public,Image
,Voyager:inudilcsmi3452,,https://api.dc.library.northwestern.edu/api/v2/works/86430051-3306-4a28-af80-db68fb529b8a,Work,ark:/81985/n25h7ch01,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce|e6dec3f4-78f8-4ddc-89df-5bff0f36f743,,,https://dc.library.northwestern.edu/items/86430051-3306-4a28-af80-db68fb529b8a,,,Collection of Carl Smith,,2021-03-16T05:26:51.139478Z,unknown,,,1967 to 1999,,inu-dil-7e5b0248-cf2a-4b32-84b9-3e06ee57c3f3.tif,,,,86430051-3306-4a28-af80-db68fb529b8a,,https://api.dc.library.northwestern.edu/api/v2/works/86430051-3306-4a28-af80-db68fb529b8a?as=iiif,2023-02-20T16:07:05.744320,None,None,,,inu:dil-7e5b0248-cf2a-4b32-84b9-3e06ee57c3f3,Faculty Collections,None,,2023-02-15T19:46:25.420016Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}","Mariposa county, Yosemite National Park",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9bb3a069-4c94-409e-9e37-8074725183ec,,In Copyright - Educational Use Permitted,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/86430051-3306-4a28-af80-db68fb529b8a/thumbnail,Yosemite National Park,Public,Image
,Voyager:inudilcsmi1784,,https://api.dc.library.northwestern.edu/api/v2/works/f7650582-861a-4684-bfef-4a312f99b57c,Work,ark:/81985/n2p55f557,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce|e6dec3f4-78f8-4ddc-89df-5bff0f36f743,,,https://dc.library.northwestern.edu/items/f7650582-861a-4684-bfef-4a312f99b57c,,,Collection of Carl Smith,,2021-03-16T22:20:46.686517Z,unknown,,,1967 to 1999,,inu-dil-7b16f437-ee50-4a4f-b647-975926c0d7c3.tif,,,,f7650582-861a-4684-bfef-4a312f99b57c,,https://api.dc.library.northwestern.edu/api/v2/works/f7650582-861a-4684-bfef-4a312f99b57c?as=iiif,2023-02-20T16:07:05.746753,None,None,,,inu:dil-7b16f437-ee50-4a4f-b647-975926c0d7c3,Faculty Collections,None,,2023-02-15T19:46:25.420016Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/4170feb5-726c-4ed9-84b4-ceacf325ea6f,,In Copyright - Educational Use Permitted,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f7650582-861a-4684-bfef-4a312f99b57c/thumbnail,Interior Views. Dinner,Public,Image
,Voyager:inudilcsmi3662,,https://api.dc.library.northwestern.edu/api/v2/works/fe4f3951-7a4e-4817-9a54-830a9a60804e,Work,ark:/81985/n2q815f8s,79f61e14-5e89-4ea2-8283-3fd4ae7d13ce|e6dec3f4-78f8-4ddc-89df-5bff0f36f743,,,https://dc.library.northwestern.edu/items/fe4f3951-7a4e-4817-9a54-830a9a60804e,,,Collection of Carl Smith,,2021-03-16T23:01:54.692502Z,unknown,,,1967 to 1999,,inu-dil-7697e617-8872-4542-be64-30c4a59c1ce6.tif,,,,fe4f3951-7a4e-4817-9a54-830a9a60804e,,https://api.dc.library.northwestern.edu/api/v2/works/fe4f3951-7a4e-4817-9a54-830a9a60804e?as=iiif,2023-02-20T16:07:05.749239,None,None,,,inu:dil-7697e617-8872-4542-be64-30c4a59c1ce6,Faculty Collections,None,,2023-02-15T19:46:25.420016Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}","Litchfield county, Litchfield",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9208bc04-b499-4040-a6e2-1b232a15b40b,,In Copyright - Educational Use Permitted,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/fe4f3951-7a4e-4817-9a54-830a9a60804e/thumbnail,Congregational Church,Public,Image
