abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:309452,View form Alle Grazie.,https://api.dc.library.northwestern.edu/api/v2/works/821f148d-cbba-462b-b374-223e6110f56f,Work,ark:/81985/n22f7k240,,,,https://dc.library.northwestern.edu/items/821f148d-cbba-462b-b374-223e6110f56f,,,Department of Art History || Study Photographs Collection,Jacopo Tedesco,2021-03-16T05:08:13.886957Z,,,,1345,,inu-dil-22be071e-f8f5-4daa-acb4-992fdb585939.tif,,,architecture (object genre)|architecture (discipline)|black-and-white photographs,821f148d-cbba-462b-b374-223e6110f56f,,https://api.dc.library.northwestern.edu/api/v2/works/821f148d-cbba-462b-b374-223e6110f56f?as=iiif,2023-02-20T16:03:58.030028,None,None,,,inu:dil-22be071e-f8f5-4daa-acb4-992fdb585939,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/979c2398-956d-475b-8be0-86fcf48ebbce,,No Copyright - Non-Commercial Use Only ,,,,Done,,"Italy--Florence|Architecture|Bridges|Photography, Panoramic",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/821f148d-cbba-462b-b374-223e6110f56f/thumbnail,Ponte alle Grazie e panorama col piazzale Michelangiolo,Public,Image
,Voyager:309509-Voyager:309510,,https://api.dc.library.northwestern.edu/api/v2/works/8f6988f5-a2b5-4e16-b56f-141826fb4b21,Work,ark:/81985/n2wp9th88,,,,https://dc.library.northwestern.edu/items/8f6988f5-a2b5-4e16-b56f-141826fb4b21,,,Department of Art History || Study Photographs Collection,"Lutyens, Edwin Landseer, Sir, 1869-1944",2021-03-16T06:07:51.875686Z,,,,1899 to 1901,,Exterior: view from garden.| Exterior: view from street.,,,architecture (discipline)|black-and-white photographs|architecture (object genre),8f6988f5-a2b5-4e16-b56f-141826fb4b21,,https://api.dc.library.northwestern.edu/api/v2/works/8f6988f5-a2b5-4e16-b56f-141826fb4b21?as=iiif,2023-02-20T16:10:40.326094,None,None,,,inu:dil-aa12c703-f1b3-48e5-8685-bf3111aaee67|inu:dil-4881b848-ae67-40fa-9770-ee9a259d587e,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/a7acaedd-2282-4666-9ad5-4c30bcc44dea,,No Copyright - Non-Commercial Use Only ,,,,Done,Old English (culture or style),"England--Wormley (Surrey)|Country homes|Gables|Architecture, Domestic",Exterior: view from garden. – Exterior: view from street.,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8f6988f5-a2b5-4e16-b56f-141826fb4b21/thumbnail,Tigbourne Court.,Public,Image
,Voyager:309520-Voyager:309526,,https://api.dc.library.northwestern.edu/api/v2/works/de0b0627-27b0-4014-99d7-acfe704661c0,Work,ark:/81985/n2930p554,,,,https://dc.library.northwestern.edu/items/de0b0627-27b0-4014-99d7-acfe704661c0,,,Department of Art History || Study Photographs Collection,"Labrouste, Henri, 1801-1875",2021-03-16T19:50:53.890580Z,,,,1844 to 1850,,Exterior: Administrative Office.|Interior.|Interior: pier and iron arch.|Interior: pier supporting iron arches. |Interior: stairs.|Interior: vestibule.|Interior: view from entrance toward staircase.,,,architecture (discipline)|black-and-white photographs|architecture (object genre),de0b0627-27b0-4014-99d7-acfe704661c0,,https://api.dc.library.northwestern.edu/api/v2/works/de0b0627-27b0-4014-99d7-acfe704661c0?as=iiif,2023-02-20T16:17:03.726950,None,None,,,inu:dil-a249a7ea-b97c-4dd1-bf9e-b6904d6ae445|inu:dil-7abd9476-29d6-4ee3-b379-61d9bc213620|inu:dil-af9f3ed8-348f-41c2-8978-f23bc31ffb34|inu:dil-cd23bf0a-84b9-4244-bf8b-d6f08f4a5b58|inu:dil-e5277f81-ccc5-4269-90be-f47f0d957566|inu:dil-3bc2a548-f8f9-485b-92fb-b88219c1645d|inu:dil-2478e24a-f93a-4bc7-877d-dcfefaa9fb63,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,Iron,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/51738958-4898-4397-8383-2ae5f18ecaf9,,No Copyright - Non-Commercial Use Only ,,,,Done,Neoclassical,France--Paris|Columns|Architecture|Bibliothèque Sainte-Geneviève|Libraries,Exterior: Administrative Office. – Interior. – Interior: pier and iron arch. – Interior: pier supporting iron arches. – Interior: stairs. – Interior: vestibule. – Interior: view from entrance toward staircase.,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/de0b0627-27b0-4014-99d7-acfe704661c0/thumbnail,Bibliothèque Sainte-Geneviève.,Public,Image
,Voyager:309463,Polytechnic Institute. Exterior: Patision Street campus|National (Metsovian) Technical University of Athens. Exterior: Patision Street campus,https://api.dc.library.northwestern.edu/api/v2/works/9d1ba62a-e563-4a75-8931-d7805520a6eb,Work,ark:/81985/n2bv7b59g,,,,https://dc.library.northwestern.edu/items/9d1ba62a-e563-4a75-8931-d7805520a6eb,,,Department of Art History || Study Photographs Collection,"Kautantzoglou, Lysandros, 1811-1885",2021-03-16T12:45:15.981805Z,,,,1868 to 1887,,inu-dil-190b1506-8dd4-4367-807f-273caf2de88c.tif,,,architecture (object genre)|architecture (discipline)|black-and-white photographs,9d1ba62a-e563-4a75-8931-d7805520a6eb,,https://api.dc.library.northwestern.edu/api/v2/works/9d1ba62a-e563-4a75-8931-d7805520a6eb?as=iiif,2023-02-20T16:32:52.481346,None,None,,,inu:dil-190b1506-8dd4-4367-807f-273caf2de88c,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/360426d2-1cdf-4438-acbf-06a7919fdb80,,No Copyright - Non-Commercial Use Only ,,,,Done,Neoclassical,Greece--Athens|Architecture|Ethniko Metsovio Polytechneio (Greece)|Facades|College buildings,,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9d1ba62a-e563-4a75-8931-d7805520a6eb/thumbnail,National Technical University of Athens. Exterior: Patision Street campus,Public,Image
,Voyager:309451,,https://api.dc.library.northwestern.edu/api/v2/works/1957d95b-fc25-42a6-bb54-922d6713259a,Work,ark:/81985/n21g0j53t,,,,https://dc.library.northwestern.edu/items/1957d95b-fc25-42a6-bb54-922d6713259a,,,Department of Art History || Study Photographs Collection,Andronikos of Kyrrhos,2021-03-15T17:05:09.425998Z,,,,100s BCE,,inu-dil-12577dd2-6838-46e7-99c8-6b73ed008fda.tif,,,architecture (object genre)|architecture (discipline)|black-and-white photographs,1957d95b-fc25-42a6-bb54-922d6713259a,,https://api.dc.library.northwestern.edu/api/v2/works/1957d95b-fc25-42a6-bb54-922d6713259a?as=iiif,2023-02-20T16:33:08.379735,None,None,,,inu:dil-12577dd2-6838-46e7-99c8-6b73ed008fda,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/8b6f791b-e496-4ed4-9126-7adb52cd8944,,No Copyright - Non-Commercial Use Only ,,,,Done,,"Greece--Athens|Architecture|Towers|Clocks and watches|Tower of the Winds (Athens, Greece)",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/1957d95b-fc25-42a6-bb54-922d6713259a/thumbnail,Tower of the Winds. Exterior: view from north,Public,Image
,Voyager:309461,,https://api.dc.library.northwestern.edu/api/v2/works/8913bdba-b997-4ffd-8ca3-465f1ed17a22,Work,ark:/81985/n2s46hh22,,,,https://dc.library.northwestern.edu/items/8913bdba-b997-4ffd-8ca3-465f1ed17a22,,,Department of Art History || Study Photographs Collection,"Paxton, Joseph, Sir, 1803-1865",2021-03-16T05:39:20.700892Z,,,,1851,,inu-dil-0600afb1-0b37-4de8-85af-0b62e74211ca.tif,,,architecture (object genre)|architecture (discipline)|black-and-white photographs,8913bdba-b997-4ffd-8ca3-465f1ed17a22,,https://api.dc.library.northwestern.edu/api/v2/works/8913bdba-b997-4ffd-8ca3-465f1ed17a22?as=iiif,2023-02-20T16:10:15.261204,None,None,,,inu:dil-0600afb1-0b37-4de8-85af-0b62e74211ca,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/495edf47-67d2-4228-b28c-8e1c4e0c8275,,No Copyright - Non-Commercial Use Only ,,,,Done,,"England--London|Great Exhibition (1851 : London, England)|Architecture|Crystal Palace (Great Exhibition, 1851, London, England)|Gardens",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8913bdba-b997-4ffd-8ca3-465f1ed17a22/thumbnail,Crystal Palace. The Rosary.,Public,Image
,Voyager:309454,,https://api.dc.library.northwestern.edu/api/v2/works/bf077f02-3271-4106-b273-4ea7fbcaee70,Work,ark:/81985/n2901zs3w,,,,https://dc.library.northwestern.edu/items/bf077f02-3271-4106-b273-4ea7fbcaee70,,,Department of Art History || Study Photographs Collection,"Marville, Charles, 1813-1879",2021-03-16T15:38:40.502711Z,,,,1869 to 1927,,inu-dil-10690286-12df-4ebe-9691-bca07bc283c4.tif,,,architecture (object genre)|architecture (discipline)|black-and-white photographs,bf077f02-3271-4106-b273-4ea7fbcaee70,,https://api.dc.library.northwestern.edu/api/v2/works/bf077f02-3271-4106-b273-4ea7fbcaee70?as=iiif,2023-02-20T16:14:19.247070,None,None,,,inu:dil-10690286-12df-4ebe-9691-bca07bc283c4,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/fbe08785-b4e0-4338-a24e-bfdda0d7be4f,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Carriages and carts|Architecture|Théâtre du vaudeville (Paris, France)",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bf077f02-3271-4106-b273-4ea7fbcaee70/thumbnail,Théâtre du Vaudeville,Public,Image
,Voyager:309536,Frank Lloyd Wright Residence. Interior: studio,https://api.dc.library.northwestern.edu/api/v2/works/fca766b8-1201-4c3e-8104-4247f14c1cd7,Work,ark:/81985/n2833n84d,,,,https://dc.library.northwestern.edu/items/fca766b8-1201-4c3e-8104-4247f14c1cd7,,,Department of Art History || Study Photographs Collection,"Wright, Frank Lloyd, 1867-1959",2021-03-16T22:51:53.767716Z,,,,1898,,inu-dil-41d4b9cf-fac9-4272-969b-c4aa1eb7dadf.tif,,,architecture (object genre)|architecture (discipline)|black-and-white photographs,fca766b8-1201-4c3e-8104-4247f14c1cd7,,https://api.dc.library.northwestern.edu/api/v2/works/fca766b8-1201-4c3e-8104-4247f14c1cd7?as=iiif,2023-02-20T16:19:37.845388,None,None,,,inu:dil-41d4b9cf-fac9-4272-969b-c4aa1eb7dadf,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/b5dca169-04fd-4236-a161-f6dfcd238993,,No Copyright - Non-Commercial Use Only ,,,,Done,Prairie School,"Illinois--Oak Park|Frank Lloyd Wright Studio (Oak Park, Ill.)|Frank Lloyd Wright House (Oak Park, Ill.)|Fireplaces|Artists' studios|Architecture, Domestic",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/fca766b8-1201-4c3e-8104-4247f14c1cd7/thumbnail,Frank Lloyd Wright Home and Studio. Interior: studio,Public,Image
,Voyager:309460,,https://api.dc.library.northwestern.edu/api/v2/works/22156bac-8b92-408c-9ba8-1e97007ea6b7,Work,ark:/81985/n2dn4062t,,,,https://dc.library.northwestern.edu/items/22156bac-8b92-408c-9ba8-1e97007ea6b7,,,Department of Art History || Study Photographs Collection,"Bazalgette, Joseph William, Sir, 1819-1891",2021-03-15T17:38:43.415014Z,,,,1862,,inu-dil-3875ab44-fa9f-437d-aa95-705eceb0ba9b.tif,,,architecture (object genre)|architecture (discipline)|black-and-white photographs,22156bac-8b92-408c-9ba8-1e97007ea6b7,,https://api.dc.library.northwestern.edu/api/v2/works/22156bac-8b92-408c-9ba8-1e97007ea6b7?as=iiif,2023-02-20T16:35:01.488156,None,None,,,inu:dil-3875ab44-fa9f-437d-aa95-705eceb0ba9b,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/33033730-44f7-40fa-a7b0-485cbdd5484b,,No Copyright - Non-Commercial Use Only ,,,,Done,,England--London|Architecture|Bridges|Obelisks|Embankments,,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/22156bac-8b92-408c-9ba8-1e97007ea6b7/thumbnail,Thames Embankment.,Public,Image
,Voyager:309455,,https://api.dc.library.northwestern.edu/api/v2/works/383c86ca-0a40-4e8b-8a43-6e42f8f3edc3,Work,ark:/81985/n2nc5sp7t,,,,https://dc.library.northwestern.edu/items/383c86ca-0a40-4e8b-8a43-6e42f8f3edc3,,,Department of Art History || Study Photographs Collection,,2021-03-15T19:12:30.570656Z,,,,1840,,inu-dil-fdf4767c-59cd-4c82-9852-b3a045af9f72.tif,,,architecture (object genre)|architecture (discipline)|black-and-white photographs,383c86ca-0a40-4e8b-8a43-6e42f8f3edc3,,https://api.dc.library.northwestern.edu/api/v2/works/383c86ca-0a40-4e8b-8a43-6e42f8f3edc3?as=iiif,2023-02-20T16:37:19.148480,None,None,,,inu:dil-fdf4767c-59cd-4c82-9852-b3a045af9f72,Charles Deering McCormick Library of Special Collections,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/22528535-b9d2-4b29-b0f8-b857cf1cef23,,No Copyright - Non-Commercial Use Only ,,,,Done,,"France--Paris|Architecture|Railroad stations|Gare d'Austerlitz (Paris, France)",,,"The images on this web site, from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/383c86ca-0a40-4e8b-8a43-6e42f8f3edc3/thumbnail,Gare d'Austerlitz.,Public,Image
