abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:315748,,https://api.dc.library.northwestern.edu/api/v2/works/1d4c9d23-b654-4c59-a4b1-454cfa8c1966,Work,ark:/81985/n2tm72r68,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/1d4c9d23-b654-4c59-a4b1-454cfa8c1966,,,Department of Theatre || Study Photographs Collection,,2021-03-15T17:20:04.316988Z,unknown English,,,1629,Label: Theater No. 33.,inu-dil-ab22921f-e753-4745-9c4e-baf18ea0470c.tif,,,prints (visual works),1d4c9d23-b654-4c59-a4b1-454cfa8c1966,,https://api.dc.library.northwestern.edu/api/v2/works/1d4c9d23-b654-4c59-a4b1-454cfa8c1966?as=iiif,2023-02-20T16:04:13.061691,None,None,,,inu:dil-ab22921f-e753-4745-9c4e-baf18ea0470c,University (MAIN) Library,None,,2022-09-30T14:05:51.449562Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11568'}",United Kingdom,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/6f3b4a44-c6a6-4230-8b10-0f99ec4cc7d1,,Copyright Undetermined,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/1d4c9d23-b654-4c59-a4b1-454cfa8c1966/thumbnail,"Bear Garden and Globe Theatre, Venetian map of London, 1629.",Public,Image
,Accession:316154,,https://api.dc.library.northwestern.edu/api/v2/works/710cf446-e30e-4a40-ae7f-33d800c144ef,Work,ark:/81985/n26970p2x,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/710cf446-e30e-4a40-ae7f-33d800c144ef,,,Department of Theatre || Study Photographs Collection,,2021-03-16T03:52:38.720882Z,unknown Italian,,,1500 to 1599,Label: M3 It. A733 16. 12583.,inu-dil-11c5dcb9-0f7c-4f74-850d-8deddba16b79.tif,,,prints (visual works),710cf446-e30e-4a40-ae7f-33d800c144ef,,https://api.dc.library.northwestern.edu/api/v2/works/710cf446-e30e-4a40-ae7f-33d800c144ef?as=iiif,2023-02-20T16:04:08.440116,None,None,,,inu:dil-11c5dcb9-0f7c-4f74-850d-8deddba16b79,University (MAIN) Library,None,,2022-09-30T14:05:51.449562Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11582'}",Italy,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/22bce470-73bd-4936-85ca-03c0a4a1183e,,Copyright Undetermined,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/710cf446-e30e-4a40-ae7f-33d800c144ef/thumbnail,"Italian armor, helmet",Public,Image
,Accession:315818,,https://api.dc.library.northwestern.edu/api/v2/works/704ac925-6567-4122-a973-0430b00515ed,Work,ark:/81985/n2f18t56v,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/704ac925-6567-4122-a973-0430b00515ed,,,Department of Theatre || Study Photographs Collection,,2021-03-16T03:49:33.710259Z,unknown English,,,1600 to 1699,Label: M16 En. C83 17. 51647.,inu-dil-f6d6422c-5a00-4578-b79b-76e034e8e461.tif,,,prints (visual works),704ac925-6567-4122-a973-0430b00515ed,,https://api.dc.library.northwestern.edu/api/v2/works/704ac925-6567-4122-a973-0430b00515ed?as=iiif,2023-02-20T16:03:49.286430,None,None,,,inu:dil-f6d6422c-5a00-4578-b79b-76e034e8e461,University (MAIN) Library,None,,2022-09-30T14:05:51.449562Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11569'}",United Kingdom,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/23e3dda4-0b03-4d8d-b8e7-69d49efcc907,,Copyright Undetermined,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/704ac925-6567-4122-a973-0430b00515ed/thumbnail,"Two piece costume, English",Public,Image
,Accession:316260,,https://api.dc.library.northwestern.edu/api/v2/works/71a3efe9-648c-48d1-81fa-b444d62bc52b,Work,ark:/81985/n2g15v244,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/71a3efe9-648c-48d1-81fa-b444d62bc52b,,,Department of Theatre || Study Photographs Collection,,2021-03-16T03:55:05.754359Z,unknown French,,,1300 to 1399,,inu-dil-51b79d1f-a70b-4049-bc17-f549ae8d36b6.tif,,,prints (visual works),71a3efe9-648c-48d1-81fa-b444d62bc52b,,https://api.dc.library.northwestern.edu/api/v2/works/71a3efe9-648c-48d1-81fa-b444d62bc52b?as=iiif,2023-02-20T16:04:11.876554,None,None,,,inu:dil-51b79d1f-a70b-4049-bc17-f549ae8d36b6,University (MAIN) Library,None,,2022-09-30T14:05:51.449562Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11583'}",France,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/bb91c2aa-597f-40c4-a692-44b17bfabebb,,Copyright Undetermined,,,,Done,Medieval (European),,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/71a3efe9-648c-48d1-81fa-b444d62bc52b/thumbnail,Frankreich,Public,Image
,Accession:316422,,https://api.dc.library.northwestern.edu/api/v2/works/732cafb3-2596-42a3-a881-d17a7d908290,Work,ark:/81985/n2st7fn67,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/732cafb3-2596-42a3-a881-d17a7d908290,,,Department of Theatre || Study Photographs Collection,,2021-03-16T04:01:19.008971Z,unknown Indian,,,900,Label: M40 In. J59. 30981.,inu-dil-5651c724-b91d-4f44-af35-73ccd945cb29.tif,,,prints (visual works),732cafb3-2596-42a3-a881-d17a7d908290,,https://api.dc.library.northwestern.edu/api/v2/works/732cafb3-2596-42a3-a881-d17a7d908290?as=iiif,2023-02-20T16:04:35.637201,None,None,,,inu:dil-5651c724-b91d-4f44-af35-73ccd945cb29,University (MAIN) Library,None,,2022-09-30T14:05:51.508150Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11585'}",India,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/bde94a8a-1ba1-4fd5-a243-c4cc1b7be23a,,Copyright Undetermined,,,,Done,,Jewelry,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/732cafb3-2596-42a3-a881-d17a7d908290/thumbnail,Hair ornament,Public,Image
,Accession:315783,,https://api.dc.library.northwestern.edu/api/v2/works/7f32ecad-cb4e-47de-b1ab-126a057ea2c3,Work,ark:/81985/n2959cz7s,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/7f32ecad-cb4e-47de-b1ab-126a057ea2c3,,,Department of Theatre || Study Photographs Collection,,2021-03-16T04:54:31.195684Z,unknown French,,,900 to 999,Label: M40 Fr. J59 19.,inu-dil-a580efd1-e7a4-4d11-85f4-d832987247f7.tif,,,prints (visual works),7f32ecad-cb4e-47de-b1ab-126a057ea2c3,,https://api.dc.library.northwestern.edu/api/v2/works/7f32ecad-cb4e-47de-b1ab-126a057ea2c3?as=iiif,2023-02-20T16:04:54.669821,None,None,,,inu:dil-a580efd1-e7a4-4d11-85f4-d832987247f7,University (MAIN) Library,None,,2022-09-30T14:05:51.508150Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11568'}",France,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/bf47d7fe-707a-42e6-8ddc-85c7c178ec1a,,Copyright Undetermined,,,,Done,Medieval (European),,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7f32ecad-cb4e-47de-b1ab-126a057ea2c3/thumbnail,Crown of the Holy Roman Empire,Public,Image
,Accession:316819,,https://api.dc.library.northwestern.edu/api/v2/works/7553ffae-8bfb-4f0d-af1a-d2294fb895c6,Work,ark:/81985/n2h99047q,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/7553ffae-8bfb-4f0d-af1a-d2294fb895c6,,,Department of Theatre || Study Photographs Collection,,2021-03-16T04:11:47.151825Z,unknown German,,,1824,Label: M35 Ge. F98 19. 16596.,inu-dil-b54843b8-8fc2-4a68-8861-65df8cefe905.tif,,,prints (visual works),7553ffae-8bfb-4f0d-af1a-d2294fb895c6,,https://api.dc.library.northwestern.edu/api/v2/works/7553ffae-8bfb-4f0d-af1a-d2294fb895c6?as=iiif,2023-02-20T16:04:55.500918,None,None,,,inu:dil-b54843b8-8fc2-4a68-8861-65df8cefe905,University (MAIN) Library,None,,2022-09-30T14:05:51.508150Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11592'}",Germany,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/7f1c754e-fba3-4143-9b10-622af171e7d5,,Copyright Undetermined,,,,Done,,Furniture,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7553ffae-8bfb-4f0d-af1a-d2294fb895c6/thumbnail,"Cupboard, Lusatia",Public,Image
,Accession:315420,,https://api.dc.library.northwestern.edu/api/v2/works/75d7be99-25cb-43fa-bcc0-ed8cf2a8cc2b,Work,ark:/81985/n20z71n13,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/75d7be99-25cb-43fa-bcc0-ed8cf2a8cc2b,,,Department of Theatre || Study Photographs Collection,,2021-03-16T04:13:56.433225Z,unknown German,,,1300 to 1399,Label: 6740. 14th century (1300-1350),inu-dil-e1df45a4-5ae7-495c-9b4d-9397e81950c2.tif,,,prints (visual works),75d7be99-25cb-43fa-bcc0-ed8cf2a8cc2b,,https://api.dc.library.northwestern.edu/api/v2/works/75d7be99-25cb-43fa-bcc0-ed8cf2a8cc2b?as=iiif,2023-02-20T16:05:01.421282,None,None,,,inu:dil-e1df45a4-5ae7-495c-9b4d-9397e81950c2,University (MAIN) Library,None,,2022-09-30T14:05:51.508150Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11559'}",Germany,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/941747d5-f9b7-4677-b6e7-142f37030f9c,,Copyright Undetermined,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/75d7be99-25cb-43fa-bcc0-ed8cf2a8cc2b/thumbnail,"German costumes, men and women in upper class dress",Public,Image
,Accession:316358,,https://api.dc.library.northwestern.edu/api/v2/works/05ec81ce-dc92-46f0-9805-0b92ad19aab9,Work,ark:/81985/n21g0jk36,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/05ec81ce-dc92-46f0-9805-0b92ad19aab9,,,Department of Theatre || Study Photographs Collection,,2021-03-15T15:52:38.825883Z,"Primaticcio, Francesco",,,1500 to 1599,Label: Theatre 6A. 47595.,inu-dil-83842801-c438-4bb2-8b80-f85e100a3c85.tif,,,prints (visual works),05ec81ce-dc92-46f0-9805-0b92ad19aab9,,https://api.dc.library.northwestern.edu/api/v2/works/05ec81ce-dc92-46f0-9805-0b92ad19aab9?as=iiif,2023-02-20T16:05:44.163652,None,None,,,inu:dil-83842801-c438-4bb2-8b80-f85e100a3c85,University (MAIN) Library,None,,2022-09-30T14:05:51.508150Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11584'}",Italy ; Stockholm National Museum. Stockholm,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/482e47a2-9afa-4aaa-8d06-e9f523361685,,Copyright Undetermined,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/05ec81ce-dc92-46f0-9805-0b92ad19aab9/thumbnail,"Roman Knight, Drawing for Costume",Public,Image
,Accession:315947,,https://api.dc.library.northwestern.edu/api/v2/works/0c2e44ae-a431-40b3-bebf-6d13a0a0cb23,Work,ark:/81985/n28p5w139,cfc20c16-74cd-48e0-b7da-d1034662e0a5,,,https://dc.library.northwestern.edu/items/0c2e44ae-a431-40b3-bebf-6d13a0a0cb23,,,Department of Theatre || Study Photographs Collection,,2021-03-15T16:16:20.201986Z,unknown Etruscan,,,700 BCE,Label: M16 8. C83. 21140.,inu-dil-75ce486e-3268-41b3-b636-7812966fba18.tif,,,prints (visual works),0c2e44ae-a431-40b3-bebf-6d13a0a0cb23,,https://api.dc.library.northwestern.edu/api/v2/works/0c2e44ae-a431-40b3-bebf-6d13a0a0cb23?as=iiif,2023-02-20T16:06:24.098141,None,None,,,inu:dil-75ce486e-3268-41b3-b636-7812966fba18,University (MAIN) Library,None,,2022-09-30T14:05:51.568700Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11570'}",Italy,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/b42e255f-0bd5-4a7b-98bf-b2ab2143f193,,Copyright Undetermined,,,,Done,,,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0c2e44ae-a431-40b3-bebf-6d13a0a0cb23/thumbnail,"Costume, Etruscan male and female attire",Public,Image
