abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,0005_11730,,https://api.dc.library.northwestern.edu/api/v2/works/d150c415-2e2f-4525-af27-d4eaa5f9a5fa,Work,ark:/81985/n2wp9th69,,,,https://dc.library.northwestern.edu/items/d150c415-2e2f-4525-af27-d4eaa5f9a5fa,"Durant trois jours, Baoudlah les tint en respect",9980433118202441,Depictions of Africa in French humour magazines,,2021-03-16T17:25:04.335977Z,unknown,,,"May 19, 1935",,inu-dil-185f53b3-5c21-4c95-958a-8e1cdd78ca4b.tif,,,graphic novels,d150c415-2e2f-4525-af27-d4eaa5f9a5fa,,https://api.dc.library.northwestern.edu/api/v2/works/d150c415-2e2f-4525-af27-d4eaa5f9a5fa?as=iiif,2023-02-20T16:05:17.562437,None,None,,French,inu:dil-185f53b3-5c21-4c95-958a-8e1cdd78ca4b,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,26 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,Société parisienne d'édition,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/22e0b1bf-147b-42f3-9586-6a127bfb6e46,,Copyright Undetermined,,,"L'intrépide, no 1291 (19 mai 1935)",Done,,"France|Adventure stories, French|Comic books, strips, etc.|Periodicals",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d150c415-2e2f-4525-af27-d4eaa5f9a5fa/thumbnail,Lorsque c’est écrit,Public,Image
,0002_11730,,https://api.dc.library.northwestern.edu/api/v2/works/835cffba-d4fc-4e76-bbec-a9dff79f274d,Work,ark:/81985/n2542jk1s,,,,https://dc.library.northwestern.edu/items/835cffba-d4fc-4e76-bbec-a9dff79f274d,"""AH! qu'il est beau l'maquereau!... ; ""J'ai la raie toutenvie... ; ""... Qu'est-ce qu'il a à rigoler ce vieillarensaur?""",994665114202441,Depictions of Africa in French humour magazines,,2021-03-16T05:13:39.780148Z,"Willette, Adolphe",,,"April 1, 1922",,inu-dil-2b5e8891-4cf0-4ec8-966d-813e955f23c2.tif,,,caricatures,835cffba-d4fc-4e76-bbec-a9dff79f274d,,https://api.dc.library.northwestern.edu/api/v2/works/835cffba-d4fc-4e76-bbec-a9dff79f274d?as=iiif,2023-02-20T16:09:51.996757,None,None,,French,inu:dil-2b5e8891-4cf0-4ec8-966d-813e955f23c2,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,F. Juven,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/3556c8a4-caa5-484b-847d-19abd898915c,,No Copyright - United States,,,"Le rire : journal humoristique paraissant le samedi, no 165 (1 avril 1922)",Done,,"France|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons|Politics and government",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/835cffba-d4fc-4e76-bbec-a9dff79f274d/thumbnail,"Allons, allons, v'la le printemps!",Public,Image
,0006_11730,,https://api.dc.library.northwestern.edu/api/v2/works/2e9b02ee-a9cc-4d3d-b604-8e82265ab46a,Work,ark:/81985/n21g0j50c,,,,https://dc.library.northwestern.edu/items/2e9b02ee-a9cc-4d3d-b604-8e82265ab46a,Derneval fut renversé par le choc formidable,9980433118202441,Depictions of Africa in French humour magazines,,2021-03-15T18:29:18.789091Z,unknown,,,"May 10, 1935",,inu-dil-ae60146b-b762-4a26-9738-9c8dd56ffe03.tif,,,graphic novels,2e9b02ee-a9cc-4d3d-b604-8e82265ab46a,,https://api.dc.library.northwestern.edu/api/v2/works/2e9b02ee-a9cc-4d3d-b604-8e82265ab46a?as=iiif,2023-02-20T16:38:02.174697,None,None,,French,inu:dil-ae60146b-b762-4a26-9738-9c8dd56ffe03,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,26 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,Société parisienne d'édition,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/8b61971b-4365-4fbc-a562-bc14c2600840,,Copyright Undetermined,,,"L'intrépide, no 1281 (10 mars 1935)",Done,,"France|Adventure stories, French|Comic books, strips, etc.|Periodicals",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/2e9b02ee-a9cc-4d3d-b604-8e82265ab46a/thumbnail,Aux prises avec un lion,Public,Image
,0009_11730,,https://api.dc.library.northwestern.edu/api/v2/works/7096844b-0631-40fe-926b-1b8df30bc94c,Work,ark:/81985/n27w67g6v,,,,https://dc.library.northwestern.edu/items/7096844b-0631-40fe-926b-1b8df30bc94c,"Tu sais, Bopo, n'amène personne à diner ce soir... nous n'avons plus à la maison qu'un peu d'explorateur froid.",9980432167602441,Depictions of Africa in French humour magazines,,2021-03-16T03:50:44.441348Z,"Baker, B.",,,"June 18, 1905",,inu-dil-1d2261b3-0bb2-4401-9916-9bde91f4ad1a.tif,,,caricatures,7096844b-0631-40fe-926b-1b8df30bc94c,,https://api.dc.library.northwestern.edu/api/v2/works/7096844b-0631-40fe-926b-1b8df30bc94c?as=iiif,2023-02-20T16:03:59.883384,None,None,,French,inu:dil-1d2261b3-0bb2-4401-9916-9bde91f4ad1a,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,33 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,Imprimerie G. Richard,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/11b49478-6c5d-44d8-8577-13a17077bfb3,,No Copyright - United States,,,"Le pêle-mêle, 11 année, no 25 (18 juin 1905)",Done,,"France|French wit and humor, Pictorial|French wit and humor|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7096844b-0631-40fe-926b-1b8df30bc94c/thumbnail,Une recommandation de Mme Kannibal,Public,Image
,0001_11730,,https://api.dc.library.northwestern.edu/api/v2/works/895c5efe-7042-4e0c-9515-24a7ad297b7e,Work,ark:/81985/n28w38c44,,,,https://dc.library.northwestern.edu/items/895c5efe-7042-4e0c-9515-24a7ad297b7e,M. Clemenceau : --Il est décidément plus facile d'éteindre les lumières d'en haut que de rallumer celles d'en bas !!!,994665114202441,Depictions of Africa in French humour magazines,,2021-03-16T05:40:30.628669Z,"Léandre, Charles-Lucien",,,"March 23, 1907",,inu-dil-fc3c38b8-bd73-40b4-9432-9f50e6ccd509.tif,,,caricatures,895c5efe-7042-4e0c-9515-24a7ad297b7e,,https://api.dc.library.northwestern.edu/api/v2/works/895c5efe-7042-4e0c-9515-24a7ad297b7e?as=iiif,2023-02-20T16:10:15.488719,None,None,,French,inu:dil-fc3c38b8-bd73-40b4-9432-9f50e6ccd509,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,32 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,F. Juven,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/b388825f-8a31-4f95-9363-bdc7c0a25c19,,No Copyright - United States,,,"Le rire : journal humoristique paraissant le samedi, no 216 (23 mars 1907)",Done,,"France|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons|Politics and government",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/895c5efe-7042-4e0c-9515-24a7ad297b7e/thumbnail,La nuit de pataud,Public,Image
,0008_11730,,https://api.dc.library.northwestern.edu/api/v2/works/5b006fe2-42c5-4d1f-b445-f040c27c3b01,Work,ark:/81985/n2dn4059r,,,,https://dc.library.northwestern.edu/items/5b006fe2-42c5-4d1f-b445-f040c27c3b01,"L'invité du Gouverneur. – Pourquoi tous ces nègres pendus, mon cher gouverneur? ; Le Gouverneur. – Pour déjeuner au frais... Dans ce pays arbres, on se donne de l’ombre comme on peut!",9980432167602441,Depictions of Africa in French humour magazines,,2021-03-15T22:46:59.953964Z,"Baker, B.",,,"February 17, 1907",,inu-dil-cbb942ad-6c22-4893-a01a-6960480e95f5.tif,,,caricatures,5b006fe2-42c5-4d1f-b445-f040c27c3b01,,https://api.dc.library.northwestern.edu/api/v2/works/5b006fe2-42c5-4d1f-b445-f040c27c3b01?as=iiif,2023-02-20T16:41:52.519638,None,None,,French,inu:dil-cbb942ad-6c22-4893-a01a-6960480e95f5,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,33 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,Imprimerie G. Richard,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/852974d0-5c7e-44d9-b0f8-18ee4c1b4da0,,No Copyright - United States,,,"Le pêle-mêle, 13 année, no 7 (17 février 1907)",Done,,"France|French wit and humor, Pictorial|French wit and humor|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/5b006fe2-42c5-4d1f-b445-f040c27c3b01/thumbnail,Nos bons coloniaux,Public,Image
,0007_11730,,https://api.dc.library.northwestern.edu/api/v2/works/d522aa79-4887-4524-bb06-91a886cd082f,Work,ark:/81985/n24747248,,,,https://dc.library.northwestern.edu/items/d522aa79-4887-4524-bb06-91a886cd082f,La bombe défonça le canot et celui-ci se mit à couler,9980433118202441,Depictions of Africa in French humour magazines,,2021-03-16T18:58:30.838581Z,unknown,,,"October 14, 1934",,inu-dil-ecae77c5-fa94-4462-be93-503e29f0a6e5.tif,,,graphic novels,d522aa79-4887-4524-bb06-91a886cd082f,,https://api.dc.library.northwestern.edu/api/v2/works/d522aa79-4887-4524-bb06-91a886cd082f?as=iiif,2023-02-20T16:16:14.887055,None,None,,French,inu:dil-ecae77c5-fa94-4462-be93-503e29f0a6e5,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,26 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,Société parisienne d'édition,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/7a1ee78f-7ee2-49c2-84f0-f15292ac789c,,Copyright Undetermined,,,"L'intrépide, no 1260 (14 octobre 1934)",Done,,"France|Adventure stories, French|Comic books, strips, etc.|Periodicals",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d522aa79-4887-4524-bb06-91a886cd082f/thumbnail,Sur le Haut-Congo,Public,Image
,0014_11730,,https://api.dc.library.northwestern.edu/api/v2/works/f6d29b17-ddb0-4ca6-9352-515d0301686e,Work,ark:/81985/n2n58cw83,,,,https://dc.library.northwestern.edu/items/f6d29b17-ddb0-4ca6-9352-515d0301686e,"1re Mouche, à sa compagne. – Puisque nous sommes en pays nègre, quelle est ton opinion sur les colonies? ; 2me Mouche, en un mouvement de va-el-vient. – C’est une balançoire.",9980431665302441,Depictions of Africa in French humour magazines,,2021-03-16T22:17:53.674799Z,"Pourriol, Charles",,,"February 17, 1906",,inu-dil-a521496a-2b1d-49ad-aa47-bc81ce6a8207.tif,,,caricatures,f6d29b17-ddb0-4ca6-9352-515d0301686e,,https://api.dc.library.northwestern.edu/api/v2/works/f6d29b17-ddb0-4ca6-9352-515d0301686e?as=iiif,2023-02-20T16:19:10.188778,None,None,,French,inu:dil-a521496a-2b1d-49ad-aa47-bc81ce6a8207,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,33 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,A. Fayard,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/ae7097c3-ea68-4fbb-8567-e8ad7801739c,,No Copyright - United States,,,"Bon vivant (Paris, France), 7 année, no 327 (17 février 1906)",Done,,"France|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f6d29b17-ddb0-4ca6-9352-515d0301686e/thumbnail,Mouches d'afrique,Public,Image
,0003_11730,,https://api.dc.library.northwestern.edu/api/v2/works/0be9aa69-7842-4ee6-b809-261a100bb5a0,Work,ark:/81985/n2p55ds8b,,,,https://dc.library.northwestern.edu/items/0be9aa69-7842-4ee6-b809-261a100bb5a0,Je croyais que vous ne preniez plus rien.,994665114202441,Depictions of Africa in French humour magazines,,2021-03-15T16:15:11.589921Z,"Faivre, Abel",,,"February 7, 1903",,inu-dil-e40156e2-b78d-4472-87e1-66218b098e9a.tif,,,caricatures,0be9aa69-7842-4ee6-b809-261a100bb5a0,,https://api.dc.library.northwestern.edu/api/v2/works/0be9aa69-7842-4ee6-b809-261a100bb5a0?as=iiif,2023-02-20T16:29:35.572205,None,None,,French,inu:dil-e40156e2-b78d-4472-87e1-66218b098e9a,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,F. Juven,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/9e8c3f67-e212-4c99-9f1d-3cef9f447d00,,No Copyright - United States,,,"Le rire : journal humoristique paraissant le samedi, no 1 (7 février 1903)",Done,,"France|French wit and humor, Pictorial|Periodicals|Caricatures and cartoons|Politics and government",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0be9aa69-7842-4ee6-b809-261a100bb5a0/thumbnail,Les tabliers blancs,Public,Image
,0012_11730,,https://api.dc.library.northwestern.edu/api/v2/works/8fa37208-edaa-408f-8f16-69b0d725f010,Work,ark:/81985/n2hd7p34c,,,,https://dc.library.northwestern.edu/items/8fa37208-edaa-408f-8f16-69b0d725f010,,9980431665302441,Depictions of Africa in French humour magazines,,2021-03-16T06:09:01.150864Z,"Capy, Marcel",,,"July 4, 1903",,inu-dil-1d3351c2-df73-4e87-825d-2c9ef555a21c.tif,,,caricatures,8fa37208-edaa-408f-8f16-69b0d725f010,,https://api.dc.library.northwestern.edu/api/v2/works/8fa37208-edaa-408f-8f16-69b0d725f010?as=iiif,2023-02-20T16:10:38.834511,None,None,,French,inu:dil-1d3351c2-df73-4e87-825d-2c9ef555a21c,Herskovits Library of African Studies,None,Paris,2021-06-10T16:43:09.761465Z,,,33 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11730'}",,True,A. Fayard,,Hathi Trust Digital Library,https://iiif.dc.library.northwestern.edu/iiif/2/9e188281-a931-41eb-a03e-fb59774493b5,,No Copyright - United States,,,"Bon vivant (Paris, France), 4 année, no 190 (4 juillet 1903)",Done,,"France|French wit and humor, Pictorial|Caricatures and cartoons|Periodicals",,,"The images on this web site are from material in the collections of the Melville J. Herskovits Library of African Studies at Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8fa37208-edaa-408f-8f16-69b0d725f010/thumbnail,La police veille,Public,Image
