abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:pn89d8187,,https://api.dc.library.northwestern.edu/api/v2/works/430e9aef-c642-40bb-84ea-0118b2d9081a,Work,ark:/81985/n23778d7f,b8fa9084-8ff4-49ac-8ba5-d5dae2875fda,,,https://dc.library.northwestern.edu/items/430e9aef-c642-40bb-84ea-0118b2d9081a,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,,2022-01-21T06:22:17.391004Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,1937,"These films are from Donald Ward’s travels as a young man through Europe with his grandmother, Emma Ward. Part One and Part Two were taken in the Rhineland. Part Two also has shots of the Nazi flag hanging from various shops and buildings. These films are part of the greater Donald and Vera Ward collection. Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",Part One|Part Two|Part Two|Part One|d504rn02k/pn89d8187.mods.xml|Part Two technical metadata file|Part Two|Part Two|Part One technical metadata file|Part One|Part One,,,8mm (photographic film size),430e9aef-c642-40bb-84ea-0118b2d9081a,,https://api.dc.library.northwestern.edu/api/v2/works/430e9aef-c642-40bb-84ea-0118b2d9081a?as=iiif,2023-02-20T16:33:14.352357,AVR Migration,avr_migration.csv,,,pn89d8187,University Archives,None,,2022-02-07T15:39:32.750761Z,"{'note': 'This film has no sound.', 'type': 'Local Note'}|{'note': 'Film has rust spots through most of the black and white near the beginning.', 'type': 'Local Note'}",8 mm film,8 mm,Level 1,"{'cycle': '2018', 'desc': '16 mm films. some have vinegar smell. One is a duplicate film. Needs Preservation review before digitization.', 'manager': 'Dan Zellner', 'name': 'Donald and Vera Ward films', 'proposer': 'Kevin Leonard', 'task_number': 'P0096'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/585433fc-ac35-43fa-a61c-32864508aae9,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,"Travel|Tourism|Rhineland, Germany",,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/430e9aef-c642-40bb-84ea-0118b2d9081a/thumbnail,"Travels in Europe, Germany",Institution,Video
,avr:1r66j264q,,https://api.dc.library.northwestern.edu/api/v2/works/c5e12d9c-cd11-4787-bd9c-550c33144b7a,Work,ark:/81985/n2jh3gm7w,,,,https://dc.library.northwestern.edu/items/c5e12d9c-cd11-4787-bd9c-550c33144b7a,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,"Rubin, Benny|Maupin, Rex",2022-01-21T06:19:19.424674Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,"March 30, 1951","Don Ward guest hosts “The Benny Rubin Show” for the sick Benny Rubin. Vera Ward guest stars in the program. The program features the Wards performing various comedy sketches and Don’s interview with Joey, a young man with cerebral palsy who had won a prize for songwriting. Throughout the program, Rex Maupin and his orchestra perform “I Married an Angel,” “Riverboat Shuffle,” “I’ll String Along with You” and “Night Magic.” Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",Part One|Part Two|hd76s164m/1r66j264q.mods.xml,,,phonograph records,c5e12d9c-cd11-4787-bd9c-550c33144b7a,,https://api.dc.library.northwestern.edu/api/v2/works/c5e12d9c-cd11-4787-bd9c-550c33144b7a?as=iiif,2023-02-20T16:37:16.595785,AVR Migration,avr_migration.csv,,English,1r66j264q,University Archives,None,,2022-02-07T15:39:32.783785Z,,transcription disc,,Level 1,"{'cycle': '2019', 'desc': 'Chicago transcription broadcasts.', 'manager': 'Dan Zellner', 'name': 'Don and Vera Ward transcription broadcasts 2019', 'proposer': 'Kevin Leonard', 'task_number': 'P0320'}",,True,American Broadcasting Company,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,"Radio programs|Radio comedies|Actresses|Chicago, Illinois",,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/c5e12d9c-cd11-4787-bd9c-550c33144b7a/thumbnail,Benny Rubin Show,Institution,Audio
,avr:tb09j702h,,https://api.dc.library.northwestern.edu/api/v2/works/fa7da10d-51ef-4588-a043-2f1aff004c6b,Work,ark:/81985/n2vt1k869,b8fa9084-8ff4-49ac-8ba5-d5dae2875fda,,,https://dc.library.northwestern.edu/items/fa7da10d-51ef-4588-a043-2f1aff004c6b,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,American Bible Society,2022-01-21T06:26:49.022757Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,1955,"This film is a compilation of daily bible readings featuring Donald and Vera Ward reading various Bible passages including the 23rd, 46th, and 100th psalm. In addition, there are readings from the book of Isaiah, chapters 9, 11, and 53, the gospel of Matthew, chapters 2, 5, 6, 7, 18, 22, and 25, the gospel of Mark, chapter 12, the gospel of Luke, chapters 7, 10, 14, and 15, the first letter of Paul to the Corinthians, chapter 13, the first letter of Paul to the Romans, chapters 8 and 12, the gospel of John, chapters 1, 3, and 14, and the first letter of John, chapter 4. Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",Part One|Part Two|Part One|Part Two|d504rn02k/tb09j702h.mods.xml|Part One technical metadata file|Part One|Part One|Part Two technical metadata file|Part Two|Part Two,,,16mm (photographic film size),fa7da10d-51ef-4588-a043-2f1aff004c6b,,https://api.dc.library.northwestern.edu/api/v2/works/fa7da10d-51ef-4588-a043-2f1aff004c6b?as=iiif,2023-02-20T16:35:33.882693,AVR Migration,avr_migration.csv,,English,tb09j702h,University Archives,None,,2022-02-07T15:39:32.787605Z,"{'note': 'Part One is in black and white. Part Two is in color.', 'type': 'Local Note'}|{'note': 'Part One has sound. Part Two is silent.', 'type': 'Local Note'}",16 mm film,16 mm,Level 1,"{'cycle': '2018', 'desc': '16 mm films. some have vinegar smell. One is a duplicate film. Needs Preservation review before digitization.', 'manager': 'Dan Zellner', 'name': 'Donald and Vera Ward films', 'proposer': 'Kevin Leonard', 'task_number': 'P0096'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/97386baa-e483-4ac6-9a00-1b6ae9ae3c97,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,Bible|Clergy|Bible. New Testament|Bible. Old Testament,,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/fa7da10d-51ef-4588-a043-2f1aff004c6b/thumbnail,"Bible Readings, 1955",Institution,Video
,avr:k06989426,,https://api.dc.library.northwestern.edu/api/v2/works/29a28205-f9bf-4045-b83e-1238ce3453c1,Work,ark:/81985/n2hm5543f,,,,https://dc.library.northwestern.edu/items/29a28205-f9bf-4045-b83e-1238ce3453c1,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,"Rubin, Benny|Houston, Dolly|Cole, Nat King, 1919-1965|Murray, Maurice Fisher",2022-01-21T06:23:54.870936Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,"March 28, 1951","Don Ward guest hosts “The Benny Rubin Show” for the sick Benny Rubin. The program features jokes by Ward, an interview with singer Dolly Houston, and music performances and recordings. Houston performs with the orchestra and sings ""Lonesome Gal."" Music recordings include ""Laura,"" ""That's my girl"" sung by Nat King Cole, and a recording of ""And then I prayed,"" written by Maurice Murray. Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",Part One|Part Two|hd76s164m/k06989426.mods.xml,,,phonograph records,29a28205-f9bf-4045-b83e-1238ce3453c1,,https://api.dc.library.northwestern.edu/api/v2/works/29a28205-f9bf-4045-b83e-1238ce3453c1?as=iiif,2023-02-20T16:37:47.770397,AVR Migration,avr_migration.csv,,English,k06989426,University Archives,None,,2022-02-07T15:39:32.730210Z,,transcription disc,,Level 1,"{'cycle': '2019', 'desc': 'Chicago transcription broadcasts.', 'manager': 'Dan Zellner', 'name': 'Don and Vera Ward transcription broadcasts 2019', 'proposer': 'Kevin Leonard', 'task_number': 'P0320'}",,True,American Broadcasting Company,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,Radio programs|Radio comedies,,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/29a28205-f9bf-4045-b83e-1238ce3453c1/thumbnail,Benny Rubin Show,Institution,Audio
,avr:9593tw81q,,https://api.dc.library.northwestern.edu/api/v2/works/a2841f7f-1a16-4c91-a242-40eca7cf553b,Work,ark:/81985/n22807h87,b8fa9084-8ff4-49ac-8ba5-d5dae2875fda,,,https://dc.library.northwestern.edu/items/a2841f7f-1a16-4c91-a242-40eca7cf553b,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,"Allison, Fran|Scott, W. B. (Walter Bernard), 1906-1980|Breen, Robert S.|Pope, Carmelita|Forward Productions",2022-01-21T06:23:18.942363Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,1955,"Chalk It Up is a televised panel game hosted by Donald Ward. In this game, viewers would send in items for Donald to describe to four panelists. The panelists had to draw the object based on Donald's descriptions. Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",inu-ward_am_1955_chalk_it_up.mov|inu-ward_1955_chalk_it_up_pm.mkv|d504rn02k/9593tw81q.mods.xml|inu-ward_1955_chalk_it_up.cdir|technical metadata file|inu-ward_1955_chalk_it_up_system_log.txt|inu-ward_1955_chalk_it_up_verification_log.txt,,,16mm (photographic film size),a2841f7f-1a16-4c91-a242-40eca7cf553b,,https://api.dc.library.northwestern.edu/api/v2/works/a2841f7f-1a16-4c91-a242-40eca7cf553b?as=iiif,2023-02-20T16:33:14.534715,AVR Migration,avr_migration.csv,,English,9593tw81q,University Archives,None,,2022-02-07T15:39:32.778557Z,,16 mm film,16 mm,Level 1,"{'cycle': '2018', 'desc': '16 mm films. some have vinegar smell. One is a duplicate film. Needs Preservation review before digitization.', 'manager': 'Dan Zellner', 'name': 'Donald and Vera Ward films', 'proposer': 'Kevin Leonard', 'task_number': 'P0096'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/607a1a46-c192-40db-bb6b-8a6e73d34d3a,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,"Television game shows|Games|Drawing|Chicago, Illinois",,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/a2841f7f-1a16-4c91-a242-40eca7cf553b/thumbnail,"Chalk It Up, 1955",Institution,Video
,avr:mw22v7094,,https://api.dc.library.northwestern.edu/api/v2/works/ff2e726a-35fc-461b-84b7-f4e6cbdd61a7,Work,ark:/81985/n24q7t76g,b8fa9084-8ff4-49ac-8ba5-d5dae2875fda,,,https://dc.library.northwestern.edu/items/ff2e726a-35fc-461b-84b7-f4e6cbdd61a7,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,,2022-01-21T06:12:19.675178Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,1938?,"In this film, Vera Bantz Ward portrays Candida from the play by George Bernard Shaw. These films are part of the greater Donald and Vera Ward collection. Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",inu-ward_am_vera_as_candida.mov|inu-ward_vera_as_candida_pm.mkv|d504rn02k/mw22v7094.mods.xml|technical metadata file|inu-ward_vera_as_candida_system_log.txt|inu-ward_vera_as_candida_verification_log.txt,,,8mm (photographic film size),ff2e726a-35fc-461b-84b7-f4e6cbdd61a7,,https://api.dc.library.northwestern.edu/api/v2/works/ff2e726a-35fc-461b-84b7-f4e6cbdd61a7?as=iiif,2023-02-20T16:33:14.541457,AVR Migration,avr_migration.csv,,,mw22v7094,University Archives,None,,2022-02-07T15:39:32.791627Z,"{'note': 'This film has no sound.', 'type': 'Local Note'}",8 mm film,8 mm,Level 1,"{'cycle': '2018', 'desc': '16 mm films. some have vinegar smell. One is a duplicate film. Needs Preservation review before digitization.', 'manager': 'Dan Zellner', 'name': 'Donald and Vera Ward films', 'proposer': 'Kevin Leonard', 'task_number': 'P0096'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/dae9e88a-2d84-4f68-8b27-d0c9a42f047b,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,"College theater|Actresses|Evanston, Illinois",,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/ff2e726a-35fc-461b-84b7-f4e6cbdd61a7/thumbnail,Vera Bantz Ward portrays Candida,Institution,Video
,avr:jh343v179,,https://api.dc.library.northwestern.edu/api/v2/works/82430c60-e93d-4949-a099-4a910670386a,Work,ark:/81985/n2s759359,b8fa9084-8ff4-49ac-8ba5-d5dae2875fda,,,https://dc.library.northwestern.edu/items/82430c60-e93d-4949-a099-4a910670386a,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,,2022-01-21T06:09:39.655525Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,1965,"This film features scenes from Vera Bantz Ward's trip to New York City. There are numerous shots of billboards for various Broadway plays like Cactus Flower, Hello Dolly, Fiddler on the Roof, Funny Girl, The Apple Tree, Dinner at Eight, and The Bible. There are also street scenes of New York like food vendors, hotels, skyscrapers, and pedestrians on the street. These films are part of the greater Donald and Vera Ward collection. Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",inu-ward_am_vera_in_ny_workshop.mov|d504rn02k/jh343v179.mods.xml,,,8mm (photographic film size),82430c60-e93d-4949-a099-4a910670386a,,https://api.dc.library.northwestern.edu/api/v2/works/82430c60-e93d-4949-a099-4a910670386a?as=iiif,2023-02-20T16:33:14.529902,AVR Migration,avr_migration.csv,,,jh343v179,University Archives,None,,2022-02-07T15:39:32.768256Z,"{'note': 'This film has no sound.', 'type': 'Local Note'}",8 mm film,8 mm,Level 1,"{'cycle': '2018', 'desc': '16 mm films. some have vinegar smell. One is a duplicate film. Needs Preservation review before digitization.', 'manager': 'Dan Zellner', 'name': 'Donald and Vera Ward films', 'proposer': 'Kevin Leonard', 'task_number': 'P0096'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/003ddf16-0867-4ff6-addd-43f31f01b3d1,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,"Travel|Tourism|New York, New York (State)",,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/82430c60-e93d-4949-a099-4a910670386a/thumbnail,New York Scenes,Institution,Video
,avr:n296x0936,,https://api.dc.library.northwestern.edu/api/v2/works/6b0951c6-af39-44fe-8f9a-9ac55272e756,Work,ark:/81985/n2t14x78v,,,,https://dc.library.northwestern.edu/items/6b0951c6-af39-44fe-8f9a-9ac55272e756,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,,2022-01-21T06:21:09.542390Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,"January 24, 1950","Don Ward's segment entitled, ""Special Delivery"" which featured stories and jokes by Ward about topics such as backseat drivers and being an amateur magician. Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",P0097-Ward-B48-F01-MAS.wav|hd76s164m/n296x0936.mods.xml,,,phonograph records,6b0951c6-af39-44fe-8f9a-9ac55272e756,,https://api.dc.library.northwestern.edu/api/v2/works/6b0951c6-af39-44fe-8f9a-9ac55272e756?as=iiif,2023-02-20T16:33:16.748699,AVR Migration,avr_migration.csv,,English,n296x0936,University Archives,None,,2022-02-07T15:39:32.757044Z,,transcription disc,,Level 1,"{'cycle': '2019', 'desc': 'Chicago transcription broadcasts.', 'manager': 'Dan Zellner', 'name': 'Don and Vera Ward transcription broadcasts 2019', 'proposer': 'Kevin Leonard', 'task_number': 'P0320'}",,True,American Broadcasting Company,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,"Radio programs|Radio comedies|Chicago, Illinois",,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/6b0951c6-af39-44fe-8f9a-9ac55272e756/thumbnail,Special Delivery,Institution,Audio
,avr:vx021g754,,https://api.dc.library.northwestern.edu/api/v2/works/28061e6e-3e87-4f64-93b1-dc404fd9a3aa,Work,ark:/81985/n2pc2wt0n,b8fa9084-8ff4-49ac-8ba5-d5dae2875fda,,,https://dc.library.northwestern.edu/items/28061e6e-3e87-4f64-93b1-dc404fd9a3aa,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,,2022-01-21T06:06:48.574239Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,1938,"These films are from Donald Ward’s travels as a young man through Europe with his grandmother, Emma Ward. This particular film is mostly of their travels through Italy. There are scenes of people feeding pigeons in St. Mark's Square and a gondola ride in Venice. There are also scenes from the Vatican, including St. Peter's Square and St. Peter's Basilica. In addition, there are images of the Trevi fountain and the Colosseum in Rome, Italy. Finally, there are scenes taken at the Leaning Tower of Pisa, along the Italian coast, and on a boat. These films are part of the greater Donald and Vera Ward collection. Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",inu-ward_amcc_1938_europe.mov|inu-ward_1938_europe_pm.mkv|d504rn02k/vx021g754.mods.xml|technical metadata file|inu-ward_1938_europe_system_log.txt|inu-ward_1938_europe_verification_log.txt,,,8mm (photographic film size),28061e6e-3e87-4f64-93b1-dc404fd9a3aa,,https://api.dc.library.northwestern.edu/api/v2/works/28061e6e-3e87-4f64-93b1-dc404fd9a3aa?as=iiif,2023-02-20T16:38:00.252721,AVR Migration,avr_migration.csv,,,vx021g754,University Archives,None,,2022-02-07T15:39:32.688753Z,"{'note': 'This film has no sound.', 'type': 'Local Note'}|{'note': 'Film has rust spots through most of the black and white near the beginning.', 'type': 'Local Note'}",8 mm film,8 mm,Level 1,"{'cycle': '2018', 'desc': '16 mm films. some have vinegar smell. One is a duplicate film. Needs Preservation review before digitization.', 'manager': 'Dan Zellner', 'name': 'Donald and Vera Ward films', 'proposer': 'Kevin Leonard', 'task_number': 'P0096'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/53c780a2-4972-4dfa-b1e6-dd6d148b0056,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,"Travel|Tourism|Italy|Rome, Italy|Venice, Italy",,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/28061e6e-3e87-4f64-93b1-dc404fd9a3aa/thumbnail,"Travels in Europe, Italy",Institution,Video
,avr:r781wh675,,https://api.dc.library.northwestern.edu/api/v2/works/304584ee-c1d5-4f05-9ecb-f4858f53329c,Work,ark:/81985/n2ws8m541,b8fa9084-8ff4-49ac-8ba5-d5dae2875fda,,,https://dc.library.northwestern.edu/items/304584ee-c1d5-4f05-9ecb-f4858f53329c,,,Donald (1919-1994) and Vera (1922-2014) Ward Papers,,2022-01-21T06:24:53.637434Z,"Ward, Donald B., 1919-1994|Ward, Vera Bantz, 1922-2014|Northwestern University (Evanston, Ill.)",4d9972b2-28f1-4cbd-922a-c4b1c21adc49,,1937 to 1948,"This film includes various moments from a workshop that Donald Ward attended. There are images of the other people attending the conference. Near the end of the film, there are images of Vera Bantz Ward and a small child. These films are part of the greater Donald and Vera Ward collection. Donald and Vera Ward were married graduates of Northwestern University with influential careers in midcentury Chicago-based radio, television, theatre, and the ministry. Donald’s successful and varied career spanned radio and television, Christian ministry, and higher education. Although her husband left the world of performing arts to become a Congregational pastor in 1959, the stage and screen remained Vera’s life’s work: she appeared in several acclaimed plays and television advertising campaigns and founded multiple theatre programs through the churches at which her husband ministered.",inu-ward_am_don_ex_workshop.mov|inu-ward_don_ex_workshop_pm.mkv|d504rn02k/r781wh675.mods.xml|technical metadata file|inu-ward_don_ex_workshop_system_log.txt|inu-ward_don_ex_workshop_verification_log.txt,,,8mm (photographic film size),304584ee-c1d5-4f05-9ecb-f4858f53329c,,https://api.dc.library.northwestern.edu/api/v2/works/304584ee-c1d5-4f05-9ecb-f4858f53329c?as=iiif,2023-02-20T16:33:12.326895,AVR Migration,avr_migration.csv,,,r781wh675,University Archives,None,,2022-02-07T15:39:32.738170Z,"{'note': 'This film has no sound.', 'type': 'Local Note'}",8 mm film,8 mm,Level 1,"{'cycle': '2018', 'desc': '16 mm films. some have vinegar smell. One is a duplicate film. Needs Preservation review before digitization.', 'manager': 'Dan Zellner', 'name': 'Donald and Vera Ward films', 'proposer': 'Kevin Leonard', 'task_number': 'P0096'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/6a7c14dc-3c3f-4ea6-b886-30c4b3d13c95,,In Copyright - Educational Use Permitted,,"Donald (1919-1994) and Vera (1922-2014) Ward Papers--Don and Vera Ward Oversized Artifacts and Media, 1935-2004",,Done,,,,,"The audiovisual recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/304584ee-c1d5-4f05-9ecb-f4858f53329c/thumbnail,Donald Ward at a workshop,Institution,Video
