abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:c247dt73f,,https://api.dc.library.northwestern.edu/api/v2/works/6a41d1af-297e-4815-8fda-3fc24c08ee25,Work,ark:/81985/n2qf8n34j,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/6a41d1af-297e-4815-8fda-3fc24c08ee25,,995683104202441,Electroacoustic Music Collection,,2022-01-21T06:14:23.746306Z,"Cope, David, 1941-",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1977,,inu-electroacoustic_v0017s01_am.wav|inu-electroacoustic_v0017s01_pm.wav|v405sb99h/c247dt73f.mods.xml|technical metadata file|asset front,,,audio reel tape,6a41d1af-297e-4815-8fda-3fc24c08ee25,,https://api.dc.library.northwestern.edu/api/v2/works/6a41d1af-297e-4815-8fda-3fc24c08ee25?as=iiif,2023-02-20T16:29:15.850691,AVR Migration,avr_migration.csv,,,c247dt73f,Music Library,None,,2022-09-23T17:41:34.158161Z,"{'note': 'David Cope.', 'type': 'Statement of Responsibility'}|{'note': 'Includes vocal effects to be executed by the organist into a microphone.', 'type': 'General Note'}|{'note': 'Duration: 8 min., 10 sec.', 'type': 'General Note'}",score (17 pages)|tape (1 reel 7 1/2 ips. 1/2-track. stereo.),36 cm|5 inches,Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,C. Fischer,,,https://iiif.dc.library.northwestern.edu/iiif/2/4686b23e-a5a0-471e-abe8-66d2a98dc3b7,,In Copyright - Educational Use Permitted,,,,Done,,Organ music|Electronic music,,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/6a41d1af-297e-4815-8fda-3fc24c08ee25/thumbnail,Or : prepared organ and tape,Institution,Audio
,avr:ff365681s,,https://api.dc.library.northwestern.edu/api/v2/works/ee4c093d-dc3f-4e6c-bbd3-4bad8b15f946,Work,ark:/81985/n2qb9xr0s,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/ee4c093d-dc3f-4e6c-bbd3-4bad8b15f946,,9921439444202441,Electroacoustic Music Collection,,2022-01-21T06:23:50.309547Z,"Trythall, Gilbert, 1930-",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1973,,inu-electroacoustic_v0005s01_am.wav|inu-electroacoustic_v0005s01_pm.wav|v405sb99h/ff365681s.mods.xml|technical metadata file|asset front,,,audio reel tape,ee4c093d-dc3f-4e6c-bbd3-4bad8b15f946,,https://api.dc.library.northwestern.edu/api/v2/works/ee4c093d-dc3f-4e6c-bbd3-4bad8b15f946?as=iiif,2023-02-20T16:33:16.676140,AVR Migration,avr_migration.csv,,,ff365681s,Music Library,None,,2022-09-23T17:45:22.989654Z,"{'note': 'Gil Trythall.', 'type': 'Statement of Responsibility'}|{'note': '""May be performed by a brass quintet or by a brass choir composed of any number and combination of trumpets (or cornets), French horns, trombones, baritones, and tubas ad lib."" Parts for 2 treble instruments in B♭, 1 treble instrument in F, 2 bass instruments in C.', 'type': 'General Note'}|{'note': 'Duration: 12:38.', 'type': 'General Note'}","5 parts|1 sound tape reel : analog, 7 1/2 ips","28 cm|7 inches, 1/4 inches tape",Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,The Brass Press,,,https://iiif.dc.library.northwestern.edu/iiif/2/b4a968f4-d2b6-47ce-9b68-f8f6851b77d9,,In Copyright - Educational Use Permitted,,,,Done,,"Brass quintets (Baritone, horn, trombone, trumpet, tuba)|Parts|Brass quintets (Horn, trombone, trumpets (2), tuba)|Brass band music|Electronic music|Aleatory music",,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/ee4c093d-dc3f-4e6c-bbd3-4bad8b15f946/thumbnail,"Echospace : for brass quintet or brass choir and tape, [op. 23]",Institution,Audio
,avr:s4655j376,,https://api.dc.library.northwestern.edu/api/v2/works/8fc8beee-9aec-47d0-8c34-d8b0b54a6777,Work,ark:/81985/n2j38p28f,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/8fc8beee-9aec-47d0-8c34-d8b0b54a6777,,995674384202441,Electroacoustic Music Collection,,2022-01-21T06:20:37.442583Z,"Custer, Arthur, 1923-1998",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1975,,inu-electroacoustic_v0001s01_am.wav|inu-electroacoustic_v0001s01_pm.wav|v405sb99h/s4655j376.mods.xml|asset front,,,audio reel tape,8fc8beee-9aec-47d0-8c34-d8b0b54a6777,,https://api.dc.library.northwestern.edu/api/v2/works/8fc8beee-9aec-47d0-8c34-d8b0b54a6777?as=iiif,2023-02-20T16:29:17.917660,AVR Migration,avr_migration.csv,,,s4655j376,Music Library,None,,2022-09-23T17:40:28.422006Z,"{'note': 'Arthur Custer.', 'type': 'Statement of Responsibility'}|{'note': 'Duration: 12 min.', 'type': 'General Note'}",score (19 pages)|1 reel (3 3/4 ips. 1/4-track. stereo),23 x 31 cm|5 inches,Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,General Music Pub. Co.,,,https://iiif.dc.library.northwestern.edu/iiif/2/e9a24c77-0416-4768-a9d6-e1c1f63aa839,,In Copyright - Educational Use Permitted,,,,Done,,Flute music|Piccolo music|Electronic music|Musique concrète,,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/8fc8beee-9aec-47d0-8c34-d8b0b54a6777/thumbnail,"Found objects : no. 6 for flute, alto flute, piccolo (one performer), and tape",Institution,Audio
,avr:9k41zg25m,,https://api.dc.library.northwestern.edu/api/v2/works/39ba1bdd-9b1f-4359-a97f-33ee2a0e9a1b,Work,ark:/81985/n2rf5p13r,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/39ba1bdd-9b1f-4359-a97f-33ee2a0e9a1b,,998563824202441,Electroacoustic Music Collection,,2022-01-21T06:27:23.668755Z,"Tanenbaum, Elias",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1981,,inu-electroacoustic_v0009s01_am.wav|inu-electroacoustic_v0009s01_pm.wav|v405sb99h/9k41zg25m.mods.xml|technical metadata file|asset front,,,audio reel tape,39ba1bdd-9b1f-4359-a97f-33ee2a0e9a1b,,https://api.dc.library.northwestern.edu/api/v2/works/39ba1bdd-9b1f-4359-a97f-33ee2a0e9a1b?as=iiif,2023-02-20T16:29:17.934306,AVR Migration,avr_migration.csv,,,9k41zg25m,Music Library,None,,2022-09-23T17:40:38.687670Z,"{'note': 'Elias Tannenbaum.', 'type': 'Statement of Responsibility'}",1 score (20 pages) + 5 parts|1 sound tape reel.,,Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,Dorn,,,https://iiif.dc.library.northwestern.edu/iiif/2/35c0ba21-a53d-4638-870a-bc4f4ee7a23a,,In Copyright - Educational Use Permitted,,,,Done,,"Brass quintets (Horn, trombones (2), trumpets (2))|Electronic music",,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/39ba1bdd-9b1f-4359-a97f-33ee2a0e9a1b/thumbnail,Improvisations : for brass quintet and tape,Institution,Audio
,avr:h702q797f,,https://api.dc.library.northwestern.edu/api/v2/works/3bd44c4f-6029-4423-84a0-277d551a1e92,Work,ark:/81985/n2445kx20,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/3bd44c4f-6029-4423-84a0-277d551a1e92,,998138014202441,Electroacoustic Music Collection,,2022-01-21T06:17:38.918281Z,"McLean, Barton, 1938-",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1981,,inu-electroacoustic_v0010s01_am.wav|inu-electroacoustic_v0010s01_pm.wav|v405sb99h/h702q797f.mods.xml|technical metadata file|asset front,,,audio reel tape,3bd44c4f-6029-4423-84a0-277d551a1e92,,https://api.dc.library.northwestern.edu/api/v2/works/3bd44c4f-6029-4423-84a0-277d551a1e92?as=iiif,2023-02-20T16:33:16.737803,AVR Migration,avr_migration.csv,,,h702q797f,Music Library,None,,2022-09-23T17:40:49.914960Z,"{'note': 'Barton McLean.', 'type': 'Statement of Responsibility'}|{'note': 'Cover title.', 'type': 'Local Note'}|{'note': '""Dimensions III and IV are designed to be played together as a unit, constituting about a twenty minute work in toto.""', 'type': 'General Note'}|{'note': 'Includes instructions for performance.', 'type': 'General Note'}","1 score (25 pages)|1 sound tape reel : 7 1/2 ips, 2 track, stereo",28 x 33 cm|7 inches,Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,Dorn Publications,,,https://iiif.dc.library.northwestern.edu/iiif/2/6cee740f-ce79-4a09-824f-0d70944a3081,,In Copyright - Educational Use Permitted,,,,Done,,Saxophone music|Electronic music,,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/3bd44c4f-6029-4423-84a0-277d551a1e92/thumbnail,Dimensions IV : for saxophone and tape,Institution,Audio
,avr:7m01bn72h,,https://api.dc.library.northwestern.edu/api/v2/works/ba18ba3a-abac-462d-9467-06c5fdefb0c3,Work,ark:/81985/n2xp6xn0m,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/ba18ba3a-abac-462d-9467-06c5fdefb0c3,,9920572374202441,Electroacoustic Music Collection,,2022-01-21T06:09:55.839530Z,"Moss, Lawrence",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1973,,Part one|Part two|Part three|Part four|Part one|Part two|Part three|Part four|v405sb99h/7m01bn72h.mods.xml|Part one technical metadata file|Part two technical metadata file|Parts three and four technical metadata file|Part one asset front|Part two asset front|Parts three and four asset front,,,audio reel tape,ba18ba3a-abac-462d-9467-06c5fdefb0c3,,https://api.dc.library.northwestern.edu/api/v2/works/ba18ba3a-abac-462d-9467-06c5fdefb0c3?as=iiif,2023-02-20T16:33:16.742233,AVR Migration,avr_migration.csv,,English,7m01bn72h,Music Library,None,,2022-09-23T17:41:18.191961Z,"{'note': '[for] alto saxophone and tape.', 'type': 'Statement of Responsibility'}|{'note': 'Plastic, dual track tapes.', 'type': 'General Note'}|{'note': 'Duration: about 9 min., 45 sec.', 'type': 'General Note'}",score (11 pages)|phonotape (2 reels 7 in. 7 1/2 ips. sterophonic),,Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,C. Fischer,,,https://iiif.dc.library.northwestern.edu/iiif/2/4cc730f4-bcd3-4dab-801f-0b31c4550bf5,,In Copyright - Educational Use Permitted,,,,Done,,Saxophone music|Electronic music,,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/ba18ba3a-abac-462d-9467-06c5fdefb0c3/thumbnail,Evocation and song,Institution,Audio
,avr:pv63g1800,,https://api.dc.library.northwestern.edu/api/v2/works/5d533884-3f6b-421a-9f30-a8207766d5ee,Work,ark:/81985/n2708063q,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/5d533884-3f6b-421a-9f30-a8207766d5ee,,995658864202441,Electroacoustic Music Collection,,2022-01-21T06:10:02.327141Z,"Tanenbaum, Elias",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1976,,inu-electroacoustic_v0011s01_am.wav|inu-electroacoustic_v0011s01_pm.wav|v405sb99h/pv63g1800.mods.xml|technical metadata file|asset front,,,audio reel tape,5d533884-3f6b-421a-9f30-a8207766d5ee,,https://api.dc.library.northwestern.edu/api/v2/works/5d533884-3f6b-421a-9f30-a8207766d5ee?as=iiif,2023-02-20T16:29:18.022358,AVR Migration,avr_migration.csv,,,pv63g1800,Music Library,None,,2022-09-23T17:42:44.887644Z,"{'note': 'Elias Tannenbaum.', 'type': 'Statement of Responsibility'}|{'note': 'For 5 players.', 'type': 'General Note'}|{'note': 'Duration: about 10 min.', 'type': 'General Note'}",score (25 pages) + 5 parts|reel (7 1/2 ips. 1/2-track. stereo.),36 cm|7 inches,Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,Paul Price Publications,,,https://iiif.dc.library.northwestern.edu/iiif/2/017facfe-057a-4533-9259-b314875d0eeb,,In Copyright - Educational Use Permitted,,,,Done,,Percussion ensembles|Electronic music,,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/5d533884-3f6b-421a-9f30-a8207766d5ee/thumbnail,Images II : for percussion and tape,Institution,Audio
,avr:0z708z145,,https://api.dc.library.northwestern.edu/api/v2/works/f7d8248a-27e8-4269-b4a3-2e2a89b7d752,Work,ark:/81985/n2cr5qw9z,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/f7d8248a-27e8-4269-b4a3-2e2a89b7d752,,995734454202441,Electroacoustic Music Collection,,2022-01-21T06:08:57.095879Z,"Luening, Otto, 1900-1996",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1975,,inu-electroacoustic_v0012s01_am.wav|inu-electroacoustic_v0012s01_pm.wav|v405sb99h/0z708z145.mods.xml|technical metadata file|asset front,,,audio reel tape,f7d8248a-27e8-4269-b4a3-2e2a89b7d752,,https://api.dc.library.northwestern.edu/api/v2/works/f7d8248a-27e8-4269-b4a3-2e2a89b7d752?as=iiif,2023-02-20T16:33:16.745526,AVR Migration,avr_migration.csv,,,0z708z145,Music Library,None,,2022-09-23T17:43:15.806594Z,"{'note': 'by Otto Luening.', 'type': 'Statement of Responsibility'}|{'note': '""Electronic mutations of the Ruffati pipe organ in St. Mary\'s Cathedral, San Francisco.""\nEnding is slightly abrupt.', 'type': 'General Note'}",23 pages|1 reel (7 1/2 ips. 1/2-track. stereo.),22 x 28 cm|7 inches,Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,World Library Publications,,,https://iiif.dc.library.northwestern.edu/iiif/2/566be70a-81e2-43ad-8d08-e6b0fa305903,,In Copyright - Educational Use Permitted,,,,Done,,Organ music|Electronic music,,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/f7d8248a-27e8-4269-b4a3-2e2a89b7d752/thumbnail,Variations on Fugue and chorale fantasy : organ and electronic doubles,Institution,Audio
,avr:cv43nz51g,,https://api.dc.library.northwestern.edu/api/v2/works/a1b044d1-9c9e-4a6f-af72-b5807cf8d99e,Work,ark:/81985/n2kd1t497,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/a1b044d1-9c9e-4a6f-af72-b5807cf8d99e,,997356574202441,Electroacoustic Music Collection,,2022-01-21T06:24:58.604207Z,"Krenek, Ernst, 1900-1991",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1972,,inu-electroacoustic_v0007s01_am.wav|inu-electroacoustic_v0007s01_pm.wav|v405sb99h/cv43nz51g.mods.xml|technical metadata file|asset front,,,audio reel tape,a1b044d1-9c9e-4a6f-af72-b5807cf8d99e,,https://api.dc.library.northwestern.edu/api/v2/works/a1b044d1-9c9e-4a6f-af72-b5807cf8d99e?as=iiif,2023-02-20T16:35:25.483015,AVR Migration,avr_migration.csv,,,cv43nz51g,Music Library,None,,2022-09-23T17:43:33.080202Z,"{'note': 'Ernst Krenek.', 'type': 'Statement of Responsibility'}|{'note': '""Bärenreiter 6137""', 'type': 'General Note'}",score (26 pages)|phonotape (1 reel ; 15 in. per sec. ; 1/4 track ; stereophonic),34 cm|7 inches,Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,Bärenreiter,,,https://iiif.dc.library.northwestern.edu/iiif/2/17fce200-09bb-4592-a09b-94e315984d56,,In Copyright - Educational Use Permitted,,,,Done,,Oboe and harp music|Electronic music,,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/a1b044d1-9c9e-4a6f-af72-b5807cf8d99e/thumbnail,"Aulokithara : für Oboe, Harfe und elektronisches Tonband = Aulokithara : for oboe, harp and electronic tape",Institution,Audio
,avr:zp38wf33g,,https://api.dc.library.northwestern.edu/api/v2/works/0305b5fc-36d1-4dbf-9ad7-299eaf366134,Work,ark:/81985/n23778f10,aa93f916-9377-487c-9328-019b555bcd95,,,https://dc.library.northwestern.edu/items/0305b5fc-36d1-4dbf-9ad7-299eaf366134,,999911164202441,Electroacoustic Music Collection,,2022-01-21T06:26:59.939533Z,"Yannay, Yehuda, 1937-",a4a916f1-7dec-4bd6-a2d8-b1718a8d8856,,1984,,inu-electroacoustic_v0008s01_am.wav|inu-electroacoustic_v0008s01_pm.wav|v405sb99h/zp38wf33g.mods.xml|technical metadata file|asset front,,,audio reel tape,0305b5fc-36d1-4dbf-9ad7-299eaf366134,,https://api.dc.library.northwestern.edu/api/v2/works/0305b5fc-36d1-4dbf-9ad7-299eaf366134?as=iiif,2023-02-20T16:35:30.447193,AVR Migration,avr_migration.csv,,,zp38wf33g,Music Library,None,,2022-09-23T17:43:54.118811Z,"{'note': 'by  Yehuda Yannay.', 'type': 'Statement of Responsibility'}|{'note': '0 Decibel (Db) reference tone at start.', 'type': 'General Note'}",2 scores|1 sound tape reel.,,Level 1,"{'cycle': '2019', 'desc': 'Audio accompaniment for live performances.  1965. Titles have MARC records and have accompanying scores (scores do not need to be digitized for this project cycle). Should be included in the proposals for the At Risk Media.  Composers of note are David Cope and Yehuda Yannay.', 'manager': 'Dan Zellner', 'name': 'Electroacoustic Music Project', 'proposer': 'Greg MacAyeal', 'task_number': 'P0029'}",,True,Smith Publications,,,https://iiif.dc.library.northwestern.edu/iiif/2/72a4d548-54df-4825-8104-d5bf37cb9279,,In Copyright - Educational Use Permitted,,,,Done,,Trombone and glass harmonica music|Electronic music,,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited.",https://api.dc.library.northwestern.edu/api/v2/works/0305b5fc-36d1-4dbf-9ad7-299eaf366134/thumbnail,"Im Silberwald : for trombone, glass harmonica, and tape",Institution,Audio
