abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:315149,,https://api.dc.library.northwestern.edu/api/v2/works/c3cd15d6-a707-4d4f-b76a-d22db3a111a5,Work,ark:/81985/n23r0q449,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/c3cd15d6-a707-4d4f-b76a-d22db3a111a5,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-16T16:06:00.808354Z,,,,1993,"Two girls with facial tattoos; older one with floral head scarf, multicolor beaded necklace and earrings, handwoven multicolor striped garment with white diamond pattern on bodice",inu-dil-7b819249-3579-4fdb-aceb-ded32d835bfa.tif,,,color photographs,c3cd15d6-a707-4d4f-b76a-d22db3a111a5,,https://api.dc.library.northwestern.edu/api/v2/works/c3cd15d6-a707-4d4f-b76a-d22db3a111a5?as=iiif,2023-02-20T16:14:40.676774,None,None,,,inu:dil-7b819249-3579-4fdb-aceb-ded32d835bfa,Herskovits Library of African Studies,None,,2022-11-29T19:21:12.830930Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries', 'type': 'General Note'}",silver-dye bleach prints,24 x 19 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/3d2664a5-6ffe-4d39-819d-2b5bec9e03c7,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,Nigeria|Tattooing|Portrait photography|Clothing and dress|Girls' clothing|Necklaces|Beaded jewelry|Portraits|Children|Photographs|Jewelry|Girls,,silver-dye bleach process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c3cd15d6-a707-4d4f-b76a-d22db3a111a5/thumbnail,"Sisters from Bauchi State, Nigeria, 1993",Institution,Image
,Voyager:315136,,https://api.dc.library.northwestern.edu/api/v2/works/f5662ce9-413c-4293-ad1d-0799f80b14a1,Work,ark:/81985/n2td9nk0v,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/f5662ce9-413c-4293-ad1d-0799f80b14a1,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-16T22:09:25.755236Z,,,,1993,"Older woman with paired vertical tattoos below eyes, blue-and-yellow headcloth, draped fine pale cloth",inu-dil-abc0e350-0b6a-4b02-97b7-e4b5539c0135.tif,,,color photographs,f5662ce9-413c-4293-ad1d-0799f80b14a1,,https://api.dc.library.northwestern.edu/api/v2/works/f5662ce9-413c-4293-ad1d-0799f80b14a1?as=iiif,2023-02-20T16:18:58.758740,None,None,,,inu:dil-abc0e350-0b6a-4b02-97b7-e4b5539c0135,Herskovits Library of African Studies,None,,2022-11-29T19:21:12.830930Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries', 'type': 'General Note'}",silver-dye bleach prints,24 x 19 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/caa370cb-94bd-415f-8a6c-f597e6c60c94,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,Nigeria|Portrait photography|Clothing and dress|Nigerians|Photographs|Portraits|Women|Women's clothing,,silver-dye bleach process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f5662ce9-413c-4293-ad1d-0799f80b14a1/thumbnail,"Hajia from Kogi State, Nigeria, 1993",Institution,Image
,Voyager:315150,,https://api.dc.library.northwestern.edu/api/v2/works/20a4fe29-1ed6-4439-a8ff-2e61dce523a1,Work,ark:/81985/n2gx4551b,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/20a4fe29-1ed6-4439-a8ff-2e61dce523a1,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-15T17:33:30.768595Z,,,,1993,"Woman with tattoos by mouth, amber and fine bead necklaces, red/black/white/blue garment and head cloths, holding baby",inu-dil-d649ea5f-2fe8-48a3-ab36-39b3a595510e.tif,,,color photographs,20a4fe29-1ed6-4439-a8ff-2e61dce523a1,,https://api.dc.library.northwestern.edu/api/v2/works/20a4fe29-1ed6-4439-a8ff-2e61dce523a1?as=iiif,2023-02-20T16:34:38.237572,None,None,,,inu:dil-d649ea5f-2fe8-48a3-ab36-39b3a595510e,Herskovits Library of African Studies,None,,2022-11-29T19:21:12.651527Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries', 'type': 'General Note'}",silver-dye bleach prints,24 x 19 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/0b0dbefe-e4f5-4b1b-b261-1a6cf996ee1f,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,Nigeria|Tattooing|Portrait photography|Clothing and dress|Necklaces|Infants|Nigerians|Photography|Jewelry|Portraits|Women's clothing|Beaded jewelry|Women,,silver-dye bleach process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/20a4fe29-1ed6-4439-a8ff-2e61dce523a1/thumbnail,"Mother and child, Mubi, North-East Nigeria, 1993",Institution,Image
,Voyager:315159,,https://api.dc.library.northwestern.edu/api/v2/works/3fc25255-d61a-4c33-8db9-91d5d45cc8cb,Work,ark:/81985/n2pn8xr7k,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/3fc25255-d61a-4c33-8db9-91d5d45cc8cb,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-15T19:45:31.436386Z,,,,1986,"Three young Fula men--two younger in blue tunics and bead necklaces, older in red/brown with paisley pattern; all holding staffs",inu-dil-40a00fb4-a11c-4f2a-9681-fccea5c27d05.tif,,,color photographs,3fc25255-d61a-4c33-8db9-91d5d45cc8cb,,https://api.dc.library.northwestern.edu/api/v2/works/3fc25255-d61a-4c33-8db9-91d5d45cc8cb?as=iiif,2023-02-20T16:34:42.750964,None,None,,,inu:dil-40a00fb4-a11c-4f2a-9681-fccea5c27d05,Herskovits Library of African Studies,None,,2022-11-29T19:21:12.830930Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries', 'type': 'General Note'}",silver-dye bleach prints,19 x 24 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/0bcad1eb-039a-4e49-b9bd-c7a94385f948,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,"Nigeria|Portrait photography|Clothing and dress|Youth|Nigerians|Headgear|Beaded jewelry|Portraits|Young men|Men's clothing|Staffs (Sticks, canes, etc.)|Fula (African people)|Photographs",,silver-dye bleach process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/3fc25255-d61a-4c33-8db9-91d5d45cc8cb/thumbnail,"Boys from Niger State, Nigeria, 1986",Institution,Image
,Voyager:315161,,https://api.dc.library.northwestern.edu/api/v2/works/a6d41d33-03f2-40ad-ac73-0419f9e8cedc,Work,ark:/81985/n2np1wv5x,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/a6d41d33-03f2-40ad-ac73-0419f9e8cedc,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-16T13:29:04.065616Z,,,,1986,"Two seated women with vertical tattoos down center of face and outlining lips, spiral tattoos below shoulders, pale irregular lines around upper arms; left one with boy on lap; other children behind by mud walls",inu-dil-d7386377-40a8-423c-97ff-ac57f0559f00.tif,,,color photographs,a6d41d33-03f2-40ad-ac73-0419f9e8cedc,,https://api.dc.library.northwestern.edu/api/v2/works/a6d41d33-03f2-40ad-ac73-0419f9e8cedc?as=iiif,2023-02-20T16:34:52.257862,None,None,,,inu:dil-d7386377-40a8-423c-97ff-ac57f0559f00,Herskovits Library of African Studies,None,,2022-11-29T19:21:12.830930Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries', 'type': 'General Note'}",silver-dye bleach prints,19 x 24 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/414301fa-7b4d-44de-b626-22e3cb6ac8a7,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,Nigeria|Tattooing|Portrait photography|Clothing and dress|Mothers and sons|Nigerians|Photographs|Portraits|Children|Women's clothing|Women,,silver-dye bleach process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a6d41d33-03f2-40ad-ac73-0419f9e8cedc/thumbnail,"Young maiden, South Nigeria, 1986",Institution,Image
,Voyager:315163,,https://api.dc.library.northwestern.edu/api/v2/works/238a8785-27a1-4d75-a1d9-c425b0721b21,Work,ark:/81985/n2bc3t74d,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/238a8785-27a1-4d75-a1d9-c425b0721b21,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-15T17:44:26.121302Z,,,,1992,"Thatched huts with woven-fiber walls, stepped logs on Y-supports",inu-dil-46ce5ef8-551c-4cd2-9236-b819fc3aba7f.tif,,,color photographs,238a8785-27a1-4d75-a1d9-c425b0721b21,,https://api.dc.library.northwestern.edu/api/v2/works/238a8785-27a1-4d75-a1d9-c425b0721b21?as=iiif,2023-02-20T16:07:30.037031,None,None,,,inu:dil-46ce5ef8-551c-4cd2-9236-b819fc3aba7f,Herskovits Library of African Studies,None,,2022-11-29T19:21:13.057302Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries. Later published in: Onyefulu, Ifeoma. A is for Africa. 1st American edition. New York : Cobblehill Books, Dutton, 1993, page ""Vv.""', 'type': 'General Note'}",silver-dye bleach prints,22 x 29 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/7cf90a6c-f333-41b5-99c9-3a0d73730ae3,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,"Nigeria|Villages|Thatched buildings|Thatched roofs|Architecture, Domestic|Photographs",,silver-dye bleach process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/238a8785-27a1-4d75-a1d9-c425b0721b21/thumbnail,"From Onyefulu’s book, 'A is for Africa', Bauchi State, Nigeria, 1992",Institution,Image
,Voyager:315154,,https://api.dc.library.northwestern.edu/api/v2/works/b7152fe3-51b0-4b6f-9ace-18f59ce67be5,Work,ark:/81985/n26m33f0n,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/b7152fe3-51b0-4b6f-9ace-18f59ce67be5,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-16T14:54:26.745049Z,,,,1987,"Group of young men carrying calabashes (on heads) and nets on pole frames, walking by road",inu-dil-37185974-ef62-43fe-9da4-a348c31191b0.tif,,,color photographs,b7152fe3-51b0-4b6f-9ace-18f59ce67be5,,https://api.dc.library.northwestern.edu/api/v2/works/b7152fe3-51b0-4b6f-9ace-18f59ce67be5?as=iiif,2023-02-20T16:13:40.994365,None,None,,,inu:dil-37185974-ef62-43fe-9da4-a348c31191b0,Herskovits Library of African Studies,None,,2022-11-29T19:21:13.057302Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries', 'type': 'General Note'}",silver-dye bleach prints,19 x 24 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/311e906e-1fbe-47c3-8690-7779a6e84234,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,Nigeria|Gourds|Fishing|Youth|Fishing nets|Traditional fishing|Photography|Portraits|Young men|Nigerians|Equipment and supplies,,silver-dye bleach process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b7152fe3-51b0-4b6f-9ace-18f59ce67be5/thumbnail,"Fishermen from the Fishing Festival, Argungu, North Nigeria, 1987",Institution,Image
,Voyager:315138,,https://api.dc.library.northwestern.edu/api/v2/works/b81fd9ee-5544-4a0b-88c9-5f947d754cdc,Work,ark:/81985/n2z31p02q,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/b81fd9ee-5544-4a0b-88c9-5f947d754cdc,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-16T15:00:41.176289Z,,,,1993,"Older woman with vertical tattoos and scars, in blue-and-white cloth with white wrap around head and neck",inu-dil-619e7ef2-f9f3-41c3-8657-23004d310154.tif,,,color photographs,b81fd9ee-5544-4a0b-88c9-5f947d754cdc,,https://api.dc.library.northwestern.edu/api/v2/works/b81fd9ee-5544-4a0b-88c9-5f947d754cdc?as=iiif,2023-02-20T16:13:45.348835,None,None,,,inu:dil-619e7ef2-f9f3-41c3-8657-23004d310154,Herskovits Library of African Studies,None,,2022-11-29T19:21:13.057302Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries', 'type': 'General Note'}",silver-dye bleach prints,24 x 19 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/da7a5dcf-dd45-49a4-8993-6e64c3319e65,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,Nigeria|Tattooing|Portrait photography|Clothing and dress|Nigerians|Photographs|Portraits|Women's clothing|Scarification (Body marking)|Women,,silver-dye bleach process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b81fd9ee-5544-4a0b-88c9-5f947d754cdc/thumbnail,"Hajia from Kogi State, Nigeria, 1993",Institution,Image
,Voyager:315145,,https://api.dc.library.northwestern.edu/api/v2/works/db13b5e6-dee7-4ff1-af57-ee0d693f4f15,Work,ark:/81985/n27d2qj47,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/db13b5e6-dee7-4ff1-af57-ee0d693f4f15,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-16T19:33:58.118604Z,,,,1993,"Young girl in torn red-and-yellow garment, holding baby in lace-trimmed cap",inu-dil-46cb2ec7-9d4b-42bf-b133-b365063b6656.tif,,,color photographs,db13b5e6-dee7-4ff1-af57-ee0d693f4f15,,https://api.dc.library.northwestern.edu/api/v2/works/db13b5e6-dee7-4ff1-af57-ee0d693f4f15?as=iiif,2023-02-20T16:16:44.431592,None,None,,,inu:dil-46cb2ec7-9d4b-42bf-b133-b365063b6656,Herskovits Library of African Studies,None,,2022-11-29T19:21:13.057302Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries', 'type': 'General Note'}",silver-dye bleach prints,24 x 19 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/8eec181b-732c-4631-a3b4-d1b241bde4e4,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,Nigeria|Portrait photography|Infants' clothing|Infants|Nigerians|Photographs|Portraits|Children's clothing|Children|Girls' clothing|Girls,,silver-dye bleach process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/db13b5e6-dee7-4ff1-af57-ee0d693f4f15/thumbnail,"Children from Awkuzu, South Nigeria, 1993",Institution,Image
,Voyager:315172,,https://api.dc.library.northwestern.edu/api/v2/works/fd405943-5fd7-4683-9484-86121275090d,Work,ark:/81985/n2ms3kc00,21ca9916-4549-416b-993f-7df854d6f032,,,https://dc.library.northwestern.edu/items/fd405943-5fd7-4683-9484-86121275090d,,9947799884202441,Ifeoma Onyefulu : photographs,"Onyefulu, Ifeoma",2021-03-16T22:55:31.346951Z,,,,1992,Girl in four-petal-interlock patterned wrap cloth,inu-dil-969ae282-37b0-4395-b25b-26cf0b90d52f.tif,,,black-and-white photographs,fd405943-5fd7-4683-9484-86121275090d,,https://api.dc.library.northwestern.edu/api/v2/works/fd405943-5fd7-4683-9484-86121275090d?as=iiif,2023-02-20T16:19:38.408668,None,None,,,inu:dil-969ae282-37b0-4395-b25b-26cf0b90d52f,Herskovits Library of African Studies,None,,2022-11-29T19:21:13.129239Z,"{'note': 'Title (supplied by library) on spine of album, assembled by Northwestern University Libraries', 'type': 'General Note'}",gelatin silver prints,24 x 19 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11499'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/0b304de4-d73e-45d4-be61-ce16ce71c3b9,,In Copyright,,,"Onyefulu, Ifeoma. Photographs, 1984-1993.",Done,,Nigeria|Portrait photography|Clothing and dress|Girls' clothing|Nigerians|Photographs|Portraits|Children|Girls,,gelatin silver process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/fd405943-5fd7-4683-9484-86121275090d/thumbnail,"Hausa girl, Ningi, North Nigeria, 1992",Institution,Image
