abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:324427-324428,,https://api.dc.library.northwestern.edu/api/v2/works/72b808cd-3d69-4dc6-be93-841fc9178164,Work,ark:/81985/n2ms3k91k,,,,https://dc.library.northwestern.edu/items/72b808cd-3d69-4dc6-be93-841fc9178164,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T03:59:26.054549Z,,,,1951 to 1965,Contents: Advertisement for dining car services,Front|back,,,pamphlets,72b808cd-3d69-4dc6-be93-841fc9178164,TL003|NYC001-P|Item 1,https://api.dc.library.northwestern.edu/api/v2/works/72b808cd-3d69-4dc6-be93-841fc9178164?as=iiif,2023-02-20T16:04:31.362238,None,None,,English,inu:dil-04e1cbb1-3c89-4a66-b74d-a7f6d006dd1b|inu:dil-07ecffd7-f1cc-405b-8089-c0696fea52fc,Transportation Library,None,New York,2021-12-15T17:47:58.418777Z,"{'note': 'Note: ""CD-B-1 4-29-2.""', 'type': 'General Note'}",,1 sheet ; 12 cm x 17 cm,Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,New York Central Railroad Company,,,https://iiif.dc.library.northwestern.edu/iiif/2/40ac7045-dc36-4011-9661-5f509ea9772d,,No Copyright - United States,,Series 21 -- Sub-Series 2,,Done,,United States|Railroads--Dining-car service|New York Central Railroad Company|Menus,Front – back,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/72b808cd-3d69-4dc6-be93-841fc9178164/thumbnail,"New York Central Railroad Company, ""Good Morning!"", Between 1951 and 1965",Public,Image
,Accession:324036-324038,,https://api.dc.library.northwestern.edu/api/v2/works/789cd72b-69bd-4910-b41b-9057d4938d73,Work,ark:/81985/n2m32nj75,,,,https://dc.library.northwestern.edu/items/789cd72b-69bd-4910-b41b-9057d4938d73,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T04:26:06.392059Z,,,,1972,"Items on menu: Cocktails; Appetizers; Special Sandwiches; Dinner; Dessert; Beverage list ; Meals served: Dinner; Dessert; Cocktails. Representative dishes: Ham Omelete – Currant Jelly, Baked Potato or Whipped Potatoes or French Fried Potatoes, Vegetable of the Day, Served with our Amtrak Mixed Green Salad with your Choice of French or Thousand Island Dressing or Vinegar and Oil, Bran Muffins or Hot Dinner Rolls or Assorted Bread ($2.45)",Front cover|page 2|back cover,,,menus,789cd72b-69bd-4910-b41b-9057d4938d73,TL003|AMTK020|Item 20,https://api.dc.library.northwestern.edu/api/v2/works/789cd72b-69bd-4910-b41b-9057d4938d73?as=iiif,2023-02-20T16:05:12.324163,None,None,,English,inu:dil-e35bdaae-a8c4-4989-b8be-e13f354033cb|inu:dil-3ec9e322-2b5e-48e8-92a0-b8646ac00999|inu:dil-86b19dc5-ba36-4a13-8a12-7923f3b61ca5,Transportation Library,None,Washington,2021-12-15T17:47:59.225780Z,"{'note': 'Note: ""D1-4-72.""', 'type': 'General Note'}",,"2 p. ; 28 cm x 44 cm, folded to 28 cm",Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,Amtrak,,,https://iiif.dc.library.northwestern.edu/iiif/2/852f157e-c2cf-433c-b5a7-0f6ceb236f29,,No Copyright - United States,,Series 1 -- Sub-Series 1,,Done,,United States|Railroads--Dining-car service|Menus|Amtrak,Front cover – page 2 – back cover,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/789cd72b-69bd-4910-b41b-9057d4938d73/thumbnail,"Amtrak Menu, 1972",Public,Image
,Accession:324634-324635,,https://api.dc.library.northwestern.edu/api/v2/works/c3738135-9ac2-4cf7-903c-2f936def0a25,Work,ark:/81985/n27p8tn4v,,,,https://dc.library.northwestern.edu/items/c3738135-9ac2-4cf7-903c-2f936def0a25,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T16:04:03.912098Z,,,,1960 to 1975,Contents: Advertisement for dining car services,Recto|Verso,,,pamphlets,c3738135-9ac2-4cf7-903c-2f936def0a25,TL003|Item 2|RI002-P,https://api.dc.library.northwestern.edu/api/v2/works/c3738135-9ac2-4cf7-903c-2f936def0a25?as=iiif,2023-02-20T16:07:37.139793,None,None,,English,inu:dil-02683118-d5f6-42e9-8caf-274e221574d5|inu:dil-20925092-73f4-4596-bda0-2921c52e535c,Transportation Library,None,Chicago,2021-06-10T16:43:09.761465Z,,,"1 sheet (folded in half) ; 16 cm x 13 cm, folded to 8 cm",Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,"Chicago, Rock Island, and Pacific Railway Company",,,https://iiif.dc.library.northwestern.edu/iiif/2/9e9058a0-835f-4f9d-a77f-afc8687bae0b,,No Copyright - United States,,Series 12 -- Sub-Series 2,,Done,,"United States|Railroads--Dining-car service|Menus|Chicago, Rock Island, and Pacific Railway Company",,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c3738135-9ac2-4cf7-903c-2f936def0a25/thumbnail,"Chicago, Rock Island, and Pacific Railway Company, Champagne Cocktail, Between 1960 and 1975",Public,Image
,Accession:324140-324141,,https://api.dc.library.northwestern.edu/api/v2/works/704f985f-e9c9-41ac-9122-ec3823c68714,Work,ark:/81985/n2h708829,,,,https://dc.library.northwestern.edu/items/704f985f-e9c9-41ac-9122-ec3823c68714,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T03:49:38.527426Z,,,,1964,"Items on menu: Breakfast ; Meals served: Breakfast. Representative dishes: Bacon with eggs, as desired, Tea, Coffee or Milk ($1.75)",Front cover|back cover,,,menus,704f985f-e9c9-41ac-9122-ec3823c68714,CN008|TL003|Item 8,https://api.dc.library.northwestern.edu/api/v2/works/704f985f-e9c9-41ac-9122-ec3823c68714?as=iiif,2023-02-20T16:08:29.967195,None,None,,French|English,inu:dil-2906cd27-1c89-407b-8e3a-897aa3535b17|inu:dil-b4b839b3-3ced-47af-a0b0-70233b97d14c,Transportation Library,None,Montreal,2021-12-15T17:48:01.080579Z,"{'note': 'Note: ""CB-1 (5-64).""', 'type': 'General Note'}",illustrations,1 sheet ; 30 cm x 14 cm,Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,Canadian National Railways,,,https://iiif.dc.library.northwestern.edu/iiif/2/61a9e216-886c-4bed-953d-853e6c65549f,,No Copyright - United States,,Series 6 -- Sub-Series 1,,Done,,Canada|Railroads--Dining-car service|Menus|Canadian National Railways,Front cover – back cover,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/704f985f-e9c9-41ac-9122-ec3823c68714/thumbnail,"Canadian National Railways Menu, Breakfast, 1964",Public,Image
,Accession:324347-324348,,https://api.dc.library.northwestern.edu/api/v2/works/7b0cd722-3b67-4c6e-9713-4e44ec3b7529,Work,ark:/81985/n2pg1hx03,,,,https://dc.library.northwestern.edu/items/7b0cd722-3b67-4c6e-9713-4e44ec3b7529,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T04:36:35.864520Z,,,,1963,"Items on menu: Sandwiches; Salads ; Meals served: Snacks. Representative dishes: De Luxe Chicken Salad, with Crisp Lettuce, Garnish and Saltines ($1.70). Fresh Gulf Shrimp Salad, Panama Limited, Saltines ($1.85)",Front|back,,,menus,7b0cd722-3b67-4c6e-9713-4e44ec3b7529,Item 26|TL003|IC026,https://api.dc.library.northwestern.edu/api/v2/works/7b0cd722-3b67-4c6e-9713-4e44ec3b7529?as=iiif,2023-02-20T16:09:16.367371,None,None,,English,inu:dil-2277f068-39da-45f8-8596-30a60ed181f3|inu:dil-52b03487-fa85-4313-8842-29f39f03ae04,Transportation Library,None,Chicago,2021-12-15T17:48:02.620259Z,"{'note': 'Note: ""2-1-63.""', 'type': 'General Note'}",,1 sheet ; 21 cm x 14 cm,Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,Illinois Central Railroad Company,,,https://iiif.dc.library.northwestern.edu/iiif/2/9fbd9613-d7b1-4b37-8bb4-f74204cffed9,,No Copyright - United States,,Series 19 – Sub-Series 1,,Done,,United States|Railroads--Dining-car service|Menus|Illinois Central Railroad Company,Front – back,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7b0cd722-3b67-4c6e-9713-4e44ec3b7529/thumbnail,"Illinois Central Railroad Company Menu, Panama Limited, 1963",Public,Image
,Accession:324091-324092,,https://api.dc.library.northwestern.edu/api/v2/works/7d770db0-9150-4bc9-9c48-c369bcd0d3be,Work,ark:/81985/n2wh2dp47,,,,https://dc.library.northwestern.edu/items/7d770db0-9150-4bc9-9c48-c369bcd0d3be,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T04:46:52.230685Z,,,,1980,"Items on menu: Breakfast; Lighter fare; Beverage list; Soups; Dinner; Other ; Meals served: Breakfast; Dinner. Representative dishes: The Laurentian: French Toast served with Slices of Ham, Spiced Apple Ring, Butter and Syrup ($3.75). Broiled Sirloin Steak: Maitre D'Hotel Butter Anna Potatoes, Italian Vegetables ($5.50)",Front cover|back cover,,,menus,7d770db0-9150-4bc9-9c48-c369bcd0d3be,BM001|TL003|Item 1,https://api.dc.library.northwestern.edu/api/v2/works/7d770db0-9150-4bc9-9c48-c369bcd0d3be?as=iiif,2023-02-20T16:09:29.167376,None,None,,English,inu:dil-727e751e-3140-4823-a496-78c296bd5e2c|inu:dil-07d674a5-c8a2-470c-9843-1dc89d64f8c9,Transportation Library,None,North Billerica,2021-12-15T17:48:02.915355Z,"{'note': 'Note: ""60/61 5/80.""', 'type': 'General Note'}",,1 sheet ; 22 cm x 15 cm,Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,Boston and Maine Railroad Corporation,,,https://iiif.dc.library.northwestern.edu/iiif/2/a766591c-f654-4fe6-96ed-6ce466b67754,,In Copyright,,Series 4 -- Sub-Series 1,,Done,,Boston and Maine Railroad Corporation|United States|Railroads--Dining-car service|Menus,Front cover – back cover,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7d770db0-9150-4bc9-9c48-c369bcd0d3be/thumbnail,"Boston and Maine Railroad Corporation Menu, 1980",Public,Image
,Accession:324631-324633,,https://api.dc.library.northwestern.edu/api/v2/works/8869fe11-67a8-4cb5-bd0d-226834df148e,Work,ark:/81985/n2cf9jf80,,,,https://dc.library.northwestern.edu/items/8869fe11-67a8-4cb5-bd0d-226834df148e,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T05:36:31.922027Z,,,,1960 to 1975,Contents: Advertisement for dining car services,Front cover|page 1|back cover,,,pamphlets,8869fe11-67a8-4cb5-bd0d-226834df148e,RI001-P|TL003|Item 1,https://api.dc.library.northwestern.edu/api/v2/works/8869fe11-67a8-4cb5-bd0d-226834df148e?as=iiif,2023-02-20T16:10:11.061002,None,None,,English,inu:dil-f302feff-490d-45d0-8738-81388f655329|inu:dil-ed1684df-4f3f-4ab0-b7a0-82313a9590fb|inu:dil-56c9e2e1-755c-4462-823d-0ec5fd75f5ba,Transportation Library,None,Chicago,2021-06-10T16:43:09.761465Z,,,"1 sheet (folded in half) ; 22 cm x 14 cm, folded to 11 cm",Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,"Chicago, Rock Island, and Pacific Railway Company",,,https://iiif.dc.library.northwestern.edu/iiif/2/0c25cefa-61bc-4562-a99e-11697eeafa0e,,No Copyright - United States,,Series 12 -- Sub-Series 2,,Done,,"United States|Railroads--Dining-car service|Menus|Chicago, Rock Island, and Pacific Railway Company",Front cover – page 1 – back cover,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8869fe11-67a8-4cb5-bd0d-226834df148e/thumbnail,"Chicago, Rock Island, and Pacific Railway Company, Welcome aboard the Golden State, Between 1960 and 1975",Public,Image
,Accession:324500-324502,,https://api.dc.library.northwestern.edu/api/v2/works/8bc15c66-ec2c-4bf0-ad71-17d498108722,Work,ark:/81985/n26d5pk43,,,,https://dc.library.northwestern.edu/items/8bc15c66-ec2c-4bf0-ad71-17d498108722,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T05:50:47.752952Z,,,,1962,"Items on menu: Cocktails; Dinner; Salads; Sandwiches; Desserts; Beverage list. Meals served: Dinner. Representative dishes: Consomme Orsay or Chilled Pineapple Juice; Roast Duckling, Peanut Dressing—Apple Sauce, N.P. Big Baked Potato, Garden Peas, Tomato Parisienne, Corn Muffins or Holy-Ry; Choice of Dessert, Coffee or Tea (Hot or Iced) or Milk ($3.90)",Front cover|page 2|back cover,,,menus,8bc15c66-ec2c-4bf0-ad71-17d498108722,TL003|NP001|Item 1,https://api.dc.library.northwestern.edu/api/v2/works/8bc15c66-ec2c-4bf0-ad71-17d498108722?as=iiif,2023-02-20T16:10:11.132997,None,None,,English,inu:dil-d1fc665d-4769-4410-9ff4-dcabdc36517b|inu:dil-280e96d5-3565-4b99-b80d-8070d6ebaaac|inu:dil-ba56a616-6bab-4cdd-a666-126e10687936,Transportation Library,None,Saint Paul,2021-12-15T17:48:04.086747Z,"{'note': 'Note: ""Form 8234-B--9-62.""', 'type': 'General Note'}",illustrations,"2 p. ; 28 cm x 42 cm, folded to 28 cm",Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,Northern Pacific Railway Company,,,https://iiif.dc.library.northwestern.edu/iiif/2/03c060a4-7e17-4aff-afa6-2e8a04ecaa18,,No Copyright - United States,,Series 24 -- Sub-Series 1,,Done,,United States|Railroads--Dining-car service|Menus|Northern Pacific Railway Company,Front cover – page 2 – back cover,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8bc15c66-ec2c-4bf0-ad71-17d498108722/thumbnail,"Northern Pacific Railway Company Menu, 1962",Public,Image
,Accession:324676-324679,,https://api.dc.library.northwestern.edu/api/v2/works/929cc9a5-954d-4a18-842c-16f1597a2b4b,Work,ark:/81985/n2wp9tf9v,,,,https://dc.library.northwestern.edu/items/929cc9a5-954d-4a18-842c-16f1597a2b4b,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T06:24:07.081513Z,,,,1962,"Items on menu: Cocktails; Beverage list; Other ; Meals served: Cocktails. Representative dishes: Playing Cards, Deck ($1.00). Dewars White Label Scotch Whiskey ($1.10). Chewing Gum ($0.05)",Front cover |page 1 |page 2 |back cover,,,menus,929cc9a5-954d-4a18-842c-16f1597a2b4b,TL003|SOU002|Item 2,https://api.dc.library.northwestern.edu/api/v2/works/929cc9a5-954d-4a18-842c-16f1597a2b4b?as=iiif,2023-02-20T16:10:56.222032,None,None,,English,inu:dil-fc64135f-3663-48d5-9f99-1b290f9deb81|inu:dil-5aaad7ea-5be2-4a11-b14b-7f7837bed29c|inu:dil-1587371d-99d5-4d16-977c-a40b39149f82|inu:dil-7d33f7d9-ed23-443e-8404-4d49f07f68c6,Transportation Library,None,Washington,2021-12-15T17:48:05.770655Z,"{'note': 'Note: ""3m 7-62""', 'type': 'General Note'}",some color illustrations,"2 p. ; 22 cm x 28 cm, folded to 22 cm",Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,Southern Railway,,,https://iiif.dc.library.northwestern.edu/iiif/2/62a195a2-7b99-495a-9580-806815cf28c9,,No Copyright - United States,,Series 32 -- Sub-Series 1,,Done,,United States|Railroads--Dining-car service|Menus|Southern Railway (U.S.),Front cover – page 1 – page 2 – back cover,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/929cc9a5-954d-4a18-842c-16f1597a2b4b/thumbnail,"Southern Railway (U.S.) Menu, Buffet service, 1962",Public,Image
,Accession:324326-324327,,https://api.dc.library.northwestern.edu/api/v2/works/9544cef9-1410-4c53-9249-2c5c15fc2165,Work,ark:/81985/n2qb9vd9t,,,,https://dc.library.northwestern.edu/items/9544cef9-1410-4c53-9249-2c5c15fc2165,,,Ira Silverman Railroad Menu Collection,"Silverman, Ira, 1946-",2021-03-16T06:36:40.636985Z,,,,1971,"Items on menu: Breakfast ; Meals served: Breakfast. Representative dishes: Choice of Chilled Orange, Tomato, Prune or Pineapple Juice, Sugar Cured Ham or Bacon, with one Egg, Dry or Buttered Toast, Jelly, Tea or Coffee or Milk ($2.05/With two Eggs: $2.25)",Front|back,,,menus,9544cef9-1410-4c53-9249-2c5c15fc2165,TL003|IC020|Item 20,https://api.dc.library.northwestern.edu/api/v2/works/9544cef9-1410-4c53-9249-2c5c15fc2165?as=iiif,2023-02-20T16:11:01.627944,None,None,,English,inu:dil-2eb73569-8882-4af3-8983-72f5d8a07e9f|inu:dil-146045f8-cb1a-432c-9b54-f4cc9bb54806,Transportation Library,None,Chicago,2021-12-15T17:48:05.896043Z,"{'note': 'Note: ""1-2 8-71.""', 'type': 'General Note'}",some color illustrations,1 sheet ; 28 cm x 21 cm,Level 1,"{'cycle': '2017', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Ira Silverman Railroad Menus', 'proposer': 'Roberto Sarmiento', 'task_number': 'Job:11802'}",,True,Illinois Central Railroad Company,,,https://iiif.dc.library.northwestern.edu/iiif/2/02ba9a22-641c-458f-a268-0026127d46ef,,No Copyright - United States,,Series 19 – Sub-Series 1,,Done,,United States|Railroads--Dining-car service|Menus|Illinois Central Railroad Company,Front – back,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9544cef9-1410-4c53-9249-2c5c15fc2165/thumbnail,"Illinois Central Railroad Company Menu, Palm Grove Cafe, 1971",Public,Image
