abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:inucordwell0355,,https://api.dc.library.northwestern.edu/api/v2/works/02b349ef-ac16-4f11-8538-67e4be3fabbc,Work,ark:/81985/n2r20s61k,,,,https://dc.library.northwestern.edu/items/02b349ef-ac16-4f11-8538-67e4be3fabbc,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-15T15:40:39.367845Z,,,,circa 1949 to circa 2000,,inu-dil-56bf726a-6720-4d59-8c35-0030cc13f0d7.tif,,,,02b349ef-ac16-4f11-8538-67e4be3fabbc,,https://api.dc.library.northwestern.edu/api/v2/works/02b349ef-ac16-4f11-8538-67e4be3fabbc?as=iiif,2023-02-20T16:03:49.081228,None,None,,,inu:dil-56bf726a-6720-4d59-8c35-0030cc13f0d7,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/e454aed0-7bb5-41e0-9c09-0b0dbea98d12,,In Copyright,,,,Done,,Crowds,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/02b349ef-ac16-4f11-8538-67e4be3fabbc/thumbnail,Crowd of people,Institution,Image
,Voyager:inucordwell1455,,https://api.dc.library.northwestern.edu/api/v2/works/715fa84f-e310-410b-986d-0bedbe0b8731,Work,ark:/81985/n2bk17051,,,,https://dc.library.northwestern.edu/items/715fa84f-e310-410b-986d-0bedbe0b8731,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-16T03:54:08.712275Z,,,,1947 to 1949,Justine Johnson Cordwell curated the displays as part of her role as TA for Anthropology Dept. summer 1947 to spring 1949. Interest in them brought in new students for department. Negatives from museum cases taken with Kodak.,inu-dil-13b2aafc-f43c-4800-90a6-949bc70ee70f.tif,,,photographs,715fa84f-e310-410b-986d-0bedbe0b8731,,https://api.dc.library.northwestern.edu/api/v2/works/715fa84f-e310-410b-986d-0bedbe0b8731?as=iiif,2023-02-20T16:04:04.126805,None,None,,,inu:dil-13b2aafc-f43c-4800-90a6-949bc70ee70f,University Archives,None,Africa,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/ad89907b-228d-496e-ab22-a774659e4dc9,,In Copyright,,,,Done,,Men|Antelopes|Exhibitions,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/715fa84f-e310-410b-986d-0bedbe0b8731/thumbnail,"Northwestern, Locy Hall, 1st foor cases. West African textiles",Institution,Image
,Voyager:inucordwell0042,,https://api.dc.library.northwestern.edu/api/v2/works/70a8e1f5-31f3-474d-8c7b-d72279b1007d,Work,ark:/81985/n2bn9xc8d,,,,https://dc.library.northwestern.edu/items/70a8e1f5-31f3-474d-8c7b-d72279b1007d,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-16T03:51:01.337210Z,,,,1949 to 1950,,inu-dil-86501762-6ac5-47a1-8c69-0d4b041f0ef8.tif,,,photographs,70a8e1f5-31f3-474d-8c7b-d72279b1007d,,https://api.dc.library.northwestern.edu/api/v2/works/70a8e1f5-31f3-474d-8c7b-d72279b1007d?as=iiif,2023-02-20T16:03:57.077676,None,None,,,inu:dil-86501762-6ac5-47a1-8c69-0d4b041f0ef8,University Archives,None,Ijebu-Igbo,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/af44d073-0738-46b0-a1a0-6d5f2d718619,,In Copyright,,,,Done,Yoruba (culture or style),Ethnic costume|Egúngún (Cult)|Textile fabrics,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/70a8e1f5-31f3-474d-8c7b-d72279b1007d/thumbnail,"Protective spirits and attendants dancing before the Oromdusi of Ijebu-Igbo, southwest Yoruba",Institution,Image
,Voyager:inucordwell0727,,https://api.dc.library.northwestern.edu/api/v2/works/71abb747-dc82-4464-8bb4-c27bb611f7ba,Work,ark:/81985/n2p26qd32,,,,https://dc.library.northwestern.edu/items/71abb747-dc82-4464-8bb4-c27bb611f7ba,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-16T03:55:13.471770Z,,,,circa 1949 to circa 2000,,inu-dil-2fbf0fd3-dc86-4bdb-9164-76a193cc0001.tif,,,photographs,71abb747-dc82-4464-8bb4-c27bb611f7ba,,https://api.dc.library.northwestern.edu/api/v2/works/71abb747-dc82-4464-8bb4-c27bb611f7ba?as=iiif,2023-02-20T16:04:16.248493,None,None,,,inu:dil-2fbf0fd3-dc86-4bdb-9164-76a193cc0001,University Archives,None,Africa,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/623ee504-8422-4791-b035-789d867701fc,,In Copyright,,,,Done,,Carvers (Decorative artists)|Artists' studios,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/71abb747-dc82-4464-8bb4-c27bb611f7ba/thumbnail,"L. A. Alaye, Sculptor",Institution,Image
,Voyager:inucordwell0089,,https://api.dc.library.northwestern.edu/api/v2/works/71aef8e6-7fdb-4104-8bc8-97fce223d547,Work,ark:/81985/n2kw59k0v,,,,https://dc.library.northwestern.edu/items/71aef8e6-7fdb-4104-8bc8-97fce223d547,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-16T03:55:18.141353Z,,,,1989,,inu-dil-2b9ee4f1-c76c-4802-beeb-003b6e142596.tif,,,photographs,71aef8e6-7fdb-4104-8bc8-97fce223d547,,https://api.dc.library.northwestern.edu/api/v2/works/71aef8e6-7fdb-4104-8bc8-97fce223d547?as=iiif,2023-02-20T16:04:16.253202,None,None,,,inu:dil-2b9ee4f1-c76c-4802-beeb-003b6e142596,University Archives,None,Nigeria,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9201f7a9-80dc-4442-8dc3-70bfde938c35,,In Copyright,,,,Done,,Mural painting and decoration,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/71aef8e6-7fdb-4104-8bc8-97fce223d547/thumbnail,Ifida's successful new bar with paintings,Institution,Image
,Voyager:inucordwell0126,,https://api.dc.library.northwestern.edu/api/v2/works/7290a4ba-a6ad-4bb9-af57-df08a3df64a5,Work,ark:/81985/n23f4np80,,,,https://dc.library.northwestern.edu/items/7290a4ba-a6ad-4bb9-af57-df08a3df64a5,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-16T03:58:58.375421Z,,,,1980,Made by son of carver informant of J. M. Cordwell. Cordwell took dying baby and mother to English nurses clinic and was saved.,inu-dil-60c32f81-8d73-498d-bc93-9ed5a0ec091e.tif,,,photographs,7290a4ba-a6ad-4bb9-af57-df08a3df64a5,,https://api.dc.library.northwestern.edu/api/v2/works/7290a4ba-a6ad-4bb9-af57-df08a3df64a5?as=iiif,2023-02-20T16:04:28.115283,None,None,,,inu:dil-60c32f81-8d73-498d-bc93-9ed5a0ec091e,University Archives,None,Nigeria,2021-06-10T16:43:09.761465Z,,Wood,approximately 30 cm (height),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/8e2e860d-5a27-4eca-b803-62292ecebb1b,,In Copyright,,,,Done,Yoruba (culture or style),Carving (Decorative arts),,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7290a4ba-a6ad-4bb9-af57-df08a3df64a5/thumbnail,Turtle,Institution,Image
,Voyager:inucordwell0738,,https://api.dc.library.northwestern.edu/api/v2/works/74423a90-091a-48e3-a4b8-0e93db912cb7,Work,ark:/81985/n2h708975,,,,https://dc.library.northwestern.edu/items/74423a90-091a-48e3-a4b8-0e93db912cb7,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-16T04:06:35.652856Z,,,,1980 to 1989,,inu-dil-939d1d9e-092a-4027-a02b-49f63be1cbc2.tif,,,photographs,74423a90-091a-48e3-a4b8-0e93db912cb7,,https://api.dc.library.northwestern.edu/api/v2/works/74423a90-091a-48e3-a4b8-0e93db912cb7?as=iiif,2023-02-20T16:04:41.492649,None,None,,,inu:dil-939d1d9e-092a-4027-a02b-49f63be1cbc2,University Archives,None,Nigeria--Lagos,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/0ca17997-abdc-4ddf-8f7c-549c7d0f43f8,,In Copyright,,,,Done,,Apartments,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/74423a90-091a-48e3-a4b8-0e93db912cb7/thumbnail,Row of modern apartment buildings,Institution,Image
,Voyager:inucordwell1063,,https://api.dc.library.northwestern.edu/api/v2/works/759f68bb-67c1-4902-bab8-43ca150178db,Work,ark:/81985/n2v11vw4s,,,,https://dc.library.northwestern.edu/items/759f68bb-67c1-4902-bab8-43ca150178db,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-16T04:13:04.325124Z,,,,1950 to 1959,,inu-dil-52a421a4-3a04-41cc-b874-7b276e981cf4.tif,,,photographs,759f68bb-67c1-4902-bab8-43ca150178db,,https://api.dc.library.northwestern.edu/api/v2/works/759f68bb-67c1-4902-bab8-43ca150178db?as=iiif,2023-02-20T16:04:57.444707,None,None,,,inu:dil-52a421a4-3a04-41cc-b874-7b276e981cf4,University Archives,None,Nigeria--Oshogbo,2021-06-10T16:43:09.761465Z,,Woodcarving,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/b1fc84a7-b5f8-4293-9fb5-1a896fe05400,,In Copyright,,,,Done,,Yoruba (African people)|Worship|Sculpture|Ritual|Shrines|Esu (Afro-Caribbean deity)|Statues,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/759f68bb-67c1-4902-bab8-43ca150178db/thumbnail,"Shrine. View, statue",Institution,Image
,Voyager:inucordwell0846,,https://api.dc.library.northwestern.edu/api/v2/works/75fecced-1f6a-4afd-9195-cbef92820cf7,Work,ark:/81985/n2kw57t81,,,,https://dc.library.northwestern.edu/items/75fecced-1f6a-4afd-9195-cbef92820cf7,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-16T04:14:38.755757Z,,,,1980 to 1989,,inu-dil-8c903e30-7db0-4751-a0eb-00ca845a015a.tif,,,photographs,75fecced-1f6a-4afd-9195-cbef92820cf7,,https://api.dc.library.northwestern.edu/api/v2/works/75fecced-1f6a-4afd-9195-cbef92820cf7?as=iiif,2023-02-20T16:05:00.791259,None,None,,,inu:dil-8c903e30-7db0-4751-a0eb-00ca845a015a,University Archives,None,Nigeria--Ilisan,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/c1e121dc-4c65-4e11-a2f5-1331ab276b01,,In Copyright,,,,Done,,Dwellings|Automobiles,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/75fecced-1f6a-4afd-9195-cbef92820cf7/thumbnail,Old mansion. Exterior,Institution,Image
,Voyager:inucordwell0393,,https://api.dc.library.northwestern.edu/api/v2/works/7603fef6-1234-4c74-906a-95818facc635,Work,ark:/81985/n2j67963x,,,,https://dc.library.northwestern.edu/items/7603fef6-1234-4c74-906a-95818facc635,,,Justine Cordwell Collection,"Cordwell, Justine M., 1920-2011",2021-03-16T04:14:43.201283Z,,,,circa 1949 to circa 2000,,inu-dil-c5340f71-c11a-4e9b-8213-ebfd8e0f3c17.tif,,,photographs,7603fef6-1234-4c74-906a-95818facc635,,https://api.dc.library.northwestern.edu/api/v2/works/7603fef6-1234-4c74-906a-95818facc635?as=iiif,2023-02-20T16:05:01.153238,None,None,,,inu:dil-c5340f71-c11a-4e9b-8213-ebfd8e0f3c17,University Archives,None,Africa,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/2f31599c-4ead-43da-a63f-bdd907733d1e,,In Copyright,,,,Done,,Africa|Clothing and dress|Musicians|Drum,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7603fef6-1234-4c74-906a-95818facc635/thumbnail,Drum,Institution,Image
