abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,P0379_35556048009641,,https://api.dc.library.northwestern.edu/api/v2/works/e964e402-1919-474d-88ca-02bbbd0f8c63,Work,ark:/81985/n2mw2bp75,c36fa0de-3c96-4988-9bd1-352a2565666e,,,https://dc.library.northwestern.edu/items/e964e402-1919-474d-88ca-02bbbd0f8c63,,9981586673802441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,J.E. Poorman (Firm),2021-05-13T20:14:40.093886Z,,48c73460-07af-441a-b80e-27c25b98ecdd,,1891,,Front Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8|Back Cover,,,catalogs (documents),e964e402-1919-474d-88ca-02bbbd0f8c63,,https://api.dc.library.northwestern.edu/api/v2/works/e964e402-1919-474d-88ca-02bbbd0f8c63?as=iiif,2023-02-20T16:20:51.147107, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0379 Bike Catalogs II.csv,,English,,Transportation Library,None,Ohio--Cincinnati,2021-12-15T17:48:24.144776Z,"{'note': 'Panel title', 'type': 'General Note'}",1 folded sheet (10 pages) with illustrations,19 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Early US Bicycle Companies Catalogs, Part II', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0379'}",,True,J.E. Poorman,,,https://iiif.dc.library.northwestern.edu/iiif/2/7ab550fd-bb35-4e2c-893e-d8baf46f44f4,,No Copyright - United States,,,,Done,,J.E. Poorman (Firm)|Bicycles,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e964e402-1919-474d-88ca-02bbbd0f8c63/thumbnail,"Bicycles manufactured for J.E. Poorman, agent",Public,Image
,P0379_35556048009740,Lovell Diamond cycles manufactured by John P. Lovell Arms Co.,https://api.dc.library.northwestern.edu/api/v2/works/b6db1f5a-1eaf-43dd-a2c1-9d59462abf3e,Work,ark:/81985/n24t6hc09,c36fa0de-3c96-4988-9bd1-352a2565666e,,,https://dc.library.northwestern.edu/items/b6db1f5a-1eaf-43dd-a2c1-9d59462abf3e,,9981575450202441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,John P. Lovell Arms Company,2021-05-13T20:14:25.143217Z,,48c73460-07af-441a-b80e-27c25b98ecdd,,1895,,Front Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8|Page 9|Page 10|Page 11|Page 12|Page 13|Page 14|Page 15|Page 16|Page 17|Page 18|Page 19|Page 20|Page 21|Page 22|Page 23|Page 24|Page 25|Page 26|Page 27|Page 28|Page 29|Page 30|Page 31|Page 32|Page 33|Page 34|Page 35|Page 36|Back Cover,,,catalogs (documents),b6db1f5a-1eaf-43dd-a2c1-9d59462abf3e,,https://api.dc.library.northwestern.edu/api/v2/works/b6db1f5a-1eaf-43dd-a2c1-9d59462abf3e?as=iiif,2023-02-20T16:20:53.671484, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0379 Bike Catalogs II.csv,,English,,Transportation Library,None,Massachusetts--Boston,2021-07-12T17:44:32.551179Z,,32 pages with illustrations,15 x 21 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Early US Bicycle Companies Catalogs, Part II', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0379'}",,True,John P. Lovell Arms Co.,,,https://iiif.dc.library.northwestern.edu/iiif/2/79c5532f-b0e1-433d-b663-efb13b9d10f3,,No Copyright - United States,,,,Done,,John P. Lovell Arms Company|Bicycles,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b6db1f5a-1eaf-43dd-a2c1-9d59462abf3e/thumbnail,Lovell Diamond cycles,Public,Image
,P0379_35556048009658,,https://api.dc.library.northwestern.edu/api/v2/works/87a345d7-415a-4c3e-a8d3-b519578bc5ca,Work,ark:/81985/n2cc0x28h,c36fa0de-3c96-4988-9bd1-352a2565666e,,,https://dc.library.northwestern.edu/items/87a345d7-415a-4c3e-a8d3-b519578bc5ca,,9981587174202441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,Willis' Park Row Bicycle Co.,2021-05-13T20:14:46.024132Z,,48c73460-07af-441a-b80e-27c25b98ecdd,,1902,,Front Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8|Page 9|Page 10|Page 11|Page 12|Page 13|Page 14|Back Cover,,,catalogs (documents),87a345d7-415a-4c3e-a8d3-b519578bc5ca,,https://api.dc.library.northwestern.edu/api/v2/works/87a345d7-415a-4c3e-a8d3-b519578bc5ca?as=iiif,2023-02-20T16:20:55.583920, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0379 Bike Catalogs II.csv,,English,,Transportation Library,None,New York (N.Y.),2021-12-15T17:48:24.523638Z,"{'note': 'Caption title. ""Confidential."" ""Feb. 1902.""', 'type': 'General Note'}",16 pages,16 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Early US Bicycle Companies Catalogs, Part II', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0379'}",,True,Willis' Park Row Bicycle Co. Creation Date,,,https://iiif.dc.library.northwestern.edu/iiif/2/abf4ac6d-be96-4e7b-a0d3-7c7ec1cf26e1,,No Copyright - United States,,,,Done,,Willis' Park Row Bicycle Co.|Bicycles--Equipment and supplies,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/87a345d7-415a-4c3e-a8d3-b519578bc5ca/thumbnail,Net cash prices to cycle dealers,Public,Image
,P0379_35556048009781,"Columbia, Hartford & Vedette bicycles 1905",https://api.dc.library.northwestern.edu/api/v2/works/f1dcbdbf-4343-4dab-8627-e3597fbf893f,Work,ark:/81985/n2db7z00s,c36fa0de-3c96-4988-9bd1-352a2565666e,,,https://dc.library.northwestern.edu/items/f1dcbdbf-4343-4dab-8627-e3597fbf893f,,9981575741202441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,Pope Manufacturing Company,2021-05-13T20:14:15.652990Z,,48c73460-07af-441a-b80e-27c25b98ecdd,,1905,,Front Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8|Page 9|Page 10|Page 11|Page 12|Page 13|Page 14|Page 15|Page 16|Page 17|Page 18|Page 19|Page 20|Page 21|Page 22|Page 23|Page 24|Page 25|Page 26|Back Cover,,,catalogs (documents),f1dcbdbf-4343-4dab-8627-e3597fbf893f,,https://api.dc.library.northwestern.edu/api/v2/works/f1dcbdbf-4343-4dab-8627-e3597fbf893f?as=iiif,2023-02-20T16:20:55.591867, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0379 Bike Catalogs II.csv,,English,,Transportation Library,None,Connecticut--Hartford,2021-07-12T17:13:42.082932Z,,24 pages with illustrations,23 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Early US Bicycle Companies Catalogs, Part II', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0379'}",,True,"Pope Manufacturing Company, Eastern Department",,,https://iiif.dc.library.northwestern.edu/iiif/2/fc510a7b-41c2-4a32-9d35-c9249f5f22cf,,No Copyright - United States,,,,Done,,Pope Manufacturing Company|Bicycles,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f1dcbdbf-4343-4dab-8627-e3597fbf893f/thumbnail,"Columbia, Hartford and Vedette bicycles",Public,Image
,P0379_35556048009732,Rex Cycle Co.,https://api.dc.library.northwestern.edu/api/v2/works/7c2438d8-3e09-4d01-9dff-7797b8e328c1,Work,ark:/81985/n2154gx8p,c36fa0de-3c96-4988-9bd1-352a2565666e,,,https://dc.library.northwestern.edu/items/7c2438d8-3e09-4d01-9dff-7797b8e328c1,,9981575449802441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,Rex Cycle Co.,2021-05-13T20:14:30.108516Z,,48c73460-07af-441a-b80e-27c25b98ecdd,,1898,,Front Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8|Page 9|Page 10|Page 11|Page 12|Page 13|Page 14|Page 15|Page 16|Page 17|Page 18|Page 19|Page 20|Page 21|Page 22|Page 23|Page 24|Page 25|Page 26|Page 27|Page 28|Page 29|Page 30|Page 31|Page 32|Page 33|Page 34|Back Cover,,,catalogs (documents),7c2438d8-3e09-4d01-9dff-7797b8e328c1,,https://api.dc.library.northwestern.edu/api/v2/works/7c2438d8-3e09-4d01-9dff-7797b8e328c1?as=iiif,2023-02-20T16:20:56.444019, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0379 Bike Catalogs II.csv,,English,,Transportation Library,None,Illinois--Chicago,2021-07-12T17:37:22.650703Z,,29 unnumbered pages with illustrations,20 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Early US Bicycle Companies Catalogs, Part II', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0379'}",,True,Rex Cycle Co.,,,https://iiif.dc.library.northwestern.edu/iiif/2/40311e5d-9f6b-45ac-8354-77869ca8e0ff,,No Copyright - United States,,,,Done,,Illinois--Chicago|Rex Cycle Co.|Bicycles,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7c2438d8-3e09-4d01-9dff-7797b8e328c1/thumbnail,Rex cycle,Public,Image
,P0379_35556048009864,1898 Grande bicycles|Grande bicycle,https://api.dc.library.northwestern.edu/api/v2/works/e8a136f5-2562-43b2-a724-d35abc3ed70c,Work,ark:/81985/n2kw59s8d,c36fa0de-3c96-4988-9bd1-352a2565666e,,,https://dc.library.northwestern.edu/items/e8a136f5-2562-43b2-a724-d35abc3ed70c,,9981575755202441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,Holton Hardware Co.,2021-05-13T20:15:09.846690Z,,48c73460-07af-441a-b80e-27c25b98ecdd,,1898?,,Front Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8|Page 9|Page 10|Back Cover,,,catalogs (documents),e8a136f5-2562-43b2-a724-d35abc3ed70c,,https://api.dc.library.northwestern.edu/api/v2/works/e8a136f5-2562-43b2-a724-d35abc3ed70c?as=iiif,2023-02-20T16:20:58.331461, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0379 Bike Catalogs II.csv,,English,,Transportation Library,None,Vermont--Burlington,2021-07-12T17:38:17.613330Z,,8 unnumbered pages  with illustrations,16 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Early US Bicycle Companies Catalogs, Part II', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0379'}",,True,Holton Hardware Co.,,,https://iiif.dc.library.northwestern.edu/iiif/2/4934e2ec-a25e-43b1-9bcf-2f44291292e3,,No Copyright - United States,,,,Done,,Holton Hardware Co.|Bicycles,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e8a136f5-2562-43b2-a724-d35abc3ed70c/thumbnail,The wheel of the year : the 1898 Grande bicycles,Public,Image
,P0379_35556048009708,,https://api.dc.library.northwestern.edu/api/v2/works/a78c178a-59ec-4663-a503-01d1819631a9,Work,ark:/81985/n25q4tv76,c36fa0de-3c96-4988-9bd1-352a2565666e,,,https://dc.library.northwestern.edu/items/a78c178a-59ec-4663-a503-01d1819631a9,,9981575449302441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,Queen City Cycle Co.,2021-05-13T20:16:12.226869Z,,48c73460-07af-441a-b80e-27c25b98ecdd,,1896,,Front Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8|Page 9|Page 10|Page 11|Page 12|Page 13|Page 14|Page 15|Page 16|Page 17|Page 18|Page 19|Page 20|Page 21|Page 22|Page 23|Page 24|Page 25|Page 26|Page 27|Page 28|Page 29|Page 30|Page 31|Page 32|Page 33|Page 34|Back Cover,,,catalogs (documents),a78c178a-59ec-4663-a503-01d1819631a9,,https://api.dc.library.northwestern.edu/api/v2/works/a78c178a-59ec-4663-a503-01d1819631a9?as=iiif,2023-02-20T16:20:58.898620, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0379 Bike Catalogs II.csv,,English,,Transportation Library,None,New York (State)--Buffalo,2021-12-15T17:48:24.816147Z,"{'note': 'Cover title', 'type': 'General Note'}",31 pages with illustrations,10 x 17 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Early US Bicycle Companies Catalogs, Part II', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0379'}",,True,Queen City Cycle Co.,,,https://iiif.dc.library.northwestern.edu/iiif/2/463c6901-be85-4312-bbb1-9d9ed17c44e4,,No Copyright - United States,,,,Done,,Queen City Cycle Co.|Bicycles,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a78c178a-59ec-4663-a503-01d1819631a9/thumbnail,Erie bicycles,Public,Image
,P0342_35556046980396,Ranger Monitor Roanoke Putnam|Study in bicycles|In right-hand margin of title page: Big 4 for '98,https://api.dc.library.northwestern.edu/api/v2/works/354c9f1a-55fa-4b64-8903-694393adebcf,Work,ark:/81985/n28k7716m,4df86c62-f1c9-407f-b326-d9059569d51d|5eb030ee-8c51-4de1-9f36-a0d1bab1d7ee|6d351261-b49f-4be3-9f3b-1ffb00b22108|763e8b79-574d-4123-8df3-0d458d0fe14b|987131eb-a1fa-427b-b1b4-0919ec17ac58|c51174b0-77a3-4893-9448-f39017b03401,,,https://dc.library.northwestern.edu/items/354c9f1a-55fa-4b64-8903-694393adebcf,,9980589345302441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,Mead & Prentiss,2021-04-21T21:27:21.919443Z,,460d7923-8de5-4b7d-b419-85eb37048755,,1898,,Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8|Page 9|Page 10|Page 11|Page 12|Page 13|Page 14|Page 15|Page 16|Page 17|Page 18|Page 19|Page 20|Page 21|Page 22|Page 23|Page 24|Page 25|Page 26|Page 27|Page 28|Back Cover,,,catalogs (documents),354c9f1a-55fa-4b64-8903-694393adebcf,,https://api.dc.library.northwestern.edu/api/v2/works/354c9f1a-55fa-4b64-8903-694393adebcf?as=iiif,2023-02-20T16:21:43.331505, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0342_early_bikes.csv,,English,,Transportation Library,None,Illinois--Chicago,2021-06-10T16:43:09.761465Z,,24 unnumbered pages with illustrations,19 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Late 19th -early 20th century bicycle and bicycle parts catalogs; Part I', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0342'}",,True,Mead & Prentiss,,,https://iiif.dc.library.northwestern.edu/iiif/2/70c83af6-ec63-4394-a381-e8a9c3835484,,No Copyright - United States,,,,Done,,Bicycles|Bicycle industry|Mead & Prentiss,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/354c9f1a-55fa-4b64-8903-694393adebcf/thumbnail,Bicycles : Ranger Monitor Roanoke Putnam.,Public,Image
,P0342_35556043871334,,https://api.dc.library.northwestern.edu/api/v2/works/6efda30a-05e5-4b33-a372-da0ccae02137,Work,ark:/81985/n2nv9cf8j,4df86c62-f1c9-407f-b326-d9059569d51d|5eb030ee-8c51-4de1-9f36-a0d1bab1d7ee|6d351261-b49f-4be3-9f3b-1ffb00b22108|763e8b79-574d-4123-8df3-0d458d0fe14b|987131eb-a1fa-427b-b1b4-0919ec17ac58|c51174b0-77a3-4893-9448-f39017b03401,,,https://dc.library.northwestern.edu/items/6efda30a-05e5-4b33-a372-da0ccae02137,,9980462000002441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,Warman-Schub Cycle House,2021-04-21T21:27:11.347794Z,,460d7923-8de5-4b7d-b419-85eb37048755,,1894,,"Front Cover|Page 1, 2|Back Cover",,,catalogs (documents),6efda30a-05e5-4b33-a372-da0ccae02137,,https://api.dc.library.northwestern.edu/api/v2/works/6efda30a-05e5-4b33-a372-da0ccae02137?as=iiif,2023-02-20T16:21:43.838461, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0342_early_bikes.csv,,English,,Transportation Library,None,Illinois--Chicago,2021-12-15T17:48:25.529386Z,"{'note': 'Cover title', 'type': 'General Note'}",1 volume (unpaged) with illustrations,23 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Late 19th -early 20th century bicycle and bicycle parts catalogs; Part I', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0342'}",,True,The Warman-Schub Cycle House,,,https://iiif.dc.library.northwestern.edu/iiif/2/cc78f9bd-7a2a-45ed-9a77-e28c6473948f,,No Copyright - United States,,,,Done,,Bicycles|Warman-Schub Cycle House,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/6efda30a-05e5-4b33-a372-da0ccae02137/thumbnail,Glimpses of '94,Public,Image
,P0342_35556046964847,Sears Roebuck and Co.,https://api.dc.library.northwestern.edu/api/v2/works/f2adabc0-497f-4284-b969-5829971fa2a2,Work,ark:/81985/n2j38nn6p,4df86c62-f1c9-407f-b326-d9059569d51d|5eb030ee-8c51-4de1-9f36-a0d1bab1d7ee|6d351261-b49f-4be3-9f3b-1ffb00b22108|763e8b79-574d-4123-8df3-0d458d0fe14b|987131eb-a1fa-427b-b1b4-0919ec17ac58|c51174b0-77a3-4893-9448-f39017b03401,,,https://dc.library.northwestern.edu/items/f2adabc0-497f-4284-b969-5829971fa2a2,,9980581150802441,Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,"Sears, Roebuck and Company",2021-04-21T21:27:12.761249Z,,460d7923-8de5-4b7d-b419-85eb37048755,,1909?,,Front Cover|Page 1|Page 2|Page 3|Page 4|Page 5|Page 6|Page 7|Page 8|Page 9|Page 10|Page 11|Page 12|Page 13|Page 14|Page 15|Page 16|Page 17|Page 18|Page 19|Page 20|Page 21|Page 22|Page 23|Page 24|Page 25|Page 26|Page 27|Page 28|Page 29|Page 30|Page 31|Page 32|Page 33|Page 34|Page 35|Page 36|Page 37|Page 38|Page 39|Page 40|Page 41|Page 42|Back Cover,,,catalogs (documents),f2adabc0-497f-4284-b969-5829971fa2a2,,https://api.dc.library.northwestern.edu/api/v2/works/f2adabc0-497f-4284-b969-5829971fa2a2?as=iiif,2023-02-20T16:21:44.134624, P0342 + P0379 Late 19th - Early 20th Century Bicycle and Bicycle Parts Catalogs,P0342_early_bikes.csv,,English,,Transportation Library,None,Illinois--Chicago,2021-12-15T17:48:25.633548Z,"{'note': 'Cover title', 'type': 'General Note'}|{'note': 'Accompanied by an updated list of prices for bicycles, an order form for bicycles, an order form for bicycles, and a mailing envelope.', 'type': 'General Note'}",40 pages with illustrations (some color),22 x 28 cm,Level 1,"{'cycle': '2020', 'desc': 'This project will bring recognition to our collections on this unique subject. In addition, it will be the basis for a future digital exhibit and blog.', 'manager': 'Nicole Finzer', 'name': 'Late 19th -early 20th century bicycle and bicycle parts catalogs; Part I', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0342'}",,True,Sears Roebuck and Co.,,,https://iiif.dc.library.northwestern.edu/iiif/2/d5ab53fa-4e80-4eb9-994c-3697928fca44,,No Copyright - United States,,,,Done,,"Bicycles|Sears, Roebuck and Company",,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f2adabc0-497f-4284-b969-5829971fa2a2/thumbnail,Bicycles,Public,Image
