abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:z029p619t,,https://api.dc.library.northwestern.edu/api/v2/works/e867300f-269a-424e-b453-31068b8fbe47,Work,ark:/81985/n2fq9sp8d,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/e867300f-269a-424e-b453-31068b8fbe47,,,Leigh Bienen Videos,,2022-01-21T06:10:47.232447Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,2012,"Prof. Leigh Bienen introduces her ""Florence Kelley in Chicago, 1891-1899"" web project",Introduction-Hi.mov|gf06g405t/z029p619t.mods.xml,,,,e867300f-269a-424e-b453-31068b8fbe47,,https://api.dc.library.northwestern.edu/api/v2/works/e867300f-269a-424e-b453-31068b8fbe47?as=iiif,2023-02-20T16:30:28.712255,AVR Migration,avr_migration.csv,,,z029p619t,Faculty Collections,None,,2022-02-04T15:00:51.969377Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/517ea2c5-db54-4a33-91e2-ca179ea2dec2,,In Copyright,,,,Done,,Chicago (Ill.)--History|Law--History|Chicago (Ill.),,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/e867300f-269a-424e-b453-31068b8fbe47/thumbnail,"Project Overview and Interview with Leigh Bienen, Project Director",Public,Video
,avr:fj2363676,,https://api.dc.library.northwestern.edu/api/v2/works/b3434962-9adf-4933-a255-30ef174f8e36,Work,ark:/81985/n2j09zn77,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/b3434962-9adf-4933-a255-30ef174f8e36,,,Leigh Bienen Videos,"Lesy, Michael, 1945-",2022-01-21T06:08:30.543937Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,2012,"Michael Lesy talks about his book ""Murder City"". At the time of this recording he was Professor of Literary Journalism, Hampshire College, Amherst, MA",Lesy300k.mov|gf06g405t/fj2363676.mods.xml,,,,b3434962-9adf-4933-a255-30ef174f8e36,,https://api.dc.library.northwestern.edu/api/v2/works/b3434962-9adf-4933-a255-30ef174f8e36?as=iiif,2023-02-20T16:32:54.865184,AVR Migration,avr_migration.csv,,,fj2363676,Faculty Collections,None,,2022-02-04T15:00:51.948536Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/fd85a6d9-3cba-4d33-b26d-9db3b20ce1ff,,In Copyright,,,,Done,,"Homicide|Chicago (Ill.)--History|Law--History|Lesy, Michael, 1945-|Chicago (Ill.)",,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/b3434962-9adf-4933-a255-30ef174f8e36/thumbnail,Prof. Leigh Bienen interviews Michael Lesy,Public,Video
,avr:jd472z03q,,https://api.dc.library.northwestern.edu/api/v2/works/f9eac8cc-fb3a-4e5d-a942-e0701fa2c33e,Work,ark:/81985/n29885527,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/f9eac8cc-fb3a-4e5d-a942-e0701fa2c33e,,,Leigh Bienen Videos,"Netsch, Dawn Clark",2022-01-21T06:06:39.339937Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,2012,"Dawn Clark-Netsch, Professor of Law Emerita, Northwestern University School of Law, talks about her life.",Part 1|Part 2|gf06g405t/jd472z03q.mods.xml,,,,f9eac8cc-fb3a-4e5d-a942-e0701fa2c33e,,https://api.dc.library.northwestern.edu/api/v2/works/f9eac8cc-fb3a-4e5d-a942-e0701fa2c33e?as=iiif,2023-02-20T16:32:54.868391,AVR Migration,avr_migration.csv,,,jd472z03q,Faculty Collections,None,,2022-02-04T15:00:51.984669Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/5bf2d1b8-2284-45b2-a7c0-ef1a89d4ff93,,In Copyright,,,,Done,,"Homicide|Chicago (Ill.)--History|Law--History|Netsch, Dawn Clark|Chicago (Ill.)",,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/f9eac8cc-fb3a-4e5d-a942-e0701fa2c33e/thumbnail,Prof. Leigh Bienen interviews Dawn Clark Netsch,Public,Video
,avr:n296x076j,,https://api.dc.library.northwestern.edu/api/v2/works/a5763242-fdd8-4358-9dd5-69f260037d89,Work,ark:/81985/n2dv1g62j,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/a5763242-fdd8-4358-9dd5-69f260037d89,,,Leigh Bienen Videos,"Pacyga, Dominic A.",2022-01-21T06:11:41.852909Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,2012,"Interview with Dominic Pacyga about the history of Chicago and patterns of immigration to the city during the period 1870-1930. At the time of this recording he was Professor of History, Columbia College.",pacyga300k.mov|gf06g405t/n296x076j.mods.xml,,,,a5763242-fdd8-4358-9dd5-69f260037d89,,https://api.dc.library.northwestern.edu/api/v2/works/a5763242-fdd8-4358-9dd5-69f260037d89?as=iiif,2023-02-20T16:31:08.540790,AVR Migration,avr_migration.csv,,,n296x076j,Faculty Collections,None,,2022-02-04T15:00:51.944845Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/92f6c78b-b353-49f0-abcb-82509a5c5f37,,In Copyright,,,,Done,,"Homicide|Chicago (Ill.)--History|Law--History|Pacyga, Dominic A.|Chicago (Ill.)",,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/a5763242-fdd8-4358-9dd5-69f260037d89/thumbnail,Prof. Leigh Bienen interviews Dominic Pacyga,Public,Video
,avr:6t053h782,,https://api.dc.library.northwestern.edu/api/v2/works/36885ae6-c8b6-4e33-91fa-95c76043cc49,Work,ark:/81985/n24x57232,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/36885ae6-c8b6-4e33-91fa-95c76043cc49,,,Leigh Bienen Videos,"Pincham, R. Eugene, 1925-2008|Strayhorn, Earl",2022-01-21T06:26:12.991113Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,2012,"The full 1:40 minute interview of two renowned Chicago judges, the Honorable Judges R. Eugene Pincham (a one-time mayoral candidate) and Earl E. Strayhorn. They describe their experiences in practice, thoughts on capital punishment, the Scottsboro Case, legal education and an assortment of other issues relating to the history of law in Chicago.",Complete interview|Judges Pincham and Strayorn’s experience with and views on capital punishment|Judges Pincham and Strayhorn’s experience with changes in criminal practice|Judges Pincham and Strayhorn’s experience with and views on judicial elections|Judges Pincham and Strayhorn’s experience in practice|Judges Pincham and Strayhorn’s views on judicial corruption|Judges Pincham and Strayorn’s experience with and views on legal education|Judges Pincham and Strayorn’s experiences at the Northwestern School of Law|Judge Pincham excerpt|Judges Pincham and Strayorn on the Scottsboro Case|Judge Strayhorn excerpt|gf06g405t/6t053h782.mods.xml,,,,36885ae6-c8b6-4e33-91fa-95c76043cc49,,https://api.dc.library.northwestern.edu/api/v2/works/36885ae6-c8b6-4e33-91fa-95c76043cc49?as=iiif,2023-02-20T16:32:55.245162,AVR Migration,avr_migration.csv,,,6t053h782,Faculty Collections,None,,2022-02-04T15:00:51.902135Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/17c3c28f-4723-44b9-9672-8584b5bdc08d,,In Copyright,,,,Done,,"Homicide|Chicago (Ill.)--History|Law--History|Pincham, R. Eugene, 1925-2008|Strayhorn, Earl|Chicago (Ill.)",,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/36885ae6-c8b6-4e33-91fa-95c76043cc49/thumbnail,Prof. Leigh Bienen interviews Judges R. Eugene Pincham and Earl Strayhorn,Public,Video
,avr:tq57ns56n,,https://api.dc.library.northwestern.edu/api/v2/works/f46bdb60-097d-4531-8609-c05d6e9e1d97,Work,ark:/81985/n2qj7bh4v,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/f46bdb60-097d-4531-8609-c05d6e9e1d97,,,Leigh Bienen Videos,"Shapiro, Harold Roland, 1904-",2022-01-21T06:24:32.890329Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,2012,"Harold Shapiro talks about his life. At the time of his death he was Adjunct Professor, Northwestern Uinersity School of Law, and partner at Sonnenschein Nath & Rosenthal. Mr. Shapiro passed away Dec 1, 2005.",Shapiro300k.mov|gf06g405t/tq57ns56n.mods.xml,,,,f46bdb60-097d-4531-8609-c05d6e9e1d97,,https://api.dc.library.northwestern.edu/api/v2/works/f46bdb60-097d-4531-8609-c05d6e9e1d97?as=iiif,2023-02-20T16:32:55.251984,AVR Migration,avr_migration.csv,,,tq57ns56n,Faculty Collections,None,,2022-02-04T15:00:51.975585Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/09bd4d0c-b445-44f7-a3f4-135c1f991d3e,,In Copyright,,,,Done,,"Homicide|Chicago (Ill.)--History|Law--History|Shapiro, Harold Roland, 1904-|Chicago (Ill.)",,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/f46bdb60-097d-4531-8609-c05d6e9e1d97/thumbnail,Prof. Leigh Bienen interviews Harold Shapiro,Public,Video
,avr:7h149r45c,,https://api.dc.library.northwestern.edu/api/v2/works/ba039523-01c1-4e26-8fcd-c4b0be30b043,Work,ark:/81985/n26t0kf1v,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/ba039523-01c1-4e26-8fcd-c4b0be30b043,,,Leigh Bienen Videos,"Turow, Scott",2022-01-21T06:13:06.093499Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,2012,"Scott Turow, Chicago writer and lawyer, talks about his life.",Turow300k.mov|gf06g405t/7h149r45c.mods.xml,,,,ba039523-01c1-4e26-8fcd-c4b0be30b043,,https://api.dc.library.northwestern.edu/api/v2/works/ba039523-01c1-4e26-8fcd-c4b0be30b043?as=iiif,2023-02-20T16:31:43.755435,AVR Migration,avr_migration.csv,,,7h149r45c,Faculty Collections,None,,2022-02-04T15:00:51.953064Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/69c6b512-1b60-4b00-89dd-bc930a08e933,,In Copyright,,,,Done,,"Homicide|Chicago (Ill.)--History|Law--History|Turow, Scott|Chicago (Ill.)",,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/ba039523-01c1-4e26-8fcd-c4b0be30b043/thumbnail,Prof. Leigh Bienen interviews Scott Turow,Public,Video
,avr:cv43nz417,,https://api.dc.library.northwestern.edu/api/v2/works/13ea3182-4239-457a-8c2d-a58d6e259b63,Work,ark:/81985/n2b27s95s,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/13ea3182-4239-457a-8c2d-a58d6e259b63,,,Leigh Bienen Videos,"Bowman, Cynthia Grant, 1945-",2022-01-21T06:23:51.007769Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,2012,"Cynthia Bowman is author of ""Wife Murder in Chicago"" At the time of this recording she was Professor of Law, Northwestern University School of Law.",Bowman300k.mov|gf06g405t/cv43nz417.mods.xml,,,,13ea3182-4239-457a-8c2d-a58d6e259b63,,https://api.dc.library.northwestern.edu/api/v2/works/13ea3182-4239-457a-8c2d-a58d6e259b63?as=iiif,2023-02-20T16:32:55.233700,AVR Migration,avr_migration.csv,,,cv43nz417,Faculty Collections,None,,2022-02-04T15:00:51.873011Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/68af57a4-aed1-4730-a161-983440156dcb,,In Copyright,,,,Done,,"Homicide|Chicago (Ill.)--History|Law--History|Bowman, Cynthia Grant, 1945-|Chicago (Ill.)",,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/13ea3182-4239-457a-8c2d-a58d6e259b63/thumbnail,Prof. Leigh Bienen interviews Cynthia Bowman,Public,Video
,avr:37720f10h,,https://api.dc.library.northwestern.edu/api/v2/works/221de1a0-58f3-4fdd-9e84-360e623978b2,Work,ark:/81985/n22v2fv5c,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/221de1a0-58f3-4fdd-9e84-360e623978b2,,,Leigh Bienen Videos,"Marshall, Lawrence C., 1959-",2022-01-21T06:19:51.348827Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,2012,"Prof. Larry Marshall, whose practice focuses in the area of death penalty litigation and avocacy on behalf of the wrongly convicted, speaks about the death penalty and the former Governor's decision to halt its use in Illinois.",Marshall300k.mov|gf06g405t/37720f10h.mods.xml,,,,221de1a0-58f3-4fdd-9e84-360e623978b2,,https://api.dc.library.northwestern.edu/api/v2/works/221de1a0-58f3-4fdd-9e84-360e623978b2?as=iiif,2023-02-20T16:32:55.239677,AVR Migration,avr_migration.csv,,,37720f10h,Faculty Collections,None,,2022-02-04T15:00:51.893460Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/15060b46-c324-4e5d-84be-49c5bfc82dad,,In Copyright,,,,Done,,"Homicide|Chicago (Ill.)--History|Law--History|Marshall, Lawrence C., 1959-|Chicago (Ill.)",,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/221de1a0-58f3-4fdd-9e84-360e623978b2/thumbnail,Prof. Leigh Bienen interviews Lawrence Marshall,Public,Video
,avr:xg94hr13k,,https://api.dc.library.northwestern.edu/api/v2/works/44c7bf1e-ce2d-4c68-a928-40baa0e22ef2,Work,ark:/81985/n21z44b00,36bcaa56-25df-44f1-a03a-2c17cabfd3fe,,,https://dc.library.northwestern.edu/items/44c7bf1e-ce2d-4c68-a928-40baa0e22ef2,,,Leigh Bienen Videos,"Darrow, Clarence, 1857-1938",2022-01-21T06:06:31.104031Z,"Bienen, Leigh B.",db636f48-26f1-457d-b3ef-a2a3a2c1cccb,,1932?,Rare interview of Clarence Darrow. Circa 1932. Source unknown.,Darrow300k.mov|gf06g405t/xg94hr13k.mods.xml,,,,44c7bf1e-ce2d-4c68-a928-40baa0e22ef2,,https://api.dc.library.northwestern.edu/api/v2/works/44c7bf1e-ce2d-4c68-a928-40baa0e22ef2?as=iiif,2023-02-20T16:37:59.593889,AVR Migration,avr_migration.csv,,,xg94hr13k,Faculty Collections,None,,2022-02-04T15:00:51.910479Z,,,,Level 1,"{'cycle': '2020', 'desc': 'Ingest and describe 32 videos for AVR.', 'manager': 'Dan Zellner', 'name': 'Leigh Bienen Videos', 'proposer': 'John Dorr', 'task_number': 'P0232'}",,True,,,Related Information,https://iiif.dc.library.northwestern.edu/iiif/2/posters/02c41191-335e-4c33-8a39-ef4486d57f12,,In Copyright,,,,Done,,"Homicide|Chicago (Ill.)--History|Law--History|Darrow, Clarence, 1857-1938|Chicago (Ill.)",,,"The video recordings on this web site, from the collection of Leigh Bienen, Senior Lecturer, Northwestern University, are provided for use by its students, faculty and staff, and by other researchers visiting this site. Request to publish in non-commercial scholarly venues in analog or online form requires permission. Please contact lbbienen@law.northwestern.edu",https://api.dc.library.northwestern.edu/api/v2/works/44c7bf1e-ce2d-4c68-a928-40baa0e22ef2/thumbnail,Interview of Clarence Darrow,Public,Video
