abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,P0424_PEDE_B25_F01_009,,https://api.dc.library.northwestern.edu/api/v2/works/27e0a41f-6f56-4620-87b8-295aa6c9a491,Work,ark:/81985/n2jm2674v,e877c25f-c69d-4684-a4ec-fe687d912348,,25,https://dc.library.northwestern.edu/items/27e0a41f-6f56-4620-87b8-295aa6c9a491,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993|Pederson, Lydia Luhman, 1905-1993",2022-10-03T19:00:44.719385Z,,d51b47c0-04ba-4b99-ab1f-1b6148c836ab,,1953,,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso|p. 3 recto|p. 3 verso|p. 4 recto|p. 4 verso|p. 5 recto|p. 5 verso,,1,documentary scripts,27e0a41f-6f56-4620-87b8-295aa6c9a491,,https://api.dc.library.northwestern.edu/api/v2/works/27e0a41f-6f56-4620-87b8-295aa6c9a491?as=iiif,2023-02-20T16:39:20.794698,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson_folder_1.csv,,English,,Herskovits Library of African Studies,None,,2022-10-04T13:16:51.635247Z,,Chiefly typescripts; some manuscript material,28 cm (height) x 21.5 cm (width),Level 1,"{'cycle': '2023', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/29080466-d325-4294-bb39-8a67cc8a87e7,,Copyright Undetermined,"Includes drafts of news releases, untitled scripts, and scripts titled: Bavenda -- ""Faith and fire"" -- Victoria Falls -- The Voortrekker Monument","Lydia Luhman Pederson collection--Associated materials, chiefly 1953--Drafts of film narration",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/27e0a41f-6f56-4620-87b8-295aa6c9a491/thumbnail,Bavenda,Public,Image
,P0424_PEDE_B25_F01_007,,https://api.dc.library.northwestern.edu/api/v2/works/7a8f2510-c5a4-46da-a061-6f63f190a8ea,Work,ark:/81985/n2zs2p527,e877c25f-c69d-4684-a4ec-fe687d912348,,25,https://dc.library.northwestern.edu/items/7a8f2510-c5a4-46da-a061-6f63f190a8ea,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993|Pederson, Lydia Luhman, 1905-1993",2022-10-03T19:00:38.269651Z,,d51b47c0-04ba-4b99-ab1f-1b6148c836ab,,1953,,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso|p. 3 recto|p. 3 verso,,1,documentary scripts,7a8f2510-c5a4-46da-a061-6f63f190a8ea,,https://api.dc.library.northwestern.edu/api/v2/works/7a8f2510-c5a4-46da-a061-6f63f190a8ea?as=iiif,2023-02-20T16:39:20.870664,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson_folder_1.csv,,English,,Herskovits Library of African Studies,None,,2022-10-04T13:16:51.665474Z,,Chiefly typescripts; some manuscript material,32.5 cm (height) x 20 cm (width),Level 1,"{'cycle': '2023', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/fc6dc8bf-f0fd-4464-b605-43fb4ef6a16a,,Copyright Undetermined,"Includes drafts of news releases, untitled scripts, and scripts titled: Bavenda -- ""Faith and fire"" -- Victoria Falls -- The Voortrekker Monument","Lydia Luhman Pederson collection--Associated materials, chiefly 1953--Drafts of film narration",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7a8f2510-c5a4-46da-a061-6f63f190a8ea/thumbnail,"All the old Zulu customs which could be retained without offence to the new ethic were incorporated,",Public,Image
,P0424_PEDE_B25_F01_005,,https://api.dc.library.northwestern.edu/api/v2/works/84ee6858-c5d5-4cbb-9c0b-d7b4ecf07c30,Work,ark:/81985/n26972q07,e877c25f-c69d-4684-a4ec-fe687d912348,,25,https://dc.library.northwestern.edu/items/84ee6858-c5d5-4cbb-9c0b-d7b4ecf07c30,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993|Pederson, Lydia Luhman, 1905-1993",2022-10-03T19:00:41.173600Z,,d51b47c0-04ba-4b99-ab1f-1b6148c836ab,,1953,,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso|p. 3 recto|p. 3 verso|p. 4 recto|p. 4 verso,,1,documentary scripts,84ee6858-c5d5-4cbb-9c0b-d7b4ecf07c30,,https://api.dc.library.northwestern.edu/api/v2/works/84ee6858-c5d5-4cbb-9c0b-d7b4ecf07c30?as=iiif,2023-02-20T16:39:20.936360,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson_folder_1.csv,,English,,Herskovits Library of African Studies,None,,2022-10-04T13:16:51.676042Z,,Chiefly typescripts; some manuscript material,26 cm (height) x 20.5 cm (width),Level 1,"{'cycle': '2023', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/618a7b0f-5995-49f8-a678-4e372f08f549,,Copyright Undetermined,"Includes drafts of news releases, untitled scripts, and scripts titled: Bavenda -- ""Faith and fire"" -- Victoria Falls -- The Voortrekker Monument","Lydia Luhman Pederson collection--Associated materials, chiefly 1953--Drafts of film narration",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/84ee6858-c5d5-4cbb-9c0b-d7b4ecf07c30/thumbnail,"""FAITH AND FIRE"".",Public,Image
,P0424_PEDE_B25_F03_005,,https://api.dc.library.northwestern.edu/api/v2/works/1d92cf83-9c86-4fd9-aaea-6965b7db1dd4,Work,ark:/81985/n25d8r63b,1e5b41a8-b89d-46eb-a852-7482921ae2b8|3ecd845c-3b11-4b1b-bc8d-7199996a372d,,25,https://dc.library.northwestern.edu/items/1d92cf83-9c86-4fd9-aaea-6965b7db1dd4,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993",2022-09-30T14:45:11.105419Z,,a184c01f-5ee7-46fd-b4ff-c4f9a76e0d6f,,1953,,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso|p. 3 recto|p. 3 verso|p. 4 recto|p. 4 verso|p. 5 recto|p. 5 verso|p. 6 recto|p. 6 verso|p. 7 recto|p. 7 verso|p. 8 recto|p. 8 verso|p. 9 recto|p. 9 verso,Lydia Pederson and Ray Phoenix,3,documents (object genre),1d92cf83-9c86-4fd9-aaea-6965b7db1dd4,,https://api.dc.library.northwestern.edu/api/v2/works/1d92cf83-9c86-4fd9-aaea-6965b7db1dd4?as=iiif,2023-02-20T16:39:30.220328,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson.csv,,English,,Herskovits Library of African Studies,None,,2022-10-04T13:52:30.748801Z,,,28 cm (height) x 21.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/37c5e2fb-838f-49f6-8ea5-af2a3a7707a6,,Copyright Undetermined,"Typed correspondence between Pederson and filmmaker Ray Phoenix concerns her obtaining his films of native life (Shembe, Abakhwetha, witch doctors), firewalking, and Egypt (from his trip to East Africa in 1950), and requests for him to obtain lion or other animal films for her. Two untitled, uncredited narration scripts apparently by Phoenix (for the Abakwetha and firewalking films; annotated by Pederson). Phoenix mentions his original script for a Shembe film (this may be the narration entitled ""Against the swirl of time"", original title ""The place of spiritual uplift""). Receipts for films and records. Phoenix' plan to go to Kruger Park to photograph the Dhomba or Python girls' initiation dance; and his hope to tour the United States. Related correspondence between Pederson and African Car Hire regarding a misplaced tripod.","Lydia Luhman Pederson collection--Associated materials, chiefly 1953",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/1d92cf83-9c86-4fd9-aaea-6965b7db1dd4/thumbnail,"The oldest group of dancers among the women are those who are married, called old virgins, wearing black skirts.; including ""Against the Swirl of Time""",Public,Image
,P0424_PEDE_B25_F03_002,,https://api.dc.library.northwestern.edu/api/v2/works/326c2dfd-cfe6-4952-98c1-28e513c52f05,Work,ark:/81985/n2zw1cj42,1e5b41a8-b89d-46eb-a852-7482921ae2b8|3ecd845c-3b11-4b1b-bc8d-7199996a372d,,25,https://dc.library.northwestern.edu/items/326c2dfd-cfe6-4952-98c1-28e513c52f05,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993|Pederson, Lydia Luhman, 1905-1993|Phoenix, Ray",2022-09-30T14:44:54.541012Z,,a184c01f-5ee7-46fd-b4ff-c4f9a76e0d6f,,"July 30, 1953",,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso|p. 3 recto|p. 3 verso|p. 4 recto|p. 4 verso|p. 5 recto|p. 5 verso|p. 6 recto|p. 6 verso|p. 7 recto|p. 7 verso|p. 8 recto|p. 8 verso|p. 9 recto|p. 9 verso|p. 10 recto|p. 10 verso|p. 11 recto|p. 11 verso|p. 12 recto|p. 12 verso|p. 13 recto|p. 13 verso|p. 14 recto|p. 14 verso|p. 15 recto|p. 15 verso,Lydia Pederson and Ray Phoenix,3,personal correspondence,326c2dfd-cfe6-4952-98c1-28e513c52f05,,https://api.dc.library.northwestern.edu/api/v2/works/326c2dfd-cfe6-4952-98c1-28e513c52f05?as=iiif,2023-02-20T16:39:30.253499,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson.csv,,English,,Herskovits Library of African Studies,None,,2022-10-04T13:50:25.117177Z,,,33 cm (height) x 20 cm (width),Level 1,"{'cycle': '2022', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/97d5fd1c-8ae6-4b3b-a876-89bc8112934e,,Copyright Undetermined,"Typed correspondence between Pederson and filmmaker Ray Phoenix concerns her obtaining his films of native life (Shembe, Abakhwetha, witch doctors), firewalking, and Egypt (from his trip to East Africa in 1950), and requests for him to obtain lion or other animal films for her. Two untitled, uncredited narration scripts apparently by Phoenix (for the Abakwetha and firewalking films; annotated by Pederson). Phoenix mentions his original script for a Shembe film (this may be the narration entitled ""Against the swirl of time"", original title ""The place of spiritual uplift""). Receipts for films and records. Phoenix' plan to go to Kruger Park to photograph the Dhomba or Python girls' initiation dance; and his hope to tour the United States. Related correspondence between Pederson and African Car Hire regarding a misplaced tripod.","Lydia Luhman Pederson collection--Associated materials, chiefly 1953",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/326c2dfd-cfe6-4952-98c1-28e513c52f05/thumbnail,Correspondence between Ray Phoenix and Lydia Pederson; including freight and car hire materials,Public,Image
,P0424_PEDE_B25_F04_002,,https://api.dc.library.northwestern.edu/api/v2/works/e7416712-f23e-42e2-a4e4-cf8c57f97b29,Work,ark:/81985/n2rf5p69w,1e5b41a8-b89d-46eb-a852-7482921ae2b8|3ecd845c-3b11-4b1b-bc8d-7199996a372d,,25,https://dc.library.northwestern.edu/items/e7416712-f23e-42e2-a4e4-cf8c57f97b29,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993|Pederson, Lydia Luhman, 1905-1993",2022-09-30T14:44:51.033337Z,,a184c01f-5ee7-46fd-b4ff-c4f9a76e0d6f,,"March 2, 1953",,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso,Fundraising; miscellaneous correspondence,4,personal correspondence,e7416712-f23e-42e2-a4e4-cf8c57f97b29,,https://api.dc.library.northwestern.edu/api/v2/works/e7416712-f23e-42e2-a4e4-cf8c57f97b29?as=iiif,2023-02-20T16:39:30.338054,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson.csv,,English,,Herskovits Library of African Studies,None,,2022-09-30T18:12:49.053147Z,,,18 cm (height) x 15.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/77924798-e1a0-4714-88c4-1f452c50be51,,Copyright Undetermined,"Includes tickets, and correspondence with attendees at lectures. Pederson gave lectures in support of a guild hall for the Episcopal Church in Belvidere, Ill.","Lydia Luhman Pederson collection--Associated materials, chiefly 1953",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/e7416712-f23e-42e2-a4e4-cf8c57f97b29/thumbnail,Correspondence from Lydia Pederson to Lula and Mable Martin,Public,Image
,P0424_PEDE_B25_F01_003,,https://api.dc.library.northwestern.edu/api/v2/works/7b8e18ae-4c7e-4820-9c51-9ea240b6a009,Work,ark:/81985/n2p846n2t,e877c25f-c69d-4684-a4ec-fe687d912348,,25,https://dc.library.northwestern.edu/items/7b8e18ae-4c7e-4820-9c51-9ea240b6a009,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993|Pederson, Lydia Luhman, 1905-1993",2022-10-03T19:00:44.109772Z,,d51b47c0-04ba-4b99-ab1f-1b6148c836ab,,1953,,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso|p. 3 recto|p. 3 verso|p. 4 recto|p. 4 verso,,1,documentary scripts,7b8e18ae-4c7e-4820-9c51-9ea240b6a009,,https://api.dc.library.northwestern.edu/api/v2/works/7b8e18ae-4c7e-4820-9c51-9ea240b6a009?as=iiif,2023-02-20T16:39:18.885940,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson_folder_1.csv,,English,,Herskovits Library of African Studies,None,,2022-10-04T13:16:51.669752Z,,Chiefly typescripts; some manuscript material,28 cm (height) x 21.5 cm (width),Level 1,"{'cycle': '2023', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/6deb5315-d9d5-4642-aa66-c867239703da,,Copyright Undetermined,"Includes drafts of news releases, untitled scripts, and scripts titled: Bavenda -- ""Faith and fire"" -- Victoria Falls -- The Voortrekker Monument","Lydia Luhman Pederson collection--Associated materials, chiefly 1953--Drafts of film narration",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7b8e18ae-4c7e-4820-9c51-9ea240b6a009/thumbnail,"THE PRIESTS, FOLLOWED BY THE ELDERS OF THE TEMPLE, TAKE UP THEIR POSITIONS IN THE CENTER OF THE PIT, SITTING ON SMALL STOOLS.",Public,Image
,P0424_PEDE_B25_F01_016,,https://api.dc.library.northwestern.edu/api/v2/works/97f212ee-3fb5-4e11-a7e0-6cbf1248d3a2,Work,ark:/81985/n2930rm5s,e877c25f-c69d-4684-a4ec-fe687d912348,,25,https://dc.library.northwestern.edu/items/97f212ee-3fb5-4e11-a7e0-6cbf1248d3a2,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993|Pederson, Lydia Luhman, 1905-1993",2022-10-03T19:00:45.853106Z,,d51b47c0-04ba-4b99-ab1f-1b6148c836ab,,1953,,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso|p. 3 recto|p. 3 verso|p. 4 recto|p. 4 verso|p. 5 recto|p. 5 verso|p. 5 recto|p. 5 verso,,1,documentary scripts,97f212ee-3fb5-4e11-a7e0-6cbf1248d3a2,,https://api.dc.library.northwestern.edu/api/v2/works/97f212ee-3fb5-4e11-a7e0-6cbf1248d3a2?as=iiif,2023-02-20T16:39:19.822958,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson_folder_1.csv,,English,,Herskovits Library of African Studies,None,,2022-10-04T13:16:51.691233Z,,Chiefly typescripts; some manuscript material,26 cm (height) x 21.5 cm (width),Level 1,"{'cycle': '2023', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/c0d612a5-efc9-4ec2-ba5e-1d842653f91a,,Copyright Undetermined,"Includes drafts of news releases, untitled scripts, and scripts titled: Bavenda -- ""Faith and fire"" -- Victoria Falls -- The Voortrekker Monument","Lydia Luhman Pederson collection--Associated materials, chiefly 1953--Drafts of film narration",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/97f212ee-3fb5-4e11-a7e0-6cbf1248d3a2/thumbnail,Africa had widest var. of wild an. of any conti.-,Public,Image
,P0424_PEDE_B25_F01_008,,https://api.dc.library.northwestern.edu/api/v2/works/eb44daa0-4838-4bab-b8c1-a5cc018e489e,Work,ark:/81985/n2v11zb98,e877c25f-c69d-4684-a4ec-fe687d912348,,25,https://dc.library.northwestern.edu/items/eb44daa0-4838-4bab-b8c1-a5cc018e489e,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993|Pederson, Lydia Luhman, 1905-1993",2022-10-03T19:00:38.859501Z,,d51b47c0-04ba-4b99-ab1f-1b6148c836ab,,1953,,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso,,1,documentary scripts,eb44daa0-4838-4bab-b8c1-a5cc018e489e,,https://api.dc.library.northwestern.edu/api/v2/works/eb44daa0-4838-4bab-b8c1-a5cc018e489e?as=iiif,2023-02-20T16:39:20.962686,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson_folder_1.csv,,English,,Herskovits Library of African Studies,None,,2022-10-04T13:16:51.719247Z,,Chiefly typescripts; some manuscript material,27.5 cm (height) x 21 cm (width),Level 1,"{'cycle': '2023', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/eeedda03-b33b-439a-a918-1bb02e7c8ddc,,Copyright Undetermined,"Includes drafts of news releases, untitled scripts, and scripts titled: Bavenda -- ""Faith and fire"" -- Victoria Falls -- The Voortrekker Monument","Lydia Luhman Pederson collection--Associated materials, chiefly 1953--Drafts of film narration",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/eb44daa0-4838-4bab-b8c1-a5cc018e489e/thumbnail,"Congo: There the darkness of the earth, and of the undergrowth, is at its densest.",Public,Image
,P0424_PEDE_B25_F05_001,,https://api.dc.library.northwestern.edu/api/v2/works/12eb4c7f-df4f-46a6-985b-b68845c99509,Work,ark:/81985/n2w37pm9t,1e5b41a8-b89d-46eb-a852-7482921ae2b8|3ecd845c-3b11-4b1b-bc8d-7199996a372d,,25,https://dc.library.northwestern.edu/items/12eb4c7f-df4f-46a6-985b-b68845c99509,,,Lydia Luhman Pederson collection,"Pederson, Lydia Luhman, 1905-1993",2022-09-30T14:44:49.355411Z,,a184c01f-5ee7-46fd-b4ff-c4f9a76e0d6f,,1953,,p. 1 recto|p. 1 verso|p. 2 recto|p. 2 verso|p. 3 recto|p. 3 verso|p. 4 recto|p. 4 verso|p. 5 recto|p. 5 verso|p. 6 recto|p. 6 verso|p. 7 recto|p. 7 verso|p. 8 recto|p. 8 verso|p. 9 recto|p. 9 verso|p. 10 recto|p. 10 verso|p. 11 recto|p. 11 verso|p. 12 recto|p. 12 verso|p. 13 recto|p. 13 verso|p. 14 recto|p. 14 verso|p. 15 recto|p. 15 verso,Newspaper clippings; invoices and receipts; spreadsheets,5,newspaper clippings|admission tickets,12eb4c7f-df4f-46a6-985b-b68845c99509,,https://api.dc.library.northwestern.edu/api/v2/works/12eb4c7f-df4f-46a6-985b-b68845c99509?as=iiif,2023-02-20T16:39:29.490433,P0424	Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects,J0424_pederson.csv,,English,,Herskovits Library of African Studies,None,,2022-10-04T14:01:56.207310Z,,,12 cm (height) x 5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'Completes the entire collection of Lydia Luhman Pederson tour of Cape to Cairo in 1953. An example of women travelers.', 'manager': 'Nicole Finzer', 'name': 'Africa - Cape to Cairo -1953- Lydia Luhman Pederson ephemera/Objects', 'proposer': 'Esmeralda Kale', 'task_number': 'P0424'}","Gift of Sonjia Olstad, Lydia Pederson's niece, and her husband, Jim Olstad, 2018-06-14.",True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/9b2b346f-1fbb-4b35-af97-ab6546028c72,,Copyright Undetermined,The spreadsheets represent film-related income and expenses,"Lydia Luhman Pederson collection--Associated materials, chiefly 1953",,Done,,"Pederson, Lydia Luhman, 1905-1993|Voyages and travels|Manners and customs|Eastern Africa|Southern Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/12eb4c7f-df4f-46a6-985b-b68845c99509/thumbnail,Newsclippings related to Lydia Pederson's film; including tickets,Public,Image
