abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,J0532_HIST_9918249274202441_p01,Also a chronological tablet of Illinois history arranged in centuries and decades,https://api.dc.library.northwestern.edu/api/v2/works/3ca47258-b65f-4cdf-b028-ceea68e62c5f,Work,ark:/81985/n2ws8mf15,47e6c461-bc5b-423e-a8e3-691f154c0f46,,,https://dc.library.northwestern.edu/items/3ca47258-b65f-4cdf-b028-ceea68e62c5f,,9918249274202441,Map and Atlas Collection,"Blanchard, Rufus, 1821-1904|National School Furnishing Co.",2022-12-01T22:26:25.857561Z,,,,1883,"Inset: Map showing the progress of settlements in Illinois.|In left hand margin: A chronological tablet of Illinois History arranged in centuries and decades, also census of Illinois, 1810-1880.|No scale given",p. 1 recto,,,historical maps,3ca47258-b65f-4cdf-b028-ceea68e62c5f,,https://api.dc.library.northwestern.edu/api/v2/works/3ca47258-b65f-4cdf-b028-ceea68e62c5f?as=iiif,2023-02-20T16:06:24.918682,J0532-illinois,J0532_illinois.csv,,English,,Government & Geographic Information Collection,None,,2022-12-05T21:36:34.998497Z,,color map,107 cm (height) x 69 cm (width),Level 1,"{'cycle': '2023', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Historic Illinois Map 1883', 'proposer': 'Anne Zald', 'task_number': 'J0532'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/5900efa6-3ac1-48aa-92c6-762f51a23f09,,No Copyright - United States,,,,Done,,Illinois|Historical geography--Maps,,,None,https://api.dc.library.northwestern.edu/api/v2/works/3ca47258-b65f-4cdf-b028-ceea68e62c5f/thumbnail,"Historical map of Illinois showing early discoveries, explorations, Indian villages, missions, trails, battle fields, forts, block houses, first settlements, and mail routes",Public,Image
"Atlas was compiled and drawn from actual survey ; also, from the official records of Cook County and of the CIty of Chicago, and from original plats and deeds, or authentic copies thereof.",greeley_v1,Atlas of the city of Chicago|Second atlas of the city of Chicago,https://api.dc.library.northwestern.edu/api/v2/works/bb118ea9-6fbc-4fe5-a335-f68710ed5c8f,Work,ark:/81985/n28g8hc8q,,,,https://dc.library.northwestern.edu/items/bb118ea9-6fbc-4fe5-a335-f68710ed5c8f,,9937067624202441,Map and Atlas Collection,,2021-03-16T15:16:52.309867Z,Greeley-Carlson Company,,,1891 to 1892,"Showing the territory bounded by Chicago Avenue, Halsted Street, Twenty-second Street and Lake Michigan, being sections 9, 10, 15, 16, 21 and 22 of town 39 north, range 14 east of the third principal meridian","Cover|Inside front cover, Announcement|Blank|Blank|Blank|Blank|Title Page|Index to Street Numbers, Street Ordinances|Index Map|Map Section 1|Map Section 2|Map Section 3|Map Section 4|Map Section 5|Map Section 6|Map Section 7|Map Section 8|Map Section 9|Map Section 10|Map Section 11|Map Section 12|Map Section 13|Map Section 14|Map Section 15|Map Section 16|Map Section 17|Map Section 18|Map Section 19|Map Section 20|Map Section 21|Map Section 22|Map Section 23|Map Section 24|Map Section 25|Map Section 26|Map Section 27|Map Section 28|Map Section 29|Map Section 30|Map Section 31|Map Section 32|Map Section 33|Map Section 34|Map Section 35|Map Section 36|Map Section 37|Map Section 38|Map Section 39|Map Section 40|Blank|Blank|Blank|Blank|Inside back cover|Back Cover",,,atlases,bb118ea9-6fbc-4fe5-a335-f68710ed5c8f,,https://api.dc.library.northwestern.edu/api/v2/works/bb118ea9-6fbc-4fe5-a335-f68710ed5c8f?as=iiif,2023-02-20T16:14:00.434274,None,None,,English,,Government & Geographic Information Collection,None,Chicago,2021-12-15T17:48:11.162835Z,"{'note': 'Scale 1:1,200', 'type': 'General Note'}",1 atlas (2 volumes) : hand colored maps,82 cm,Level 1,"{'cycle': '2018', 'desc': '2 volume atlas of the City of Chicago 1891-92 with street level details', 'manager': 'Jen Young', 'name': 'Greeley Carlson Second Atlas of the City of Chicago', 'proposer': 'Anne Zald', 'task_number': 'P0107'}",,True,Greeley-Carlson Company,,,https://iiif.dc.library.northwestern.edu/iiif/2/d8a7e338-fb14-4bef-9eb2-736c7d2b959b,,No Copyright - Non-Commercial Use Only ,,,,Done,,Chicago|Maps|Atlases|Landowners|Cadastral maps|Real property,,,"Materials are in the public domain and, as such, not subject to copyright restriction. However, the Library requests users to cite the URL and Northwestern University Libraries if they wish to reproduce images from its poster database.",https://api.dc.library.northwestern.edu/api/v2/works/bb118ea9-6fbc-4fe5-a335-f68710ed5c8f/thumbnail,"Greeley, Carlson & Company's second atlas of the city of Chicago ... with all subdivisions, railroads, docks and buildings upon a scale of 100 feet to one inch. Volume 1",Public,Image
,G5770 1607 .H8,Britannia,https://api.dc.library.northwestern.edu/api/v2/works/ea39d08c-d2ca-4999-80cc-f7918aeaa336,Work,ark:/81985/n2tx37588,,,,https://dc.library.northwestern.edu/items/ea39d08c-d2ca-4999-80cc-f7918aeaa336,,9980708866702441,Map and Atlas Collection,"Hole, William, -1624",2021-03-16T21:04:04.758272Z,,,,1607,"Scale approximately 1:2,090,000--(W 8°06'00""--W 0°19'00""/N 59°21'00""--N 54°51'00"")  ; Gule Hole sculp. ; Scale statement reads ""Miliaria Scotica"" 28 = 21 mm. ; Relief shown pictorially. ; Shows settlements with and without churches, place names, lochs (shaded), rivers and tributaries, boundary Scotland-England. ; At top right corner ornate cartouche enclosing the title and, attached to it, an ornate scale cartouche with the scale statement. ; Decoration: elaborated compass rose with direction lines, ship, sea monster, shaded coasts (outwards) and sea detail (stippled). ; Issued for inclusion in Camden's ""Britannia"" in 1607 and subsequent editions.",P0234-gmap-G5770_1607_H8.tif,,,early maps,ea39d08c-d2ca-4999-80cc-f7918aeaa336,,https://api.dc.library.northwestern.edu/api/v2/works/ea39d08c-d2ca-4999-80cc-f7918aeaa336?as=iiif,2023-02-20T16:18:08.978067,None,None,,,,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,color map,26 x 31 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'RS-Gov Maps 2019', 'proposer': None, 'task_number': 'P0234'}",,True,[London] : [Camden],,,https://iiif.dc.library.northwestern.edu/iiif/2/03e6c746-528d-4cd9-89b2-ceded28048b9,,No Copyright - United States,,,,Done,,Scotland|Early works|Maps,,,None,https://api.dc.library.northwestern.edu/api/v2/works/ea39d08c-d2ca-4999-80cc-f7918aeaa336/thumbnail,Scotia Regnum,Public,Image
,G3764.B6G4 1922.B6,,https://api.dc.library.northwestern.edu/api/v2/works/faf0c573-76e7-4002-933f-2bdff0d656e4,Work,ark:/81985/n2q52hc3z,,,,https://dc.library.northwestern.edu/items/faf0c573-76e7-4002-933f-2bdff0d656e4,,9912023214202441,Map and Atlas Collection,"Comey, Arthur C. (Arthur Coleman), 1886-1954|Boston (Mass.). City Planning Board|Walker Lith. & Pub. Co.",2021-03-16T22:42:33.161406Z,,,,1923,"Scale not given (W 71°11'09""--W 70°59'17""/N 42°23'42""--N 42°14'02"")  ; approved, Arthur C. Comey, zoning director. ; Base map: Boston and surroundings published by Walker Lith. & Pub. Co. ; ""14-5-23.""",P0234-gmap-G3764_B6G4_1922.tif,,,maps (documents),faf0c573-76e7-4002-933f-2bdff0d656e4,,https://api.dc.library.northwestern.edu/api/v2/works/faf0c573-76e7-4002-933f-2bdff0d656e4?as=iiif,2023-02-20T16:19:24.890073,None,None,,,,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,color map,60 x 52 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': 'RS-Gov Maps 2019', 'proposer': None, 'task_number': 'P0234'}",,True,Boston : City Planning Board,,,https://iiif.dc.library.northwestern.edu/iiif/2/2ac7f817-1223-4388-93c3-f87f1d294f7e,,No Copyright - United States,,,,Done,,"Massachusetts--Boston|Land use, Urban|Maps",,,None,https://api.dc.library.northwestern.edu/api/v2/works/faf0c573-76e7-4002-933f-2bdff0d656e4/thumbnail,"Use of property, 1922",Public,Image
"Atlas was compiled and drawn from actual survey ; also, from the official records of Cook County and of the CIty of Chicago, and from original plats and deeds, or authentic copies thereof.",greeley_v2,Second atlas of the city of Chicago|Atlas of the city of Chicago,https://api.dc.library.northwestern.edu/api/v2/works/1f848884-efaf-4b00-a549-98f9286cb5b9,Work,ark:/81985/n2ng4h305,,,,https://dc.library.northwestern.edu/items/1f848884-efaf-4b00-a549-98f9286cb5b9,,9937067624202441,Map and Atlas Collection,,2021-03-15T17:29:29.988174Z,Greeley-Carlson Company,,,1891 to 1892,"Showing the territory bounded by Twenty-second St., Thirty-ninth St., Ashland Avenue and Lake Michigan, being sections 27, 28, 29, 32, 21 and 35 of town 39 north, range 14 east of the third principal meridian.","Front Cover|Inside front cover|Page 1. Blank page|Page 2. Blank page|Page 3. Blank page|Page 4. Blank page|Page 5. Title page|Page 6. Index to street numbers, street ordinances|Page 7. Index map|Page 8. Map seciton 1|Page 9. Map section 2|Page 10. Map section 3|Page 11. Map section 4|Page 12. Map section 5|Page 13. Map section 6 |Page 14. Map section 7|Page 15. Map section 8|Page 16. Map section 9|Page 17. Map section 10|Page 18. Map section 11|Page 19. Map section 12|Page 20. Map section 13|Page 21. Map section 14|Page 22. Map section 15|25. Page 23. Blank page|Page 24. Map section 17|Page 25. Map section 18|Page 26. Map section 19|Page 27. Map section 20|Page 28. Map section 21|Page 29. Map section 22|Page 30. Map section 23|Page 31. Map section 24|Page 32. Map section 25|Page 33. Map section 26|Page 34. Map section 27|Page 35. Map section 28|Page 36. Map section 29|Page 37. Map section 30|Page 38. Map section 31|Page 39. Map section 32|Page 40. Map section 33|Page 41. Map section 34|Page 42. Map section 35|Page 43. Map section 36|Page 44. Map section 37|Page 45. Map section 38|Page 46. Map section 39|Page 47. Map section 40|Page 48. Map section 41|Page 49. Map section 42|Page 50. Map section 43|Page 51. Map section 44|Page 52. Map section 45|Page 53. Map section 46|Page 54. Map section 47|Page 55. Map section 48|Page 56. Blank page|Page 57. Blank page|Page 58. Blank page|Page 59. Blank page|Page 60. Blank page|Inside back cover|Back cover",,,atlases,1f848884-efaf-4b00-a549-98f9286cb5b9,,https://api.dc.library.northwestern.edu/api/v2/works/1f848884-efaf-4b00-a549-98f9286cb5b9?as=iiif,2023-02-20T16:19:54.500434,None,None,,English,,Government & Geographic Information Collection,None,,2021-12-15T17:48:23.261613Z,"{'note': 'Scale 1:1,200', 'type': 'General Note'}",1 atlas (2 volumes) : hand colored maps,82 cm,Level 1,"{'cycle': '2018', 'desc': '2 volume atlas of the City of Chicago 1891-92 with street level details', 'manager': 'Jen Young', 'name': 'Greeley Carlson Second Atlas of the City of Chicago', 'proposer': 'Anne Zald', 'task_number': 'P0107'}",,True,"R.R. & R.H. Donnelley, Publishers",,,https://iiif.dc.library.northwestern.edu/iiif/2/c504e60f-3d91-4c0c-ad61-56f865aaccc1,,No Copyright - Non-Commercial Use Only ,,,,Done,,Chicago|Maps|Cadastral maps|Real property|Atlases|Landowners,,,"Materials are in the public domain and, as such, not subject to copyright restriction. However, the Library requests users to cite the URL and Northwestern University Libraries if they wish to reproduce images from its map and atlas database.",https://api.dc.library.northwestern.edu/api/v2/works/1f848884-efaf-4b00-a549-98f9286cb5b9/thumbnail,"Greeley, Carlson & Company's second atlas of the city of Chicago ... with all subdivisions, railroads, docks and buildings upon a scale of 100 feet to one inch. Volume 2",Public,Image
,P0234_9980766468002441,"Praefectura Generalis et Comitatus Provinciae|Added title above upper margin: Comté et gouvernement de Provence, avec les terres adjacentes, divisé en dioceses ou Senechaussées et en Vigueries, par le Sr Guill de l'Ilse Chez les heritiers d'Homann",https://api.dc.library.northwestern.edu/api/v2/works/2c0b9fe9-afee-44e0-82e3-4e4221d2de22,Work,ark:/81985/n2086558k,61fd82bd-d3a3-4cb9-ad4b-bd67ac4a1c23|ac96e2c8-a289-48c4-a8d9-44234ec2e58b,,,https://dc.library.northwestern.edu/items/2c0b9fe9-afee-44e0-82e3-4e4221d2de22,,9980766468002441,Map and Atlas Collection,"Homann Erben (Firm)|L'Isle, Guillaume de, 1675-1726",2021-03-25T19:11:25.180057Z,"Homann, Johann Baptist, 1663-1724",96bccc92-477d-478f-b37b-f19d8766a436,,1745,"Scale approximately 1:420,000 (E 4°30ʹ--E 7°10ʹ/N 44°30ʹ--N 43°0ʹ). ; Imprint: [Nuremberg : Homann Erben, ca. 1745].; Relief shown pictorially.; ""Longitudines Numeratae a primo Meridiano ..."" ; In Latin. Legend and other explanatory notes are in French.",P0234-gmap-G5833_P7_1745_H6.tif,,,early maps,2c0b9fe9-afee-44e0-82e3-4e4221d2de22,,https://api.dc.library.northwestern.edu/api/v2/works/2c0b9fe9-afee-44e0-82e3-4e4221d2de22?as=iiif,2023-02-20T16:20:06.123914,P0394-P0234-GovMaps,P0234-RS-Gov-Maps - 2019batch-P0234-P0359_june_2019.csv,,Latin|French,,Government & Geographic Information Collection,None,Germany--Nuremberg,2021-06-10T16:43:09.761465Z,,1 map : hand colored,46 x 56 cm,Level 1,"{'cycle': '2020', 'desc': 'These are the maps scanned during the 2019 project cycle. ', 'manager': 'Curtis Bozif', 'name': 'RS Gov Maps Project 2020', 'proposer': 'John Dorr', 'task_number': 'P0234'}",,True,[Homann Erben],"Homann, Johann Baptist, 1663-1724. Atlas novus terrarum orbis Noribergae, [1745?] [plate 13]",,https://iiif.dc.library.northwestern.edu/iiif/2/8a2c0aa4-a0ed-4b8f-986a-850bf518e2bb,,No Copyright - United States,,,,Done,,France--Alpes de Haute-Provence|France--Alpes-Maritimes|France--Bouches-du-Rhône|France--Var|France--Vaucluse (Department)|Southern France,,hand coloring,None,https://api.dc.library.northwestern.edu/api/v2/works/2c0b9fe9-afee-44e0-82e3-4e4221d2de22/thumbnail,Praefectura generalis & comitatus Provinciae una cum terris adjacentibus in suas Dioeceses & Praeturas subdivisus ad prototypum del ́Islianum,Public,Image
,P0234_9980791124302441,Heights of the principal mountains in the world,https://api.dc.library.northwestern.edu/api/v2/works/48c7105b-bbcf-4bf4-825b-1cc18e8e7144,Work,ark:/81985/n29k47t1p,ac96e2c8-a289-48c4-a8d9-44234ec2e58b|d17c5d63-449f-4b25-bf89-927b505cf05e,,,https://dc.library.northwestern.edu/items/48c7105b-bbcf-4bf4-825b-1cc18e8e7144,,9980791124302441,Map and Atlas Collection,"Humphrys, F.",2021-03-25T20:47:52.844379Z,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868",96bccc92-477d-478f-b37b-f19d8766a436,,1847,"Scale approximately 1:33,500,000. Vertical scale approximately 1:40,000 (W 180°--E 180°/N 90°--S 90°). ; Relief shown by hachures or pictorially.; Mountain heights is a pictorial representation.; Includes key with elevations to mountains.",P0234-gmap-G3884_P4_S5_len.tif,,,maps (documents),48c7105b-bbcf-4bf4-825b-1cc18e8e7144,,https://api.dc.library.northwestern.edu/api/v2/works/48c7105b-bbcf-4bf4-825b-1cc18e8e7144?as=iiif,2023-02-20T16:20:06.268223,P0394-P0234-GovMaps,P0234-RS-Gov-Maps - 2019batch-P0234-P0359_sep_2019.csv,featured,,,Government & Geographic Information Collection,None,Pennsylvania--Philadelphia,2023-02-02T14:27:46.335601Z,,1 map : hand colored,30 x 29 cm,Level 1,"{'cycle': '2020', 'desc': 'These are the maps scanned during the 2019 project cycle. ', 'manager': 'Curtis Bozif', 'name': 'RS Gov Maps Project 2020', 'proposer': 'John Dorr', 'task_number': 'P0234'}",,True,S. Augustus Mitchell,"Mitchell, S. Augustus (Samuel Augustus), 1792-1868. New universal atlas. Philadelphia : S. Augustus Mitchell, 1847. [No.] 72",,https://iiif.dc.library.northwestern.edu/iiif/2/a2a8c4d6-5ac0-4b05-be89-432ac457ebac,,No Copyright - United States,,,,Done,,"Rivers|Charts, diagrams, etc.",,hand coloring,None,https://api.dc.library.northwestern.edu/api/v2/works/48c7105b-bbcf-4bf4-825b-1cc18e8e7144/thumbnail,Lengths of the principal rivers in the world ; Heights of the principal mountains in the world,Public,Image
,P0234_9980785173102441,Carte principale|Carte d'aptitudes et des potentialités à la culture et au paturage des sols du Sahel,https://api.dc.library.northwestern.edu/api/v2/works/69384040-7160-455e-8301-51f191f06631,Work,ark:/81985/n2930qv60,ac96e2c8-a289-48c4-a8d9-44234ec2e58b|da046845-3f25-4265-a75b-0e48d1db7694,,,https://dc.library.northwestern.edu/items/69384040-7160-455e-8301-51f191f06631,,9980785173102441,Map and Atlas Collection,"Hunter, John M. (John Melton), 1928-2016|Riquier, J.",2021-03-29T15:19:13.074359Z,,96bccc92-477d-478f-b37b-f19d8766a436,,April 1975,"Scale approximately 1:5,000,000 (W 23°--E 24°/N 24°--N 4°). ; Alternate titles from Hunter, John M. Search areas for new lands in the Sahel, title page of Part 1. La carte principale.",P0234-gmap-G8737_S2_J1_1975_H86_car.tif,,,maps (documents),69384040-7160-455e-8301-51f191f06631,,https://api.dc.library.northwestern.edu/api/v2/works/69384040-7160-455e-8301-51f191f06631?as=iiif,2023-02-20T16:20:38.536189,P0394-P0234-GovMaps,P0234-RS-Gov-Maps - 2019batch-P0234-P0359_problems_2019.csv,,,,Government & Geographic Information Collection,None,,2021-12-15T17:48:23.930850Z,"{'note': 'Place of publication not identified', 'type': 'General Note'}",1 map,40 x 98 cm,Level 1,"{'cycle': '2020', 'desc': 'These are the maps scanned during the 2019 project cycle. ', 'manager': 'Curtis Bozif', 'name': 'RS Gov Maps Project 2020', 'proposer': 'John Dorr', 'task_number': 'P0234'}",,True,FAO/AGLS,,,https://iiif.dc.library.northwestern.edu/iiif/2/6ef6c8d2-ed6e-4b77-8215-12d6ccaff9ef,,Copyright Undetermined,,,,Done,,Crops and climate|Africa--Sahel,,,None,https://api.dc.library.northwestern.edu/api/v2/works/69384040-7160-455e-8301-51f191f06631/thumbnail,Carte d'aptitudes et de potentialités à l'agriculture et au paturage du Sahel,Public,Image
,P0234_9980772768802441,"Illinois-Iowa, Galena quadrangle",https://api.dc.library.northwestern.edu/api/v2/works/946d66ae-6dad-4161-8902-e50d23eb06a2,Work,ark:/81985/n2bk18q0f,a696118b-b8d1-4642-b77a-664f9e0ff45a|ac96e2c8-a289-48c4-a8d9-44234ec2e58b,,,https://dc.library.northwestern.edu/items/946d66ae-6dad-4161-8902-e50d23eb06a2,,9980772768802441,Map and Atlas Collection,"Geological Survey (U.S.)|Illinois State Geological Survey|Shaw, E. W. (Eugene Wesley), 1881-1935|Trowbridge, Arthur C. (Arthur Carleton), 1885-",2021-03-26T15:52:43.919400Z,,96bccc92-477d-478f-b37b-f19d8766a436,,1915,"Scale 1:62,500 (W 90°30ʹ--W 90°15ʹ/N 42°30ʹ--N 42°15ʹ). ; Relief indicated by contours and spot heights.; ""R.B. Marshall, Chief Geographer. W.H. Herron, Geographer in charge. Topography by Mississippi River Commission, Illinois State Geological Survey, Frank Tweedy, B.A. Jenkins, and Geo. Hoffman. Control by Mississippi River Commission, L.E. Tucker, and Henry Bucher. Surveyed in 1909 and 1911. Geology by E.W. Shaw and A.C. Trowbridge, assisted by B.H. Schockel. Surveyed in 1910 and 1911."" ; Edition of Mar. 1915.",P0234-gmap-G4101_C51_1915_IL.tif,,,maps (documents),946d66ae-6dad-4161-8902-e50d23eb06a2,,https://api.dc.library.northwestern.edu/api/v2/works/946d66ae-6dad-4161-8902-e50d23eb06a2?as=iiif,2023-02-20T16:20:46.427472,P0394-P0234-GovMaps,P0234-RS-Gov-Maps - 2019batch-P0234-P0359_jan_feb_2019.csv,,,,Government & Geographic Information Collection,None,Washington (D.C.),2021-06-10T16:43:09.761465Z,,1 map : color,48 x 35 cm,Level 1,"{'cycle': '2020', 'desc': 'These are the maps scanned during the 2019 project cycle. ', 'manager': 'Curtis Bozif', 'name': 'RS Gov Maps Project 2020', 'proposer': 'John Dorr', 'task_number': 'P0234'}",,True,Geological Survey,,,https://iiif.dc.library.northwestern.edu/iiif/2/967648a4-6e3b-4176-8938-53592596153a,,No Copyright - United States,,,,Done,,Illinois--Galena Region,,,None,https://api.dc.library.northwestern.edu/api/v2/works/946d66ae-6dad-4161-8902-e50d23eb06a2/thumbnail,"Areal geology : Illinois-Iowa, Galena quadrangle",Public,Image
,P0234_9980859101002441,,https://api.dc.library.northwestern.edu/api/v2/works/d2ba9078-8f93-4e35-ae7c-8032fcb8b5eb,Work,ark:/81985/n27942v1p,ac96e2c8-a289-48c4-a8d9-44234ec2e58b|adf51d17-330e-4827-ba94-a7b7293aa66e,,,https://dc.library.northwestern.edu/items/d2ba9078-8f93-4e35-ae7c-8032fcb8b5eb,,9980859101002441,Map and Atlas Collection,"Calcografia camerale (Rome, Italy)|Cassini, Gio. Ma. (Giovanni Maria), 1745-approximately 1824",2021-03-29T14:58:02.508376Z,"Sanson, Guillaume",96bccc92-477d-478f-b37b-f19d8766a436,,1801,"Scale not given. ; Relief shown pictorially.; ""Gio. Ma. Cassini Somo. inc.""; Title within decorative cartouche.; Hand colored.; Includes ill. personifying the four continents and coat of arms.; Atlas plate number in upper margin: Tom. III. No. 42.",P0234-gmap-G3200_1801_S2.tif,,,maps (documents),d2ba9078-8f93-4e35-ae7c-8032fcb8b5eb,,https://api.dc.library.northwestern.edu/api/v2/works/d2ba9078-8f93-4e35-ae7c-8032fcb8b5eb?as=iiif,2023-02-20T16:20:50.627170,P0394-P0234-GovMaps,P0234-RS-Gov-Maps - 2019batch-P0234-P0359_jan_2020.csv,,,,Government & Geographic Information Collection,None,Italy--Rome,2021-06-10T16:43:09.761465Z,,1 map : hand colored,"2 hemispheres each 23 cm in diam., on sheet 47 x 68 cm",Level 1,"{'cycle': '2020', 'desc': 'These are the maps scanned during the 2019 project cycle. ', 'manager': 'Curtis Bozif', 'name': 'RS Gov Maps Project 2020', 'proposer': 'John Dorr', 'task_number': 'P0234'}",,True,Presso la Calcografia Camerale,,,https://iiif.dc.library.northwestern.edu/iiif/2/a32f784b-57c7-4bac-ad45-a5ee7589e32c,,No Copyright - United States,,,,Done,,,,hand coloring,None,https://api.dc.library.northwestern.edu/api/v2/works/d2ba9078-8f93-4e35-ae7c-8032fcb8b5eb/thumbnail,Mappamondo antico diviso nell'uno e nell'altro continente,Public,Image
