abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,P0383_Edison_B01_060,,https://api.dc.library.northwestern.edu/api/v2/works/b260d812-551b-4542-8a20-dbd3d74be969,Work,ark:/81985/n2wd3sm66,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,1,https://dc.library.northwestern.edu/items/b260d812-551b-4542-8a20-dbd3d74be969,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:49:14.817202Z,,b3d9750b-c80c-4cb0-9765-dc5867846c22|62755bf4-8cee-4ff2-a3c2-bbd952da2dc0,,1922 to 1935?,60241|G-758|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,b260d812-551b-4542-8a20-dbd3d74be969,,https://api.dc.library.northwestern.edu/api/v2/works/b260d812-551b-4542-8a20-dbd3d74be969?as=iiif,2023-02-20T16:25:14.936484,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:33.204726Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,27.5 cm (height) x 19.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/610c8c88-e71c-41a3-8f36-c676cd350e93,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b260d812-551b-4542-8a20-dbd3d74be969/thumbnail,"New York Edison Company electric vehicles, Box 01, Photograph 060",Public,Image
,P0383_Edison_B07_002,,https://api.dc.library.northwestern.edu/api/v2/works/87363892-5521-4ea5-b0c1-1059ed8bf633,Work,ark:/81985/n23n23058,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,7,https://dc.library.northwestern.edu/items/87363892-5521-4ea5-b0c1-1059ed8bf633,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:45:22.905707Z,,b3d9750b-c80c-4cb0-9765-dc5867846c22|62755bf4-8cee-4ff2-a3c2-bbd952da2dc0,,1922 to 1935?,E127|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,87363892-5521-4ea5-b0c1-1059ed8bf633,,https://api.dc.library.northwestern.edu/api/v2/works/87363892-5521-4ea5-b0c1-1059ed8bf633?as=iiif,2023-02-20T16:25:15.334073,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:40.746330Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,27.5 cm (height) x 20.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/67438496-3570-48b6-af8d-50d5d6eaf916,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/87363892-5521-4ea5-b0c1-1059ed8bf633/thumbnail,"New York Edison Company electric vehicles, Box 07, Photograph 002",Public,Image
,P0383_Edison_B04_008,,https://api.dc.library.northwestern.edu/api/v2/works/4367610c-a7c2-4eb9-ac0c-0390cd8c644f,Work,ark:/81985/n2pz5461z,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,4,https://dc.library.northwestern.edu/items/4367610c-a7c2-4eb9-ac0c-0390cd8c644f,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:46:04.450550Z,,b3d9750b-c80c-4cb0-9765-dc5867846c22|62755bf4-8cee-4ff2-a3c2-bbd952da2dc0,,1922 to 1935?,61081-1|E519|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,4367610c-a7c2-4eb9-ac0c-0390cd8c644f,,https://api.dc.library.northwestern.edu/api/v2/works/4367610c-a7c2-4eb9-ac0c-0390cd8c644f?as=iiif,2023-02-20T16:25:15.491025,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:38.936465Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,20.5 cm (height) x 27.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/96aaf0a9-c659-413f-9b64-a7f780f878cf,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/4367610c-a7c2-4eb9-ac0c-0390cd8c644f/thumbnail,"New York Edison Company electric vehicles, Box 04, Photograph 008",Public,Image
,P0383_Edison_B04_036,,https://api.dc.library.northwestern.edu/api/v2/works/f05f16fc-e562-4458-b386-aaa1b364bae0,Work,ark:/81985/n28c9tp99,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,4,https://dc.library.northwestern.edu/items/f05f16fc-e562-4458-b386-aaa1b364bae0,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:45:18.645484Z,,b3d9750b-c80c-4cb0-9765-dc5867846c22|62755bf4-8cee-4ff2-a3c2-bbd952da2dc0,,1922 to 1935?,60508-1|E752|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,f05f16fc-e562-4458-b386-aaa1b364bae0,,https://api.dc.library.northwestern.edu/api/v2/works/f05f16fc-e562-4458-b386-aaa1b364bae0?as=iiif,2023-02-20T16:25:15.632724,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:37.124182Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,20.5 cm (height) x 27.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/665f7003-d389-429b-9201-9ed83521413e,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f05f16fc-e562-4458-b386-aaa1b364bae0/thumbnail,"New York Edison Company electric vehicles, Box 04, Photograph 036",Public,Image
,P0383_Edison_B06_070,,https://api.dc.library.northwestern.edu/api/v2/works/4242b777-6066-4ec8-a510-a538b49c32e9,Work,ark:/81985/n2416wk0m,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,6,https://dc.library.northwestern.edu/items/4242b777-6066-4ec8-a510-a538b49c32e9,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:47:47.202470Z,,b3d9750b-c80c-4cb0-9765-dc5867846c22|62755bf4-8cee-4ff2-a3c2-bbd952da2dc0,,1922 to 1935?,46474-82|E215|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,4242b777-6066-4ec8-a510-a538b49c32e9,,https://api.dc.library.northwestern.edu/api/v2/works/4242b777-6066-4ec8-a510-a538b49c32e9?as=iiif,2023-02-20T16:25:15.668841,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:29.159045Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,27.5 cm (height) x 20.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/deaef931-9f77-4866-b9cb-5ba566e98fe3,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/4242b777-6066-4ec8-a510-a538b49c32e9/thumbnail,"New York Edison Company electric vehicles, Box 06, Photograph 070",Public,Image
,P0383_Edison_B04_061,,https://api.dc.library.northwestern.edu/api/v2/works/0a9d1235-e9be-4db5-ac6f-01e3d57c3d89,Work,ark:/81985/n23r0sd2r,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,4,https://dc.library.northwestern.edu/items/0a9d1235-e9be-4db5-ac6f-01e3d57c3d89,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:49:30.711796Z,,62755bf4-8cee-4ff2-a3c2-bbd952da2dc0|b3d9750b-c80c-4cb0-9765-dc5867846c22,,1922 to 1935?,60508|E752|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,0a9d1235-e9be-4db5-ac6f-01e3d57c3d89,,https://api.dc.library.northwestern.edu/api/v2/works/0a9d1235-e9be-4db5-ac6f-01e3d57c3d89?as=iiif,2023-02-20T16:25:15.671384,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:28.093849Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,27.5 cm (height) x 20.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/5a887bfb-b198-43e9-bfb9-e653758d1184,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0a9d1235-e9be-4db5-ac6f-01e3d57c3d89/thumbnail,"New York Edison Company electric vehicles, Box 04, Photograph 061",Public,Image
,P0383_Edison_B02_030,,https://api.dc.library.northwestern.edu/api/v2/works/0f27bbc8-3f8f-4847-be04-ee2f96c49fc2,Work,ark:/81985/n2mw2c083,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,2,https://dc.library.northwestern.edu/items/0f27bbc8-3f8f-4847-be04-ee2f96c49fc2,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:46:25.131881Z,,62755bf4-8cee-4ff2-a3c2-bbd952da2dc0|b3d9750b-c80c-4cb0-9765-dc5867846c22,,1922 to 1935?,50760-5|G760|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,0f27bbc8-3f8f-4847-be04-ee2f96c49fc2,,https://api.dc.library.northwestern.edu/api/v2/works/0f27bbc8-3f8f-4847-be04-ee2f96c49fc2?as=iiif,2023-02-20T16:25:15.673862,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:28.146940Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,27.5 cm (height) x 20.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/a8073e22-6207-4857-af9b-26e7b8f9cede,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0f27bbc8-3f8f-4847-be04-ee2f96c49fc2/thumbnail,"New York Edison Company electric vehicles, Box 02, Photograph 030",Public,Image
,P0383_Edison_B03_039,,https://api.dc.library.northwestern.edu/api/v2/works/05bea16b-ab6e-4106-b109-084cbc61c1ee,Work,ark:/81985/n2wm16d3b,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,3,https://dc.library.northwestern.edu/items/05bea16b-ab6e-4106-b109-084cbc61c1ee,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:49:01.835966Z,,62755bf4-8cee-4ff2-a3c2-bbd952da2dc0|b3d9750b-c80c-4cb0-9765-dc5867846c22,,1922 to 1935?,E246|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,05bea16b-ab6e-4106-b109-084cbc61c1ee,,https://api.dc.library.northwestern.edu/api/v2/works/05bea16b-ab6e-4106-b109-084cbc61c1ee?as=iiif,2023-02-20T16:25:17.296602,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:27.927974Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,27.5 cm (height) x 20.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/f3d4856d-6da6-4293-aa4c-21f2b0e20477,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/05bea16b-ab6e-4106-b109-084cbc61c1ee/thumbnail,"New York Edison Company electric vehicles, Box 03, Photograph 039",Public,Image
,P0383_Edison_B01_083,,https://api.dc.library.northwestern.edu/api/v2/works/060ea2ce-717a-49b9-a83d-e10b9347c48f,Work,ark:/81985/n22j6bq29,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,1,https://dc.library.northwestern.edu/items/060ea2ce-717a-49b9-a83d-e10b9347c48f,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:48:30.830329Z,,b3d9750b-c80c-4cb0-9765-dc5867846c22|62755bf4-8cee-4ff2-a3c2-bbd952da2dc0,,1922 to 1935?,62252-1|G151|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,060ea2ce-717a-49b9-a83d-e10b9347c48f,,https://api.dc.library.northwestern.edu/api/v2/works/060ea2ce-717a-49b9-a83d-e10b9347c48f?as=iiif,2023-02-20T16:25:17.497376,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:27.939898Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,27.5 cm (height) x 19.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/cf5d8bc9-ee98-480d-9592-055e4fac447f,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/060ea2ce-717a-49b9-a83d-e10b9347c48f/thumbnail,"New York Edison Company electric vehicles, Box 01, Photograph 083",Public,Image
,P0383_Edison_B04_080,,https://api.dc.library.northwestern.edu/api/v2/works/157848c1-65fd-451c-8087-8da355d4ebb6,Work,ark:/81985/n20z73g63,0961c8a5-f5cb-4731-823b-3080c50707b6|460e69c3-c7b4-4cb3-8215-7bbb662acaed|5b2a4376-e99e-456f-b30b-1b47afdf3345|85c0e65d-a050-4968-9986-d67e313861e6,,4,https://dc.library.northwestern.edu/items/157848c1-65fd-451c-8087-8da355d4ebb6,,9980958371302441,New York Edison Company Vehicle Fleet Photographs,New York Edison Company,2022-01-28T20:46:37.186681Z,,62755bf4-8cee-4ff2-a3c2-bbd952da2dc0|b3d9750b-c80c-4cb0-9765-dc5867846c22,,1922 to 1935?,63727-1|G107|An archive of photographs of electric vehicles in the fleet of the New York Edison Company. The photographs were taken by the New York Edison Company in the 1920s and 1930s.,recto|verso,,,black-and-white photographs,157848c1-65fd-451c-8087-8da355d4ebb6,,https://api.dc.library.northwestern.edu/api/v2/works/157848c1-65fd-451c-8087-8da355d4ebb6?as=iiif,2023-02-20T16:25:18.460837,P0383 Edison Company Electric Vehicle Photographic Collection,P0383_edison.csv,,English,,Transportation Library,None,,2022-12-01T14:43:28.228912Z,"{'note': 'The photographs were originally contained in a post binder. The photographs and binder have been rehoused in archival boxes. The first archival box of photographs also contains four images of the photographs as they were originally bound', 'type': 'Local Note'}|{'note': ' Title devised by cataloguer.', 'type': 'Local Note'}",photographs : black and white,27.5 cm (height) x 20.5 cm (width),Level 1,"{'cycle': '2022', 'desc': 'I believe this project fits into Categories A and B. With the increase of consumer demand and the increasing number of state and federal regulations to move to an all-electric vehicle fleets within the next 20 years, Northwestern University Libraries has the opportunity to position itself at the forefront of electric vehicle images available for research, exhibits and publications. After reviewing the internet for collections or institutions making available a large number and high quality of images such as the ones we are proposing, we failed to identify any that comes close to ours. Digitizing this collection will be a rich vein of documentation for historians, writers, and engineers.', 'manager': 'Nicole Finzer', 'name': 'Edison Company Electric Vehicle Photographic Collection', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0383'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/5e779dcb-da3d-4b8f-80c0-3dc61dcd1fc9,,Copyright Undetermined,,,,Done,,Electric vehicles|New York Edison Company|Electric vehicles--Equipment and supplies|Archives|New York (State)--New York,,,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/157848c1-65fd-451c-8087-8da355d4ebb6/thumbnail,"New York Edison Company electric vehicles, Box 04, Photograph 080",Public,Image
