abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,P0325-inu-paynter_3391,,https://api.dc.library.northwestern.edu/api/v2/works/ed6eec42-02df-4fc1-a635-25da7cb12295,Work,ark:/81985/n28w3bn6h,3e4acf5c-4656-40ca-9451-0008a4107357|5ba55d97-070c-4f1d-98db-5e2e3106c53b|84a38de9-585b-4bb5-81f8-a1cb690b1fe9|99c4bd5c-4013-411c-89d2-8a9ea0a0e4ed|a7c27a6b-0e47-4f61-9521-21d9a9b0a2ef|c82bdf58-67b2-4353-9f2d-ab165428ddae|e79b56bc-071b-4b88-a257-cb2be63d7256,,,https://dc.library.northwestern.edu/items/ed6eec42-02df-4fc1-a635-25da7cb12295,,,Northwestern University Marching Band,"Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)|Northwestern University (Evanston, Ill.)|Peterson, Stephen (Conductor)|ABC Television Network|Walt Disney Television Animation|Columbia Pictures Television|InterSport",2022-02-17T19:22:47.609449Z,,b13b3282-461e-4d67-ad2e-b63ecda71ff1,,August 1989 to November 1989,"The Northwestern University Marching Band practices for upcoming Northwestern University Wildcats' games. The band practices marching, formations, cheers, and rehearses for performances including ""Go U Northwestern."" To celebrate band director Stephen Peterson's engagement, the band members drop him in Lake Michigan. Following the footage of band camp is a recording of ""New Adventures of Winnie the Pooh,"" ""Ghostbusters,"" and ""Teenage Mutant Ninja Turtles."" After the cartoons is a recording of ""Bears '89 with Dan Hampton.""",tape 1 of 1|tape 1 of 1|tape 1 of 1 QCTools report|tape 1 of 1 technical metadata file|tape 1 of 1 image|tape 1 of 1 image|tape 1 of 1 image,,,VHS,ed6eec42-02df-4fc1-a635-25da7cb12295,19/2/5,https://api.dc.library.northwestern.edu/api/v2/works/ed6eec42-02df-4fc1-a635-25da7cb12295?as=iiif,2023-02-20T16:24:06.680514,P0348-P0329-P0325-P0312 Paynter Marching Band Film and Video,P0325_Paynter-group2.csv,,English,,University Archives,None,,2022-12-22T16:59:06.166660Z,"{'note': 'Band content ends at 00:22:00', 'type': 'General Note'}",,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Nicole Finzer', 'name': 'Paynter Marching Band films', 'proposer': 'Kevin Leonard', 'task_number': 'P0329'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/posters/677c0a99-ecf6-4b37-9557-ac16b89548e9,,Copyright Undetermined,,,,Done,,"Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Music|Marching bands|Conductors (Music)|Band directors|Northwestern University (Evanston, Ill.)|Winnie-the-Pooh (Fictitious character)|Real ghostbusters (Television program)|Teenage Mutant Ninja Turtles (Television program : 1987-1996)",,,"The recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. Please contact specialcollections@northwestern.edu for more information",https://api.dc.library.northwestern.edu/api/v2/works/ed6eec42-02df-4fc1-a635-25da7cb12295/thumbnail,Marching Band Camp,Institution,Video
,avr:9g54xk45v,,https://api.dc.library.northwestern.edu/api/v2/works/0cb0e7ef-455b-448f-9a8d-a3ff36bae4e7,Work,ark:/81985/n22n52205,2528c422-b963-4802-9535-1ff04c7d6d42|3e4acf5c-4656-40ca-9451-0008a4107357|c82bdf58-67b2-4353-9f2d-ab165428ddae|eed14224-9617-47a9-91bf-a3d95d51ad76,,,https://dc.library.northwestern.edu/items/0cb0e7ef-455b-448f-9a8d-a3ff36bae4e7,,,Northwestern University Marching Band,"Fennell, Frederick|Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)",2022-01-21T06:06:47.638426Z,"Paynter, John P.|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)",,,"July 14, 1987 to July 15, 1987","During the Northwesten University Summer Session, conductor and educator Frederick Fennell conducts rehearsal, lectures a graduate conducting class, and conducts the Summer Session Band during a performance at Pick-Staiger Hall. In Part One, Fennell conducts rehearsal and lectures on conducting. In Part Two, Fennell lectures and conducts the Summer Session Band for a concert performance.",Part One|Part Two|Part One|Part Two|8049g5061/9g54xk45v.mods.xml|Part One QCTools report|Part One technical metadata file|Part Two QCTools report|Part Two technical metadata file|Part One image|Part One image|Part One image|Part Two image|Part Two image|Part Two image,,,Music,0cb0e7ef-455b-448f-9a8d-a3ff36bae4e7,,https://api.dc.library.northwestern.edu/api/v2/works/0cb0e7ef-455b-448f-9a8d-a3ff36bae4e7?as=iiif,2023-02-20T16:25:04.281905,AVR Migration,avr_migration.csv,,,9g54xk45v,University Archives,None,,2022-08-05T22:12:30.950379Z,,VHS,,Level 1,"{'cycle': '2020', 'desc': None, 'manager': 'Dan Zellner', 'name': 'Paynter Marching Band', 'proposer': 'Kevin Leonard', 'task_number': 'P0328 P0325 P0348'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/22683f52-3163-4ff4-8f73-9297f582c2d6,,Copyright Undetermined,,,,Done,,"Northwestern University (Evanston, Ill.). School of Music|Music|Band directors|Music--Instruction and study|Conductors (Music)|Evanston, Illinois|Pick-Staiger Concert Hall (Evanston, Ill.)",,,"The recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. Please contact specialcollections@northwestern.edu for more information. IN COPYRIGHT",https://api.dc.library.northwestern.edu/api/v2/works/0cb0e7ef-455b-448f-9a8d-a3ff36bae4e7/thumbnail,Northwestern University Summer Session,Public,Video
,avr:m326m336z,,https://api.dc.library.northwestern.edu/api/v2/works/51aec647-176c-4344-b378-0c0b5657e33b,Work,ark:/81985/n2736pm63,2528c422-b963-4802-9535-1ff04c7d6d42|3e4acf5c-4656-40ca-9451-0008a4107357|c82bdf58-67b2-4353-9f2d-ab165428ddae|eed14224-9617-47a9-91bf-a3d95d51ad76,,,https://dc.library.northwestern.edu/items/51aec647-176c-4344-b378-0c0b5657e33b,,,Northwestern University Marching Band,"Peterson, Stephen (Conductor)|Ludwig, Matthew P.|Northwestern University (Evanston, Ill.). Marching Band|Sousa, John Philip, 1854-1932|Simon, Paul, 1941-|Chicago (Musical group)|Bernstein, Leonard, 1918-1990|Stravinsky, Igor, 1882-1971|Friedmann, Pete|Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)",2022-01-21T06:21:15.755132Z,"Paynter, John P.|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)",,,1994,"A compilation of Northwestern University Marching Band performances during the 1994-1995 Northwestern Wildcats football season. First are performances from the Northwestern Wildcats versus the Michigan State Spartans at Dyche Stadium and includes ""Fanfare,"" ""America the Beautiful,"" and the National Anthem. Second are performances from another home football game including performances by the Cheer Team to ""Celebration,"" and a Motown medley of ""I heard it through the grapevine,"" ""Respect,"" and ""When a man loves a woman,"" ""Stop in the name of love,"" ""My girl,"" ""Dancing in the street,"" and ""A-B-C."" Performances from the High School Band Day featuring a medley from Jurassic Park, John Philip Sousa's ""The Washington Post"" march, ""Trumpet voluntary,"" ""Shenandoah,"" and ""Battle Hymn of the Republic."" Next are a group of performances including ""Got to get you into my life,"" Chicago's ""I just wanna be free,"" and Paul Simon's ""Late in the evening."" The next performances features songs from Leonard Bernstein's West Side Story including ""Mambo,"" ""Tonight,"" and ""America."" The final performance includes ""Firebird"" by Igor Stravinsky. The NU Marching Band was conducted by Stephen G. Peterson and Matthew Ludwig.",inu-paynter_3284.mp4|inu-paynter_3284.mkv|8049g5061/m326m336z.mods.xml|QCTools report|technical metadata file|inu-paynter_3284_2.jpg|inu-paynter_3284_3.jpg,,,Music,51aec647-176c-4344-b378-0c0b5657e33b,,https://api.dc.library.northwestern.edu/api/v2/works/51aec647-176c-4344-b378-0c0b5657e33b?as=iiif,2023-02-20T16:25:04.286930,AVR Migration,avr_migration.csv,,English,m326m336z,University Archives,None,,2022-08-05T22:12:30.950379Z,,VHS,,Level 1,"{'cycle': '2020', 'desc': None, 'manager': 'Dan Zellner', 'name': 'Paynter Marching Band', 'proposer': 'Kevin Leonard', 'task_number': 'P0328 P0325 P0348'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/7791e553-00ee-43b2-9adb-68c58f525065,,Copyright Undetermined,,,,Done,,"Band directors|Music--Instruction and study|Northwestern University (Evanston, Ill.). School of Music|Music|Northwestern University (Evanston, Ill.). Marching Band|Northwestern Wildcats (Football team)|Northwestern University (Evanston, Ill.)--Football--History|Evanston, Illinois|Ryan Field (Evanston, Ill.)",,,"The recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. Please contact specialcollections@northwestern.edu for more information. IN COPYRIGHT",https://api.dc.library.northwestern.edu/api/v2/works/51aec647-176c-4344-b378-0c0b5657e33b/thumbnail,SAGA: Marching Band Compilation,Institution,Video
,avr:zp38wf369,,https://api.dc.library.northwestern.edu/api/v2/works/755ac2d4-cd50-43d9-81c0-f916ee707d15,Work,ark:/81985/n2hh6fq1r,2528c422-b963-4802-9535-1ff04c7d6d42|3e4acf5c-4656-40ca-9451-0008a4107357|c82bdf58-67b2-4353-9f2d-ab165428ddae|eed14224-9617-47a9-91bf-a3d95d51ad76,,,https://dc.library.northwestern.edu/items/755ac2d4-cd50-43d9-81c0-f916ee707d15,,,Northwestern University Marching Band,"Paynter, John P.|WTTW (Television station : Chicago, Ill.)|Summer Music Games|Peck, Jim, 1943-|Moreno, Rita|Rondinaro, Steve|Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)",2022-01-21T06:08:56.885975Z,Public Broadcasting Service (U.S.),,,1980,"Part Three of the Public Broadcasting Service's coverage of the 1980 Drum Corp International Championship from Birmingham, Alabama. Jim Peck, Steve Rondinaro, and Rita Moreno host the televised coverage of performances by the top 12 corps. The 12 corps will be judged on horn line, drum line, and color guard. Part 3 features three corps performances. The Santa Clara Vanguard from California perform ""The Planets,"" selections from ""Evita,"" including ""Don't Cry For Me Argentina,"" and others. The Madison Scouts from Wisconsin perform the ""Entre Act"" from ""They're Playing Our Song,"" ""Malagueña,"" ""New Country,"" and music from the movie ""Ice Castles."" The Phantom Regiment from Rockford, Illinois perform ""Russian Easter Overture,"" ""Polovtsian Dances,"" ""The Gallop,"" and ""Carmen Suite.""  WTTW Channel 11 interrupts the coverage with station identification and sponsorship information.",inu-paynter_3310.mp4|inu-paynter_3310.mkv|8049g5061/zp38wf369.mods.xml|QCTools report|technical metadata file|inu-paynter_3310_1.jpg|inu-paynter_3310_2.jpg|inu-paynter_3310_3a.jpg|inu-paynter_3310_3b.jpg,,,Music,755ac2d4-cd50-43d9-81c0-f916ee707d15,,https://api.dc.library.northwestern.edu/api/v2/works/755ac2d4-cd50-43d9-81c0-f916ee707d15?as=iiif,2023-02-20T16:25:04.291528,AVR Migration,avr_migration.csv,,English,zp38wf369,University Archives,None,,2022-08-05T22:12:30.950379Z,,U-Matic,,Level 1,"{'cycle': '2020', 'desc': None, 'manager': 'Dan Zellner', 'name': 'Paynter Marching Band', 'proposer': 'Kevin Leonard', 'task_number': 'P0328 P0325 P0348'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/641534d9-04b0-425e-a3cf-a8bb179b9eb4,,Copyright Undetermined,,,,Done,,"Summer Music Games|Music|Drum Corps International|Drum and bugle corps|Birmingham, Alabama",,,"The recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. Please contact specialcollections@northwestern.edu for more information. IN COPYRIGHT",https://api.dc.library.northwestern.edu/api/v2/works/755ac2d4-cd50-43d9-81c0-f916ee707d15/thumbnail,Drum Corps International Championship Part 3,Public,Video
,avr:j098zb16c,,https://api.dc.library.northwestern.edu/api/v2/works/9d63473f-b097-4d37-977d-d83ad9e94f6f,Work,ark:/81985/n26w98t4m,2528c422-b963-4802-9535-1ff04c7d6d42|3e4acf5c-4656-40ca-9451-0008a4107357|c82bdf58-67b2-4353-9f2d-ab165428ddae|eed14224-9617-47a9-91bf-a3d95d51ad76,,,https://dc.library.northwestern.edu/items/9d63473f-b097-4d37-977d-d83ad9e94f6f,,,Northwestern University Marching Band,"Paynter, John P.|Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)",2022-01-21T06:13:56.511563Z,"Northwestern University (Evanston, Ill.). Marching Band",,,1972,"Northwestern University Marching Band performs to Sheldon Harnick's ""Fiddler on the Roof,"" NU vs Indiana, halftime",inu_marchband_am_reel1228_1972_homecoming.mp4|8049g5061/j098zb16c.mods.xml,,,Music,9d63473f-b097-4d37-977d-d83ad9e94f6f,,https://api.dc.library.northwestern.edu/api/v2/works/9d63473f-b097-4d37-977d-d83ad9e94f6f?as=iiif,2023-02-20T16:25:04.294696,AVR Migration,avr_migration.csv,,,j098zb16c,University Archives,None,,2022-08-05T22:12:30.950379Z,,,,Level 1,"{'cycle': '2020', 'desc': None, 'manager': 'Dan Zellner', 'name': 'Paynter Marching Band', 'proposer': 'Kevin Leonard', 'task_number': 'P0328 P0325 P0348'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/cc70c0b4-272f-480a-96f0-078d172f1f79,,Copyright Undetermined,,,,Done,,"Marching bands|Northwestern University (Evanston, Ill.)--Football--History|Indiana University, Bloomington--Football--History|Indiana Hoosiers (Football team)|Northwestern Wildcats (Football team)",,,None,https://api.dc.library.northwestern.edu/api/v2/works/9d63473f-b097-4d37-977d-d83ad9e94f6f/thumbnail,"Homecoming, 1972",Public,Video
,avr:3x816p41b,,https://api.dc.library.northwestern.edu/api/v2/works/d54ddb02-0526-4b7b-a2ce-3dfe4bedc7bc,Work,ark:/81985/n2w090185,2528c422-b963-4802-9535-1ff04c7d6d42|3e4acf5c-4656-40ca-9451-0008a4107357|c82bdf58-67b2-4353-9f2d-ab165428ddae|eed14224-9617-47a9-91bf-a3d95d51ad76,,,https://dc.library.northwestern.edu/items/d54ddb02-0526-4b7b-a2ce-3dfe4bedc7bc,,,Northwestern University Marching Band,"Paynter, John P.|WTTW (Television station : Chicago, Ill.)|Summer Music Games|Peck, Jim, 1943-|Moreno, Rita|Rondinaro, Steve|Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)",2022-01-21T06:21:55.599552Z,Public Broadcasting Service (U.S.),,,1980,"Part Two of the Public Broadcasting Service's coverage of the 1980 Drum Corp International Championship from Birmingham, Alabama. Jim Peck, Steve Rondinaro, and Rita Moreno host the televised coverage of performances by the top 12 corps. The 12 corps will be judged on horn line, drum line, and color guard. Part 2 features the conclusion of the Guardsmen from Schaumburg-Hoffman Estates performance of ""The Wasps"" and ""Greensleeves."" The Garfield Cadets from New Jersey perform ""One Voice,"" ""Uncle Joe,"" ""Fantasy,"" ""Elk's Parade,"" and music from the movie ""Ice Castles."" The Cavaliers from Park Ridge, Illinois perform a selection of music including ""Santa Esmeralda Suite."" The Crossmen from Pennsylvania perform ""Pictures of Spain,"" ""Spanish Fantasy,"" music from the movie ""Superman,"" and others. WTTW Channel 11 interrupts the coverage with station identification and sponsorship information.",inu-paynter_3309.mp4|inu-paynter_3309.mkv|8049g5061/3x816p41b.mods.xml|QCTools report|technical metadata file|inu-paynter_3309_1.jpg|inu-paynter_3309_2.jpg|inu-paynter_3309_3a.jpg|inu-paynter_3309_3b.jpg,,,Music,d54ddb02-0526-4b7b-a2ce-3dfe4bedc7bc,,https://api.dc.library.northwestern.edu/api/v2/works/d54ddb02-0526-4b7b-a2ce-3dfe4bedc7bc?as=iiif,2023-02-20T16:25:04.298641,AVR Migration,avr_migration.csv,,English,3x816p41b,University Archives,None,,2022-08-05T22:12:30.950379Z,,U-Matic,,Level 1,"{'cycle': '2020', 'desc': None, 'manager': 'Dan Zellner', 'name': 'Paynter Marching Band', 'proposer': 'Kevin Leonard', 'task_number': 'P0328 P0325 P0348'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/1a2847fd-0d78-465e-b8cf-bb14b0e40eef,,Copyright Undetermined,,,,Done,,"Summer Music Games|Music|Drum Corps International|Drum and bugle corps|Birmingham, Alabama",,,"The recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. Please contact specialcollections@northwestern.edu for more information. IN COPYRIGHT",https://api.dc.library.northwestern.edu/api/v2/works/d54ddb02-0526-4b7b-a2ce-3dfe4bedc7bc/thumbnail,Drum Corps International Championship Part 2,Public,Video
,avr:gq67jr22v,,https://api.dc.library.northwestern.edu/api/v2/works/8a73c528-4288-4826-9a85-2f9fa2161b91,Work,ark:/81985/n2qf8n351,2528c422-b963-4802-9535-1ff04c7d6d42|3e4acf5c-4656-40ca-9451-0008a4107357|c82bdf58-67b2-4353-9f2d-ab165428ddae|eed14224-9617-47a9-91bf-a3d95d51ad76,,,https://dc.library.northwestern.edu/items/8a73c528-4288-4826-9a85-2f9fa2161b91,,,Northwestern University Marching Band,"Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)",2022-01-21T06:15:15.891007Z,"Northwestern University (Evanston, Ill.). Marching Band",,,1940,,inu_marchband_am_reel1197_1940_notre_dame.mp4|8049g5061/gq67jr22v.mods.xml,,,Music,8a73c528-4288-4826-9a85-2f9fa2161b91,,https://api.dc.library.northwestern.edu/api/v2/works/8a73c528-4288-4826-9a85-2f9fa2161b91?as=iiif,2023-02-20T16:25:04.301705,AVR Migration,avr_migration.csv,,,gq67jr22v,University Archives,None,,2022-08-05T22:12:31.062594Z,,,,Level 1,"{'cycle': '2020', 'desc': None, 'manager': 'Dan Zellner', 'name': 'Paynter Marching Band', 'proposer': 'Kevin Leonard', 'task_number': 'P0328 P0325 P0348'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/247155cd-7a62-493b-b4e2-e0a9ba8465d0,,Copyright Undetermined,,,,Done,,"Marching bands|University of Notre Dame--Football--History|Notre Dame Fighting Irish (Football team)|Northwestern University (Evanston, Ill.)--Football--History|Northwestern Wildcats (Football team)",,,None,https://api.dc.library.northwestern.edu/api/v2/works/8a73c528-4288-4826-9a85-2f9fa2161b91/thumbnail,"Notre Dame, 1940",Public,Video
,avr:cn69m609c,,https://api.dc.library.northwestern.edu/api/v2/works/a83db726-f1ee-4725-9e5d-06ad779ffa0e,Work,ark:/81985/n2nv9cw0h,2528c422-b963-4802-9535-1ff04c7d6d42|3e4acf5c-4656-40ca-9451-0008a4107357|c82bdf58-67b2-4353-9f2d-ab165428ddae|eed14224-9617-47a9-91bf-a3d95d51ad76,,,https://dc.library.northwestern.edu/items/a83db726-f1ee-4725-9e5d-06ad779ffa0e,,,Northwestern University Marching Band,"Paynter, John P.|Summer Music Games|Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)",2022-01-21T06:18:44.918965Z,Public Broadcasting Service (U.S.),,,1980,"Public Broadcasting Service's coverage of the 1980 Drum Corp International Championship from Birmingham, Alabama. Part 2 features four performances. The Crossmen from Pennsylvania perform ""Pictures of Spain,"" ""Spanish Fantasy,"" music from the movie ""Superman,"" and others. The Santa Clara Vanguard from California perform ""The Planets,"" selections from ""Evita,"" including ""Don't Cry For Me Argentina,"" and others. The Madison Scouts from Wisconsin perform the ""Entre Act"" from ""They're Playing Our Song,"" ""Malagueña,"" ""New Country,"" and music from the movie ""Ice Castles."" The Phantom Regiment from Rockford, Illinois perform ""Russian Easter Overture,"" ""Polovtsian Dances,"" ""The Gallop,"" and ""Carmen Suite.""",inu-paynter_3314.mp4|inu-paynter_3314.mkv|8049g5061/cn69m609c.mods.xml|QCTools report|technical metadata file|inu-paynter_3314_2.jpg|inu-paynter_3314_3.jpg,,,Music,a83db726-f1ee-4725-9e5d-06ad779ffa0e,,https://api.dc.library.northwestern.edu/api/v2/works/a83db726-f1ee-4725-9e5d-06ad779ffa0e?as=iiif,2023-02-20T16:25:04.305849,AVR Migration,avr_migration.csv,,English,cn69m609c,University Archives,None,,2022-08-05T22:12:31.062594Z,,U-Matic,,Level 1,"{'cycle': '2020', 'desc': None, 'manager': 'Dan Zellner', 'name': 'Paynter Marching Band', 'proposer': 'Kevin Leonard', 'task_number': 'P0328 P0325 P0348'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/posters/24c32caf-1c30-4a48-8dfe-e969644ba1a5,,Copyright Undetermined,,,,Done,,"Summer Music Games|Music|Drum Corps International|Drum and bugle corps|Birmingham, Alabama",,,"The recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. Please contact specialcollections@northwestern.edu for more information. IN COPYRIGHT",https://api.dc.library.northwestern.edu/api/v2/works/a83db726-f1ee-4725-9e5d-06ad779ffa0e/thumbnail,Drum Corps International Championship Part 2,Public,Video
,P0325-inu-paynter_3331,,https://api.dc.library.northwestern.edu/api/v2/works/6872fbb4-202c-447a-8973-77cb0a3acc54,Work,ark:/81985/n28914b1z,04b0207f-37c4-4ab0-b35a-fb6cca5083be|3e4acf5c-4656-40ca-9451-0008a4107357|c7aadf7d-509f-4fe0-9056-d7960b190db4|c82bdf58-67b2-4353-9f2d-ab165428ddae|e79b56bc-071b-4b88-a257-cb2be63d7256,,,https://dc.library.northwestern.edu/items/6872fbb4-202c-447a-8973-77cb0a3acc54,,,Northwestern University Marching Band,"Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)|Lonis, Dale",2022-02-21T22:16:11.318289Z,,6b427c24-7ab1-4026-b666-f7d132bf65f7,,"March 8, 1987",Dale J. Lonis conducts a performance by the University Concert Band. Performances feature graduate assistant Mardon Avitsland and soloist Cynthia Knight.,tape 1 of 1|tape 1 of 1|tape 1 of 1 QCTools report|tape 1 of 1 technical metadata file|tape 1 of 1 image|tape 1 of 1 image,,,VHS,6872fbb4-202c-447a-8973-77cb0a3acc54,19/2/5,https://api.dc.library.northwestern.edu/api/v2/works/6872fbb4-202c-447a-8973-77cb0a3acc54?as=iiif,2023-02-20T16:25:04.470806,P0348-P0329-P0325-P0312 Paynter Marching Band Film and Video,P0325_Paynter-group3.csv,,,,University Archives,None,,2022-11-18T16:44:27.980408Z,"{'note': 'Content ends abruptly around 30:00.', 'type': 'General Note'}",,,Level 1,"{'cycle': '2020', 'desc': 'NU Band and NU Marching Band films and video recordings.  Donor gift has prompted this project', 'manager': 'Nicole Finzer', 'name': 'Paynter Marching Band video', 'proposer': 'Kevin Leonard', 'task_number': 'P0325'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/posters/932ac8a3-49bb-4aac-9524-8f1c3e5a50d0,,Copyright Undetermined,,,,Done,,"Northwestern University (Evanston, Ill.). School of Music|Music|Conductors (Music)|Band directors|Music--Instruction and study",,,"The recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. Please contact specialcollections@northwestern.edu for more information",https://api.dc.library.northwestern.edu/api/v2/works/6872fbb4-202c-447a-8973-77cb0a3acc54/thumbnail,University Concert Band,Institution,Video
,P0329-inu-paynter_1206,,https://api.dc.library.northwestern.edu/api/v2/works/5822b8ab-1eaf-4cc8-a09c-faa7fd1f1f27,Work,ark:/81985/n2cr5qz2g,3e4acf5c-4656-40ca-9451-0008a4107357|aff1d35c-e2d4-445f-af7a-3a7385c2d72a|c82bdf58-67b2-4353-9f2d-ab165428ddae|e37c29ac-3f1d-4528-8d44-bf83c8e90981|e79b56bc-071b-4b88-a257-cb2be63d7256,,,https://dc.library.northwestern.edu/items/5822b8ab-1eaf-4cc8-a09c-faa7fd1f1f27,,,Northwestern University Marching Band,"Paynter, John P.|Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Northwestern University (Evanston, Ill.)|Paynter, John P.",2022-01-25T17:20:59.953110Z,,37eecb44-5ffa-47d4-89fe-8ec48be05945,,1956,Selections from the Northwestern University Marching Band performances during the 1956 season. The band is conducted by John P. Paynter.,reel 1 of 1|reel 1 of 1|reel 1 of 1 technical metadata file|reel 1 of 1 original DPX checksums|reel 1 of 1 framemd5 file|reel 1 of 1 technical metadata file|inu-paynter_1206_verification_log.txt,,,16mm (photographic film size),5822b8ab-1eaf-4cc8-a09c-faa7fd1f1f27,,https://api.dc.library.northwestern.edu/api/v2/works/5822b8ab-1eaf-4cc8-a09c-faa7fd1f1f27?as=iiif,2023-02-20T16:25:05.195743,P0348-P0329-P0325-P0312 Paynter Marching Band Film and Video,P0329_Paynter-group1.csv,,,,University Archives,None,,2022-08-10T18:53:06.913738Z,"{'note': 'Content is silent', 'type': 'General Note'}",,16mm,Level 1,"{'cycle': '2020', 'desc': 'NU Band and NU Marching Band films and video recordings.  Donor gift has prompted this project', 'manager': 'Nicole Finzer', 'name': 'Paynter Marching Band films', 'proposer': 'Kevin Leonard', 'task_number': 'P0329'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/posters/8167c812-593b-4e70-a891-da27621da91f,,Copyright Undetermined,,,,Done,,"Northwestern University (Evanston, Ill.). Marching Band|Northwestern University (Evanston, Ill.). School of Music|Music|Marching bands|Conductors (Music)|Band directors|Northwestern Wildcats (Football team)|Ryan Field (Evanston, Ill.)|Northwestern University (Evanston, Ill.)",,,"The recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. Please contact specialcollections@northwestern.edu for more information",https://api.dc.library.northwestern.edu/api/v2/works/5822b8ab-1eaf-4cc8-a09c-faa7fd1f1f27/thumbnail,Northwestern University Marching Band Highlights,Public,Video
