abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:301639,Old Church,https://api.dc.library.northwestern.edu/api/v2/works/00bd4e37-6b4c-4e8a-b941-2019fb7372a2,Work,ark:/81985/n29k4639q,,,,https://dc.library.northwestern.edu/items/00bd4e37-6b4c-4e8a-b941-2019fb7372a2,,9930507444202441,Photographs of Zanzibar,,2021-03-15T15:33:10.642723Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,inu-dil-d436daf2-4a18-43e2-8435-eb64a36ad3d4.tif,,,albumen prints,00bd4e37-6b4c-4e8a-b941-2019fb7372a2,,https://api.dc.library.northwestern.edu/api/v2/works/00bd4e37-6b4c-4e8a-b941-2019fb7372a2?as=iiif,2023-02-20T16:05:17.326627,None,None,,English,inu:dil-d436daf2-4a18-43e2-8435-eb64a36ad3d4,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/06603f10-c552-4b63-9682-0e295c36e4ae,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 23",Done,,Tanzania--Zanzibar|Photographs|Church buildings|Women,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/00bd4e37-6b4c-4e8a-b941-2019fb7372a2/thumbnail,"Zanzibar, Mbweni",Public,Image
,Voyager:301634,Malindi Creek,https://api.dc.library.northwestern.edu/api/v2/works/b8612acd-2c28-4237-bdc9-197bf571cda6,Work,ark:/81985/n26t0h65t,,,,https://dc.library.northwestern.edu/items/b8612acd-2c28-4237-bdc9-197bf571cda6,,9930507444202441,Photographs of Zanzibar,,2021-03-16T15:02:02.226826Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,inu-dil-7ecc5fe6-b855-4eb0-bb8f-2b1a864b6088.tif,,,albumen prints,b8612acd-2c28-4237-bdc9-197bf571cda6,,https://api.dc.library.northwestern.edu/api/v2/works/b8612acd-2c28-4237-bdc9-197bf571cda6?as=iiif,2023-02-20T16:13:47.798436,None,None,,English,inu:dil-7ecc5fe6-b855-4eb0-bb8f-2b1a864b6088,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/17ffa9ae-096d-4b5d-9cd1-220bac2394ca,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 13",Done,,Tanzania--Zanzibar|Cities and towns|Photographs|Streets,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b8612acd-2c28-4237-bdc9-197bf571cda6/thumbnail,Zanzibar Street over Bridge,Public,Image
,Voyager:301631,"German Tobacco Plantation Camp, Now Destroyed",https://api.dc.library.northwestern.edu/api/v2/works/eafdcdcd-c5aa-4853-a846-825ef37f1b56,Work,ark:/81985/n2j09wf67,,,,https://dc.library.northwestern.edu/items/eafdcdcd-c5aa-4853-a846-825ef37f1b56,,9930507444202441,Photographs of Zanzibar,,2021-03-16T21:08:24.384005Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,inu-dil-faa5a069-1d92-424f-b47e-b658f2abe172.tif,,,albumen prints,eafdcdcd-c5aa-4853-a846-825ef37f1b56,,https://api.dc.library.northwestern.edu/api/v2/works/eafdcdcd-c5aa-4853-a846-825ef37f1b56?as=iiif,2023-02-20T16:18:11.362314,None,None,,English,inu:dil-faa5a069-1d92-424f-b47e-b658f2abe172,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/4a4fe7a3-18d2-484c-8565-aaec25ae4eec,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 9",Done,,Tanzania|Plantations|Grass huts|Photographs,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/eafdcdcd-c5aa-4853-a846-825ef37f1b56/thumbnail,Lewa,Public,Image
,Afri_Zanzibar_002,,https://api.dc.library.northwestern.edu/api/v2/works/22d9c766-c939-4512-ad45-8ef180d2c8c9,Work,ark:/81985/n2zs2kq1p,,,,https://dc.library.northwestern.edu/items/22d9c766-c939-4512-ad45-8ef180d2c8c9,,9930507444202441,Photographs of Zanzibar,,2021-03-15T17:42:04.778459Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,Afri_Zanzibar_002.tif,,,albumen prints,22d9c766-c939-4512-ad45-8ef180d2c8c9,,https://api.dc.library.northwestern.edu/api/v2/works/22d9c766-c939-4512-ad45-8ef180d2c8c9?as=iiif,2023-02-20T16:34:54.117527,None,None,,English,,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'J0234'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9251a38d-e2ec-435c-a104-b3809acdd93e,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 6",Done,,Tanzania--Zanzibar|Photographs,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/22d9c766-c939-4512-ad45-8ef180d2c8c9/thumbnail,Masai types,Public,Image
,Afri_Zanzibar_003,Vasco da Gama's Pillar,https://api.dc.library.northwestern.edu/api/v2/works/18f4436e-6e63-4adf-8e53-7c6fad0701e2,Work,ark:/81985/n2qb9vg7r,,,,https://dc.library.northwestern.edu/items/18f4436e-6e63-4adf-8e53-7c6fad0701e2,On the cross an inscription with the arms of Portugal,9930507444202441,Photographs of Zanzibar,,2021-03-15T17:03:29.231559Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,Afri_Zanzibar_003.tif,,,albumen prints,18f4436e-6e63-4adf-8e53-7c6fad0701e2,,https://api.dc.library.northwestern.edu/api/v2/works/18f4436e-6e63-4adf-8e53-7c6fad0701e2?as=iiif,2023-02-20T16:39:59.761217,None,None,,English,,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'J0234'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/37194d3f-de2f-4e82-a94a-09ee090bc65e,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 11",Done,,Kenya--Malindi|Photographs,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/18f4436e-6e63-4adf-8e53-7c6fad0701e2/thumbnail,Malindi,Public,Image
,Voyager:301635,,https://api.dc.library.northwestern.edu/api/v2/works/7d84ecb3-d933-41f2-8f7e-ae018d03a4c8,Work,ark:/81985/n2bg2hm7q,,,,https://dc.library.northwestern.edu/items/7d84ecb3-d933-41f2-8f7e-ae018d03a4c8,,9930507444202441,Photographs of Zanzibar,,2021-03-16T04:47:12.394628Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,inu-dil-a3dc436b-389b-4640-89fb-4c046f05648e.tif,,,albumen prints,7d84ecb3-d933-41f2-8f7e-ae018d03a4c8,,https://api.dc.library.northwestern.edu/api/v2/works/7d84ecb3-d933-41f2-8f7e-ae018d03a4c8?as=iiif,2023-02-20T16:08:43.539006,None,None,,English,inu:dil-a3dc436b-389b-4640-89fb-4c046f05648e,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/86c2bfe1-5559-469a-98ec-a64468643e46,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 14",Done,,Tanzania--Zanzibar|Harbors|Photographs|Sailboats,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7d84ecb3-d933-41f2-8f7e-ae018d03a4c8/thumbnail,"Zanzibar, Dhows in Harbor",Public,Image
,Voyager:301627,Lamoo Bay,https://api.dc.library.northwestern.edu/api/v2/works/27b57985-8590-4059-af54-1c2b6757108f,Work,ark:/81985/n2ns0m807,,,,https://dc.library.northwestern.edu/items/27b57985-8590-4059-af54-1c2b6757108f,,9930507444202441,Photographs of Zanzibar,,2021-03-15T18:01:13.375928Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,inu-dil-ca0f4705-a468-4e58-9662-621d66d5be2d.tif,,,albumen prints,27b57985-8590-4059-af54-1c2b6757108f,,https://api.dc.library.northwestern.edu/api/v2/works/27b57985-8590-4059-af54-1c2b6757108f?as=iiif,2023-02-20T16:35:42.595357,None,None,,English,inu:dil-ca0f4705-a468-4e58-9662-621d66d5be2d,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/510c2b1e-ce73-4694-b7c1-950c949a4a22,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 2",Done,,Kenya--Lamu|Beaches|Seashore|Photographs,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/27b57985-8590-4059-af54-1c2b6757108f/thumbnail,Shela,Public,Image
,Voyager:301640,,https://api.dc.library.northwestern.edu/api/v2/works/38d10b34-26e0-49f5-a696-455a86f1d28f,Work,ark:/81985/n2k06xb4h,,,,https://dc.library.northwestern.edu/items/38d10b34-26e0-49f5-a696-455a86f1d28f,,9930507444202441,Photographs of Zanzibar,,2021-03-15T19:15:02.269654Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,inu-dil-146f8b37-1909-4a58-95e2-719bcf85f29f.tif,,,albumen prints,38d10b34-26e0-49f5-a696-455a86f1d28f,,https://api.dc.library.northwestern.edu/api/v2/works/38d10b34-26e0-49f5-a696-455a86f1d28f?as=iiif,2023-02-20T16:37:32.382609,None,None,,English,inu:dil-146f8b37-1909-4a58-95e2-719bcf85f29f,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/d36e9358-1bb5-4930-a1e6-e681cad45314,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 24",Done,,Tanzania--Zanzibar|Photographs|Dwellings,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/38d10b34-26e0-49f5-a696-455a86f1d28f/thumbnail,"Zanzibar, Ng'ambo",Public,Image
,Afri_Zanzibar_004,,https://api.dc.library.northwestern.edu/api/v2/works/392d282e-e3d2-4af5-b12b-4524087cf002,Work,ark:/81985/n2kk94p4g,,,,https://dc.library.northwestern.edu/items/392d282e-e3d2-4af5-b12b-4524087cf002,,9930507444202441,Photographs of Zanzibar,,2021-03-15T19:16:27.558945Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,Afri_Zanzibar_004.tif,,,albumen prints,392d282e-e3d2-4af5-b12b-4524087cf002,,https://api.dc.library.northwestern.edu/api/v2/works/392d282e-e3d2-4af5-b12b-4524087cf002?as=iiif,2023-02-20T16:37:34.801010,None,None,,English,,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'J0234'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/2a9bdd61-f250-4087-8984-699993bdac23,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 20",Done,,Tanzania--Zanzibar|Photographs,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/392d282e-e3d2-4af5-b12b-4524087cf002/thumbnail,Zanzibar water girls,Public,Image
,Voyager:301637,,https://api.dc.library.northwestern.edu/api/v2/works/991c7d01-bd83-4815-a464-fd16a645b36d,Work,ark:/81985/n2222rh1r,,,,https://dc.library.northwestern.edu/items/991c7d01-bd83-4815-a464-fd16a645b36d,,9930507444202441,Photographs of Zanzibar,,2021-03-16T12:27:53.359721Z,"Joux, C. S. de",,,1880s,Captions in English on back of albumen prints,inu-dil-26bbf577-f8ed-4ab9-baaa-130f71d05502.tif,,,albumen prints,991c7d01-bd83-4815-a464-fd16a645b36d,,https://api.dc.library.northwestern.edu/api/v2/works/991c7d01-bd83-4815-a464-fd16a645b36d?as=iiif,2023-02-20T16:11:19.928786,None,None,,English,inu:dil-26bbf577-f8ed-4ab9-baaa-130f71d05502,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,21 albumen prints of various sizes,albumen prints of various sizes mounted in album 25 x 33 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/3b23f739-1d61-43c2-bc4e-02e86f596f7f,,No Known Copyright,,,"Photographs of Zanzibar, 1880s, Plate 16",Done,,Tanzania--Zanzibar|Plantations|Clove (Spice)|Photographs,,albumen process,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/991c7d01-bd83-4815-a464-fd16a645b36d/thumbnail,"Zanzibar, Cove Plantation",Public,Image
