abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:3701668,stem Nasionale Party.,https://api.dc.library.northwestern.edu/api/v2/works/7078df7c-25bb-46df-b0cd-9237c6c00cb8,Work,ark:/81985/n2wd3q94c,,,,https://dc.library.northwestern.edu/items/7078df7c-25bb-46df-b0cd-9237c6c00cb8,,9937016684202441,Posters from the Herskovits Library,National Party (South Africa),2021-03-16T03:50:20.529527Z,,,,1994,"Election campaign poster shows the National Party logo of a yellow sun and the letters ""NP"" in blue, with a small photo inset of a white man, F.W. de Klerk, the letter ""X"" indicating a vote on the ballot, and a pencil.",inu-dil-db38b6a8-49dc-48b6-9ba2-9234eadbcd65.tif,,,posters,7078df7c-25bb-46df-b0cd-9237c6c00cb8,Object no. S.95.,https://api.dc.library.northwestern.edu/api/v2/works/7078df7c-25bb-46df-b0cd-9237c6c00cb8?as=iiif,2023-02-20T16:03:59.717890,None,None,,Bantu (Other)|English|Afrikaans,inu:dil-db38b6a8-49dc-48b6-9ba2-9234eadbcd65,Herskovits Library of African Studies,None,South Africa--Pretoria,2021-06-10T16:43:09.761465Z,,1 poster : color,88 x 62 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Opgestel deur J.F. Bosman,,,https://iiif.dc.library.northwestern.edu/iiif/2/983f0e13-b2d8-42a4-a32d-ff30001e5b11,,In Copyright - Educational Use Permitted,,,,Done,,"South Africa|Afrikaners|Political posters, South African|White people|Political participation|South Africa--Politics and government--1989-1994|Elections--South Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/7078df7c-25bb-46df-b0cd-9237c6c00cb8/thumbnail,Sebenzisa ivoti lakho eliyimfihlo ukuphikisa abahlukumezi : vote National Party,Public,Image
,Voyager:4657898,"Symposium on coping with stress in present day Nigeria, physical and spiritual perspectives|Resurrection Lilies",https://api.dc.library.northwestern.edu/api/v2/works/72c45d73-b2e4-44a2-8314-29dd84e357f0,Work,ark:/81985/n2mk65h78,,,,https://dc.library.northwestern.edu/items/72c45d73-b2e4-44a2-8314-29dd84e357f0,,9946578984202441,Posters from the Herskovits Library,Ressurrection Lilies (Organization),2021-03-16T03:59:32.802202Z,,,,1995,"Announcement of a symposium at the Chapel of the Resurrection, University of Ibadan, on April 28, 1995. Speakers include Dr. P. Ogunbunmi, Dr. (Mrs.) A.A. Olofin, Dr. A.O. Adekunle, Mrs. T. Adebo, and Mrs. Ali, with Dr. (Mrs.) Bolarinwa as moderator.",inu-dil-97c77d37-f1ef-4f6f-b2b0-04734f8b3f09.tif,,,posters,72c45d73-b2e4-44a2-8314-29dd84e357f0,Object no. 704.,https://api.dc.library.northwestern.edu/api/v2/works/72c45d73-b2e4-44a2-8314-29dd84e357f0?as=iiif,2023-02-20T16:04:28.940307,None,None,,English,inu:dil-97c77d37-f1ef-4f6f-b2b0-04734f8b3f09,Herskovits Library of African Studies,None,Nigeria--Ibadan,2021-06-10T16:43:09.761465Z,,1 poster : black and white,43 x 34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Ressurrection sic Lilies,,,https://iiif.dc.library.northwestern.edu/iiif/2/8e477d0a-4ac4-4df1-8ca0-c5df084b40cf,,In Copyright - Educational Use Permitted,,,,Done,,Nigeria|Religion,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/72c45d73-b2e4-44a2-8314-29dd84e357f0/thumbnail,"Ressurrection [sic] Lilies cordially invites you to a symposium on coping with stress in present day Nigeria, physical and spiritual perspectives.",Public,Image
,Voyager:3676657,,https://api.dc.library.northwestern.edu/api/v2/works/743e2854-8ded-41cc-868f-5c7c50d8bc9e,Work,ark:/81985/n2x63bd9t,,,,https://dc.library.northwestern.edu/items/743e2854-8ded-41cc-868f-5c7c50d8bc9e,,9936766574202441,Posters from the Herskovits Library,,2021-03-16T04:06:28.813468Z,,,,1980 to 1989,Black text against a white background.,inu-dil-b79dd623-aaec-4bbd-9063-32e96ca8359d.tif,,,posters,743e2854-8ded-41cc-868f-5c7c50d8bc9e,Object no. B.30.,https://api.dc.library.northwestern.edu/api/v2/works/743e2854-8ded-41cc-868f-5c7c50d8bc9e?as=iiif,2023-02-20T16:04:41.038551,None,None,,English,inu:dil-b79dd623-aaec-4bbd-9063-32e96ca8359d,Herskovits Library of African Studies,None,,2021-06-10T16:43:09.761465Z,,1 poster : black and white,60 x 42 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Publisher not identified,,,https://iiif.dc.library.northwestern.edu/iiif/2/51cb609a-c2fb-4ee8-8755-dcba6856a4cf,,In Copyright - Educational Use Permitted,,,,Done,,"South Africa|Anti-apartheid movements|South Africa--Politics and government--1978-1989|National liberation movements--South Africa|African National Congress|Political posters, South African",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/743e2854-8ded-41cc-868f-5c7c50d8bc9e/thumbnail,Solidarity with ANC!,Public,Image
,Voyager:4159889,Ingabe iyelapheka ingculazi?|Ingabe iyelapheka ingculazi,https://api.dc.library.northwestern.edu/api/v2/works/090b22aa-6c18-45f6-a0f5-7f47b1a97aec,Work,ark:/81985/n29k4623c,,,,https://dc.library.northwestern.edu/items/090b22aa-6c18-45f6-a0f5-7f47b1a97aec,,9941598894202441,Posters from the Herskovits Library,Diakonia Council of Churches,2021-03-15T16:04:25.554096Z,,,,1998,"Cartoon drawing of a sangoma (African traditional healer) and a medical doctor, each with various medicines and apparatuses. A large red X is superimposed over their bodies. A logo of a church building with an AIDS red ribbon symbol around the steeple appears in the upper left corner and the number 5 appears in the upper right corner.",inu-dil-361b9716-c36f-417f-8f4a-6e8584653442.tif,,,posters,090b22aa-6c18-45f6-a0f5-7f47b1a97aec,Object no. 471.,https://api.dc.library.northwestern.edu/api/v2/works/090b22aa-6c18-45f6-a0f5-7f47b1a97aec?as=iiif,2023-02-20T16:05:52.435312,None,None,,English|Zulu,inu:dil-361b9716-c36f-417f-8f4a-6e8584653442,Herskovits Library of African Studies,None,South Africa,2021-06-10T16:43:09.761465Z,,1 poster : color,60 x 42 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Diakonia Council of Churches,,,https://iiif.dc.library.northwestern.edu/iiif/2/3ccb241f-5e61-49eb-bd9c-cc6769714f81,,In Copyright - Educational Use Permitted,,,,Done,,HIV/AIDS in Africa|South Africa,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/090b22aa-6c18-45f6-a0f5-7f47b1a97aec/thumbnail,Can AIDS be cured?,Public,Image
,Voyager:3725145,Knowledge is power,https://api.dc.library.northwestern.edu/api/v2/works/15c16e5b-d2d1-4164-8d1c-cdf5ba8214cb,Work,ark:/81985/n2z31nx5v,,,,https://dc.library.northwestern.edu/items/15c16e5b-d2d1-4164-8d1c-cdf5ba8214cb,,9937251454202441,Posters from the Herskovits Library,English Literacy Project (South Africa),2021-03-15T16:51:23.652264Z,,,,1990 to 1999,"Drawing of black men and women reading copies of ""Active Voice,"" a newspaper supporting literacy learning.",inu-dil-0098c930-21a8-4c29-8ddc-09e13c333892.tif,,,posters,15c16e5b-d2d1-4164-8d1c-cdf5ba8214cb,Object no. SA.55.,https://api.dc.library.northwestern.edu/api/v2/works/15c16e5b-d2d1-4164-8d1c-cdf5ba8214cb?as=iiif,2023-02-20T16:06:52.118383,None,None,,English,inu:dil-0098c930-21a8-4c29-8ddc-09e13c333892,Herskovits Library of African Studies,None,South Africa,2021-12-15T17:47:59.615107Z,"{'note': '""A paper for adult learners...Get your copy at E.L.P., English Literacy Project, Braamfontein.""', 'type': 'General Note'}",1 poster : color,60 x 42 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Publisher not identified,,,https://iiif.dc.library.northwestern.edu/iiif/2/353d598a-a8d7-4956-9d66-c911d9f8105b,,In Copyright - Educational Use Permitted,,,,Done,,South Africa under apartheid|South Africa|Functional literacy|Periodicals,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/15c16e5b-d2d1-4164-8d1c-cdf5ba8214cb/thumbnail,Active voice : knowledge is power.,Public,Image
,Voyager:2407703,,https://api.dc.library.northwestern.edu/api/v2/works/32d4f52a-e7bc-4382-98f2-506a8212bbd4,Work,ark:/81985/n2p55dr4z,,,,https://dc.library.northwestern.edu/items/32d4f52a-e7bc-4382-98f2-506a8212bbd4,,9924077034202441,Posters from the Herskovits Library,"Denning, Ian",2021-03-15T18:48:55.723281Z,,,,1985,"Newspaper or magazine montage with photographs of anti-apartheid protests and weapons (tank, missile), statistics, and articles on international arms, oil, investment, and other economic support for apartheid.",inu-dil-40aaa0a4-bdf3-449b-b806-54933350439d.tif,,,posters,32d4f52a-e7bc-4382-98f2-506a8212bbd4,Object no. B.29.,https://api.dc.library.northwestern.edu/api/v2/works/32d4f52a-e7bc-4382-98f2-506a8212bbd4?as=iiif,2023-02-20T16:07:55.262110,None,None,,English,inu:dil-40aaa0a4-bdf3-449b-b806-54933350439d,Herskovits Library of African Studies,None,England--London,2021-06-10T16:43:09.761465Z,,1 poster : color,41 x 61 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Anti-Apartheid Movement,,,https://iiif.dc.library.northwestern.edu/iiif/2/50a72875-c0ac-47b2-994f-21c554d91820,,In Copyright - Educational Use Permitted,,,,Done,,"South Africa|Anti-apartheid movements|South Africa--Foreign economic relations|Political posters, English|Apartheid--South Africa",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/32d4f52a-e7bc-4382-98f2-506a8212bbd4/thumbnail,Apartheid's friends and allies,Public,Image
,Voyager:4135159,"Journée mondiale SIDA, 1er décembre 1993",https://api.dc.library.northwestern.edu/api/v2/works/46d1a662-e673-43e7-9d58-0ffdd33b67aa,Work,ark:/81985/n29w0972z,,,,https://dc.library.northwestern.edu/items/46d1a662-e673-43e7-9d58-0ffdd33b67aa,,9941351594202441,Posters from the Herskovits Library,Comité national de lutte contre le SIDA (Côte d'Ivoire),2021-03-15T20:16:55.383518Z,,,,1993,Drawing of a group of four men and two women dressed like religious leaders and business people. The three men in front each hold up their right hand with the index finger extended. Logos for the Comité national de lutte contre le SIDA and the W.H.O. O.M.S. appear at the bottom.,inu-dil-3ad811f4-580f-48e6-aa5b-5cb50f9cda6d.tif,,,posters,46d1a662-e673-43e7-9d58-0ffdd33b67aa,Object no. 410.,https://api.dc.library.northwestern.edu/api/v2/works/46d1a662-e673-43e7-9d58-0ffdd33b67aa?as=iiif,2023-02-20T16:08:10.712703,None,None,,French,inu:dil-3ad811f4-580f-48e6-aa5b-5cb50f9cda6d,Herskovits Library of African Studies,None,Côte d'Ivoire--Abidjan,2021-12-15T17:48:00.331269Z,"{'note': 'At head of title: Ministère de la santé et de la protection sociale, Côte d\'Ivoire. ; Signed ""MY"".', 'type': 'General Note'}",1 poster : color,66 x 45 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Comité national de lutte contre le SIDA,,,https://iiif.dc.library.northwestern.edu/iiif/2/0acc11e5-7e76-454c-970d-3423da66237d,,In Copyright - Educational Use Permitted,,,,Done,,HIV/AIDS in Africa|Côte d'Ivoire,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/46d1a662-e673-43e7-9d58-0ffdd33b67aa/thumbnail,Agissons maintenant!,Public,Image
,Voyager:3727080,,https://api.dc.library.northwestern.edu/api/v2/works/5de6d5a9-811e-4c95-a70b-557032cf10b6,Work,ark:/81985/n2d50g61s,,,,https://dc.library.northwestern.edu/items/5de6d5a9-811e-4c95-a70b-557032cf10b6,,9937270804202441,Posters from the Herskovits Library,,2021-03-16T02:34:09.964419Z,,,,1985,"Drawing of black men and women workers with raised fists. Includes FOSATU logo of wheel and tools, along with logos of various trade unions.",inu-dil-13e24b08-7170-4ada-82e7-76c80bb613f5.tif,,,posters,5de6d5a9-811e-4c95-a70b-557032cf10b6,Object no. SA.68.,https://api.dc.library.northwestern.edu/api/v2/works/5de6d5a9-811e-4c95-a70b-557032cf10b6?as=iiif,2023-02-20T16:08:21.948641,None,None,,English,inu:dil-13e24b08-7170-4ada-82e7-76c80bb613f5,Herskovits Library of African Studies,None,Michigan--Ann Arbor,2021-12-15T17:48:00.827341Z,"{'note': '""Originally printed in South Africa"". ; Poster for 1986 calendar.', 'type': 'General Note'}",1 poster : color,59 x 44 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Poster Project,,,https://iiif.dc.library.northwestern.edu/iiif/2/0595b81e-ae80-4a35-bc70-c4cf740e97c0,,In Copyright - Educational Use Permitted,,,,Done,,"South Africa under apartheid|South Africa|South Africa--Politics and government--1978-1989|Federation of South African Trade Unions|Labor unions--South Africa|Political posters, South African",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/5de6d5a9-811e-4c95-a70b-557032cf10b6/thumbnail,"FOSATU, the Federation of South African Trade Unions : 1986.",Public,Image
,Voyager:2769272,"Resoluçoẽs da oitava sessão do Comité Central, FRELIMO",https://api.dc.library.northwestern.edu/api/v2/works/8d1144de-30a6-4272-92c0-21104322fadd,Work,ark:/81985/n2wp9tg1f,,,,https://dc.library.northwestern.edu/items/8d1144de-30a6-4272-92c0-21104322fadd,,9927692724202441,Posters from the Herskovits Library,FRELIMO (Organization). Comité Central,2021-03-16T05:56:59.657484Z,,,,1976,"A waving flag with the colors black, green, red and yellow.",inu-dil-99805dfb-375a-49e5-ac80-39ef433a2765.tif,,,posters,8d1144de-30a6-4272-92c0-21104322fadd,Object no. A.9.,https://api.dc.library.northwestern.edu/api/v2/works/8d1144de-30a6-4272-92c0-21104322fadd?as=iiif,2023-02-20T16:08:46.315334,None,None,,Portuguese,inu:dil-99805dfb-375a-49e5-ac80-39ef433a2765,Herskovits Library of African Studies,None,Mozambique--Maputo,2021-12-15T17:48:01.624819Z,"{'note': 'Publisher information stamped on verso.', 'type': 'General Note'}",1 poster : color,38 x 28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Ministério da Informação,,,https://iiif.dc.library.northwestern.edu/iiif/2/74e974e6-626c-4dc1-a424-17aeb8c4a8cc,,In Copyright - Educational Use Permitted,,,,Done,,"Lusophone Africa liberation movements|Mozambique|FRELIMO (Organization). Comité Central|Political posters, Mozambican|Mozambique--Politics and government--1975-1994",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/8d1144de-30a6-4272-92c0-21104322fadd/thumbnail,"Resoluçoẽs da 8a sessão do Comité Central, FRELIMO : Maputo, 11 a 27 de fevereiro de 1976.",Public,Image
,Voyager:4134915,,https://api.dc.library.northwestern.edu/api/v2/works/7d5f31f8-9967-4d60-9b3c-4c072b345f77,Work,ark:/81985/n2kd1qv02,,,,https://dc.library.northwestern.edu/items/7d5f31f8-9967-4d60-9b3c-4c072b345f77,,9941349154202441,Posters from the Herskovits Library,Planned Parenthood Federation of Nigeria,2021-03-16T04:46:21.424494Z,,,,1990 to 1999,"Drawing of a crying young woman holding a baby and looking out a window. Outside, three young women in school uniforms walk by the window carrying bookbags. One smiles and waves at the crying woman inside. The Planned Parenthood Federation of Nigeria logo and contact information appear at the bottom.",inu-dil-fa14b49e-645e-40ea-83e2-c2eb3ae72602.tif,,,posters,7d5f31f8-9967-4d60-9b3c-4c072b345f77,Object no. 408.,https://api.dc.library.northwestern.edu/api/v2/works/7d5f31f8-9967-4d60-9b3c-4c072b345f77?as=iiif,2023-02-20T16:09:28.819097,None,None,,English,inu:dil-fa14b49e-645e-40ea-83e2-c2eb3ae72602,Herskovits Library of African Studies,None,Nigeria--Lagos,2021-06-10T16:43:09.761465Z,,1 poster : color,62 x 44 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Planned Parenthood Federation of Nigeria,,,https://iiif.dc.library.northwestern.edu/iiif/2/cf719e4b-325b-4356-963f-0943e79ae414,,In Copyright - Educational Use Permitted,,,,Done,,HIV/AIDS in Africa|Nigeria,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/7d5f31f8-9967-4d60-9b3c-4c072b345f77/thumbnail,Had I known-- I would have waited to finish my education.,Public,Image
