abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:rn301309n,,https://api.dc.library.northwestern.edu/api/v2/works/af56a409-514d-46df-80c7-39da758a45e3,Work,ark:/81985/n2h70bj8m,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/af56a409-514d-46df-80c7-39da758a45e3,,,Ray Still Master Class Audio Archives,,2022-01-21T06:17:47.405099Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 8, 1982",,Track 1|Track 2|Track 3|Track 4|00000137v/rn301309n.mods.xml,,,Music Master Class,af56a409-514d-46df-80c7-39da758a45e3,,https://api.dc.library.northwestern.edu/api/v2/works/af56a409-514d-46df-80c7-39da758a45e3?as=iiif,2023-02-20T16:28:50.924398,AVR Migration,avr_migration.csv,,English,rn301309n,Music Library,None,,2022-02-02T18:24:24.645918Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,"Schumann, Robert, 1810-1856|Britten, Benjamin, 1913-1976|Saint-Saëns, Camille, 1835-1921|Telemann, Georg Philipp, 1681-1767|Regenstein Hall of Music (Evanston, Ill.)",Track 1. How to breathe in the Romances -- How to make a recurring theme interesting each time it comes back -- Practicing underblowing or using minimal requirements to create a note without doing too much. Track 2. All work effort to creating sound should not be tight and contricting air flow -- Character of the piece and how to emulate Pan's character -- Clarity of notes need to come out even during passages with a lot of finger work -- Discussion about how to create a more passionate sound using breath pressure. Track 3. Discussion on musical ideas and techniques for excerpts -- Importance of musicality over technical ability. Track 4. Discussion on musical ideas and techniques for excerpts -- Importance of musicality over technical ability.,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/af56a409-514d-46df-80c7-39da758a45e3/thumbnail,Oboe Master Class 1982-07-08,Public,Audio
,avr:fq977w282,,https://api.dc.library.northwestern.edu/api/v2/works/2d284ce1-6ed8-4532-8388-6db907b73354,Work,ark:/81985/n28914812,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/2d284ce1-6ed8-4532-8388-6db907b73354,,,Ray Still Master Class Audio Archives,,2022-01-21T06:06:42.170901Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 20, 1983",,Track 1|Track 2|Track 3|Track 4|00000137v/fq977w282.mods.xml,,,Music Master Class,2d284ce1-6ed8-4532-8388-6db907b73354,,https://api.dc.library.northwestern.edu/api/v2/works/2d284ce1-6ed8-4532-8388-6db907b73354?as=iiif,2023-02-20T16:29:13.521494,AVR Migration,avr_migration.csv,,English,fq977w282,Music Library,None,,2022-02-02T18:24:24.645918Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,"Tchaikovsky, Peter Ilich, 1840-1893|Bizet, Georges, 1838-1875|Ravel, Maurice, 1875-1937|Schumann, Robert, 1810-1856",Track 1. How to cushion the sound and play under the note -- Phrasing discussion -- Sound should be uninterrupted by the tongue. Track 2. Playing through the intervals fearlessly without playing too sharp on the way down -- Bending the pitch to find the ideal sound by experimenting with different embouchures.,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/2d284ce1-6ed8-4532-8388-6db907b73354/thumbnail,Oboe Master Class 1983-07-20,Public,Audio
,avr:v118rg19j,,https://api.dc.library.northwestern.edu/api/v2/works/1d613c84-5608-420a-8a34-2988214a4ad4,Work,ark:/81985/n2w37pd4q,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/1d613c84-5608-420a-8a34-2988214a4ad4,,,Ray Still Master Class Audio Archives,,2022-01-21T06:14:20.785879Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 14, 1983",,Track 1|Track 2|00000137v/v118rg19j.mods.xml,,,Music Master Class,1d613c84-5608-420a-8a34-2988214a4ad4,,https://api.dc.library.northwestern.edu/api/v2/works/1d613c84-5608-420a-8a34-2988214a4ad4?as=iiif,2023-02-20T16:32:17.828907,AVR Migration,avr_migration.csv,,English,v118rg19j,Music Library,None,,2022-02-02T18:24:24.645918Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,"Schubert, Franz, 1797-1828|Brahms, Johannes, 1833-1897|Ravel, Maurice, 1875-1937|Rossini, Gioacchino, 1792-1868|Shostakovich, Dmitriĭ Dmitrievich, 1906-1975|Tchaikovsky, Peter Ilich, 1840-1893|Bach, Johann Sebastian, 1685-1750|Regenstein Hall of Music (Evanston, Ill.)","Track 1. How to plan for breathing -- Techniques for working on lip and air pressure -- Articulation in fast passages that include slurs -- Planning breaths to work on phrasing and allowing phrasing to not be held down by breathing. Track 2. Taking your time with the tempo of ""La Scala"" -- Discussion of planning breaths to avoid disruption of the melody -- Good reeds should promote a round vowel sound rather than a restricted vowel sound -- The first F# of the Swan Lake excerpt must have an exciting, round tone that is in tune -- Importance of keeping the tone consistent throughout registers -- Exercises on how to get a clean articulation and sound at the beginning of notes.",,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/1d613c84-5608-420a-8a34-2988214a4ad4/thumbnail,Oboe Master Class 1983-07-14,Public,Audio
,avr:4f16c4248,,https://api.dc.library.northwestern.edu/api/v2/works/f8ce5431-9850-4bae-b198-2bb04d01ce8e,Work,ark:/81985/n2z031t3t,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/f8ce5431-9850-4bae-b198-2bb04d01ce8e,,,Ray Still Master Class Audio Archives,,2022-01-21T06:17:08.774282Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 12, 1979",,Track 1|Track 2|Track 3|Track 4|Track 1|Track 2|Track 3|Track 4|00000137v/4f16c4248.mods.xml,,,Music Master Class,f8ce5431-9850-4bae-b198-2bb04d01ce8e,,https://api.dc.library.northwestern.edu/api/v2/works/f8ce5431-9850-4bae-b198-2bb04d01ce8e?as=iiif,2023-02-20T16:37:11.881383,AVR Migration,avr_migration.csv,,English,4f16c4248,Music Library,None,,2022-02-02T18:24:24.577018Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,"Tchaikovsky, Peter Ilich, 1840-1893|Brahms, Johannes, 1833-1897|Strauss, Richard, 1864-1949|Handel, George Frideric, 1685-1759|Lutkin Hall (Evanston, Ill.)","Track 1. Pulse of excerpt in connection with orchestra/piano -- The solo must generate huge excitement toward the end -- Need for a meaty tone. Track 2. Have to have a concept of how you want to sound and use the equipment and practice to get there -- Emphasizes importance of ending phrases delicately -- Using ""silly playing"" to give students freedom and to encourage them to play out -- Not taking any extra time when breathing in orchestral solos -- People can usually hold their breath/play longer phrases than they think -- Discusses complexities of making it to the end of the Swan Lake solo. Track 3. Thinking operatically in the opening of Strauss -- Emphasizing importance of taking large breaths and ignoring the compulsion to take breaths more than needed. Track 4. Avoid distorting sound. Sometimes controlling sound just takes thinking about it and not specifically controlling your body -- Discussion about playing through the break of the oboe -- Performance anxiety and nervousness. How to prepare yourself for performance situations.",,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/f8ce5431-9850-4bae-b198-2bb04d01ce8e/thumbnail,Oboe Master Class 1979-07-12,Public,Audio
,avr:rr171z82s,,https://api.dc.library.northwestern.edu/api/v2/works/ec336393-80a7-4910-8da8-ebec9bebce0f,Work,ark:/81985/n2tm74k6v,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/ec336393-80a7-4910-8da8-ebec9bebce0f,,,Ray Still Master Class Audio Archives,,2022-01-21T06:22:26.466262Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 19, 1979",,Track 1|Track 2|Track 3|Track 4|00000137v/rr171z82s.mods.xml,,,Music Master Class,ec336393-80a7-4910-8da8-ebec9bebce0f,,https://api.dc.library.northwestern.edu/api/v2/works/ec336393-80a7-4910-8da8-ebec9bebce0f?as=iiif,2023-02-20T16:37:41.046828,AVR Migration,avr_migration.csv,,English,rr171z82s,Music Library,None,,2022-02-02T18:24:24.690028Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,"Mozart, Wolfgang Amadeus, 1756-1791|Lutkin Hall (Evanston, Ill.)","Track 1. Pickup figures must lead to next melodic section -- Not letting heavy quarter notes swell on each note, making sure they continue forward -- Longer notes must back away so melody can be heard -- Discusses vocal ideas of head-tone/chest-tone in regards to a clarinet melody. Track 2. Encourages sensitivity in vibrato and phrasing between oboe duet -- Works needs an active ""tremendous"" release -- Contrasts are important when large dynamic shifts happen consecutively -- Loud playing should never get nasty or out of a good sound. Track 3. Musicians must keep listening out of their music, not get behind the pulse -- Tune unison octaves to the lower note -- Piano dynamic is elevated when playing solo -- Tension works against getting air to be as strong as possible -- The art of middle playing is in the detaché -- Music is very passionate and must be played as such -- Players often feel that they are playing passionately when in fact they are playing bland, and listening to a recording of oneself shows this. Players must over exaggerate every feeling. Track 4. Tongue must not block resonance of the tone -- Oboe solos must be soaring and noble -- Piano dynamic playing requires the same amount of air as playing forte -- In slow movements, grace notes can be drawn out a bit more -- Crescendo and diminuendo should not impact the length of notes -- Solos must be played as if they are the most loved part of the music -- Bring out any non-chord tones or ""blue notes"" when they are present",,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/ec336393-80a7-4910-8da8-ebec9bebce0f/thumbnail,Oboe Master Class 1979-07-19,Public,Audio
,avr:4f16c4230,,https://api.dc.library.northwestern.edu/api/v2/works/900ea3bc-bc0a-4402-81f4-6a5ff442fe55,Work,ark:/81985/n2bv7dd5h,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/900ea3bc-bc0a-4402-81f4-6a5ff442fe55,,,Ray Still Master Class Audio Archives,,2022-01-21T06:14:40.416287Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 9, 1982",,Track 1|Track 2|Track 1|Track 2|00000137v/4f16c4230.mods.xml|Tracks 1 and 2 technical metadata file|Tracks 1 and 2 box front|Tracks 1 and 2 reel front,,,Music Master Class,900ea3bc-bc0a-4402-81f4-6a5ff442fe55,,https://api.dc.library.northwestern.edu/api/v2/works/900ea3bc-bc0a-4402-81f4-6a5ff442fe55?as=iiif,2023-02-20T16:29:17.570714,AVR Migration,avr_migration.csv,,English,4f16c4230,Music Library,None,,2022-09-23T16:59:25.004104Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/c44402c0-e16d-445b-87b1-e5563fdff3db,,In Copyright - Educational Use Permitted,,,,Done,,"Mozart, Wolfgang Amadeus, 1756-1791|Hindemith, Paul, 1895-1963|Beethoven, Ludwig van, 1770-1827|Marcello, Alessandro, 1669-1747|Regenstein Hall of Music (Evanston, Ill.)",Track 1. Importance of recording yourself playing and listen to how you relate to other instruments in volume and tone -- Focus on tone and volume and how to get a full sound -- Work on stress and release of notes -- Sound is changing constantly and how to properly listen to it -- Discussion of rhythmic accuracy -- Working on different reeds and the scale in this excerpt. Track 2. Practice like a pop singer in order to work on singing on the instrument -- Getting resonance on the instrument and finding the right emphasis on notes -- Explaining different techniques of how to improve tonguing.,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/900ea3bc-bc0a-4402-81f4-6a5ff442fe55/thumbnail,Oboe Master Class 1982-07-09,Public,Audio
,avr:x920fz56n,,https://api.dc.library.northwestern.edu/api/v2/works/79d24edc-ef39-4687-8412-082273d70f90,Work,ark:/81985/n2125st9w,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/79d24edc-ef39-4687-8412-082273d70f90,,,Ray Still Master Class Audio Archives,,2022-01-21T06:16:06.809386Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 13, 1983",,Track 1|Track 2|00000137v/x920fz56n.mods.xml,,,Music Master Class,79d24edc-ef39-4687-8412-082273d70f90,,https://api.dc.library.northwestern.edu/api/v2/works/79d24edc-ef39-4687-8412-082273d70f90?as=iiif,2023-02-20T16:32:28.916526,AVR Migration,avr_migration.csv,,English,x920fz56n,Music Library,None,,2022-02-02T18:24:24.577018Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,"Mozart, Wolfgang Amadeus, 1756-1791|Marcello, Alessandro, 1669-1747|Hummel, Johann Nepomuk, 1778-1837|Telemann, Georg Philipp, 1681-1767|Bach, Johann Sebastian, 1685-1750|Regenstein Hall of Music (Evanston, Ill.)","Track 1. Connecting between notes and how to correctly stress and destress notes -- Placing notes clearly during articulated passages to get a beautiful tone throughout -- Dramatic and comedic style that needs to be brought out -- Experimenting with articulating with a ""gah"" sound. Track 2. Importance of making an interesting sound even when playing with a straight sound -- Creating an even sound when playing through different intervals (avoiding head movement) -- Creating tone intensity without vibrato.",,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/79d24edc-ef39-4687-8412-082273d70f90/thumbnail,Oboe Master Class 1983-07-13,Public,Audio
,avr:1544bq60v,,https://api.dc.library.northwestern.edu/api/v2/works/350a910b-a473-4eff-846a-3f4c2d0ae8df,Work,ark:/81985/n20v8d259,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/350a910b-a473-4eff-846a-3f4c2d0ae8df,,,Ray Still Master Class Audio Archives,,2022-01-21T06:20:55.470247Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 20, 1979",,Track 1|Track 2|Track 3|Track 1|Track 2|Track 3|00000137v/1544bq60v.mods.xml|Tracks 1 and 2 technical metadata file|Track 3 technical metadata file|Tracks 1 and 2 asset front|Track 3 asset front,,,Music Master Class,350a910b-a473-4eff-846a-3f4c2d0ae8df,,https://api.dc.library.northwestern.edu/api/v2/works/350a910b-a473-4eff-846a-3f4c2d0ae8df?as=iiif,2023-02-20T16:32:41.514725,AVR Migration,avr_migration.csv,,English,1544bq60v,Music Library,None,,2022-09-23T16:59:42.350762Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/a74ad728-b3d4-44f7-a7a6-9fa6a2f23323,,In Copyright - Educational Use Permitted,,,,Done,,"Mozart, Wolfgang Amadeus, 1756-1791|Lutkin Hall (Evanston, Ill.)","Track 1. Descending scales must be played evenly -- Ritards should not be sudden or seem out of place -- 7th chords must be tuned appropriately and in the right balance -- Even when playing in the upper part of the instrument, one should try and make it as beautiful/in-tune as the rest of the instrument -- One must have mobility (in regards to pitch) while playing in order to do so artistically -- In pointed playing (dotted rhythms) there must be energy in each note and excitement in each note -- When the whole group takes a breath together it must be the same. If some instruments take less air and do not need as much air they still must match the breath of those who need more air. Track 2. Bass instruments are most important to be in tune -- Some solos must come to the front of the group without being so concerned with ""steamrolling"" over other members -- Some musical lines under slurs can be played with some articulation if that helps it sound more legato than if everything was slurred -- Even if something if forte it doesn't have to feel heavy and weighty -- The goal of the divertimenti should be to share the happiness of the music with the audience. Track 3. Allow room for stretching the music in a tasteful manner -- Discussion on stylistic choices of the piece -- Melody needs to dominate with more sound and musicality -- Avoid feeling too careful.",,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/350a910b-a473-4eff-846a-3f4c2d0ae8df/thumbnail,Oboe Master Class 1979-07-20,Public,Audio
,avr:vq27zq26s,,https://api.dc.library.northwestern.edu/api/v2/works/3368aa97-e904-48be-873a-d52271d26a72,Work,ark:/81985/n2bg2kt96,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/3368aa97-e904-48be-873a-d52271d26a72,,,Ray Still Master Class Audio Archives,,2022-01-21T06:08:25.964381Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 16, 1979",,Track 1|Track 2|Track 3|Track 4|00000137v/vq27zq26s.mods.xml,,,Music Master Class,3368aa97-e904-48be-873a-d52271d26a72,,https://api.dc.library.northwestern.edu/api/v2/works/3368aa97-e904-48be-873a-d52271d26a72?as=iiif,2023-02-20T16:32:43.431682,AVR Migration,avr_migration.csv,,English,vq27zq26s,Music Library,None,,2022-02-02T18:24:24.690028Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,"Mozart, Wolfgang Amadeus, 1756-1791|Lutkin Hall (Evanston, Ill.)","Track 1. Workshop of Mozart Serenade No. 11 -- Function of wind groups was to play for guests and events in courts, and octets would arrange the popular music of the day to play -- Finds balance and style of the music -- Group sound must remain strong even as a diminuendo happens. Track 2. Workshop of Mozart Serenade No. 11 -- Discusses playing passionately and lovingly -- Oboe players must match the dark color of the rest of the members of the octet -- Coaches the group on making appropriate color changes throughout sections. Track 3. Workshop on Mozart Serenade No. 12 -- Discusses differences in this piece as opposed to the other serenades, as well as the different characters between each section of No. 12 -- Discusses how to properly execute a forte-piano -- Says sforzandos are color changes, not splats. Track 4. Workshop on Mozart Serenade No. 12 -- Encourages players to relax and show the mood of the music in their playing -- Bassoon should not be pedantic or worried about every single note coming out, focus on the line.",,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/3368aa97-e904-48be-873a-d52271d26a72/thumbnail,Oboe Master Class 1979-07-16,Public,Audio
,avr:m039k6719,,https://api.dc.library.northwestern.edu/api/v2/works/bc68e6bc-56ac-4172-a78f-f6a0cfbe8451,Work,ark:/81985/n2513xd8t,3e912f7e-e0d3-414c-8dfa-2ef6971a55f6|c6036aeb-83ae-43d5-8f4f-653f8c11957b|db58e3c7-ce04-47d9-ac73-7c29e158b618,,,https://dc.library.northwestern.edu/items/bc68e6bc-56ac-4172-a78f-f6a0cfbe8451,,,Ray Still Master Class Audio Archives,,2022-01-21T06:13:53.031040Z,"Still, Ray",3257b3ac-a60c-4a0b-b3e5-8e78340370c3,,"July 16, 1983",,Track 1|Track 2|Track 3|00000137v/m039k6719.mods.xml,,,Music Master Class,bc68e6bc-56ac-4172-a78f-f6a0cfbe8451,,https://api.dc.library.northwestern.edu/api/v2/works/bc68e6bc-56ac-4172-a78f-f6a0cfbe8451?as=iiif,2023-02-20T16:37:04.643979,AVR Migration,avr_migration.csv,,English,m039k6719,Music Library,None,,2022-02-02T18:24:24.577018Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Master class audio recordings of Ray Still. Part of a Master Class series. 9 cassettes and 58 reel to reel tapes', 'manager': 'Jen Young', 'name': 'Master Classes: Ray Still', 'proposer': 'Greg MacAyeal', 'task_number': 'P0044'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,In Copyright - Educational Use Permitted,,,,Done,,"Schumann, Robert, 1810-1856|Saint-Saëns, Camille, 1835-1921|Handel, George Frideric, 1685-1759|Mozart, Wolfgang Amadeus, 1756-1791|Pick-Staiger Concert Hall (Evanston, Ill.)",Track 1. Playing around with the tempo to make it feel improvisational -- Improving pitch by practicing bending notes to get into pitch -- How to play a round note in an interesting way without sounding harsh and pinched. Track 2. Getting long notes to have a tender and projecting sound all while not allowing the pitch to wander -- Listening to your own tone and give it a human quality to it. Track 3. Playing a contrasting style with a scherzo versus dolce feeling -- Finding a light and bouncing nature in short notes similar to a bow bouncing off strings.,,"The audio recordings on this web site are provided for use by Northwestern University students, faculty, staff and guests. Further distribution and/or any commercial use of these recordings from this site is strictly prohibited. ",https://api.dc.library.northwestern.edu/api/v2/works/bc68e6bc-56ac-4172-a78f-f6a0cfbe8451/thumbnail,Oboe Master Class 1983-07-16,Public,Audio
