abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Bursar_B01_F04_029,,https://api.dc.library.northwestern.edu/api/v2/works/bd22c1bd-af4d-4c03-9f33-e0165a743a67,Work,ark:/81985/n2ws8hx2p,,,1,https://dc.library.northwestern.edu/items/bd22c1bd-af4d-4c03-9f33-e0165a743a67,,,"Records of the Bursar’s Office Takeover, May 1968","Northwestern University (Evanston, Ill.). Department of University Relations",2021-03-16T15:28:11.962120Z,,,,"May 3, 1968","An evening shot of the front entrance of the Bursar's Office on 619 Clark Street in Evanston, IL. Signs from the May 3, 1968 hang on the door. The sign to the left states, ""Black students occupy this building because the administration has turned a deaf ear."" The sign to the right states, ""Black autonomy Black self-determination.""",Recto|Verso,Photographs,4,contact sheets,bd22c1bd-af4d-4c03-9f33-e0165a743a67,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/bd22c1bd-af4d-4c03-9f33-e0165a743a67?as=iiif,2023-02-20T16:14:09.731737,None,None,,,inu:dil-d58e350f-7b52-438c-b33b-1437065eacb3|inu:dil-1b7b52b8-2fa6-4b88-843e-1c83533f8f28,University Archives,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm (height) x 7 cm (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/145319ba-1b5c-4f53-a39a-27cdc697a8e9,,Copyright Undetermined,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Rebecca Crown Center (Evanston, Ill.)|Students|Northwestern University (Evanston, Ill.)",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bd22c1bd-af4d-4c03-9f33-e0165a743a67/thumbnail,Outside of the Bursar's Office,Institution,Image
,Bursar_B01_F04_028,,https://api.dc.library.northwestern.edu/api/v2/works/eb2991b8-d9ac-4451-884e-18f6000bb6ad,Work,ark:/81985/n21j97j8j,,,1,https://dc.library.northwestern.edu/items/eb2991b8-d9ac-4451-884e-18f6000bb6ad,,,"Records of the Bursar’s Office Takeover, May 1968","Northwestern University (Evanston, Ill.). Department of University Relations",2021-03-16T21:09:31.998155Z,,,,"May 3, 1968","A crowd consisting of students, Northwestern staff, and the press gathers in front of the Bursar's Office on 619 Clark Street in Evanston, IL as approximately 120 Black Northwestern University students occupy the building as a means to compel the campus administration to address discriminatory campus policies and to heighten awareness of Black students' experiences of alienation at Northwestern University.",Recto|Verso,Photographs,4,contact sheets,eb2991b8-d9ac-4451-884e-18f6000bb6ad,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/eb2991b8-d9ac-4451-884e-18f6000bb6ad?as=iiif,2023-02-20T16:17:27.674589,None,None,,,inu:dil-55c6ebf8-a5e2-4efc-86d8-092781996063|inu:dil-c6365277-fa84-4e38-a642-6e062591c9d6,University Archives,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm (height) x 22 cm (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9fe7a90f-0aa3-4dc4-94fd-289e709282ce,,Copyright Undetermined,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Northwestern University (Evanston, Ill.)|Students",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/eb2991b8-d9ac-4451-884e-18f6000bb6ad/thumbnail,"Front view of the Bursar's Office, May 3, 1968",Institution,Image
,Bursar_B01_F04_026,,https://api.dc.library.northwestern.edu/api/v2/works/f5362d3b-1366-419c-93cc-2188b970eb07,Work,ark:/81985/n25717z7j,,,1,https://dc.library.northwestern.edu/items/f5362d3b-1366-419c-93cc-2188b970eb07,,,"Records of the Bursar’s Office Takeover, May 1968","Sweet, James Stouder",2021-03-16T22:07:53.619576Z,,,,"May 3, 1968","Northwestern staff in front of the Dean's Office on the day of the Bursar's Office Takeover. Approximately 120 Black Northwestern University students occupied the Bursars Office on 619 Clark Street in Evanston, IL as a means to compel the campus administration to address discriminatory campus policies and to heighten awareness of Black students' experiences of alienation at Northwestern University.",Recto|Verso,Photographs,4,black-and-white photographs,f5362d3b-1366-419c-93cc-2188b970eb07,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/f5362d3b-1366-419c-93cc-2188b970eb07?as=iiif,2023-02-20T16:19:01.029658,None,None,,,inu:dil-b1fc2db3-2e2e-4bf2-845d-aaa804600b26|inu:dil-309962d7-12c1-47d9-bfb4-c8f80a7cc179,University Archives,None,,2021-06-10T16:43:09.761465Z,,1 photograph,8 cm (height) x 11 cm (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/598cd105-14d5-4a35-9c86-86a206dfb173,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Rebecca Crown Center (Evanston, Ill.)|Northwestern University (Evanston, Ill.)|Students",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f5362d3b-1366-419c-93cc-2188b970eb07/thumbnail,Northwestern University staff in front of the Office of the Dean of Students,Public,Image
,Bursar_B01_F04_031,,https://api.dc.library.northwestern.edu/api/v2/works/0fd8ffb4-e47f-4a05-8f26-005eb1980cf7,Work,ark:/81985/n2s17t375,83c37089-b639-485e-9a19-65f0e99f2b81|e41820ca-8d01-489d-b784-9ed7fea591c6,,1,https://dc.library.northwestern.edu/items/0fd8ffb4-e47f-4a05-8f26-005eb1980cf7,,,"Records of the Bursar’s Office Takeover, May 1968","Northwestern University (Evanston, Ill.). Department of University Relations",2021-03-15T16:29:38.870338Z,,,,"May 3, 1968","James Turner, President of Afro-American Student Union (AASU), and a lead negotiator in the Bursar's Office Takeover speaking with the press. This photo is taken in front of the Bursar's Office on 619 Clark Street in Evanston, IL.",Recto|Verso,Photographs,4,black-and-white photographs,0fd8ffb4-e47f-4a05-8f26-005eb1980cf7,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/0fd8ffb4-e47f-4a05-8f26-005eb1980cf7?as=iiif,2023-02-20T16:22:38.518878,None,None,,,inu:dil-8b8c5f71-e5be-410b-a0ae-00f319085b78|inu:dil-39d37339-e386-453f-b36b-6c4b93b81fa0,University Archives,None,,2022-08-30T19:43:33.850710Z,,1 photograph,10 in (height) x 8 in (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/b3aad86a-cbd8-41d6-96e6-b39dc98c53b8,,Copyright Undetermined,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Northwestern University (Evanston, Ill.)|Students|Turner, James, 1940-2022",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0fd8ffb4-e47f-4a05-8f26-005eb1980cf7/thumbnail,"James Turner speaks with the press, May 3, 1968",Institution,Image
,Bursar_B01_F04_004,,https://api.dc.library.northwestern.edu/api/v2/works/8b13972c-1108-4860-9c4c-91f5a12bbd6c,Work,ark:/81985/n24f1mv42,,,1,https://dc.library.northwestern.edu/items/8b13972c-1108-4860-9c4c-91f5a12bbd6c,,,"Records of the Bursar’s Office Takeover, May 1968","Sweet, James Stouder",2021-03-16T05:47:58.712836Z,,,,"May 3, 1968","Northwestern University students join in solidarity with approximately 120 Black Northwestern University students occupying the Bursar's Office as a means to compel the campus administration to address discriminatory campus policies and to heighten awareness of Black students' experiences of alienation at Northwestern University. By sitting on the steps of the building, students outside of the building were physically blocking the entry way to prevent an incident of police forcibly removing students inside. They also held signs reinforcing members of FMO and AASU's April 22, 1968 demands to the administration. The sign to the left states, ""Black students occupy this building because the administration has turned a deaf ear."" The sign to the right states, ""Black autonomy Black self-determination.""",Recto|Verso,Photographs,4,black-and-white photographs,8b13972c-1108-4860-9c4c-91f5a12bbd6c,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/8b13972c-1108-4860-9c4c-91f5a12bbd6c?as=iiif,2023-02-20T16:04:46.220915,None,None,,,inu:dil-6fa7ef27-5220-449a-9066-3345877f5ac4|inu:dil-0221eda3-d65c-4052-8235-3a18f40248c0,University Archives,None,,2021-06-10T16:43:09.761465Z,,1 photograph,11 cm (height) x 8 cm (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/bda19915-9fe6-47f9-b6cc-c073c756aa38,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Rebecca Crown Center (Evanston, Ill.)|Northwestern University (Evanston, Ill.)|Students",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8b13972c-1108-4860-9c4c-91f5a12bbd6c/thumbnail,"Northwestern University Students join in solidarity with members of For Members Only (FMO) and Afro-American Student Union (AASU), May 3, 1968",Public,Image
,Bursar_B01_F04_009,,https://api.dc.library.northwestern.edu/api/v2/works/b72358a4-553d-4df3-8a5c-d2613c89733a,Work,ark:/81985/n2bz61k2d,83c37089-b639-485e-9a19-65f0e99f2b81|e41820ca-8d01-489d-b784-9ed7fea591c6,,1,https://dc.library.northwestern.edu/items/b72358a4-553d-4df3-8a5c-d2613c89733a,,,"Records of the Bursar’s Office Takeover, May 1968","Sweet, James Stouder",2021-03-16T14:54:45.094742Z,,,,"May 3, 1968","James Turner, President of Afro-American Student Union (AASU), and a lead negotiator in the Bursar's Office Takeover speaking with the press. This photo is taken in front of the Bursar's Office on 619 Clark Street in Evanston, IL.",Recto|Verso,Photographs,4,black-and-white photographs,b72358a4-553d-4df3-8a5c-d2613c89733a,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/b72358a4-553d-4df3-8a5c-d2613c89733a?as=iiif,2023-02-20T16:13:40.996793,None,None,,,inu:dil-76239580-6931-4860-a639-89b7fb3158a1|inu:dil-35662c2a-1dcd-4a36-a920-48510dfb9e69,University Archives,None,,2022-08-30T19:43:33.850710Z,,1 photograph,8 cm (height) x 11 cm (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/2a479983-0c70-4697-bebd-2ef6e42bf0e6,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Northwestern University (Evanston, Ill.)|Students|Turner, James, 1940-2022",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b72358a4-553d-4df3-8a5c-d2613c89733a/thumbnail,"James Turner speaks with the press, May 3, 1968",Public,Image
,Bursar_B01_F04_007,,https://api.dc.library.northwestern.edu/api/v2/works/94de5a80-e7cd-49dd-9f48-54abda8bca8a,Work,ark:/81985/n2mg7g60x,83c37089-b639-485e-9a19-65f0e99f2b81|e41820ca-8d01-489d-b784-9ed7fea591c6,,1,https://dc.library.northwestern.edu/items/94de5a80-e7cd-49dd-9f48-54abda8bca8a,,,"Records of the Bursar’s Office Takeover, May 1968","Sweet, James Stouder",2021-03-16T06:34:26.945104Z,,,,"May 3, 1968","James Turner, President of Afro-American Student Union (AASU), and a lead negotiator in the Bursar's Office Takeover speaking with the press. This photo is taken in front of the Bursar's Office on 619 Clark Street in Evanston, IL.",Recto|Verso,Photographs,4,black-and-white photographs,94de5a80-e7cd-49dd-9f48-54abda8bca8a,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/94de5a80-e7cd-49dd-9f48-54abda8bca8a?as=iiif,2023-02-20T16:22:38.524059,None,None,,,inu:dil-d1b2bb0b-1855-4fbd-b5d8-94cc5a481ad6|inu:dil-e8b66815-959a-44f9-af42-d782bc62ba2a,University Archives,None,,2022-08-30T19:43:33.850710Z,,1 photograph,8 cm (height) x 11 cm (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/5bb75b41-aaf6-43ee-bf8c-dcad7f9c74aa,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Rebecca Crown Center (Evanston, Ill.)|Northwestern University (Evanston, Ill.)|Students|Turner, James, 1940-2022",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/94de5a80-e7cd-49dd-9f48-54abda8bca8a/thumbnail,"Press gather to interview James Turner, May 3, 1968",Public,Image
,Bursar_B01_F04_021,,https://api.dc.library.northwestern.edu/api/v2/works/216db2d9-edb8-4819-9500-ec03a41dad5a,Work,ark:/81985/n2t14v08w,83c37089-b639-485e-9a19-65f0e99f2b81|e41820ca-8d01-489d-b784-9ed7fea591c6,,1,https://dc.library.northwestern.edu/items/216db2d9-edb8-4819-9500-ec03a41dad5a,,,"Records of the Bursar’s Office Takeover, May 1968","Sweet, James Stouder",2021-03-15T17:36:25.561666Z,,,,"May 3, 1968","Throughout the day on Friday, May 3, 1968, James Turner, President of Afro-American Student Union (AASU), and a lead negotiator in the Bursar's Office Takeover, and Jack Hinz, Northwestern University Dean of Students and Vice President, met to negotiate an agreement between FMO, AASU, and the University regarding the April 22 demands presented to the NU by FMO and AASU.",Recto|Verso,Photographs,4,black-and-white photographs,216db2d9-edb8-4819-9500-ec03a41dad5a,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/216db2d9-edb8-4819-9500-ec03a41dad5a?as=iiif,2023-02-20T16:22:38.591594,None,None,,,inu:dil-ee245e58-5c97-46b8-ae78-6a217eb5bd22|inu:dil-64431981-2919-4d33-9ed6-f9e2abb03b51,University Archives,None,,2022-08-30T19:43:34.061834Z,,1 photograph,8 cm (height) x 11 cm (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9e86b7e4-5ab8-43c2-ac84-d0de77eefca6,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Rebecca Crown Center (Evanston, Ill.)|Northwestern University (Evanston, Ill.)|Students|Turner, James, 1940-2022",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/216db2d9-edb8-4819-9500-ec03a41dad5a/thumbnail,"James Turner and Dean Jack Hinz meet to negotiate an agreement, May 3, 1968",Public,Image
,Bursar_B01_F04_003,,https://api.dc.library.northwestern.edu/api/v2/works/6859b972-6953-4e96-80af-ba7088d7d831,Work,ark:/81985/n20p0x20b,83c37089-b639-485e-9a19-65f0e99f2b81|e41820ca-8d01-489d-b784-9ed7fea591c6,,1,https://dc.library.northwestern.edu/items/6859b972-6953-4e96-80af-ba7088d7d831,,,"Records of the Bursar’s Office Takeover, May 1968","Sweet, James Stouder",2021-03-16T03:16:50.507145Z,,,,"May 3, 1968","James Turner, President of Afro-American Student Union (AASU), and a lead negotiator in the Bursars Office Takeover speaking with the press. This photo is taken in front of the Bursar's Office on 619 Clark Street in Evanston, IL. The Rebecca Crown Center, Northwestern University's administration building, is pictured in the back.",Recto|Verso,Photographs,4,black-and-white photographs,6859b972-6953-4e96-80af-ba7088d7d831,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/6859b972-6953-4e96-80af-ba7088d7d831?as=iiif,2023-02-20T16:43:14.553138,None,None,,,inu:dil-a0260dc6-27b2-4411-acce-6c3d6362208c|inu:dil-09d07e7e-a9b2-4a57-adbc-a948b2ef46a7,University Archives,None,,2022-08-30T19:43:33.850710Z,,1 photograph,8 cm (height) x 11 cm (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/12126826-0858-49ea-98a6-e945521c8613,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Rebecca Crown Center (Evanston, Ill.)|Northwestern University (Evanston, Ill.)|Students|Turner, James, 1940-2022",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/6859b972-6953-4e96-80af-ba7088d7d831/thumbnail,"James Turner and the Press, May 3, 1968",Public,Image
,Bursar_B01_F04_019,,https://api.dc.library.northwestern.edu/api/v2/works/8749417f-de41-40df-ad45-258b89f93f5f,Work,ark:/81985/n22f7k23h,,,1,https://dc.library.northwestern.edu/items/8749417f-de41-40df-ad45-258b89f93f5f,,,"Records of the Bursar’s Office Takeover, May 1968","Sweet, James Stouder",2021-03-16T05:31:44.453347Z,,,,"May 3, 1968","Northwestern University students, largely white students pictured here, join in solidarity with approximately 120 Black Northwestern University students occupying the Bursar's Office as a means to compel the campus administration to address discriminatory campus policies and to heighten awareness of Black students' experiences of alienation at Northwestern University. By sitting on the steps of the building, students were physically blocking the entry way to prevent an incident of police forcibly removing students inside.",Recto|Verso,Photographs,4,black-and-white photographs,8749417f-de41-40df-ad45-258b89f93f5f,Series 31/6/155,https://api.dc.library.northwestern.edu/api/v2/works/8749417f-de41-40df-ad45-258b89f93f5f?as=iiif,2023-02-20T16:10:06.673421,None,None,,,inu:dil-f9afeb37-3a04-4a6b-9f32-16e95414ea9b|inu:dil-c0a3716e-fa33-4f2a-b5a2-7caf430185f7,University Archives,None,,2021-06-10T16:43:09.761465Z,,1 photograph,8 cm (height) x 11 cm (width),Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': 'Charla Wilson', 'task_number': 'Job:J0097'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/80c5b5c1-1da9-4d38-9e09-83ba2df6bb64,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Civil rights demonstrations|Student movements|Northwestern University (Evanston, Ill.). Bursar's Office|African American college students|Rebecca Crown Center (Evanston, Ill.)|Northwestern University (Evanston, Ill.)|Students",,,"The images on this site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8749417f-de41-40df-ad45-258b89f93f5f/thumbnail,"Northwestern University Students join in solidarity with members of For Members Only (FMO) and Afro-American Student Union (AASU), May 3, 1968",Public,Image
