abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:ng451k14r,,https://api.dc.library.northwestern.edu/api/v2/works/514f2650-c787-4105-bd43-f1046167dcd6,Work,ark:/81985/n24b30p3m,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/514f2650-c787-4105-bd43-f1046167dcd6,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Mandel, George",2022-01-21T06:07:55.858836Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,circa 1955,"Fiction Review #4 is an informal talk and discussion between Lefley and American novelist George Mandel. Lefley begins the program by providing a brief biographical background of Mandel and a detailed description of his literary catalog and accomplishments. Lefley and Mandel then discuss topics such as the role of the writer, narcosis or national disinterest in world events, negativism, the writing process, and Mandel’s first novel, “Flee the Angry Strangers.” The program concludes with Mandel reading the beginning of his second novel, “The Breakwater.”",Part One|Part Two|Part One|Part Two|5t34sm44f/ng451k14r.mods.xml|Part One technical metadata file|Part Two technical metadata file|Part One asset back|Part One asset front|Part One box side|Part Two asset back|Part Two asset front|Part Two box side,,,open reel audiotapes,514f2650-c787-4105-bd43-f1046167dcd6,,https://api.dc.library.northwestern.edu/api/v2/works/514f2650-c787-4105-bd43-f1046167dcd6?as=iiif,2023-02-20T16:29:22.841268,AVR Migration,avr_migration.csv,,English,ng451k14r,University Archives,None,,2022-09-23T20:48:43.741562Z,,1/4 inch open reel tape,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/0f029104-527d-4692-9eac-bae05aff16e6,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Novelists, American|Literature|Literary style|Twentieth century|New York, New York (State)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/514f2650-c787-4105-bd43-f1046167dcd6/thumbnail,Fiction Review #4 - George Mandel,Institution,Audio
,avr:b2773x15w,,https://api.dc.library.northwestern.edu/api/v2/works/4eb716d1-573e-4a51-8f35-9bdfba4e5edb,Work,ark:/81985/n2n875j3c,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/4eb716d1-573e-4a51-8f35-9bdfba4e5edb,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Herr, Paul",2022-01-21T06:21:12.530197Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,"June 1, 1961 to June 4, 1961","Fiction Review #74 features an interview with Chicago novelist Paul Herr. The program begins with Herr reading an excerpt from his novel “Journey Not to End.” Lefley then provides a brief biographical background of Herr. In the interview, Lefley and Herr discuss the role of the writer, the writing process, humanity vs. inhumanity, totalitarianism, life in concentration camps, the Holocaust, and Herr’s first novel “Journey Not to End.” The program concludes with Herr giving another reading from “Journey Not to End.”",inu-lefley_fiction_review_v94s01_am.wav|inu-lefley_fiction_review_v94s01_pm.wav|5t34sm44f/b2773x15w.mods.xml|technical metadata file|asset back|asset front,,,open reel audiotapes,4eb716d1-573e-4a51-8f35-9bdfba4e5edb,,https://api.dc.library.northwestern.edu/api/v2/works/4eb716d1-573e-4a51-8f35-9bdfba4e5edb?as=iiif,2023-02-20T16:29:25.843023,AVR Migration,avr_migration.csv,,English,b2773x15w,University Archives,None,,2022-09-23T20:47:25.055272Z,,1/4 inch open reel tape,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/0ad11644-79e9-4dda-8c98-7da6dc3f9916,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Novelists, American|Literature|Literary style|Twentieth century|Chicago, Illinois",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/4eb716d1-573e-4a51-8f35-9bdfba4e5edb/thumbnail,Fiction Review #74 - Paul Herr,Institution,Audio
,avr:bc386k800,,https://api.dc.library.northwestern.edu/api/v2/works/00739774-7baa-4fe2-ac4d-52f1ded7b173,Work,ark:/81985/n2gx47c87,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/00739774-7baa-4fe2-ac4d-52f1ded7b173,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Faulkner, William, 1897-1962",2022-01-21T06:18:05.846289Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,"September 1962 to September 29, 1962","Fiction Review aired a series of three William Faulkner memorial programs that featured the author reading excerpts from his various novels. Part One begins with portions of Faulkner’s remarks when he accepted the Nobel Prize for Literature. Lefley then provides a detailed biography of Faulkner which includes description of his literary catalog. Faulkner then reads from three of his novels: “The Sound and the Fury,” “The Wild Palms,” and “A Fable.” Part Three begins with Lefley providing biographical background on Faulkner and a description of his literary catalog. The rest of Part Three is devoted to readings by William Faulkner, including three excerpts from “As I Lay Dying” and two from “Light in August.”",Part One|Part Two|Part One|Part Two|5t34sm44f/bc386k800.mods.xml|Part One technical metadata file|Part Two technical metadata file|Part One asset back|Part One asset front|Part Two asset back|Part Two asset front,,,open reel audiotapes,00739774-7baa-4fe2-ac4d-52f1ded7b173,,https://api.dc.library.northwestern.edu/api/v2/works/00739774-7baa-4fe2-ac4d-52f1ded7b173?as=iiif,2023-02-20T16:32:47.318586,AVR Migration,avr_migration.csv,,English,bc386k800,University Archives,None,,2022-09-23T20:48:14.561984Z,,10.5 inch open reel tape,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/3e64f088-e7ad-4036-952c-314844dc23d4,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Novelists, American|Literature|Literary style|Twentieth century",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/00739774-7baa-4fe2-ac4d-52f1ded7b173/thumbnail,William Faulkner - Memorial Program,Institution,Audio
,avr:bz60cx81k,,https://api.dc.library.northwestern.edu/api/v2/works/e65c4941-6608-43d1-aeb7-524163aabf2a,Work,ark:/81985/n2qz25195,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/e65c4941-6608-43d1-aeb7-524163aabf2a,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Puzo, Mario, 1920-1999",2022-01-21T06:11:54.902828Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,1954 to 1961,"Fiction Review #6 is devoted to American novelist Mario Puzo. Lefley begins the program with a brief biography of Puzo. As an introduction to his interview with Puzo, Lefley describes Puzo as an author who is candid about his work and will criticize his work publicly. Part One is a recording of Robert Lefley’s interview and discussion with Mario Puzo. Puzo discusses the background, setting, characters, plot, and meaning of his first novel, “The Dark Arena.” Part Two is a recording of Lefley reading Puzo’s short story “The Last Christmas.”",Part One|Part Two|Part One|Part Two|5t34sm44f/bz60cx81k.mods.xml|Part One technical metadata file|Part Two technical metadata file|Part One asset front|Part Two asset front,,,open reel audiotapes,e65c4941-6608-43d1-aeb7-524163aabf2a,,https://api.dc.library.northwestern.edu/api/v2/works/e65c4941-6608-43d1-aeb7-524163aabf2a?as=iiif,2023-02-20T16:32:47.732368,AVR Migration,avr_migration.csv,,English,bz60cx81k,University Archives,None,,2022-09-23T20:48:01.967262Z,,,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/e047bd58-1f82-4d17-afa9-cd50a59f1d0d,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Novelists, American|Literature|Literary style|Twentieth century|Chicago, Illinois|New York, New York (State)",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e65c4941-6608-43d1-aeb7-524163aabf2a/thumbnail,Fiction Review #6 - Mario Puzo,Institution,Audio
,avr:s1784n22b,,https://api.dc.library.northwestern.edu/api/v2/works/fbd70fb4-84b9-4a53-b08c-f0dc350c4855,Work,ark:/81985/n2445kx6x,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/fbd70fb4-84b9-4a53-b08c-f0dc350c4855,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Parker, Dorothy, 1893-1967",2022-01-21T06:24:14.150042Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,circa 1959,"Fiction Review #58 is devoted to the life and works of Dorothy Parker. It features two recordings of Parker from a series at the University of Chicago. Fiction Review #58 begins with Parker reading her short story, “The Waltz.” Lefley then discusses the significance and critical analysis of her work, including her wit, form, dialogue, and plot structure. He then provides a biography and detailed description of her literary catalog. A recording of Parker’s reading of her short story, “Glory in the Daytime” is then presented.",inu-lefley_fiction_review_v102s01_am.wav|inu-lefley_fiction_review_v102s01_pm.wav|5t34sm44f/s1784n22b.mods.xml|technical metadata file|asset back|asset front,,,open reel audiotapes,fbd70fb4-84b9-4a53-b08c-f0dc350c4855,,https://api.dc.library.northwestern.edu/api/v2/works/fbd70fb4-84b9-4a53-b08c-f0dc350c4855?as=iiif,2023-02-20T16:32:47.735535,AVR Migration,avr_migration.csv,,English,s1784n22b,University Archives,None,,2022-09-23T20:49:01.087515Z,,10.5 inch open reel tape,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/f8d6308d-d75f-4276-981f-ee4845f4a2c7,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Novelists, American|Literature|Literary style|Twentieth century|Chicago, Illinois",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/fbd70fb4-84b9-4a53-b08c-f0dc350c4855/thumbnail,Fiction Review #58: “The Waltz” and “Glory in the Daytime” - Dorothy Parker,Institution,Audio
,avr:hd76s1533,,https://api.dc.library.northwestern.edu/api/v2/works/5f95052b-69a8-4a32-bf5f-d1e2a56f0b1f,Work,ark:/81985/n26972h0j,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/5f95052b-69a8-4a32-bf5f-d1e2a56f0b1f,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Megged, Aharon, 1920-2016",2022-01-21T06:21:59.476109Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,"September 16, 1963","This is Robert Lefley’s interview with Israeli author Aharon Megged. During the interview, Megged discusses Israeli literature, the effects of war, the changing structure of Israeli society, the issues surrounding the use of the Hebrew language in writing, escapism in literature, surrealism vs. realism, the writing process, the role of the writer, and Megged’s novel, “Fortunes of a Fool.”",Part One|Part Two|Part One|Part Two|5t34sm44f/hd76s1533.mods.xml|Part One technical metadata file|Part One asset back|Part One asset front,,,open reel audiotapes,5f95052b-69a8-4a32-bf5f-d1e2a56f0b1f,,https://api.dc.library.northwestern.edu/api/v2/works/5f95052b-69a8-4a32-bf5f-d1e2a56f0b1f?as=iiif,2023-02-20T16:32:47.823768,AVR Migration,avr_migration.csv,,English,hd76s1533,University Archives,None,,2022-09-23T20:49:10.064457Z,,1/4 inch open reel tape,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/62e8f727-4ec4-475b-b20e-1bea465878db,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Authors, Israeli|Literature|Literary style|Twentieth century|Tel Aviv, Israel",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/5f95052b-69a8-4a32-bf5f-d1e2a56f0b1f/thumbnail,Aharon Megged,Institution,Audio
,avr:rv042v597,,https://api.dc.library.northwestern.edu/api/v2/works/78081c92-915a-4a10-9eda-39e6a71d26a0,Work,ark:/81985/n2sf2pw91,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/78081c92-915a-4a10-9eda-39e6a71d26a0,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Faulkner, William, 1897-1962|Hughes, Robert, 1929?-1972",2022-01-21T06:19:54.018755Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,1956,"This program marked the return of the Fiction Review to WFMT after a one year absence. To set the tone and purpose for the new series of Fiction Review, Lefley presents a dramatized, verbatim reading of the interview between William Faulkner and Jean Stein, then feature editor of The Paris Review. Lefley reads the questions of Stein and actor Robert Hughes takes the role of Faulkner.",inu-lefley_fiction_review_v90s01_am.wav|inu-lefley_fiction_review_v90s01_pm.wav|5t34sm44f/rv042v597.mods.xml|technical metadata file|asset back|asset front,,,open reel audiotapes,78081c92-915a-4a10-9eda-39e6a71d26a0,,https://api.dc.library.northwestern.edu/api/v2/works/78081c92-915a-4a10-9eda-39e6a71d26a0?as=iiif,2023-02-20T16:32:47.909174,AVR Migration,avr_migration.csv,,English,rv042v597,University Archives,None,,2022-09-23T20:49:22.555874Z,,10.5 inch open reel tape,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/c0c60357-9a77-4fb3-88da-526397ec90b5,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Novelists, American|Literature|Literary style|Twentieth century",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/78081c92-915a-4a10-9eda-39e6a71d26a0/thumbnail,Fiction Review #25 - William Faulkner,Institution,Audio
,avr:t435gf54h,,https://api.dc.library.northwestern.edu/api/v2/works/86d51484-2cef-466c-8a21-19709283e6be,Work,ark:/81985/n2m32qv71,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/86d51484-2cef-466c-8a21-19709283e6be,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Shulman, Max, 1919-1988",2022-01-21T06:24:15.194279Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,"September 19, 1961","Fiction Review #46 features an interview with American novelist and humorist Max Shulman. Lefley begins by providing a brief biographical background of Shulman and a detailed description of his literary catalog, including Shulman’s most recent publication, “Rally Round the Flag, Boys.” The remainder of the program is Lefley’s interview with Shulman where they discuss the humorist novel vs. the contemporary novel, the plausibility of characters and plot, suburban life, humor in literature, and Shulman’s novel, “Rally Round the Flag, Boys.”",Part One|Part Two|Part One|Part Two|5t34sm44f/t435gf54h.mods.xml|Part One technical metadata file|Part Two technical metadata file|Part One asset back|Part One asset front|Part Two asset back|Part Two asset front,,,open reel audiotapes,86d51484-2cef-466c-8a21-19709283e6be,,https://api.dc.library.northwestern.edu/api/v2/works/86d51484-2cef-466c-8a21-19709283e6be?as=iiif,2023-02-20T16:32:47.912821,AVR Migration,avr_migration.csv,,English,t435gf54h,University Archives,None,,2022-09-23T20:49:51.191875Z,,1/4 inch open reel tape,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/11e1479a-1f11-43d3-942c-310a4a0f4a60,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Novelists, American|Literature|Literary style|Twentieth century|Chicago, Illinois",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/86d51484-2cef-466c-8a21-19709283e6be/thumbnail,Fiction Review #46 - Max Shulman,Institution,Audio
,avr:qz20sv02j,,https://api.dc.library.northwestern.edu/api/v2/works/35740976-40fc-437f-8863-2d5c916cfc32,Work,ark:/81985/n2tt4jc1n,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/35740976-40fc-437f-8863-2d5c916cfc32,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Snow, C. P. (Charles Percy), 1905-1980",2022-01-21T06:21:16.447839Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,"March 27, 1958","Fiction Review #49 features English critic and novelist Sir Charles Percy Snow (C.P. Snow). The program begins with a short clip of Snow discussing Colin Wilson, author of “The Outsider.” Robert Lefley then introduces the program in which C.P. Snow speaks about Britain’s angry young men and other subjects in a talk entitled, “The State of the Novel.” The talk was a Northwestern University Alumni Fund Lecture. Lefley’s introduction begins with a discussion of the critical reception to Snow’s novel, “The Conscious of the Rich,” and is followed with a detailed biography of C.P. Snow. The remainder of the program is Snow’s talk on “The State of the Novel.”",inu-lefley_fiction_review_v108s01_am.wav|inu-lefley_fiction_review_v108s01_pm.wav|5t34sm44f/qz20sv02j.mods.xml|technical metadata file|asset back|asset front,,,open reel audiotapes,35740976-40fc-437f-8863-2d5c916cfc32,,https://api.dc.library.northwestern.edu/api/v2/works/35740976-40fc-437f-8863-2d5c916cfc32?as=iiif,2023-02-20T16:37:20.286246,AVR Migration,avr_migration.csv,,English,qz20sv02j,University Archives,None,,2022-09-23T20:48:52.251596Z,,10.5 inch open reel tape,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/e2ffb8f1-a704-490e-8812-e8fa6c7bd0d0,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Novelists, English|Literature|Literary style|Twentieth century|Evanston, Illinois",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/35740976-40fc-437f-8863-2d5c916cfc32/thumbnail,Fiction Review #49 - C.P. Snow,Institution,Audio
,avr:v979v471j,,https://api.dc.library.northwestern.edu/api/v2/works/eac484aa-ff72-4306-87de-17912bf16188,Work,ark:/81985/n2ff3pj1z,923049a5-8af3-4ce0-a80d-98e28294c8bc|a2245489-9226-420d-bfd8-d27aa03f7410|ed52bd01-b2a5-45ad-8e2b-bd5aef27d873,,,https://dc.library.northwestern.edu/items/eac484aa-ff72-4306-87de-17912bf16188,,,Robert H. Lefley (1927- ) Collection,"WFMT (Radio station : Chicago, Ill.)|Conroy, Jack, 1898-1990",2022-01-21T06:14:51.144784Z,"Lefley, Robert, 1927-|Northwestern University (Evanston, Ill.)",d0ebeee4-0f28-4989-b602-8d65066c03de,,circa 1957,"Fiction Review #40 is devoted to Jack Conroy, an American novelist, folklorist, editor, and book reviewer. Lefley begins by providing a brief biographical background of Conroy and a detailed description of his literary catalog and accomplishments. The remainder of the program is Lefley’s interview with Conroy at Conroy’s home on the Southwest side of Chicago. They discuss imagery in literature, the proletarian novel, the tradition of American literature, the literature of the 1930s, and Conroy’s novel “The Disinherited.”",Part One|Part Two|Part One|Part Two|5t34sm44f/v979v471j.mods.xml|Part One technical metadata file|Part Two technical metadata file|Part One asset back|Part One asset front|Part Two asset back|Part Two asset front,,,open reel audiotapes,eac484aa-ff72-4306-87de-17912bf16188,,https://api.dc.library.northwestern.edu/api/v2/works/eac484aa-ff72-4306-87de-17912bf16188?as=iiif,2023-02-20T16:29:20.704316,AVR Migration,avr_migration.csv,,English,v979v471j,University Archives,None,,2022-09-23T20:51:44.162135Z,,1/4 inch open reel tape,,Level 1,"{'cycle': '2018', 'desc': 'Bob Lefley is one of the founders of WFMT. The recordings are of interviews with important literary figures etc.', 'manager': 'Dan Zellner', 'name': 'At Risk Media: Robert Lefley Radio Collection', 'proposer': 'Kevin Leonard', 'task_number': 'P0179'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/227570fb-0cab-4c8b-b332-e3848d016213,,In Copyright - Educational Use Permitted,,,,Done,,"Journalists|Radio programs|Novelists, American|Literature|Literary style|Twentieth century|Chicago, Illinois",,,"The audio recordings on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/eac484aa-ff72-4306-87de-17912bf16188/thumbnail,Fiction Review #40 - Jack Conroy,Institution,Audio
