abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:301549,,https://api.dc.library.northwestern.edu/api/v2/works/bfd7f0d0-bae3-495b-9e94-c25c0d597ce1,Work,ark:/81985/n24t6gj9g,be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/bfd7f0d0-bae3-495b-9e94-c25c0d597ce1,,9955498874202441,Spanish Civil War Posters,Juventud Comunista Ibérica|Unión General de Trabajadores de España|Confederación Nacional del Trabajo (Spain),2021-03-16T15:43:40.470934Z,,7afde538-2a46-4a4e-b880-76a3117e1980,,1930s,Man holding a hammer and a sickle before a plowed field and factory|Signature on lower left illegible,inu-dil-a3542472-9825-49a8-a16f-ab534112215e.tif,,,political posters|propaganda,bfd7f0d0-bae3-495b-9e94-c25c0d597ce1,,https://api.dc.library.northwestern.edu/api/v2/works/bfd7f0d0-bae3-495b-9e94-c25c0d597ce1?as=iiif,2023-02-20T16:14:24.447674,None,None,,Spanish,inu:dil-a3542472-9825-49a8-a16f-ab534112215e,Charles Deering McCormick Library of Special Collections,None,Spain--Valencia,2021-10-01T18:44:29.347243Z,,1 color poster,100 x 68 cm,Level 2,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,"Ortega, Comité Obrero de Control U.G.T.-C.N.T",,,https://iiif.dc.library.northwestern.edu/iiif/2/d86c4448-3374-4559-9ebf-df29c853e6af,,Copyright Undetermined,,,,Done,,"Juventud Comunista Ibérica|Partido Obrero de Unificación Marxista|Youth--Political activity|Spain--History--Civil War, 1936-1939--Posters",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bfd7f0d0-bae3-495b-9e94-c25c0d597ce1/thumbnail,JCI POUM : ingresseu a la Joventud Comunista Iberica,Institution,Image
,Voyager:301542,Llegiu!,https://api.dc.library.northwestern.edu/api/v2/works/56982da0-3082-48f1-b104-94f8dae462b4,Work,ark:/81985/n2sj1c671,be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/56982da0-3082-48f1-b104-94f8dae462b4,,9955278014202441,Spanish Civil War Posters,"Colom i Agustí, Joan, 1879-1969|Sindicato de Dibujantes Profesionales",2021-03-15T22:24:15.705984Z,,7afde538-2a46-4a4e-b880-76a3117e1980,,1936?,"Two seated workers reading an issue of the newspaper in the foreground with a large image of the paper in the background.|Signed on plate, upper left corner: Michel Adam 36. S.D.P.|Printed in b&w, yellow, and red.",inu-dil-c4010e12-591d-4dd4-bb81-dfa68c2696e4.tif,,,political posters|propaganda,56982da0-3082-48f1-b104-94f8dae462b4,,https://api.dc.library.northwestern.edu/api/v2/works/56982da0-3082-48f1-b104-94f8dae462b4?as=iiif,2023-02-20T16:41:17.270248,None,None,,Catalan,inu:dil-c4010e12-591d-4dd4-bb81-dfa68c2696e4,Charles Deering McCormick Library of Special Collections,None,Spain--Barcelona,2021-10-01T20:59:28.248186Z,,1 poster : photomechanical reproduction (halftone) and lithograph,sheet 100 x 70 cm,Level 2,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,"Editat pel Sindicat de Dibuixants Professionals, U.G.T.",Cartells dell Pavelló de la República WWW site,,https://iiif.dc.library.northwestern.edu/iiif/2/713d7a5b-3cb9-4e31-b00e-509f9173a3fd,,Copyright Undetermined,,,,Done,,"Labor|Spain--Catalonia|Anti-fascist movements|Spain--History--Civil War, 1936-1939--Posters|Political posters, Spanish",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/56982da0-3082-48f1-b104-94f8dae462b4/thumbnail,Treball : diari dels treballadors de la ciutat i del camp,Institution,Image
,Voyager:301557,,https://api.dc.library.northwestern.edu/api/v2/works/bd6f044f-85c2-4906-8954-55805f3ec08e,Work,ark:/81985/n27m05g22,be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/bd6f044f-85c2-4906-8954-55805f3ec08e,,9955843644202441,Spanish Civil War Posters,"Negrín, Juan|Spain. Subsecretaria de Propaganda",2021-03-16T15:29:32.230845Z,,7afde538-2a46-4a4e-b880-76a3117e1980,,1930s,Excerpts from speeches of Negrín,inu-dil-5bf6d34c-ef6e-4ad3-9741-023a6d3e7701.tif,,,political posters|propaganda,bd6f044f-85c2-4906-8954-55805f3ec08e,,https://api.dc.library.northwestern.edu/api/v2/works/bd6f044f-85c2-4906-8954-55805f3ec08e?as=iiif,2023-02-20T16:14:09.838079,None,None,,Spanish,inu:dil-5bf6d34c-ef6e-4ad3-9741-023a6d3e7701,Charles Deering McCormick Library of Special Collections,None,Spain--Barcelona,2021-10-01T16:34:57.966459Z,,1 color poster,91 x 65 cm,Level 2,"{'cycle': '2020', 'desc': ""Four of the Spanish Civil War Posters are missing. The other 20 were ingested into Donut but four remain. I'm attaching a spreadsheet with the info - title, ebib, and the handle which should include the filename stem at the end."", 'manager': '', 'name': 'Spanish Civil War Posters', 'proposer': 'Jen Young', 'task_number': 'J0473'}",,True,Subsecretaría de Propaganda|Sdad. Gral. de Publicaciones,,,https://iiif.dc.library.northwestern.edu/iiif/2/0e53f382-d02c-4f35-9a5c-312acbda7a6d,,Copyright Undetermined,,,,Done,,"Negrín, Juan|Oratory|Spain--History--Civil War, 1936-1939--Posters|Political posters, Spanish",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/bd6f044f-85c2-4906-8954-55805f3ec08e/thumbnail,Los pueblos de España más unidos hoy que nunca,Institution,Image
,P0049_9956045174202441,,https://api.dc.library.northwestern.edu/api/v2/works/1bd05e6b-c858-429f-92bb-bb063e3bdeac,Work,ark:/81985/n24j0dd5w,0778db0e-dad5-4333-9377-873501b1e2a3|be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/1bd05e6b-c858-429f-92bb-bb063e3bdeac,,9956045174202441,Spanish Civil War Posters,Unión General de Trabajadores de España,2021-08-04T14:17:29.471374Z,,,,1937,"Photographs of dead children, destruction, bullets, and crowds.",Recto,,,political posters|propaganda,1bd05e6b-c858-429f-92bb-bb063e3bdeac,,https://api.dc.library.northwestern.edu/api/v2/works/1bd05e6b-c858-429f-92bb-bb063e3bdeac?as=iiif,2023-02-20T16:27:48.780848,P0394-P0049-spanish-civil-war,P0049_spanish_civil_war.csv,,French,,Charles Deering McCormick Library of Special Collections,None,France,2021-10-01T20:22:59.643759Z,,1 poster : illustrations,53 x 71 cm,Level 2,"{'cycle': '2020', 'desc': ""Four of the Spanish Civil War Posters are missing. The other 20 were ingested into Donut but four remain. I'm attaching a spreadsheet with the info - title, ebib, and the handle which should include the filename stem at the end."", 'manager': '', 'name': 'Spanish Civil War Posters', 'proposer': 'Jen Young', 'task_number': 'J0473'}",,True,U.G.T.,Cartells del Pavelló de la Républica WWW site,,https://iiif.dc.library.northwestern.edu/iiif/2/afcfa520-de42-40ec-9ea7-b35758efbd56,,Copyright Undetermined,,,"Boletín Internacional de la Federación Española de Trabajadores de la Enseñanza, sección catalana-U.G.T., numero 1, Barcelone, janvier 1937.",Done,,"Anti-fascist movements|Spain--History--Civil War, 1936-1939--Posters|War posters, Spanish|Political posters, Spanish",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/1bd05e6b-c858-429f-92bb-bb063e3bdeac/thumbnail,"Madrid, ville martyre",Institution,Image
,P0049_9955843454202441,,https://api.dc.library.northwestern.edu/api/v2/works/d8aae1e0-4f8d-455e-862a-3373e2207f51,Work,ark:/81985/n2d21v16v,0778db0e-dad5-4333-9377-873501b1e2a3|be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/d8aae1e0-4f8d-455e-862a-3373e2207f51,,9955843454202441,Spanish Civil War Posters,"López Padial, Antonio|Unión General de Trabajadores de España|Confederación Nacional del Trabajo (Spain)|Socorro Rojo de España",2021-08-04T14:17:28.317402Z,,,,1936,"A woman cries beside a table piled with her belongings, a bombed building in the background.",Recto,,,political posters|propaganda,d8aae1e0-4f8d-455e-862a-3373e2207f51,,https://api.dc.library.northwestern.edu/api/v2/works/d8aae1e0-4f8d-455e-862a-3373e2207f51?as=iiif,2023-02-20T16:27:48.841316,P0394-P0049-spanish-civil-war,P0049_spanish_civil_war.csv,,Spanish,,Charles Deering McCormick Library of Special Collections,None,Spain--Valencia,2021-10-01T18:38:06.354447Z,,1 color poster,80 x 56 cm,Level 1,"{'cycle': None, 'desc': 'P0049', 'manager': '', 'name': 'Spanish Civil War Posters', 'proposer': '', 'task_number': ''}",,True,Socorro Rojo de España|Lit. S. Dura Socializada U.G.T.|C.N.T.,,,https://iiif.dc.library.northwestern.edu/iiif/2/3a4dfa3a-d630-4af0-aa7f-88d8b7d1dc1d,,Copyright Undetermined,,,,Done,,"Civilian war relief|Spain--History--Civil War, 1936-1939--Posters|Political posters, Spanish",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d8aae1e0-4f8d-455e-862a-3373e2207f51/thumbnail,Acógela!,Institution,Image
,Voyager:301546,,https://api.dc.library.northwestern.edu/api/v2/works/1315b64c-3868-487d-b375-1985f5141473,Work,ark:/81985/n2125rr5n,be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/1315b64c-3868-487d-b375-1985f5141473,,9955283224202441,Spanish Civil War Posters,Spain. Ministerio de Propaganda,2021-03-15T16:41:11.915028Z,,7afde538-2a46-4a4e-b880-76a3117e1980,,1937?,"Dead child with a tag and number on her body, a squadron of bombers overhead.",inu-dil-cf198182-677d-4cad-b143-27f2a8198181.tif,,,political posters|propaganda,1315b64c-3868-487d-b375-1985f5141473,,https://api.dc.library.northwestern.edu/api/v2/works/1315b64c-3868-487d-b375-1985f5141473?as=iiif,2023-02-20T16:06:48.436488,None,None,,French,inu:dil-cf198182-677d-4cad-b143-27f2a8198181,Charles Deering McCormick Library of Special Collections,None,Spain--Madrid,2021-10-01T18:32:26.326787Z,,1 color poster,64 x 50 cm,Level 2,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/4e4829c4-a54c-4a5a-92bd-82c13ece38d8,,Copyright Undetermined,,,,Done,,"Spain--History--Civil War, 1936-1939--Posters|Spain--History--Civil War, 1936-1939--Children|Spain--History--Civil War, 1936-1939--Aerial operations|Civilian war casualties",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/1315b64c-3868-487d-b375-1985f5141473/thumbnail,"Madrid, l'action ""militaire"" des rebelles : ce que l'Europe tolère ou protège, ce que vos enfants peuvent attendre",Institution,Image
,Voyager:301551,,https://api.dc.library.northwestern.edu/api/v2/works/d419dac2-c93b-4977-8fa6-4fa125b63aa8,Work,ark:/81985/n2mw29w7f,be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/d419dac2-c93b-4977-8fa6-4fa125b63aa8,,9955498994202441,Spanish Civil War Posters,Parrilla|Spain. Ejército Popular de la República. Brigada Internacional|Unión General de Trabajadores de España. Sindicato Professionales Bellas Artes,2021-03-16T18:52:07.688452Z,,7afde538-2a46-4a4e-b880-76a3117e1980,,1937,"Two soldiers holding flags before a village.|Signed upper right: Parrilla, xxxvii.",inu-dil-4b56ddc6-487d-4de0-9d72-e3515b15d2da.tif,,,political posters|propaganda,d419dac2-c93b-4977-8fa6-4fa125b63aa8,,https://api.dc.library.northwestern.edu/api/v2/works/d419dac2-c93b-4977-8fa6-4fa125b63aa8?as=iiif,2023-02-20T16:16:08.194892,None,None,,Spanish,inu:dil-4b56ddc6-487d-4de0-9d72-e3515b15d2da,Charles Deering McCormick Library of Special Collections,None,Spain--Madrid,2021-10-01T15:13:54.280276Z,,1 color poster,100 x 70 cm,Level 2,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Sindicato de Profesionales de las Bellas Artes|UGT|Lit. Cromo,,,https://iiif.dc.library.northwestern.edu/iiif/2/1697b24a-a829-43ec-a0da-784c08f1963d,,Copyright Undetermined,,,,Done,,"Political posters, Spanish|Spain. Ejército Popular de la República. Brigada Internacional|Spain--History--Civil War, 1936-1939--Posters",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d419dac2-c93b-4977-8fa6-4fa125b63aa8/thumbnail,La unidad del ejército del pueblo será el arma de la victoria,Institution,Image
,Voyager:301541,,https://api.dc.library.northwestern.edu/api/v2/works/d887d0a7-1c8a-4d24-b946-0fd52a0d80d4,Work,ark:/81985/n2222sn4d,be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/d887d0a7-1c8a-4d24-b946-0fd52a0d80d4,,9955277284202441,Spanish Civil War Posters,"Mas Mas, Ramon|Unión General de Trabajadores de España|Confederación Nacional del Trabajo (Spain)",2021-03-16T19:18:51.643713Z,,7afde538-2a46-4a4e-b880-76a3117e1980,,1930s,Arrow with swastika penetrates one of several books.|Signed by artist on lower right: R. Mas.,inu-dil-5dcfd1c7-eeb2-4da5-85dc-e2d1f2aea366.tif,,,political posters|propaganda,d887d0a7-1c8a-4d24-b946-0fd52a0d80d4,,https://api.dc.library.northwestern.edu/api/v2/works/d887d0a7-1c8a-4d24-b946-0fd52a0d80d4?as=iiif,2023-02-20T16:16:28.445313,None,None,,Spanish,inu:dil-5dcfd1c7-eeb2-4da5-85dc-e2d1f2aea366,Charles Deering McCormick Library of Special Collections,None,Spain--Valencia,2021-10-01T20:31:04.645493Z,,1 color poster,70 x 100 cm,Level 2,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Ortega-intervenido|U.G.T.-C.N.T,,,https://iiif.dc.library.northwestern.edu/iiif/2/4d938f33-aa0a-4baf-aad9-645781932ee0,,Copyright Undetermined,,,,Done,,"Education--Spain|Anti-fascist movements|Spain--History--Civil War, 1936-1939--Posters",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d887d0a7-1c8a-4d24-b946-0fd52a0d80d4/thumbnail,"La ignorancia es arma del fascismo, joven: ingresa en Alerta! ",Institution,Image
,Voyager:301543,,https://api.dc.library.northwestern.edu/api/v2/works/0a04674b-7e9c-4b8d-a88a-5ab02951d5b0,Work,ark:/81985/n2nv9bs55,be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/0a04674b-7e9c-4b8d-a88a-5ab02951d5b0,,9955283074202441,Spanish Civil War Posters,"Azaña, Manuel, 1880-1940|Spain. President (1936-1939 : Azaña)|Spain. Junta de Defensa de Madrid",2021-03-15T16:08:00.674012Z,,7afde538-2a46-4a4e-b880-76a3117e1980,,1937?,"Excerpt of a January 21, 1937 speech by Manuel Azaña (delivered in Valencia) printed over a silhouette of Spain and two damaged lion sculptures.|Printed in black, gray, and brown.",inu-dil-c1252c03-f77d-4388-b4a8-f8291e01a012.tif,,,political posters|propaganda,0a04674b-7e9c-4b8d-a88a-5ab02951d5b0,,https://api.dc.library.northwestern.edu/api/v2/works/0a04674b-7e9c-4b8d-a88a-5ab02951d5b0?as=iiif,2023-02-20T16:23:51.463220,None,None,,Spanish,inu:dil-c1252c03-f77d-4388-b4a8-f8291e01a012,Charles Deering McCormick Library of Special Collections,None,Spain--Madrid,2021-10-01T16:48:30.336528Z,,1 three-color photoprint and lithograph,100 x 68 cm,Level 2,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Junta de Defensa de Madrid?|Ministerio de Propaganda,,,https://iiif.dc.library.northwestern.edu/iiif/2/55757af3-30c2-4c6d-96db-7ee5b2da5cfe,,Copyright Undetermined,,,,Done,,"Azaña, Manuel, 1880-1940|Oratory|Anti-fascist movements|Political posters, Spanish|Spain--History--Civil War, 1936-1939--Posters",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0a04674b-7e9c-4b8d-a88a-5ab02951d5b0/thumbnail,Homenaje a Madrid,Institution,Image
,P0049_9955848084202441,,https://api.dc.library.northwestern.edu/api/v2/works/5e5a2a85-20c2-4714-b2b5-c1e50d3f15b7,Work,ark:/81985/n2891471m,0778db0e-dad5-4333-9377-873501b1e2a3|be527e22-e6c4-49e1-b685-721e395f3af9,,,https://dc.library.northwestern.edu/items/5e5a2a85-20c2-4714-b2b5-c1e50d3f15b7,,9955848084202441,Spanish Civil War Posters,"Ballester, Arturo, 1890-1981|Partido Comunista de España|Confederación Nacional del Trabajo (Spain)|Unión General de Trabajadores de España|International Working Men's Association (1922- )",2021-08-04T14:17:28.868494Z,,,,1936 to 1939,"Portrait of a sailor with three cannon in foreground|Signed by artist on stone, upper right: Arturo Ballester|Upper left: seal of Confederación Nacional del Trabajo, A.I.T.|Printed in red, blue and black.|Library copy contains presentation by a member of the Lincoln Brigade and other inscriptions.",Recto,,,political posters|propaganda,5e5a2a85-20c2-4714-b2b5-c1e50d3f15b7,,https://api.dc.library.northwestern.edu/api/v2/works/5e5a2a85-20c2-4714-b2b5-c1e50d3f15b7?as=iiif,2023-02-20T16:25:15.258511,P0394-P0049-spanish-civil-war,P0049_spanish_civil_war.csv,,Spanish,,Charles Deering McCormick Library of Special Collections,None,Spain--Valencia,2021-10-01T20:53:25.651028Z,,"1 poster : lithograph, 3 colors",37 x 26 cm,Level 2,"{'cycle': None, 'desc': '', 'manager': '', 'name': 'Spanish Civil War Posters', 'proposer': '', 'task_number': ''}",,True,Ortega-Intervenido|U.G.T.-C.N.T.,,,https://iiif.dc.library.northwestern.edu/iiif/2/b83213ab-db5d-4b2e-a72c-41dbee8d3f41,,Copyright Undetermined,,,,Done,,"Anti-fascist movements|Political posters, Spanish|War posters, Spanish|Spain--History--Civil War, 1936-1939--Posters",,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/5e5a2a85-20c2-4714-b2b5-c1e50d3f15b7/thumbnail,Un Marino: un heroe,Institution,Image
