abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0011,"Buque S.S. Cristobal saliendo las esclusas de Pedro Miguel, viajando en dirección al sur, Agosto 3, 1914. Obsérvese mujeres a la izquierda.",https://api.dc.library.northwestern.edu/api/v2/works/7591f07e-62c8-49cd-88d2-71817e2ac18e,Work,ark:/81985/n2c53h128,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/7591f07e-62c8-49cd-88d2-71817e2ac18e,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-16T04:12:50.826651Z,,,,"1904? to 1914|August 3, 1914",,Panama_0011a.tif|Panama_0011b.tif,,,black-and-white photographs,7591f07e-62c8-49cd-88d2-71817e2ac18e,,https://api.dc.library.northwestern.edu/api/v2/works/7591f07e-62c8-49cd-88d2-71817e2ac18e?as=iiif,2023-02-20T16:04:58.825558,None,None,,,,Transportation Library,None,,2021-09-28T22:10:54.802019Z,,1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/fb987472-fc41-4f79-8094-2e473211b284,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Railroads|Panama Railroad Co.|Canals, Interoceanic--Design and construction",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7591f07e-62c8-49cd-88d2-71817e2ac18e/thumbnail,"View of S.S. Cristobal exiting Pedro Miguel locks, southbound, August 3, 1914. Note female observers on the left.",Public,Image
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0055,"Escena de calle de la ciudad de Colón. Nótese mujer en ""pollera montuna.""",https://api.dc.library.northwestern.edu/api/v2/works/a34231f3-16a0-4556-b69f-32ce27bc68b5,Work,ark:/81985/n2pc2w84d,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/a34231f3-16a0-4556-b69f-32ce27bc68b5,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-16T13:12:41.684216Z,,,,1904? to 1914,,Panama_0055a.tif|Panama_0055b.tif,,,black-and-white photographs,a34231f3-16a0-4556-b69f-32ce27bc68b5,,https://api.dc.library.northwestern.edu/api/v2/works/a34231f3-16a0-4556-b69f-32ce27bc68b5?as=iiif,2023-02-20T16:12:01.181679,None,None,,,,Transportation Library,None,,2021-09-28T22:10:55.202725Z,,1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/d7a7d50e-8aae-4e93-88d0-4d3bb3d65219,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Railroads|Panama Railroad Co.|Canals, Interoceanic--Design and construction",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/a34231f3-16a0-4556-b69f-32ce27bc68b5/thumbnail,"Colon city street scene. Note woman wearing ""pollera montuna.""",Public,Image
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0073,"Parte del conjunto de las ruinas de ""Panamá la Vieja.""",https://api.dc.library.northwestern.edu/api/v2/works/b240f3e5-d332-4584-95d5-ea4d63e95049,Work,ark:/81985/n2bv7cv3z,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/b240f3e5-d332-4584-95d5-ea4d63e95049,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-16T14:26:31.086689Z,,,,1904? to 1914,,Panama_0073a.tif|Panama_0073b.tif,,,black-and-white photographs,b240f3e5-d332-4584-95d5-ea4d63e95049,,https://api.dc.library.northwestern.edu/api/v2/works/b240f3e5-d332-4584-95d5-ea4d63e95049?as=iiif,2023-02-20T16:13:13.689980,None,None,,,,Transportation Library,None,,2021-09-28T22:10:54.802019Z,,1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/b0ab695d-a2bd-4769-a20f-1b6412ba6fe1,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Railroads|Panama Railroad Co.|Canals, Interoceanic--Design and construction",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b240f3e5-d332-4584-95d5-ea4d63e95049/thumbnail,"""Old Panama"" city ruins.",Public,Image
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0046,"Edificio para familias, El Prado, Balboa. Edificio desconocido, recientemente terminado? Obsérvese tres (3) niñas al frente de la escalera.",https://api.dc.library.northwestern.edu/api/v2/works/fbe3259e-ed93-4853-ab69-c731d9da33bf,Work,ark:/81985/n2v11xk4k,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/fbe3259e-ed93-4853-ab69-c731d9da33bf,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-16T22:47:22.139257Z,,,,1904? to 1914,,Panama_0046a.tif|Panama_0046b.tif,,,black-and-white photographs,fbe3259e-ed93-4853-ab69-c731d9da33bf,,https://api.dc.library.northwestern.edu/api/v2/works/fbe3259e-ed93-4853-ab69-c731d9da33bf?as=iiif,2023-02-20T16:19:33.010086,None,None,,,,Transportation Library,None,,2021-09-28T22:10:54.943632Z,,1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/eeccded4-7db8-4b0c-8917-63dd581831ba,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Railroads|Panama Railroad Co.|Canals, Interoceanic--Design and construction",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/fbe3259e-ed93-4853-ab69-c731d9da33bf/thumbnail,"Family quarters, El Prado, Balboa. Unknown building, recently completed? Note three (3) young girls in front of stairs.",Public,Image
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0028,"EEUU Estación naval de radio, Summit. Texto en el verso de la fotografía: ""1914""",https://api.dc.library.northwestern.edu/api/v2/works/970d05a2-c0dc-4177-b5dc-1656e689efe0,Work,ark:/81985/n2s758j7p,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/970d05a2-c0dc-4177-b5dc-1656e689efe0,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-16T12:19:06.973961Z,,,,1904? to 1914|1914?,,Panama_0028a.tif|Panama_0028b.tif,,,black-and-white photographs,970d05a2-c0dc-4177-b5dc-1656e689efe0,,https://api.dc.library.northwestern.edu/api/v2/works/970d05a2-c0dc-4177-b5dc-1656e689efe0?as=iiif,2023-02-20T16:23:27.881995,None,None,,,,Transportation Library,None,,2021-12-15T17:47:44.811518Z,"{'note': 'Small tear, right, bottom corner of photograph', 'type': 'General Note'}",1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/5d617754-2c76-4402-a9ad-c8744bf87308,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Canals, Interoceanic--Design and construction|Panama Railroad Co.|Railroads",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/970d05a2-c0dc-4177-b5dc-1656e689efe0/thumbnail,"U.S. Naval Radio Station, Summit. Text on verso of photograph: ""1914""",Public,Image
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0052,Hotel Tivoli. Ciudad de Panamá y bahía en el fondo. Foto tomada desde Quarry Heights?,https://api.dc.library.northwestern.edu/api/v2/works/2759f201-82a2-4fac-a57a-a9eae18f6910,Work,ark:/81985/n22j6b40q,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/2759f201-82a2-4fac-a57a-a9eae18f6910,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-15T17:59:49.829711Z,,,,1904? to 1914,,Panama_0052a.tif|Panama_0052b.tif,,,black-and-white photographs,2759f201-82a2-4fac-a57a-a9eae18f6910,,https://api.dc.library.northwestern.edu/api/v2/works/2759f201-82a2-4fac-a57a-a9eae18f6910?as=iiif,2023-02-20T16:23:27.888336,None,None,,,,Transportation Library,None,,2021-09-28T22:10:54.943632Z,,1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/ed2ed03b-cefe-470c-a675-ecba1430533b,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Canals, Interoceanic--Design and construction|Panama Railroad Co.|Railroads",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/2759f201-82a2-4fac-a57a-a9eae18f6910/thumbnail,Tivoli Hotel. Panama city and bay in background. Photograph taken from Quarry Heights?,Public,Image
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0024,"Tren transportando a trabajadores del ""Silver Roll"" al trabajo. Miraflores, ca.1913.",https://api.dc.library.northwestern.edu/api/v2/works/90c3fa52-ffd6-4e5f-bd7f-3c23b2091533,Work,ark:/81985/n2dz0517n,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/90c3fa52-ffd6-4e5f-bd7f-3c23b2091533,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-16T06:14:24.587594Z,,,,1904? to 1914|circa 1913,,Panama_0024a.tif|Panama_0024b.tif,,,black-and-white photographs,90c3fa52-ffd6-4e5f-bd7f-3c23b2091533,,https://api.dc.library.northwestern.edu/api/v2/works/90c3fa52-ffd6-4e5f-bd7f-3c23b2091533?as=iiif,2023-02-20T16:23:28.641664,None,None,,,,Transportation Library,None,,2021-09-28T22:10:55.105523Z,,1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/9233bd8b-6196-4bfb-9de5-a292edefa2fa,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Canals, Interoceanic--Design and construction|Panama Railroad Co.|Railroads",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/90c3fa52-ffd6-4e5f-bd7f-3c23b2091533/thumbnail,"Train unloading Silver Roll employees going to work. Miraflores, ca. 1913.",Public,Image
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0053,Estación de policía de Gorgona.,https://api.dc.library.northwestern.edu/api/v2/works/0e01e926-879a-457e-8bc7-2414e9d2861d,Work,ark:/81985/n2xs5mg7p,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/0e01e926-879a-457e-8bc7-2414e9d2861d,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-15T16:22:55.423190Z,,,,1904? to 1914,,Panama_0053a.tif|Panama_0053b.tif,,,black-and-white photographs,0e01e926-879a-457e-8bc7-2414e9d2861d,,https://api.dc.library.northwestern.edu/api/v2/works/0e01e926-879a-457e-8bc7-2414e9d2861d?as=iiif,2023-02-20T16:30:23.752522,None,None,,,,Transportation Library,None,,2021-09-28T22:10:55.495415Z,,1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/f6cbd251-47bd-4ed9-b1cf-fca1270b5e56,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Canals, Interoceanic--Design and construction|Panama Railroad Co.|Railroads",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0e01e926-879a-457e-8bc7-2414e9d2861d/thumbnail,Gorgona Police Station.,Public,Image
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0004,Inundando una recamara de las esclusa. Esclusas de Pedro Miguel?,https://api.dc.library.northwestern.edu/api/v2/works/32b633b6-7005-4a09-8b88-d1212fca0847,Work,ark:/81985/n20z72w5k,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/32b633b6-7005-4a09-8b88-d1212fca0847,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-15T18:48:31.193900Z,,,,1904? to 1914,,Panama_0004a.tif|Panama_0004b.tif,,,black-and-white photographs,32b633b6-7005-4a09-8b88-d1212fca0847,,https://api.dc.library.northwestern.edu/api/v2/works/32b633b6-7005-4a09-8b88-d1212fca0847?as=iiif,2023-02-20T16:36:45.911418,None,None,,,,Transportation Library,None,,2021-09-28T22:10:54.943632Z,,1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/c4ef165c-8d71-4e01-bf55-7ab56cd83a48,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Railroads|Panama Railroad Co.|Canals, Interoceanic--Design and construction",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/32b633b6-7005-4a09-8b88-d1212fca0847/thumbnail,Flooding of lock chamber. Pedro Miguel locks?,Public,Image
"A collection of 74 original photographs from the Panama Canal Zone, taken between approximately 1904 and 1914. 37 photographs depict the construction of the Panama Canal, 13 photographs depict the construction of the Panama Railroad, and 24 photographs depict other views of the Canal Zone.",Panama_0065,Ubicación desconocida. (Lago Gatún?),https://api.dc.library.northwestern.edu/api/v2/works/549a89a2-7a65-4055-a3b1-66761a52d8c8,Work,ark:/81985/n2cv4dr2q,b6670af4-8368-4286-b241-3f68501af962,,,https://dc.library.northwestern.edu/items/549a89a2-7a65-4055-a3b1-66761a52d8c8,,9980663394202441,The Panama Canal Construction Photograph Collection,,2021-03-15T21:45:16.516641Z,,,,1904? to 1914,,Panama_0065a.tif|Panama_0065b.tif,,,black-and-white photographs,549a89a2-7a65-4055-a3b1-66761a52d8c8,,https://api.dc.library.northwestern.edu/api/v2/works/549a89a2-7a65-4055-a3b1-66761a52d8c8?as=iiif,2023-02-20T16:41:18.543275,None,None,,,,Transportation Library,None,,2021-09-28T22:10:54.943632Z,,1 black-and-white photograph,8 cm (height) x 14 cm (width),Level 1,"{'cycle': '2019', 'desc': ""Rare photos of the construction of the Panama Canal. These were taken from a worker's perspective. These are extremely rare photos that would give researcher's a new perspective."", 'manager': 'Nicole Finzer', 'name': 'Photographs of the construction of Panama Canal', 'proposer': 'Roberto Sarmiento', 'task_number': 'P0311'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/341a2cf7-3100-4d3c-8026-2b1f6a4db504,,No Copyright - United States,,,"Photographs showing the construction of the Panama Canal, the construction of the Panama Canal Railroad, and views of the Canal Zone.",Done,,"Panama--Panama Canal|Canal Zone|Railroads|Panama Railroad Co.|Canals, Interoceanic--Design and construction",,,"The images on this web site, from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/549a89a2-7a65-4055-a3b1-66761a52d8c8/thumbnail,Unknown location. (Gatun Lake?),Public,Image
