abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:315004,,https://api.dc.library.northwestern.edu/api/v2/works/04b76de4-96fd-41e3-9473-e4d1b7d8cc7a,Work,ark:/81985/n2902040q,32f0b44a-c982-4aa1-9fd7-c1851b2a8c72|b13eef2e-5aa6-49cf-8844-9adae0731e6b,,,https://dc.library.northwestern.edu/items/04b76de4-96fd-41e3-9473-e4d1b7d8cc7a,,9961828404202441,Typography and Graphic Art,,2021-03-15T15:48:26.751836Z,,,,1890 to 1899,"Thirteen mounted watercolors of mostly saltwater fish from the Pacific region, each on a black background.",inu-dil-e000d3c7-1484-4584-bfed-f24941c2ea12.tif,,,,04b76de4-96fd-41e3-9473-e4d1b7d8cc7a,,https://api.dc.library.northwestern.edu/api/v2/works/04b76de4-96fd-41e3-9473-e4d1b7d8cc7a?as=iiif,2023-02-20T16:05:31.165196,None,None,,,inu:dil-e000d3c7-1484-4584-bfed-f24941c2ea12,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:01:02.295805Z,,"watercolor, ink",27 x 35 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11507'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/3d1c567b-df07-4384-af07-144efab92bbb,,Copyright Undetermined,,,"Album. S.I. : s.n., 189-?]. L Beck A345",Done,,Marine fishes--Pacific area--Pictorial works|NUL Items for Review|Watercolor painting--Specimens,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/04b76de4-96fd-41e3-9473-e4d1b7d8cc7a/thumbnail,Album. Gizzard Shad,Public,Image
,Voyager:314995,,https://api.dc.library.northwestern.edu/api/v2/works/b1dbf6e5-75d7-4cc8-aae8-d7a830b5bc8e,Work,ark:/81985/n2jh3dq6x,32f0b44a-c982-4aa1-9fd7-c1851b2a8c72|b13eef2e-5aa6-49cf-8844-9adae0731e6b,,,https://dc.library.northwestern.edu/items/b1dbf6e5-75d7-4cc8-aae8-d7a830b5bc8e,,9961828404202441,Typography and Graphic Art,,2021-03-16T14:24:19.850109Z,,,,1890 to 1899,"Thirteen mounted watercolors of mostly saltwater fish from the Pacific region, each on a black background.",inu-dil-b34aae95-9413-4812-8abe-20f72faa71ca.tif,,,,b1dbf6e5-75d7-4cc8-aae8-d7a830b5bc8e,,https://api.dc.library.northwestern.edu/api/v2/works/b1dbf6e5-75d7-4cc8-aae8-d7a830b5bc8e?as=iiif,2023-02-20T16:13:11.382351,None,None,,,inu:dil-b34aae95-9413-4812-8abe-20f72faa71ca,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:01:02.074506Z,,"watercolor, ink",27 x 35 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11507'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/f2242767-8946-41fc-ac88-82fc714cabac,,Copyright Undetermined,,,"Album. S.I. : s.n., 189-?]. L Beck A345",Done,,Pterois miles|Marine fishes--Pacific area--Pictorial works|NUL Items for Review|Watercolor painting--Specimens,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b1dbf6e5-75d7-4cc8-aae8-d7a830b5bc8e/thumbnail,Album. Lionfish,Public,Image
,Voyager:314993,,https://api.dc.library.northwestern.edu/api/v2/works/8b172b73-b383-49b1-9fb8-552d016be996,Work,ark:/81985/n22j68s4b,32f0b44a-c982-4aa1-9fd7-c1851b2a8c72|b13eef2e-5aa6-49cf-8844-9adae0731e6b,,,https://dc.library.northwestern.edu/items/8b172b73-b383-49b1-9fb8-552d016be996,,9961828404202441,Typography and Graphic Art,,2021-03-16T05:48:03.289252Z,,,,1890 to 1899,"Thirteen mounted watercolors of mostly saltwater fish from the Pacific region, each on a black background.",inu-dil-590eb7c6-7602-4b5f-9dbb-80b0d02a28e5.tif,,,,8b172b73-b383-49b1-9fb8-552d016be996,,https://api.dc.library.northwestern.edu/api/v2/works/8b172b73-b383-49b1-9fb8-552d016be996?as=iiif,2023-02-20T16:25:24.469638,None,None,,,inu:dil-590eb7c6-7602-4b5f-9dbb-80b0d02a28e5,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:01:02.074506Z,,"watercolor, ink",27 x 35 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11507'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/e79d8131-4458-406d-bc01-da5713f0d049,,Copyright Undetermined,,,"Album. S.I. : s.n., 189-?]. L Beck A345",Done,,Marine fishes--Pacific area--Pictorial works|NUL Items for Review|Watercolor painting--Specimens|Parupeneus,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8b172b73-b383-49b1-9fb8-552d016be996/thumbnail,Album. Goatfish,Public,Image
,Voyager:314999,,https://api.dc.library.northwestern.edu/api/v2/works/77573f45-ce53-4077-ba85-081ad0569a72,Work,ark:/81985/n2xs5k50v,32f0b44a-c982-4aa1-9fd7-c1851b2a8c72|b13eef2e-5aa6-49cf-8844-9adae0731e6b,,,https://dc.library.northwestern.edu/items/77573f45-ce53-4077-ba85-081ad0569a72,,9961828404202441,Typography and Graphic Art,,2021-03-16T04:19:50.412319Z,,,,1890 to 1899,"Thirteen mounted watercolors of mostly saltwater fish from the Pacific region, each on a black background.",inu-dil-5c3167ff-6c5b-445b-bcc6-6154b189b6c7.tif,,,,77573f45-ce53-4077-ba85-081ad0569a72,,https://api.dc.library.northwestern.edu/api/v2/works/77573f45-ce53-4077-ba85-081ad0569a72?as=iiif,2023-02-20T16:05:34.225559,None,None,,,inu:dil-5c3167ff-6c5b-445b-bcc6-6154b189b6c7,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:01:02.074506Z,,"watercolor, ink",27 x 35 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11507'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/a8319742-4247-41b3-b748-2d2b9f459731,,Copyright Undetermined,,,"Album. S.I. : s.n., 189-?]. L Beck A345",Done,,Marine fishes--Pacific area--Pictorial works|NUL Items for Review|Watercolor painting--Specimens|Amphiprion,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/77573f45-ce53-4077-ba85-081ad0569a72/thumbnail,Album. Clownfish (specifically a Tomato Clownfish),Public,Image
,Accession:j0028,,https://api.dc.library.northwestern.edu/api/v2/works/d9a27de6-37a5-4e86-8a8f-23068fff352c,Work,ark:/81985/n2bz61x0x,1d71e279-6c28-4e67-8298-5dd092dbe3bc|24261362-16f9-454a-a4b6-d81cf1bc6db1|a5c81aa8-791e-49bf-817f-655aa054b3a4,,,https://dc.library.northwestern.edu/items/d9a27de6-37a5-4e86-8a8f-23068fff352c,,9960189634202441,Typography and Graphic Art,"Beck, Bruce|Beck, Pamela Geary",2021-03-16T19:25:46.163277Z,,,,1986,This is the freestanding print created from woodblock used to make this and the other 200 some copies of the print. The book is signed and numbered by the artist and the block has been cancelled and given to Northwestern University Special Collections.,inu-dil-f8504613-fa4e-4c42-b3ad-14181036a20f.tif,,,prints (visual works),d9a27de6-37a5-4e86-8a8f-23068fff352c,,https://api.dc.library.northwestern.edu/api/v2/works/d9a27de6-37a5-4e86-8a8f-23068fff352c?as=iiif,2023-02-20T16:16:35.373724,None,None,,,inu:dil-f8504613-fa4e-4c42-b3ad-14181036a20f,Charles Deering McCormick Library of Special Collections,None,,2022-03-14T21:12:39.352597Z,,1 print,41 cm x 62 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:J0028'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/ec4346b2-eef4-42b3-a989-eb4e0a4aa71c,,In Copyright,,,"Beck, Bruce., Beck, Pamela Geary, Turtle Press, Charles Deering McCormick Library of Special Collections, and Northwestern University . Library. Deering Library (1986). Print.",Done,,"Northwestern University (Evanston, Ill.). Library|Charles Deering McCormick Library of Special Collections",,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d9a27de6-37a5-4e86-8a8f-23068fff352c/thumbnail,Deering Library,Institution,Image
,9935213954202441,Bibliothèque du peintre en bâtiment,https://api.dc.library.northwestern.edu/api/v2/works/8c752b87-b889-4d4a-8eba-1f6be063865a,Work,ark:/81985/n2zw1bt9n,5f2d4321-8413-4477-ad7f-7a673c00dbd7|6a19ffce-75c7-4760-bea1-7196e8488a15,,,https://dc.library.northwestern.edu/items/8c752b87-b889-4d4a-8eba-1f6be063865a,,9935213954202441,Typography and Graphic Art,"Léculier, Georges",2021-04-06T14:45:05.742260Z,,,,1920 to 1939,,"front cover, recto|front cover, verso|title page|plate 1|plate 2|plate 3|plate 4|plate 5|plate 6|plate 7|plate 8|plate 9|plate 10|plate 11|plate 12|plate 13|plate 14|plate 15|plate 16|plate 17|plate 18|plate 19|plate 20|plate 21|plate 22|plate 23|plate 24|back cover, recto|back cover, verso",,,,8c752b87-b889-4d4a-8eba-1f6be063865a,,https://api.dc.library.northwestern.edu/api/v2/works/8c752b87-b889-4d4a-8eba-1f6be063865a?as=iiif,2023-02-20T16:20:24.574410,J0363-modeles-de-lettres-modernes,J0363-modeles.csv,,French,,Charles Deering McCormick Library of Special Collections,None,,2021-09-22T19:23:44.892228Z,,1 portfolio (24 leaves of plates : all colored illustrations),45 cm,Level 1,"{'cycle': '2020', 'desc': 'Georges Léculier, Modeles de lettres modernes. French publication. No death date for author in Authority record. Rights Undetermined.', 'manager': 'Dan Zellner', 'name': 'Modeles de lettres modernes - Plates', 'proposer': 'Dana Lamparello', 'task_number': 'J0363'}",,True,Dourdan S.O. : E. Thézard,,,https://iiif.dc.library.northwestern.edu/iiif/2/e1d3c705-d36e-4023-aa3b-3f3a938e9d59,,No Copyright - United States,,,,Done,,Lettering,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, and are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8c752b87-b889-4d4a-8eba-1f6be063865a/thumbnail,Modeles de lettres modernes par Georges Léculier,Institution,Image
,Voyager:314997,,https://api.dc.library.northwestern.edu/api/v2/works/ff252a10-677d-4604-9d72-4a1cb863f5cc,Work,ark:/81985/n2fq9qt3z,32f0b44a-c982-4aa1-9fd7-c1851b2a8c72|b13eef2e-5aa6-49cf-8844-9adae0731e6b,,,https://dc.library.northwestern.edu/items/ff252a10-677d-4604-9d72-4a1cb863f5cc,,9961828404202441,Typography and Graphic Art,,2021-03-16T23:06:37.953565Z,,,,1890 to 1899,"Thirteen mounted watercolors of mostly saltwater fish from the Pacific region, each on a black background.",inu-dil-4e90b7f8-380b-45ae-80c9-d9c07c05429b.tif,,,,ff252a10-677d-4604-9d72-4a1cb863f5cc,,https://api.dc.library.northwestern.edu/api/v2/works/ff252a10-677d-4604-9d72-4a1cb863f5cc?as=iiif,2023-02-20T16:23:00.823786,None,None,,,inu:dil-4e90b7f8-380b-45ae-80c9-d9c07c05429b,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:01:02.295805Z,,"watercolor, ink",27 x 35 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11507'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/4a861fd3-9d98-4400-ad12-4ecb7ae377e0,,Copyright Undetermined,,,"Album. S.I. : s.n., 189-?]. L Beck A345",Done,,Marine fishes--Pacific area--Pictorial works|NUL Items for Review|Watercolor painting--Specimens|Amphiprion,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/ff252a10-677d-4604-9d72-4a1cb863f5cc/thumbnail,Album. Clownfish (Saddleback Clownfish),Public,Image
,Voyager:315005,,https://api.dc.library.northwestern.edu/api/v2/works/c5bd184f-670e-46c8-9aae-c636d8a24a5f,Work,ark:/81985/n2p844j0p,32f0b44a-c982-4aa1-9fd7-c1851b2a8c72|b13eef2e-5aa6-49cf-8844-9adae0731e6b,,,https://dc.library.northwestern.edu/items/c5bd184f-670e-46c8-9aae-c636d8a24a5f,,9961828404202441,Typography and Graphic Art,,2021-03-16T16:16:48.850779Z,,,,1890 to 1899,"Thirteen mounted watercolors of mostly saltwater fish from the Pacific region, each on a black background.",inu-dil-aac82fe8-4d8d-4d86-ba69-738c42c581dd.tif,,,,c5bd184f-670e-46c8-9aae-c636d8a24a5f,,https://api.dc.library.northwestern.edu/api/v2/works/c5bd184f-670e-46c8-9aae-c636d8a24a5f?as=iiif,2023-02-20T16:25:24.472268,None,None,,,inu:dil-aac82fe8-4d8d-4d86-ba69-738c42c581dd,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:01:02.295805Z,,"watercolor, ink",27 x 35 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11507'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/722f19e0-2120-4593-9b6c-d3e11b4221c2,,Copyright Undetermined,,,"Album. S.I. : s.n., 189-?]. L Beck A345",Done,,Marine fishes--Pacific area--Pictorial works|NUL Items for Review|Watercolor painting--Specimens,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c5bd184f-670e-46c8-9aae-c636d8a24a5f/thumbnail,Album. Back cover,Public,Image
,Accession:314631,,https://api.dc.library.northwestern.edu/api/v2/works/ad3b03bc-ff4b-4809-8a9a-06f849da8275,Work,ark:/81985/n2zs2m203,1d71e279-6c28-4e67-8298-5dd092dbe3bc|6a19ffce-75c7-4760-bea1-7196e8488a15|b13eef2e-5aa6-49cf-8844-9adae0731e6b,,,https://dc.library.northwestern.edu/items/ad3b03bc-ff4b-4809-8a9a-06f849da8275,,9918863034202441,Typography and Graphic Art,"Audubon, John James, 1785-1851|Havell, Robert, 1793-1878",2021-03-16T14:00:09.234570Z,,,,1834,Rallus Carolinus ; 1. Male 2. Female 3. Young,inu-dil-6d735e68-134c-4e0d-ae2d-37ef8e60cd86.tif,,,restrikes,ad3b03bc-ff4b-4809-8a9a-06f849da8275,,https://api.dc.library.northwestern.edu/api/v2/works/ad3b03bc-ff4b-4809-8a9a-06f849da8275?as=iiif,2023-02-20T16:12:50.351805,None,None,,,inu:dil-6d735e68-134c-4e0d-ae2d-37ef8e60cd86,Charles Deering McCormick Library of Special Collections,None,,2022-03-14T21:12:39.352597Z,,,100 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11474'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/e186afb5-77da-4bc8-8ef2-46e9c599d06e,,No Copyright - United States,,,"John James Audubon, Birds of America, Vols. I-IV, London (1827-1838), plate CCXXXIII",Done,,Birds|Ornithological illustration,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/ad3b03bc-ff4b-4809-8a9a-06f849da8275/thumbnail,Sora or Rail.,Public,Image
,Voyager:314994,,https://api.dc.library.northwestern.edu/api/v2/works/0ad55daa-a35c-4d7f-93f0-1ec66d53f430,Work,ark:/81985/n29z91090,32f0b44a-c982-4aa1-9fd7-c1851b2a8c72|b13eef2e-5aa6-49cf-8844-9adae0731e6b,,,https://dc.library.northwestern.edu/items/0ad55daa-a35c-4d7f-93f0-1ec66d53f430,,9961828404202441,Typography and Graphic Art,,2021-03-15T16:10:57.361430Z,,,,1890 to 1899,"Thirteen mounted watercolors of mostly saltwater fish from the Pacific region, each on a black background.",inu-dil-5096eb29-2764-4680-99fc-293de4034cde.tif,,,,0ad55daa-a35c-4d7f-93f0-1ec66d53f430,,https://api.dc.library.northwestern.edu/api/v2/works/0ad55daa-a35c-4d7f-93f0-1ec66d53f430?as=iiif,2023-02-20T16:23:00.783769,None,None,,,inu:dil-5096eb29-2764-4680-99fc-293de4034cde,Charles Deering McCormick Library of Special Collections,None,,2021-07-27T16:01:02.074506Z,,"watercolor, ink",27 x 35 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11507'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9f492291-3c54-4e22-875f-1dbdc38b8186,,Copyright Undetermined,,,"Album. S.I. : s.n., 189-?]. L Beck A345",Done,,Carangidae|Marine fishes--Pacific area--Pictorial works|NUL Items for Review|Watercolor painting--Specimens,,,"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0ad55daa-a35c-4d7f-93f0-1ec66d53f430/thumbnail,Album. Carp (note barbels),Public,Image
