abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:309746,Halles,https://api.dc.library.northwestern.edu/api/v2/works/93631565-3d8a-4aeb-a2ff-f4739c4e14bb,Work,ark:/81985/n28w38c7k,,,,https://dc.library.northwestern.edu/items/93631565-3d8a-4aeb-a2ff-f4739c4e14bb,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-16T06:27:07.086732Z,,,,1928?,,inu-dil-42611196-b989-4fd6-83cd-1e79a1947504.tif,,,drawings (visual works),93631565-3d8a-4aeb-a2ff-f4739c4e14bb,,https://api.dc.library.northwestern.edu/api/v2/works/93631565-3d8a-4aeb-a2ff-f4739c4e14bb?as=iiif,2023-02-20T16:10:40.985957,None,None,,French|English,inu:dil-42611196-b989-4fd6-83cd-1e79a1947504,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/36e6897b-ee4d-43e5-94d8-8785b734351d,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 8.",Done,Art Deco,City planning|Architecture--Designs and plans|Architectural drawing|Public buildings,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/93631565-3d8a-4aeb-a2ff-f4739c4e14bb/thumbnail,Market Place.,Public,Image
,Voyager:309763,,https://api.dc.library.northwestern.edu/api/v2/works/b207945c-1ff7-40b4-bced-fd5b5d2adbb8,Work,ark:/81985/n2p26qd8g,,,,https://dc.library.northwestern.edu/items/b207945c-1ff7-40b4-bced-fd5b5d2adbb8,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-16T14:25:12.360167Z,,,,1928?,,inu-dil-7854e8ca-1e74-446b-91e9-291f9ceab1ad.tif,,,drawings (visual works),b207945c-1ff7-40b4-bced-fd5b5d2adbb8,,https://api.dc.library.northwestern.edu/api/v2/works/b207945c-1ff7-40b4-bced-fd5b5d2adbb8?as=iiif,2023-02-20T16:13:12.822869,None,None,,French|English,inu:dil-7854e8ca-1e74-446b-91e9-291f9ceab1ad,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/5ad6caa0-f394-4748-be0f-57c82e2a3fd7,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 25.",Done,Art Deco,City planning|Architecture--Designs and plans|Architectural drawing|Public buildings|Schools,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/b207945c-1ff7-40b4-bced-fd5b5d2adbb8/thumbnail,Kindergarten.,Public,Image
,Cite_Modern_002,Bureau de Postes,https://api.dc.library.northwestern.edu/api/v2/works/eebdaa35-0d3c-47ff-bd13-b0ef72f6b53c,Work,ark:/81985/n24j0b769,,,,https://dc.library.northwestern.edu/items/eebdaa35-0d3c-47ff-bd13-b0ef72f6b53c,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-16T21:30:17.725783Z,,,,1928?,,Cite_Modern_002.tif,,,drawings (visual works),eebdaa35-0d3c-47ff-bd13-b0ef72f6b53c,,https://api.dc.library.northwestern.edu/api/v2/works/eebdaa35-0d3c-47ff-bd13-b0ef72f6b53c?as=iiif,2023-02-20T16:18:27.765607,None,None,,French|English,,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'J0232'}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/b7842b66-b140-484e-964e-87e8ae6eb05c,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 7",Done,Art Deco,City planning|Architecture--Designs and plans|Architectural drawing|Public buildings,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/eebdaa35-0d3c-47ff-bd13-b0ef72f6b53c/thumbnail,Post Office.,Public,Image
,Voyager:309764,Restaurant Thé,https://api.dc.library.northwestern.edu/api/v2/works/3fc10c35-b166-4a4c-99ab-98dce1243e94,Work,ark:/81985/n2736mc5n,,,,https://dc.library.northwestern.edu/items/3fc10c35-b166-4a4c-99ab-98dce1243e94,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-15T19:45:28.161595Z,,,,1928?,,inu-dil-887b188d-b9cd-43cb-bc2f-8f9829ecfa63.tif,,,drawings (visual works),3fc10c35-b166-4a4c-99ab-98dce1243e94,,https://api.dc.library.northwestern.edu/api/v2/works/3fc10c35-b166-4a4c-99ab-98dce1243e94?as=iiif,2023-02-20T16:38:34.513721,None,None,,French|English,inu:dil-887b188d-b9cd-43cb-bc2f-8f9829ecfa63,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/800b834c-f893-46ed-a870-f6d401bde365,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 26.",Done,Art Deco,City planning|Architecture--Designs and plans|Architectural drawing|Public buildings,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/3fc10c35-b166-4a4c-99ab-98dce1243e94/thumbnail,Dining and Tea Rooms.,Public,Image
,Voyager:309760,Usine Électrique,https://api.dc.library.northwestern.edu/api/v2/works/0da19128-59e3-4855-849d-5c7d407c4cc2,Work,ark:/81985/n2zk55x5d,,,,https://dc.library.northwestern.edu/items/0da19128-59e3-4855-849d-5c7d407c4cc2,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-15T16:21:25.018389Z,,,,1928?,,inu-dil-170b5ea7-8378-4cc1-82d8-5953e9a8fbcc.tif,,,drawings (visual works),0da19128-59e3-4855-849d-5c7d407c4cc2,,https://api.dc.library.northwestern.edu/api/v2/works/0da19128-59e3-4855-849d-5c7d407c4cc2?as=iiif,2023-02-20T16:43:46.804687,None,None,,French|English,inu:dil-170b5ea7-8378-4cc1-82d8-5953e9a8fbcc,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/82bcb4c5-f759-4e2c-9043-cf7d10ca8bc0,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 22.",Done,Art Deco,City planning|Architecture--Designs and plans|Architectural drawing|Public buildings,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0da19128-59e3-4855-849d-5c7d407c4cc2/thumbnail,Electrical Works.,Public,Image
,Voyager:309758,Cimetiére,https://api.dc.library.northwestern.edu/api/v2/works/70a2f0f8-5fbd-42d3-98b2-c0218717f7d4,Work,ark:/81985/n2639kg4x,,,,https://dc.library.northwestern.edu/items/70a2f0f8-5fbd-42d3-98b2-c0218717f7d4,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-16T03:50:53.622441Z,,,,1928?,,inu-dil-12e0904a-d39f-4b21-aa83-fb0b3243ec40.tif,,,drawings (visual works),70a2f0f8-5fbd-42d3-98b2-c0218717f7d4,,https://api.dc.library.northwestern.edu/api/v2/works/70a2f0f8-5fbd-42d3-98b2-c0218717f7d4?as=iiif,2023-02-20T16:08:30.106924,None,None,,French|English,inu:dil-12e0904a-d39f-4b21-aa83-fb0b3243ec40,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/090614f4-ac7e-4570-89a1-5ac630663c0f,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 20.",Done,Art Deco,City planning|Architecture--Designs and plans|Architectural drawing|Public buildings,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/70a2f0f8-5fbd-42d3-98b2-c0218717f7d4/thumbnail,Cemetery.,Public,Image
,Voyager:309765,,https://api.dc.library.northwestern.edu/api/v2/works/8b79e5a1-2148-47cd-ae08-54d4cb6ee0d0,Work,ark:/81985/n2st7f71f,,,,https://dc.library.northwestern.edu/items/8b79e5a1-2148-47cd-ae08-54d4cb6ee0d0,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-16T05:49:39.522938Z,,,,1928?,,inu-dil-053f7ac1-69f1-4bfe-b285-c966e3eb40b7.tif,,,drawings (visual works),8b79e5a1-2148-47cd-ae08-54d4cb6ee0d0,,https://api.dc.library.northwestern.edu/api/v2/works/8b79e5a1-2148-47cd-ae08-54d4cb6ee0d0?as=iiif,2023-02-20T16:09:54.671553,None,None,,French|English,inu:dil-053f7ac1-69f1-4bfe-b285-c966e3eb40b7,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/0838a251-65c3-4b92-98be-686f95992d37,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 27.",Done,Art Deco,City planning|Church architecture|Architecture--Designs and plans|Architectural drawing|Public buildings,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8b79e5a1-2148-47cd-ae08-54d4cb6ee0d0/thumbnail,Church.,Public,Image
,Cite_Modern_012,École Professionnelle,https://api.dc.library.northwestern.edu/api/v2/works/9a31369d-5ad5-4ec0-ab64-a0fef6fda897,Work,ark:/81985/n23j39b5k,,,,https://dc.library.northwestern.edu/items/9a31369d-5ad5-4ec0-ab64-a0fef6fda897,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-16T12:32:10.605675Z,,,,1928?,,Cite_Modern_012.tif,,,drawings (visual works),9a31369d-5ad5-4ec0-ab64-a0fef6fda897,,https://api.dc.library.northwestern.edu/api/v2/works/9a31369d-5ad5-4ec0-ab64-a0fef6fda897?as=iiif,2023-02-20T16:11:27.466224,None,None,,French|English,,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'J0232'}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/687cb953-3343-44fd-9cbe-fbca3ad6058a,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 31",Done,Art Deco,City planning|Architecture--Designs and plans|Architectural drawing|Public buildings,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/9a31369d-5ad5-4ec0-ab64-a0fef6fda897/thumbnail,Practical School.,Public,Image
,Voyager:309759,Palais de Justice,https://api.dc.library.northwestern.edu/api/v2/works/d4a499b2-b858-4072-b0fd-c2b9abed7d56,Work,ark:/81985/n2j960m4q,,,,https://dc.library.northwestern.edu/items/d4a499b2-b858-4072-b0fd-c2b9abed7d56,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-16T18:55:19.705624Z,,,,1928?,,inu-dil-653fd539-4d65-4fa7-a530-0a5de8a1b902.tif,,,drawings (visual works),d4a499b2-b858-4072-b0fd-c2b9abed7d56,,https://api.dc.library.northwestern.edu/api/v2/works/d4a499b2-b858-4072-b0fd-c2b9abed7d56?as=iiif,2023-02-20T16:16:11.387323,None,None,,French|English,inu:dil-653fd539-4d65-4fa7-a530-0a5de8a1b902,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/7ea9635d-0e2a-4f09-80e8-5962f5035ce6,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 21.",Done,Art Deco,City planning|Architecture--Designs and plans|Architectural drawing|Public buildings,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d4a499b2-b858-4072-b0fd-c2b9abed7d56/thumbnail,Law Courts.,Public,Image
,Cite_Modern_006,Mairie,https://api.dc.library.northwestern.edu/api/v2/works/3d841f83-ae69-45de-b39f-e10841ec89cb,Work,ark:/81985/n2r786042,,,,https://dc.library.northwestern.edu/items/3d841f83-ae69-45de-b39f-e10841ec89cb,,9932127484202441,"Une cité moderne : dessins, by Rob Mallet-Stevens","Mallet-Stevens, Robert, 1886-1945",2021-03-15T19:36:18.154921Z,,,,1928?,,Cite_Modern_006.tif,,,drawings (visual works),3d841f83-ae69-45de-b39f-e10841ec89cb,,https://api.dc.library.northwestern.edu/api/v2/works/3d841f83-ae69-45de-b39f-e10841ec89cb?as=iiif,2023-02-20T16:38:19.813027,None,None,,French|English,,Charles Deering McCormick Library of Special Collections,None,Paris,2021-06-10T16:43:09.761465Z,,,34 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'J0232'}",,True,Massin,,,https://iiif.dc.library.northwestern.edu/iiif/2/c4c1b5a6-0d44-4a65-97c4-fbbfa7e0e644,,No Copyright - United States,,,"Une cité moderne : dessins, by Rob Mallet-Stevens ; preface de Frantz Jourdain. Paris : Massin, [1928?]. Plate 17",Done,Art Deco,City planning|Architecture--Designs and plans|Architectural drawing|Public buildings,,drawing (image-making),"The images on this web site are from material in the collections of the Charles Deering McCormick Library of Special Collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/3d841f83-ae69-45de-b39f-e10841ec89cb/thumbnail,Town Hall.,Public,Image
