abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Accession:317782,,https://api.dc.library.northwestern.edu/api/v2/works/7210c489-91a5-4dee-84fb-00cf62ae7627,Work,ark:/81985/n29w0c072,,,,https://dc.library.northwestern.edu/items/7210c489-91a5-4dee-84fb-00cf62ae7627,,,University Archives Postcards,,2021-03-16T03:57:01.932290Z,,,,1932,,Recto|Verso,,,postcards,7210c489-91a5-4dee-84fb-00cf62ae7627,,https://api.dc.library.northwestern.edu/api/v2/works/7210c489-91a5-4dee-84fb-00cf62ae7627?as=iiif,2023-02-20T16:04:24.077698,None,None,,English,inu:dil-d255d9b7-8baf-44ec-80ef-5295bbb4ec03|inu:dil-d023cef3-d10a-4317-b0bd-58b577c1d99f,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11625'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/d0a11615-b788-4d45-a21b-70a3cc1a98fd,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Architecture|Northwestern University (Evanston, Ill.)|Academic libraries|Postcards",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7210c489-91a5-4dee-84fb-00cf62ae7627/thumbnail,"Charles Deering Library, Northwestern University",Public,Image
,Accession:318059,,https://api.dc.library.northwestern.edu/api/v2/works/72afcf43-3382-4d69-87c0-8441f927f048,Work,ark:/81985/n2sf2pc8t,,,,https://dc.library.northwestern.edu/items/72afcf43-3382-4d69-87c0-8441f927f048,,,University Archives Postcards,,2021-03-16T03:59:19.244998Z,,,,1890,,Recto|Verso,,,postcards,72afcf43-3382-4d69-87c0-8441f927f048,,https://api.dc.library.northwestern.edu/api/v2/works/72afcf43-3382-4d69-87c0-8441f927f048?as=iiif,2023-02-20T16:04:26.306201,None,None,,English,inu:dil-8bd45a3b-3ad0-4cec-b122-a78c732fd1db|inu:dil-595dcb10-193d-443c-adb0-365fca206a37,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11634'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/d71bf74c-a346-4936-82b2-f643886ef2c5,,In Copyright - Educational Use Permitted,,,,Done,,Illinois--Evanston|Parks|Postcards,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/72afcf43-3382-4d69-87c0-8441f927f048/thumbnail,"Lagoon - Lake Front Park, Evanston, Ill.",Public,Image
,Accession:318111,,https://api.dc.library.northwestern.edu/api/v2/works/73911dd8-cb37-452e-8e30-10d15bd2db4a,Work,ark:/81985/n2d21tk4n,,,,https://dc.library.northwestern.edu/items/73911dd8-cb37-452e-8e30-10d15bd2db4a,,,University Archives Postcards,,2021-03-16T04:03:00.198209Z,,,,1915,,Recto|Verso,,,postcards,73911dd8-cb37-452e-8e30-10d15bd2db4a,,https://api.dc.library.northwestern.edu/api/v2/works/73911dd8-cb37-452e-8e30-10d15bd2db4a?as=iiif,2023-02-20T16:04:39.026155,None,None,,English,inu:dil-dd79ecb5-ca67-4ca4-a06d-042093c7883b|inu:dil-5e912a37-513b-4ab0-8a4b-16453d73e0c3,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11680'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/48d7fc58-6da1-4985-9613-62dd5d773aac,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Northwestern University (Evanston, Ill.)|Football|Postcards|College athletes",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/73911dd8-cb37-452e-8e30-10d15bd2db4a/thumbnail,"N.W. 27 L.F. 6, Oct. 2, 1915",Public,Image
,Accession:318066,,https://api.dc.library.northwestern.edu/api/v2/works/80958bb7-fc61-4d06-8db0-9ab4ac381e54,Work,ark:/81985/n2kk96d2r,,,,https://dc.library.northwestern.edu/items/80958bb7-fc61-4d06-8db0-9ab4ac381e54,,,University Archives Postcards,,2021-03-16T05:00:44.145126Z,"Childs, Charles R.",,,1890,,Recto|Verso,,,postcards,80958bb7-fc61-4d06-8db0-9ab4ac381e54,,https://api.dc.library.northwestern.edu/api/v2/works/80958bb7-fc61-4d06-8db0-9ab4ac381e54?as=iiif,2023-02-20T16:08:42.988329,None,None,,English,inu:dil-00bf35cf-f858-42bc-8911-2d35f74274ae|inu:dil-0b388551-d2da-4f5d-b4c8-573d68c7dda8,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11636'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/bb75c995-e8ed-415d-931e-034c5c42e9c5,,In Copyright - Educational Use Permitted,,,,Done,,Illinois--Evanston|Architecture|Street photography|Postcards,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/80958bb7-fc61-4d06-8db0-9ab4ac381e54/thumbnail,"Sheridan Road N. from Emerson St., Evanston, Ill.",Public,Image
,Accession:318078,,https://api.dc.library.northwestern.edu/api/v2/works/c7900b70-3262-440f-88c3-84ebe9493806,Work,ark:/81985/n23n22f1r,,,,https://dc.library.northwestern.edu/items/c7900b70-3262-440f-88c3-84ebe9493806,,,University Archives Postcards,,2021-03-16T16:27:14.376690Z,"Childs, Charles R.",,,1890,,Recto|Verso,,,postcards,c7900b70-3262-440f-88c3-84ebe9493806,,https://api.dc.library.northwestern.edu/api/v2/works/c7900b70-3262-440f-88c3-84ebe9493806?as=iiif,2023-02-20T16:09:15.766256,None,None,,English,inu:dil-85e3de9f-8b16-4ab9-8f2b-7894d1c9c7a6|inu:dil-2a663e4b-942c-4966-bb64-d228ed836dac,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11636'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/1481fe95-5d63-4d5a-af76-40f04d93df34,,In Copyright - Educational Use Permitted,,,,Done,,Illinois--Evanston|Architecture|Street photography|Postcards,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c7900b70-3262-440f-88c3-84ebe9493806/thumbnail,"Forest Av. S. from Stockham Pl., Evanston, Ill.",Public,Image
,Accession:318148,,https://api.dc.library.northwestern.edu/api/v2/works/7bd718ce-5b97-45a6-bdc6-12d10f0b2072,Work,ark:/81985/n2b27rs1q,,,,https://dc.library.northwestern.edu/items/7bd718ce-5b97-45a6-bdc6-12d10f0b2072,,,University Archives Postcards,,2021-03-16T04:39:45.853557Z,,,,1972,,Recto|Verso,,,postcards,7bd718ce-5b97-45a6-bdc6-12d10f0b2072,,https://api.dc.library.northwestern.edu/api/v2/works/7bd718ce-5b97-45a6-bdc6-12d10f0b2072?as=iiif,2023-02-20T16:09:22.900395,None,None,,English,inu:dil-d179241c-5ce6-4fed-816b-c3785660c641|inu:dil-495ab913-ad5a-43ff-b2ce-940b796a7cfd,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11688'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9cbef597-a82d-4ac6-a962-1f00ea45d22f,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|College campuses|Architecture|Northwestern University (Evanston, Ill.)|Postcards",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7bd718ce-5b97-45a6-bdc6-12d10f0b2072/thumbnail,Norris University Center,Public,Image
,Accession:318092,,https://api.dc.library.northwestern.edu/api/v2/works/8700cad1-8e5e-4734-a86b-071cc7bf39ba,Work,ark:/81985/n2wh2gg1x,,,,https://dc.library.northwestern.edu/items/8700cad1-8e5e-4734-a86b-071cc7bf39ba,,,University Archives Postcards,,2021-03-16T05:30:29.188518Z,,,,1890,Postmark 1908,Recto|Verso,,,postcards,8700cad1-8e5e-4734-a86b-071cc7bf39ba,,https://api.dc.library.northwestern.edu/api/v2/works/8700cad1-8e5e-4734-a86b-071cc7bf39ba?as=iiif,2023-02-20T16:10:05.964041,None,None,,English,inu:dil-20f10146-0cf9-46c0-9ac7-60a69ff4beb8|inu:dil-55719109-a9a0-4069-b2ef-857f8623c831,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11637'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/f661aea6-2d6e-4d30-8dc1-45ebc184d99a,,In Copyright - Educational Use Permitted,,,,Done,,Illinois--Evanston|Street photography|Postcards|Department stores,,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8700cad1-8e5e-4734-a86b-071cc7bf39ba/thumbnail,Rosenberg's Department Store,Public,Image
,Accession:317854,,https://api.dc.library.northwestern.edu/api/v2/works/894168f7-63b2-4b8c-8f13-65acd036518b,Work,ark:/81985/n29w0c08j,,,,https://dc.library.northwestern.edu/items/894168f7-63b2-4b8c-8f13-65acd036518b,,,University Archives Postcards,,2021-03-16T05:40:08.129931Z,,,,1942,,inu-dil-3c26b4cc-141e-4ae8-b15c-787c8d0beaf0.tif,,,postcards,894168f7-63b2-4b8c-8f13-65acd036518b,,https://api.dc.library.northwestern.edu/api/v2/works/894168f7-63b2-4b8c-8f13-65acd036518b?as=iiif,2023-02-20T16:10:15.628250,None,None,,English,inu:dil-3c26b4cc-141e-4ae8-b15c-787c8d0beaf0,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11638'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/d03b89d5-97ca-4048-a22c-6b32ee9255b0,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|Postcards|Architecture|Northwestern University (Evanston, Ill.)|College campuses",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/894168f7-63b2-4b8c-8f13-65acd036518b/thumbnail,Lutkin Hall,Public,Image
,Accession:317897,,https://api.dc.library.northwestern.edu/api/v2/works/8fff3b49-4ec9-4629-8ee5-a5b23a17509f,Work,ark:/81985/n2xp6x40w,,,,https://dc.library.northwestern.edu/items/8fff3b49-4ec9-4629-8ee5-a5b23a17509f,,,University Archives Postcards,,2021-03-16T06:10:54.167593Z,,,,1907,,Recto|Verso,,,postcards,8fff3b49-4ec9-4629-8ee5-a5b23a17509f,,https://api.dc.library.northwestern.edu/api/v2/works/8fff3b49-4ec9-4629-8ee5-a5b23a17509f?as=iiif,2023-02-20T16:10:41.238054,None,None,,English,inu:dil-31387a98-8cc8-4c1a-9db2-68c2321d4edc|inu:dil-c9c19907-d9e1-43f9-8e23-7dcf90acc44e,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11643'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/9e8e2ba5-7fb1-45ad-be29-f38f234768d2,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|College campuses|Northwestern University (Evanston, Ill.)|Aerial photography|Postcards",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/8fff3b49-4ec9-4629-8ee5-a5b23a17509f/thumbnail,Northwestern University,Public,Image
,Accession:317933,,https://api.dc.library.northwestern.edu/api/v2/works/96b89c66-a9ef-4e3a-8672-584b7110feab,Work,ark:/81985/n2bz6389k,,,,https://dc.library.northwestern.edu/items/96b89c66-a9ef-4e3a-8672-584b7110feab,,,University Archives Postcards,,2021-03-16T12:17:48.570378Z,,,,1890,,Recto|Verso,,,postcards,96b89c66-a9ef-4e3a-8672-584b7110feab,,https://api.dc.library.northwestern.edu/api/v2/works/96b89c66-a9ef-4e3a-8672-584b7110feab?as=iiif,2023-02-20T16:11:01.385302,None,None,,English,inu:dil-de6e7973-c05c-4425-9d5d-1ed3c10dc920|inu:dil-4419a50e-3ab0-4f63-bc05-4d01171c41c2,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11649'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/c240f728-c43c-4d91-ad31-79fa719f83cd,,In Copyright - Educational Use Permitted,,,,Done,,"Illinois--Evanston|College campuses|Greek letter societies|Northwestern University (Evanston, Ill.)|Postcards",,,"The images on this web site are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/96b89c66-a9ef-4e3a-8672-584b7110feab/thumbnail,"""Phi Kappa Sigma"" House",Public,Image
