abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:314407,,https://api.dc.library.northwestern.edu/api/v2/works/d18e8c97-9443-4fe9-8d4a-615ff0ad572f,Work,ark:/81985/n2348h87w,,,,https://dc.library.northwestern.edu/items/d18e8c97-9443-4fe9-8d4a-615ff0ad572f,,,University Theatre Production Photographs,,2021-03-16T17:26:30.904768Z,"Brecht, Bertolt. 1898-1956",,,1928 to 1991,,inu-dil-0d7c9025-f18f-49d1-9d56-855b5796120d.tif,,,,d18e8c97-9443-4fe9-8d4a-615ff0ad572f,,https://api.dc.library.northwestern.edu/api/v2/works/d18e8c97-9443-4fe9-8d4a-615ff0ad572f?as=iiif,2023-02-20T16:15:51.458465,None,None,,,inu:dil-0d7c9025-f18f-49d1-9d56-855b5796120d,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/2061fb42-ee3e-4ca0-9a46-99daa3522c5f,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d18e8c97-9443-4fe9-8d4a-615ff0ad572f/thumbnail,Man equals man. Production photo,Institution,Image
,Voyager:314439,,https://api.dc.library.northwestern.edu/api/v2/works/e9440b18-a5fa-484e-8092-48f344ee913c,Work,ark:/81985/n2df6kw6f,,,,https://dc.library.northwestern.edu/items/e9440b18-a5fa-484e-8092-48f344ee913c,,,University Theatre Production Photographs,,2021-03-16T20:58:10.563754Z,"Ostrovsky, Aleksandr Nikolaevich. 1823-1886",,,1928 to 1991,,inu-dil-3ec25bcf-0d20-453d-9529-367f2470fdee.tif,,,,e9440b18-a5fa-484e-8092-48f344ee913c,,https://api.dc.library.northwestern.edu/api/v2/works/e9440b18-a5fa-484e-8092-48f344ee913c?as=iiif,2023-02-20T16:18:05.102298,None,None,,,inu:dil-3ec25bcf-0d20-453d-9529-367f2470fdee,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/7fefe2d1-f694-4304-8451-e84e5047506f,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e9440b18-a5fa-484e-8092-48f344ee913c/thumbnail,The Forest. Production photo,Institution,Image
,Voyager:314401,,https://api.dc.library.northwestern.edu/api/v2/works/edb0476b-891a-4bd9-9162-75b3b6e812b5,Work,ark:/81985/n2vm43q6d,,,,https://dc.library.northwestern.edu/items/edb0476b-891a-4bd9-9162-75b3b6e812b5,,,University Theatre Production Photographs,,2021-03-16T21:24:40.690538Z,"Brecht, Bertolt. 1898-1956",,,1928 to 1991,,inu-dil-1d1436ed-d3b9-46a2-8072-48983bc69a02.tif,,,,edb0476b-891a-4bd9-9162-75b3b6e812b5,,https://api.dc.library.northwestern.edu/api/v2/works/edb0476b-891a-4bd9-9162-75b3b6e812b5?as=iiif,2023-02-20T16:18:21.463354,None,None,,,inu:dil-1d1436ed-d3b9-46a2-8072-48983bc69a02,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/21f85a1f-a708-4b8b-a21a-1f5a612dd4e7,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/edb0476b-891a-4bd9-9162-75b3b6e812b5/thumbnail,Man equals man. Production photo,Institution,Image
,Voyager:314442,,https://api.dc.library.northwestern.edu/api/v2/works/f16d3b1d-5c3a-4401-81f1-b6019e1c7eee,Work,ark:/81985/n2pr7nm8m,,,,https://dc.library.northwestern.edu/items/f16d3b1d-5c3a-4401-81f1-b6019e1c7eee,,,University Theatre Production Photographs,,2021-03-16T21:46:02.655814Z,"Ostrovsky, Aleksandr Nikolaevich. 1823-1886",,,1928 to 1991,,inu-dil-93d02e88-cb65-4ea9-b683-7c641cfca4a8.tif,,,,f16d3b1d-5c3a-4401-81f1-b6019e1c7eee,,https://api.dc.library.northwestern.edu/api/v2/works/f16d3b1d-5c3a-4401-81f1-b6019e1c7eee?as=iiif,2023-02-20T16:18:38.977115,None,None,,,inu:dil-93d02e88-cb65-4ea9-b683-7c641cfca4a8,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/fc0ea082-0022-460d-922a-4f6804fecf2a,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f16d3b1d-5c3a-4401-81f1-b6019e1c7eee/thumbnail,The Forest. Production photo,Institution,Image
,Voyager:314445,,https://api.dc.library.northwestern.edu/api/v2/works/f5e09511-409b-4582-8281-0020a0cd7165,Work,ark:/81985/n23t9f068,,,,https://dc.library.northwestern.edu/items/f5e09511-409b-4582-8281-0020a0cd7165,,,University Theatre Production Photographs,,2021-03-16T22:12:23.229133Z,"Ostrovsky, Aleksandr Nikolaevich. 1823-1886",,,1928 to 1991,,inu-dil-e33caf10-f4bf-4dab-a50d-56201058a80a.tif,,,,f5e09511-409b-4582-8281-0020a0cd7165,,https://api.dc.library.northwestern.edu/api/v2/works/f5e09511-409b-4582-8281-0020a0cd7165?as=iiif,2023-02-20T16:19:06.223434,None,None,,,inu:dil-e33caf10-f4bf-4dab-a50d-56201058a80a,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/2d301b62-4daf-4046-a44e-e14741cea708,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/f5e09511-409b-4582-8281-0020a0cd7165/thumbnail,The Forest. Production photo,Institution,Image
,Voyager:314394,,https://api.dc.library.northwestern.edu/api/v2/works/0ea48845-0df4-4a14-bcfc-ab2c36ab1eb8,Work,ark:/81985/n2j09wx6h,,,,https://dc.library.northwestern.edu/items/0ea48845-0df4-4a14-bcfc-ab2c36ab1eb8,,,University Theatre Production Photographs,,2021-03-15T16:25:27.767358Z,"Shakespeare, William. 1564-1616",,,1928 to 1991,,inu-dil-c682ed4f-34f6-46b5-b1b2-5d36d5769120.tif,,,,0ea48845-0df4-4a14-bcfc-ab2c36ab1eb8,,https://api.dc.library.northwestern.edu/api/v2/works/0ea48845-0df4-4a14-bcfc-ab2c36ab1eb8?as=iiif,2023-02-20T16:30:25.174782,None,None,,,inu:dil-c682ed4f-34f6-46b5-b1b2-5d36d5769120,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/ca6d863b-802a-47d6-94aa-ebb46025764d,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0ea48845-0df4-4a14-bcfc-ab2c36ab1eb8/thumbnail,Midsummer night's dream (Choreographic work). Production view,Institution,Image
,Voyager:314440,,https://api.dc.library.northwestern.edu/api/v2/works/14354fe5-55f7-4a8c-8e50-b425051abc29,Work,ark:/81985/n2125r316,,,,https://dc.library.northwestern.edu/items/14354fe5-55f7-4a8c-8e50-b425051abc29,,,University Theatre Production Photographs,,2021-03-15T16:45:31.905311Z,"Ostrovsky, Aleksandr Nikolaevich. 1823-1886",,,1928 to 1991,,inu-dil-cb6b92c1-0d37-47e7-a729-4dc2a208ed09.tif,,,,14354fe5-55f7-4a8c-8e50-b425051abc29,,https://api.dc.library.northwestern.edu/api/v2/works/14354fe5-55f7-4a8c-8e50-b425051abc29?as=iiif,2023-02-20T16:32:12.748039,None,None,,,inu:dil-cb6b92c1-0d37-47e7-a729-4dc2a208ed09,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/003319f6-01f4-4d14-ad2c-6a98f4aaea17,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/14354fe5-55f7-4a8c-8e50-b425051abc29/thumbnail,The Forest. Production photo,Institution,Image
,Voyager:314450,,https://api.dc.library.northwestern.edu/api/v2/works/221f41f3-f2c2-4c4f-8dbf-6effe5ed1c56,Work,ark:/81985/n26w9729r,,,,https://dc.library.northwestern.edu/items/221f41f3-f2c2-4c4f-8dbf-6effe5ed1c56,,,University Theatre Production Photographs,,2021-03-15T17:38:54.677769Z,"Ostrovsky, Aleksandr Nikolaevich. 1823-1886",,,1928 to 1991,,inu-dil-19d05990-d5a7-47a5-862a-1aea47302d29.tif,,,,221f41f3-f2c2-4c4f-8dbf-6effe5ed1c56,,https://api.dc.library.northwestern.edu/api/v2/works/221f41f3-f2c2-4c4f-8dbf-6effe5ed1c56?as=iiif,2023-02-20T16:35:01.187535,None,None,,,inu:dil-19d05990-d5a7-47a5-862a-1aea47302d29,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/fd04967a-fee0-4f7c-aa68-1ceaff234c94,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/221f41f3-f2c2-4c4f-8dbf-6effe5ed1c56/thumbnail,The Forest. Production photo,Institution,Image
,Voyager:314397,,https://api.dc.library.northwestern.edu/api/v2/works/27008edc-6560-482c-ab20-e2a9cac2dca9,Work,ark:/81985/n2qv3cx1s,,,,https://dc.library.northwestern.edu/items/27008edc-6560-482c-ab20-e2a9cac2dca9,,,University Theatre Production Photographs,,2021-03-15T17:58:21.501626Z,"Shakespeare, William. 1564-1616",,,1928 to 1991,,inu-dil-2e289ddf-baba-4fc5-81a9-b8ea34ffa5d8.tif,,,,27008edc-6560-482c-ab20-e2a9cac2dca9,,https://api.dc.library.northwestern.edu/api/v2/works/27008edc-6560-482c-ab20-e2a9cac2dca9?as=iiif,2023-02-20T16:35:36.269239,None,None,,,inu:dil-2e289ddf-baba-4fc5-81a9-b8ea34ffa5d8,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/c4684b74-c626-43d0-98a0-ecbbdd18b1c6,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/27008edc-6560-482c-ab20-e2a9cac2dca9/thumbnail,Midsummer night's dream (Choreographic work). Production photo,Institution,Image
,Voyager:314422,,https://api.dc.library.northwestern.edu/api/v2/works/79991dce-93c7-439b-838a-fab4587d85fd,Work,ark:/81985/n2m03zq5h,,,,https://dc.library.northwestern.edu/items/79991dce-93c7-439b-838a-fab4587d85fd,,,University Theatre Production Photographs,,2021-03-16T04:30:47.127137Z,"O'Neill, Eugene. 1888-1953",,,1928 to 1991,,inu-dil-690f838c-4224-40f3-8432-20b9dae4ebb6.tif,,,,79991dce-93c7-439b-838a-fab4587d85fd,,https://api.dc.library.northwestern.edu/api/v2/works/79991dce-93c7-439b-838a-fab4587d85fd?as=iiif,2023-02-20T16:08:55.621742,None,None,,,inu:dil-690f838c-4224-40f3-8432-20b9dae4ebb6,University Archives,None,,2021-06-10T16:43:09.761465Z,,,,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11381'}","Northwestern University (Evanston, Ill.). University Theatre",True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/23411109-2ee2-4f1e-979c-704d5e9eb9c4,,Copyright Not Evaluated,,,"University Theatre Production Photographs, 20/48, Box 20 : slide box 6.",Done,,Theater--Evanston,,,"The images on this web site, from material in the collections of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/79991dce-93c7-439b-838a-fab4587d85fd/thumbnail,"Ah, Wilderness! Production photo",Institution,Image
