abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,Voyager:inumckayic49a_b,,https://api.dc.library.northwestern.edu/api/v2/works/71ed59eb-9b0b-4047-b3d6-942ec87bbf10,Work,ark:/81985/n2348h384,55f34cb7-289a-4a6c-b789-6779e048d973,,,https://dc.library.northwestern.edu/items/71ed59eb-9b0b-4047-b3d6-942ec87bbf10,,,Vernon McKay Photographs,"McKay, Vernon",2021-03-16T03:56:25.971378Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1935 to 1977,2428 ; 49 ; IC-49---Verso,Recto|Verso,,,photographs,71ed59eb-9b0b-4047-b3d6-942ec87bbf10,8|Photograph 49,https://api.dc.library.northwestern.edu/api/v2/works/71ed59eb-9b0b-4047-b3d6-942ec87bbf10?as=iiif,2023-02-20T16:04:23.173152,None,None,,,inu:dil-c90bdb52-06fb-4719-a11f-324f9a9cf1fd|inu:dil-1d160186-36d6-4225-b9c1-086ce0d48c59,Herskovits Library of African Studies,None,Côte d'Ivoire,2021-10-26T14:26:09.119233Z,,1 photograph,17 x 23 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/4ba3d6ae-92cc-464e-8626-152eeec0f2a2,,In Copyright,,Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 8. Ivory Coast -- Series 1. Administration and Development,,Done,,Forests and forestry|Dirt roads,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/71ed59eb-9b0b-4047-b3d6-942ec87bbf10/thumbnail,Pisté cacuoyerè ó Adzafé. Cote d'Zvaire title mostly illegible,Public,Image
,Voyager:inumckaysw05a_b,,https://api.dc.library.northwestern.edu/api/v2/works/06ee02c8-62aa-4d36-bf4b-fe908486b5ef,Work,ark:/81985/n2np1x51f,55f34cb7-289a-4a6c-b789-6779e048d973,,Box 117,https://dc.library.northwestern.edu/items/06ee02c8-62aa-4d36-bf4b-fe908486b5ef,,,Vernon McKay Photographs,"McKay, Vernon",2021-03-15T15:56:34.094323Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1935 to 1977,5 ; SW-5--Verso,Recto|Verso,,13,photographs,06ee02c8-62aa-4d36-bf4b-fe908486b5ef,Box 117-F13-SW-05|8|Photograph 5,https://api.dc.library.northwestern.edu/api/v2/works/06ee02c8-62aa-4d36-bf4b-fe908486b5ef?as=iiif,2023-02-20T16:04:36.292689,None,None,,,inu:dil-f8b2a931-b547-48da-8bef-fed8e41b35f9|inu:dil-9c87d5a6-a4b1-47e9-a123-c45c1155bd4b,Herskovits Library of African Studies,None,Namibia,2021-10-26T14:26:01.464492Z,,1 photograph,9 x 14 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/308978a7-3b77-4e67-ad0b-2ad4f150f5ff,,In Copyright,,Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 20. Southwest Africa,,Done,,"Spectators|Women, Ovambo|Dancers|Headgear",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/06ee02c8-62aa-4d36-bf4b-fe908486b5ef/thumbnail,Ovambo Dance. Back illegible word a solo turn,Public,Image
,Voyager:inumckayli23,,https://api.dc.library.northwestern.edu/api/v2/works/734ede57-f9f6-4777-b53d-c325e55d4851,Work,ark:/81985/n2dj5937z,55f34cb7-289a-4a6c-b789-6779e048d973,,Box 116,https://dc.library.northwestern.edu/items/734ede57-f9f6-4777-b53d-c325e55d4851,,,Vernon McKay Photographs,"McKay, Vernon",2021-03-16T04:01:50.507930Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1935 to 1977,A42 ; 11 ; LI-23 -- Verso,inu-dil-6c3a6b5e-48fd-4b85-a4fe-f373ea456b89.tif,,10,photographs,734ede57-f9f6-4777-b53d-c325e55d4851,Box 116-F10-LI-23|Photograph 23|8,https://api.dc.library.northwestern.edu/api/v2/works/734ede57-f9f6-4777-b53d-c325e55d4851?as=iiif,2023-02-20T16:04:36.514262,None,None,,,inu:dil-6c3a6b5e-48fd-4b85-a4fe-f373ea456b89,Herskovits Library of African Studies,None,Liberia,2021-12-15T17:47:58.513431Z,"{'note': 'Title supplied by cataloger, no information provided on image to transcribe.', 'type': 'General Note'}",1 photograph,8 x 11 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/ae9c4b56-c906-44e8-aa7f-b8f52b46ba3d,,In Copyright,,Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 10. Liberia,,Done,,"Atlantic Ocean|Trees|Architecture, Domestic",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/734ede57-f9f6-4777-b53d-c325e55d4851/thumbnail,View of ocean with trees on right and building on left.,Public,Image
,Voyager:inumckaygh17,,https://api.dc.library.northwestern.edu/api/v2/works/747256c4-4718-482f-9d74-a7e85ea495a2,Work,ark:/81985/n2bk17990,55f34cb7-289a-4a6c-b789-6779e048d973,,Box 115,https://dc.library.northwestern.edu/items/747256c4-4718-482f-9d74-a7e85ea495a2,,,Vernon McKay Photographs,"McKay, Vernon",2021-03-16T04:07:29.100173Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1935 to 1977,"(4) ; D.W.4362. - One of the most important duties of a Probation Officer is to establish and maintain co-operative goodwill from the parents of his probationers. The Probation Officer stands outside the house of a boot and shoe maker whilst he discusses the progress of the man's son. ; Issued by the West African Photographic Service, Regional Information Office, Accra, Gold Coast, British West Africa.-- Recto ; West African Photographic Service of the Regional Information Office; P.O. Box 555 ; Accra Gold Coast West Africa ; Photograph No. D.W. 4362 ; Crown Copyright Reserved. ; 115.9.4 ; GH-17 -- Verso",inu-dil-b1c7f9a8-e9a6-458e-94eb-14c44b70bc96.tif,,9,photographs,747256c4-4718-482f-9d74-a7e85ea495a2,Box 115-F9-GH-17|Photograph 20|8,https://api.dc.library.northwestern.edu/api/v2/works/747256c4-4718-482f-9d74-a7e85ea495a2?as=iiif,2023-02-20T16:04:46.458246,None,None,,,inu:dil-b1c7f9a8-e9a6-458e-94eb-14c44b70bc96,Herskovits Library of African Studies,None,Ghana,2021-10-26T14:26:09.158768Z,,1 photograph,17 x 21 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/a86ed600-6c71-42c1-8321-b953c797e967,,In Copyright,,Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 7. Ghana,,Done,,Juvenile delinquency|Probation officers|Fathers,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/747256c4-4718-482f-9d74-a7e85ea495a2/thumbnail,Juvenile Delinquency in the Gold Coast,Public,Image
,Voyager:inumckayni55a_b,,https://api.dc.library.northwestern.edu/api/v2/works/0165be10-9f93-4a25-b0a4-983d15312fde,Work,ark:/81985/n2nc5t04t,55f34cb7-289a-4a6c-b789-6779e048d973,,,https://dc.library.northwestern.edu/items/0165be10-9f93-4a25-b0a4-983d15312fde,,,Vernon McKay Photographs,"McKay, Vernon",2021-03-15T15:35:47.899109Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1935 to 1977,"(23) ; D.W.4123.- ; The infected skin on a patient's back being infiltrated with Hydnocarpus oil. Note the regulation dress worn by the patient and the specially designed bench on which he stands. The bench gives maximum comfort and facilitates injection to any part of the body. ; The African nurse is standing by with sterile cotton wool pledgets to be applied after injection. ; Issued by the West African Photographic Service, Regional Information Office, Accra, Gold Coast, British West Africa.--Recto ; West African Photographic Service of the Regional Information Office; P.O. Box 555 ; Accra Gold Coast West Africa ; Photograph No. D.W. 4123 ; Crown Copyright Reserved. ; 23 ; NI-55--Verso",Recto|Verso,,,photographs,0165be10-9f93-4a25-b0a4-983d15312fde,Photograph 23|8,https://api.dc.library.northwestern.edu/api/v2/works/0165be10-9f93-4a25-b0a4-983d15312fde?as=iiif,2023-02-20T16:05:10.886186,None,None,,,inu:dil-9719c905-6728-4b9a-aed2-6e639dafed33|inu:dil-3f94119b-48a4-4cca-b7df-57be51b4fe72,Herskovits Library of African Studies,None,Nigeria,2021-10-26T14:26:06.161791Z,,1 photograph,17 x 19 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/9da267be-b5c5-4886-b5ea-0a41e4365634,,In Copyright,,Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 13. Nigeria -- Series 3. Development,,Done,,Nigeria|Medical assistants|Nurses|Chaulmugra oil|Leprosy|Patients,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0165be10-9f93-4a25-b0a4-983d15312fde/thumbnail,Development of Government Leprosy Service in Nigeria,Public,Image
,Voyager:inumckayic65a_b,,https://api.dc.library.northwestern.edu/api/v2/works/78b6652f-7c69-443c-900a-862c7a91b52a,Work,ark:/81985/n2sj1bc4d,55f34cb7-289a-4a6c-b789-6779e048d973,,,https://dc.library.northwestern.edu/items/78b6652f-7c69-443c-900a-862c7a91b52a,,,Vernon McKay Photographs,"McKay, Vernon",2021-03-16T04:26:28.910948Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1935 to 1977,2081 ; 6 ; IC-65--Verso,Recto|Verso,,,photographs,78b6652f-7c69-443c-900a-862c7a91b52a,8|Photograph 6,https://api.dc.library.northwestern.edu/api/v2/works/78b6652f-7c69-443c-900a-862c7a91b52a?as=iiif,2023-02-20T16:05:23.548959,None,None,,,inu:dil-350997af-e83f-4459-9803-a19571b2e13e|inu:dil-33eb81ca-ef0e-438f-8495-6554ddc15c02,Herskovits Library of African Studies,None,Côte d'Ivoire,2021-10-26T14:26:09.313941Z,,1 photograph,23 x 17 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/08dc2f95-050f-4934-91d4-12d96c2f2605,,In Copyright,,Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 8. Ivory Coast -- Series 2. Peoples and Masks,,Done,,Africa|Côte d'Ivoire--Korhogo|Senufo (African people)|Men|Women dancers,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/78b6652f-7c69-443c-900a-862c7a91b52a/thumbnail,Danseures Senoufa Korhogo,Public,Image
,Voyager:inumckaygh74,,https://api.dc.library.northwestern.edu/api/v2/works/0205fa15-0003-4eff-9b5b-0edf4d9d60c2,Work,ark:/81985/n2hq3sk6f,55f34cb7-289a-4a6c-b789-6779e048d973,,Box 115,https://dc.library.northwestern.edu/items/0205fa15-0003-4eff-9b5b-0edf4d9d60c2,,,Vernon McKay Photographs,"McKay, Vernon",2021-03-15T15:38:10.982542Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1935 to 1977,"(3) ; D.W.4708.- ; Weighing the milk for recording. ; Issued by the West African Photographic Service, Regional Information Office, Accra, Gold Coast, British West Africa.--Recto ; West African Photographic Service of the Regional Information Office; P.O. Box 555 ; Accra Gold Coast West Africa ; Photograph No. D.W. 4708 ; Crown Copyright Reserved. ; 115.12.3 ; GH-74 -- Verso",inu-dil-a9a0663e-7305-42b8-9d04-5feb97db8748.tif,,12,photographs,0205fa15-0003-4eff-9b5b-0edf4d9d60c2,Box 115-F12-GH-74|8|Photograph 78,https://api.dc.library.northwestern.edu/api/v2/works/0205fa15-0003-4eff-9b5b-0edf4d9d60c2?as=iiif,2023-02-20T16:05:25.949939,None,None,,,inu:dil-a9a0663e-7305-42b8-9d04-5feb97db8748,Herskovits Library of African Studies,None,Ghana,2021-10-26T14:26:06.170010Z,,1 photograph,20 x 26 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/3694b089-0afa-4bf4-a3de-701e9bc8351e,,In Copyright,,Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 7. Ghana,,Done,,Sierra Leone|Measurement|Weight (Physics)|Raw milk,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0205fa15-0003-4eff-9b5b-0edf4d9d60c2/thumbnail,Selective Cattle Breeding in Sierra Leone,Public,Image
,Voyager:inumckayni151,,https://api.dc.library.northwestern.edu/api/v2/works/e0f2b018-14e6-4ac9-a95a-219524666adf,Work,ark:/81985/n20c4t596,55f34cb7-289a-4a6c-b789-6779e048d973,,,https://dc.library.northwestern.edu/items/e0f2b018-14e6-4ac9-a95a-219524666adf,,,Vernon McKay Photographs,"McKay, Vernon",2021-03-16T20:08:06.713673Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1935 to 1977,"(6) ; D.W.4264.- ; Blood pressure recorded each visit. Medical Students know the value of this test. ; Issued by the West African Photographic Service, Regional Information Office, Accra, Gold Coast, British West Africa.--Recto ; West African Photographic Service of the Regional Information Office; P.O. Box 555 ; Accra Gold Coast West Africa ; Photograph No. D.W. 4270 ; Crown Copyright Reserved. ; 26 ; NI-151 -- Verso",inu-dil-0972bca5-d16c-418a-a95d-eb577990e472.tif,,,photographs,e0f2b018-14e6-4ac9-a95a-219524666adf,Photograph 26|8,https://api.dc.library.northwestern.edu/api/v2/works/e0f2b018-14e6-4ac9-a95a-219524666adf?as=iiif,2023-02-20T16:06:15.969765,None,None,,,inu:dil-0972bca5-d16c-418a-a95d-eb577990e472,Herskovits Library of African Studies,None,Nigeria,2021-10-26T14:26:05.889969Z,,1 photograph,17 x 21 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/3efb31b9-8a7d-4c19-b9c6-a01b25e09b35,,In Copyright,,"Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 13. Nigeria -- Series 4. Welfare, Athletics",,Done,,Nigeria|Nigeria--Lagos|Medical students|Women's hospitals|Blackboards|Nurses,,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/e0f2b018-14e6-4ac9-a95a-219524666adf/thumbnail,Massey street Maternity Hospital. Lagos. Nigeria,Public,Image
,Voyager:inumckayic82a,,https://api.dc.library.northwestern.edu/api/v2/works/0e87e220-d3f0-4ed1-9b81-1048d74ee7bf,Work,ark:/81985/n2319sq1g,55f34cb7-289a-4a6c-b789-6779e048d973,,,https://dc.library.northwestern.edu/items/0e87e220-d3f0-4ed1-9b81-1048d74ee7bf,,,Vernon McKay Photographs,"McKay, Vernon",2021-03-15T16:25:06.581107Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1935 to 1977,2070 ; 23 ; IC-82 -- Verso,inu-dil-20fb6b51-697e-46ef-907b-396ccd247232.tif,,,photographs,0e87e220-d3f0-4ed1-9b81-1048d74ee7bf,Photograph 23|8,https://api.dc.library.northwestern.edu/api/v2/works/0e87e220-d3f0-4ed1-9b81-1048d74ee7bf?as=iiif,2023-02-20T16:06:32.980146,None,None,,,inu:dil-20fb6b51-697e-46ef-907b-396ccd247232,Herskovits Library of African Studies,None,Côte d'Ivoire,2021-12-15T17:47:59.569525Z,"{'note': 'Title information supplied by cataloger.', 'type': 'General Note'}",1 photograph,23 x 17 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/862603a7-f1ae-4ba3-bcc6-c753341d1528,,In Copyright,,Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 8. Ivory Coast -- Series 2. Peoples and Masks,,Done,,"Africa|Staffs (Sticks, canes, etc.)|Necklaces|Headgear|Girls",,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0e87e220-d3f0-4ed1-9b81-1048d74ee7bf/thumbnail,African girl standing holding an object in each hand.,Public,Image
,Voyager:inumckaybc20a_b,,https://api.dc.library.northwestern.edu/api/v2/works/16aac82e-ebc8-4b36-9f1f-2408295ca820,Work,ark:/81985/n23n2119t,55f34cb7-289a-4a6c-b789-6779e048d973,,Box 115,https://dc.library.northwestern.edu/items/16aac82e-ebc8-4b36-9f1f-2408295ca820,,,Vernon McKay Photographs,"McKay, Vernon|Van den Heuvel, A.",2021-03-15T16:55:17.777879Z,,3bc48de6-a0da-4d4b-a3e8-2238c9559f33,,1947,"Les missionnaires catholiques ont créé de nombreuses congrégations indigènes qui les assistent dans leur tâche. Voici deux Soeurs indigènes de la mission de Luluabourg. ; Identification: Territoire: Luluabourg - Distric et Province: Kasai. ; N° 33.142/7 ; Photo A. Van den Heuvel. ; (Congopresse) ; Rep. libre avec ou sans mention d'origine. Tous droits réservés pour l'édition de cartes postales, gravures, etc... ; Tous droits réservés pour l'édition de cartes postales, gravures, etc... ; 115.3.20 ; BC-20--Verso",Recto|Verso,,3,photographs,16aac82e-ebc8-4b36-9f1f-2408295ca820,Box 115-F3-BC-20|8|Photograph 20,https://api.dc.library.northwestern.edu/api/v2/works/16aac82e-ebc8-4b36-9f1f-2408295ca820?as=iiif,2023-02-20T16:06:53.942680,None,None,,,inu:dil-e23a9ad7-0167-4e5f-a163-50fb436c14e1|inu:dil-05e96510-8a53-4bd5-bf78-78c9bf75f4a1,Herskovits Library of African Studies,None,Congo (Democratic Republic),2021-10-26T14:26:06.562174Z,,1 photograph,18 x 25 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': None}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/55414400-5142-425b-a3ea-cc739aa9d3c5,,In Copyright,,Vernon McKay (1912-1988) Papers -- Series 3. Personal Papers -- Sub-Series 4. Photographs -- Series 2. Belgian Congo,,Done,,Congo (Democratic Republic)--Luluabourg|Congo (Democratic Republic)--Kananga (Kasaï-Occidental),,,"The images on this web site, from material in the collections of the Melville J. Herskovits Library of African Studies of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/16aac82e-ebc8-4b36-9f1f-2408295ca820/thumbnail,"Au Congo Belge, 1947",Public,Image
