abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,avr:xw42n926p,,https://api.dc.library.northwestern.edu/api/v2/works/568abd03-9c0d-40de-b58d-12a394fa4c30,Work,ark:/81985/n26q1w24f,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/568abd03-9c0d-40de-b58d-12a394fa4c30,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:22:34.629444Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"July 10, 1984",,Track 1|Track 2|Track 1|Track 2|ns064705k/xw42n926p.mods.xml|Track 1 technical metadata file|Track 2 technical metadata file|Track 1 box front|Track 1 reel front|Track 2 asset front,,,Music Master Class,568abd03-9c0d-40de-b58d-12a394fa4c30,,https://api.dc.library.northwestern.edu/api/v2/works/568abd03-9c0d-40de-b58d-12a394fa4c30?as=iiif,2023-02-20T16:23:18.392631,AVR Migration,avr_migration.csv,,,xw42n926p,Music Library,None,,2022-09-23T17:22:14.420069Z,"{'note': 'T250 v.1353', 'type': 'Local Note'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/82774790-08af-4916-acaa-45884276a751,,Copyright Undetermined,,,,Done,,"Haydn, Joseph, 1732-1809",Haydn concerto movement. 1 played,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/568abd03-9c0d-40de-b58d-12a394fa4c30/thumbnail,Trumpet Master Class 1984-07-10,Public,Audio
,avr:2f75r949g,,https://api.dc.library.northwestern.edu/api/v2/works/c938e5b5-dbc5-4510-81f3-2263309d7ea2,Work,ark:/81985/n2cj8b45p,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/c938e5b5-dbc5-4510-81f3-2263309d7ea2,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:15:48.580762Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"July 9, 1984",,Track 1: Part 1|Track 1: Part 2|Track 2|Track 1: Part 1|Track 1: Part 2|Track 2|ns064705k/2f75r949g.mods.xml|Track 1: Part 1 technical metadata file|Track 2 technical metadata file|Track 1: Part 1 box front|Track 1: Part 1 reel front|Track 2 asset front,,,Music Master Class,c938e5b5-dbc5-4510-81f3-2263309d7ea2,,https://api.dc.library.northwestern.edu/api/v2/works/c938e5b5-dbc5-4510-81f3-2263309d7ea2?as=iiif,2023-02-20T16:33:12.221736,AVR Migration,avr_migration.csv,,,2f75r949g,Music Library,None,,2022-09-23T17:22:00.867602Z,"{'note': 'T250 v.1352', 'type': 'Local Note'}|{'note': 'Track 1, Part 1: Chuck. Track 1, Part 2: Charles Fenton, Richard Illman, Jim McKenzie, John Thorack?, Linda Brown.', 'type': 'Performers'}|{'note': 'Track 1, Part 1: John, Jim, Linda in audience', 'type': 'General Note'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/a1d7024c-48c2-458f-835a-1e4e25bdbfc6,,Copyright Undetermined,,,,Done,,"Clarke, Herbert L. (Herbert Lincoln), 1867-1945|Brandt, Vasiliĭ|Bordogni, Marco, 1789-1856","Track 1, Part 1: Various etudes played -- Clarke Technical Studies played -- Brandt etudes played -- Warm-up routines performed, discussed -- Bodogni etudes played. Track 2: Bodogni etude played -- Brandt etude played.",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/c938e5b5-dbc5-4510-81f3-2263309d7ea2/thumbnail,Trumpet Master Class 1984-07-09,Public,Audio
,avr:qj72p8458,,https://api.dc.library.northwestern.edu/api/v2/works/37f9f818-9d8e-4550-b8e8-a1e0fe49eb28,Work,ark:/81985/n22v2fv0z,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/37f9f818-9d8e-4550-b8e8-a1e0fe49eb28,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:12:24.126432Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"July 1, 1982",,Track 1|Track 2|Track 1|Track 2|ns064705k/qj72p8458.mods.xml|Track 1 technical metadata file|Track 1 asset front,,,Music Master Class,37f9f818-9d8e-4550-b8e8-a1e0fe49eb28,,https://api.dc.library.northwestern.edu/api/v2/works/37f9f818-9d8e-4550-b8e8-a1e0fe49eb28?as=iiif,2023-02-20T16:29:17.782184,AVR Migration,avr_migration.csv,,,qj72p8458,Music Library,None,,2022-09-23T17:20:47.330414Z,"{'note': 'T250 v.1076', 'type': 'Local Note'}|{'note': 'Track 1, Part 1: John. Track 1, Part 2: Jessica, Frank, and Annie.', 'type': 'Performers'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/4f9be20c-31a8-4b32-961b-2ab61539a971,,Copyright Undetermined,,,,Done,,"Hindemith, Paul, 1895-1963|Bozza, Eugène, 1905-1991|Lutkin Hall (Evanston, Ill.)","Track 1: Discussion of practice techniques -- Hindemith trumpet sonata movement 1 played. Track 2: Hindemith trumpet sonata movements 2,3 played -- Bozza Caprice played",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/37f9f818-9d8e-4550-b8e8-a1e0fe49eb28/thumbnail,Trumpet Master Class 1982-07-01,Public,Audio
,avr:dn39x290h,,https://api.dc.library.northwestern.edu/api/v2/works/d05452f3-e855-4d2e-9c7d-fbe755532d26,Work,ark:/81985/n22b8xw09,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/d05452f3-e855-4d2e-9c7d-fbe755532d26,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:07:07.335511Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"June 30, 1982",,Track 1|Track 2|Track 1|Track 2|ns064705k/dn39x290h.mods.xml|Track 1 technical metadata file|Track 1 asset front,,,Music Master Class,d05452f3-e855-4d2e-9c7d-fbe755532d26,,https://api.dc.library.northwestern.edu/api/v2/works/d05452f3-e855-4d2e-9c7d-fbe755532d26?as=iiif,2023-02-20T16:33:12.216902,AVR Migration,avr_migration.csv,,,dn39x290h,Music Library,None,,2022-09-23T17:20:00.326739Z,"{'note': 'T250 v.1074', 'type': 'Local Note'}|{'note': 'Track 1: Yirum. Accompanist: Jim Hosman. Track 2: Julia.', 'type': 'Performers'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/7a8e7be8-207e-43e2-8622-e97bc1ecb0ac,,Copyright Undetermined,,,,Done,,"Haydn, Joseph, 1732-1809|Wormser, André, 1851-1926|Lutkin Hall (Evanston, Ill.)",Track 1. Mention of various music/trumpet pedagogical books -- Haydn trumpet concerto movements 1/2 played. Track 2. Haydn trumpet concerto movement 1 played -- Fantasie Theme and Variations by André Wormser played -- Discussion of preparing for symphony auditions.,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/d05452f3-e855-4d2e-9c7d-fbe755532d26/thumbnail,Trumpet Master Class 1982-06-30,Public,Audio
,avr:z029p602n,,https://api.dc.library.northwestern.edu/api/v2/works/7d3f9491-d477-4cec-8d10-5c7cd87fda16,Work,ark:/81985/n2sf2pw8j,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/7d3f9491-d477-4cec-8d10-5c7cd87fda16,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:18:53.900195Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"July 2, 1982",,Track 1|Track 2|Track 1|Track 2|ns064705k/z029p602n.mods.xml|Track 1 technical metadata file|Track 1 asset front,,,Music Master Class,7d3f9491-d477-4cec-8d10-5c7cd87fda16,,https://api.dc.library.northwestern.edu/api/v2/works/7d3f9491-d477-4cec-8d10-5c7cd87fda16?as=iiif,2023-02-20T16:33:08.138221,AVR Migration,avr_migration.csv,,,z029p602n,Music Library,None,,2022-09-23T17:23:29.621845Z,"{'note': 'T250 v.1077', 'type': 'Local Note'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/97c5789a-5575-45dc-9b1e-d6b2835f2b3a,,Copyright Undetermined,,,,Done,,"Hummel, Johann Nepomuk, 1778-1837|Enesco, Georges, 1881-1955|Gershwin, George, 1898-1937|Mussorgsky, Modest Petrovich, 1839-1881|Lutkin Hall (Evanston, Ill.)","Track 1: Discussion of psychological techniques of performance -- Hummel trumpet concerto movements 1/2 played. Track 2: Hummel trumpet concerto movement 3 played -- ""Legende"" played -- Excerpt: Gershwin Piano Concerto in F -- Excerpt: Pictures opening Promenade solo -- Excerpt: Goldenberg und Schmuyle (from Pictures at an Exhibition)",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/7d3f9491-d477-4cec-8d10-5c7cd87fda16/thumbnail,Trumpet Master Class 1982-07-02,Public,Audio
,avr:m900nv59c,,https://api.dc.library.northwestern.edu/api/v2/works/0a9d3107-a39a-4955-8adf-8c65f9c247e3,Work,ark:/81985/n2mk67t74,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/0a9d3107-a39a-4955-8adf-8c65f9c247e3,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:25:39.421948Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"July 8, 1983",,Track 1|Track 2|Track 1|Track 2|ns064705k/m900nv59c.mods.xml|Track 1 technical metadata file|Track 1 box front|Track 1 reel front,,,Music Master Class,0a9d3107-a39a-4955-8adf-8c65f9c247e3,,https://api.dc.library.northwestern.edu/api/v2/works/0a9d3107-a39a-4955-8adf-8c65f9c247e3?as=iiif,2023-02-20T16:33:12.225557,AVR Migration,avr_migration.csv,,,m900nv59c,Music Library,None,,2022-09-23T17:24:47.405987Z,"{'note': 'T250 v.1233', 'type': 'Local Note'}|{'note': 'Track 2: Sandra, John, and Jim', 'type': 'Performers'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/eef33d1c-1565-41cc-a1c4-9f4dfb984e2d,,Copyright Undetermined,,,,Done,,"Torelli, Giuseppe,  1658-1709|Gershwin, George, 1898-1937|Tchaikovsky, Peter Ilich, 1840-1893|Respighi, Ottorino, 1879-1936|Beethoven, Ludwig van, 1770-1827|Regenstein Hall of Music (Evanston, Ill.)",Track 1. Discussion of the psychology of performance. Track 2. Telemann Concerto? played (sounds Baroque in style) -- Torelli concerto played -- Excerpt: Gershwin Piano Concerto in F -- Excerpt: Danse Napolitaine from Swan Lake -- Excerpt: Pines of Rome offstage solo -- Excerpt: Leonore Overture No. 3 -- 1:12:00 to end of tape: a rehearsal of some sort.,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/0a9d3107-a39a-4955-8adf-8c65f9c247e3/thumbnail,Trumpet Master Class 1983-07-08,Public,Audio
,avr:xd07gv26f,,https://api.dc.library.northwestern.edu/api/v2/works/ea208365-4206-4fd6-acf8-c8907bf39d83,Work,ark:/81985/n2nv9cw4f,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/ea208365-4206-4fd6-acf8-c8907bf39d83,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:24:19.463280Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"June 29, 1982",,Track 1|Track 2|Track 1|Track 2|ns064705k/xd07gv26f.mods.xml,,,Music Master Class,ea208365-4206-4fd6-acf8-c8907bf39d83,,https://api.dc.library.northwestern.edu/api/v2/works/ea208365-4206-4fd6-acf8-c8907bf39d83?as=iiif,2023-02-20T16:37:48.372360,AVR Migration,avr_migration.csv,,,xd07gv26f,Music Library,None,,2022-02-04T21:08:39.913803Z,"{'note': 'T250 v.1074', 'type': 'Local Note'}|{'note': 'Track 2: John and Yirum', 'type': 'Performers'}|{'note': 'Questions asked by: Tom, Todd, Eric, and Steve.', 'type': 'General Note'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/00000000-0000-0000-0000-000000000002,,Copyright Undetermined,,,,Done,,"Beethoven, Ludwig van, 1770-1827|Brandt, Vasiliĭ|Arban, J.-B. (Jean-Baptiste), 1825-1889|Getchell, Robert W. (Robert Ward), 1916-|Lutkin Hall (Evanston, Ill.)","Track 1. Discussion of playing and practice techniques -- Getchell studies played -- Mention of Bill Carroll, Arnold Jacobs, Rafael Mendez -- Arban single tonguing study played -- Brandt no. 2 etude played -- Leonore Overture no. 3 played. Track 2. Basic warm-up exercises performed (Arban, Getchell)",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/ea208365-4206-4fd6-acf8-c8907bf39d83/thumbnail,Trumpet Master Class 1982-06-29,Public,Audio
,avr:ng451j979,,https://api.dc.library.northwestern.edu/api/v2/works/aa4b2ab5-526a-48db-801a-718e7bfea1a8,Work,ark:/81985/n2b56gp9k,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/aa4b2ab5-526a-48db-801a-718e7bfea1a8,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:19:59.087300Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"July 5, 1983",,Track 1|Track 2|Track 1|Track 2|ns064705k/ng451j979.mods.xml|Track 1 technical metadata file|Track 1 box front|Track 1 reel front,,,Music Master Class,aa4b2ab5-526a-48db-801a-718e7bfea1a8,,https://api.dc.library.northwestern.edu/api/v2/works/aa4b2ab5-526a-48db-801a-718e7bfea1a8?as=iiif,2023-02-20T16:29:17.797153,AVR Migration,avr_migration.csv,,,ng451j979,Music Library,None,,2022-09-23T17:21:14.881983Z,"{'note': 'T250 v.1230', 'type': 'Local Note'}|{'note': 'Track 1: Jim Cleasner, John Scott, Natalie Watowick, Hikihiro Sekiama, Sandra Kingsford, Dan Picarillo. Track 2: Natalie Watowick and John Scott.', 'type': 'Performers'}|{'note': 'Track 1: People present ""under the D-30 assignment"": Robin Cameron, Parthena Rigsby, and Roberto Rivera. NU masters student recitals given later in the week: Janice Hoffman and Bruce Briney.', 'type': 'General Note'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/876ca0e9-6316-4554-a210-7c581397d8ac,,Copyright Undetermined,,,,Done,,"Beethoven, Ludwig van, 1770-1827|Bordogni, Marco, 1789-1856|Arban, J.-B. (Jean-Baptiste), 1825-1889|Clarke, Herbert L. (Herbert Lincoln), 1867-1945|Regenstein Hall of Music (Evanston, Ill.)",Track 1. Discussion of playing and practice techniques -- Getchell studies played -- Leonore Overture no. 3 played. Track 2: Clarke Technical Studies played -- Various Arban studies played -- Bordogni study played.,,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/aa4b2ab5-526a-48db-801a-718e7bfea1a8/thumbnail,Trumpet Master Class 1983-07-05,Public,Audio
,avr:xg94hq964,,https://api.dc.library.northwestern.edu/api/v2/works/440eb18c-f171-4dde-88a3-1a5c5373a83a,Work,ark:/81985/n27p8wx5r,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/440eb18c-f171-4dde-88a3-1a5c5373a83a,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:07:21.037798Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"July 13, 1984",,Track 1: Part 1|Track 1: Part 2|Track 2: Part 1|Track 2: Part 2|Track 1: Part 1|Track 1: Part 2|Track 2: Part 1|Track 2: Part 2|ns064705k/xg94hq964.mods.xml|Track 1: Part 1 technical metadata file|Track 2: Part 1 technical metadata file|Track 1: Part 1 box front|Track 1: Part 1 reel front|Track 2: Part 1 box front|Track 2: Part 1 reel front,,,Music Master Class,440eb18c-f171-4dde-88a3-1a5c5373a83a,,https://api.dc.library.northwestern.edu/api/v2/works/440eb18c-f171-4dde-88a3-1a5c5373a83a?as=iiif,2023-02-20T16:29:18.143681,AVR Migration,avr_migration.csv,,,xg94hq964,Music Library,None,,2022-09-23T17:20:18.666554Z,"{'note': 'T250 v.1355', 'type': 'Local Note'}|{'note': 'Track 1, Part 1: Jim, Sean/John. Track 1, Part 2: Linda Brown.', 'type': 'Performers'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/b8d1e06b-a3fa-4250-a5f6-bfbd6f6d0117,,Copyright Undetermined,,,,Done,,"Stravinsky, Igor, 1882-1971|Mahler, Gustav, 1860-1911|Prokofiev, Sergey, 1891-1953|Beethoven, Ludwig van, 1770-1827|Respighi, Ottorino, 1879-1936|Mussorgsky, Modest Petrovich, 1839-1881|Tchaikovsky, Peter Ilich, 1840-1893","Track 1, Part 1: Excerpt: Petrushka (Ballerina Dance and Waltz) -- Excerpt: Mahler 5 opening -- Excerpt: Lieutenant Kijé Suite -- Excerpt: Leonore Overture No. 3 -- Excerpt: Pines of Rome offstage solo -- Excerpt: Pictures opening Promenade solo. Track 1, Part 2: Excerpt: Pictures opening Promenade solo (appears twice) -- Excerpt: Mahler 5 opening -- Excerpt: Pines of Rome offstage solo -- Excerpt: Leonore Overture No. 2. Track 2, Part 1: Excerpt: Pictures opening Promenade solo (appears twice) -- Excerpt: Capriccio Italien -- Excerpt: Lieutenant Kijé Suite -- Excerpt: Mahler 5 opening -- Excerpt: Danse Napolitaine from Swan Lake -- Excerpt: Petrushka (Ballerina Dance and Waltz). Track 2, Part 2: Excerpt: Mahler 5 opening -- Excerpt: Pictures opening Promenade solo.",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/440eb18c-f171-4dde-88a3-1a5c5373a83a/thumbnail,Trumpet Master Class 1984-07-13,Public,Audio
,avr:np193b58c,,https://api.dc.library.northwestern.edu/api/v2/works/993cb448-24b0-44f4-bb68-532cc6f51687,Work,ark:/81985/n27p8wz8n,97fdf123-e598-4198-88f6-8208e22a6d02,,,https://dc.library.northwestern.edu/items/993cb448-24b0-44f4-bb68-532cc6f51687,,,Vincent Cichowicz Master Class Audio Archives,,2022-01-21T06:26:14.678000Z,"Cichowicz, Vincent",678e9060-b414-4900-b0e6-78308710105f,,"July 7, 1983",,Track 1|Track 2|Track 1|Track 2|ns064705k/np193b58c.mods.xml|Track 1 technical metadata file|Track 1 box front|Track 1 reel front,,,Music Master Class,993cb448-24b0-44f4-bb68-532cc6f51687,,https://api.dc.library.northwestern.edu/api/v2/works/993cb448-24b0-44f4-bb68-532cc6f51687?as=iiif,2023-02-20T16:37:27.976085,AVR Migration,avr_migration.csv,,,np193b58c,Music Library,None,,2022-09-23T17:19:49.979532Z,"{'note': 'T250 v.1232', 'type': 'Local Note'}|{'note': 'Track 2: John and Jim', 'type': 'Performers'}",,,Level 1,"{'cycle': '2016', 'desc': '17 master class audio recordings of Vincent Cichowiz. Part of a Master Class series.', 'manager': 'Dan Zellner', 'name': 'P0064 P0116', 'proposer': 'Greg MacAyeal', 'task_number': 'Master Classes: Vincent Cichowicz Phase 1/2'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/70ca1411-e3d0-4e0d-bb4f-23b35569bb78,,Copyright Undetermined,,,,Done,,"Hummel, Johann Nepomuk, 1778-1837|Bozza, Eugène, 1905-1991|Regenstein Hall of Music (Evanston, Ill.)","Track 1: Discussion of practice techniques. Track 2: Hummel concerto movements 2,3 played -- Bozza Caprice played.",,"The audio recordings on this web site are from material in the collections of the Music Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the audio recordings from this site is not permitted.",https://api.dc.library.northwestern.edu/api/v2/works/993cb448-24b0-44f4-bb68-532cc6f51687/thumbnail,Trumpet Master Class 1983-07-07,Public,Audio
