abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,P0058_wnurvietnam_B7_180,,https://api.dc.library.northwestern.edu/api/v2/works/1a8372e7-fa94-444b-95ad-a63e3803fb88,Work,ark:/81985/n2kk97038,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,7,https://dc.library.northwestern.edu/items/1a8372e7-fa94-444b-95ad-a63e3803fb88,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)",2022-06-21T19:59:04.836102Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 26, 1970",,track 1|track 2|track 3|track 4|track 1|track 2|track 3|track 4|technical metadata file|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,1a8372e7-fa94-444b-95ad-a63e3803fb88,tape 180,https://api.dc.library.northwestern.edu/api/v2/works/1a8372e7-fa94-444b-95ad-a63e3803fb88?as=iiif,2023-02-20T16:22:36.111052,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.384683Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/c3be257e-56f0-488a-b2dd-f6e0684b77ab,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/1a8372e7-fa94-444b-95ad-a63e3803fb88/thumbnail,"1970 Strike coverage, reel 48",Institution,Audio
,P0058_wnurvietnam_B7_172,,https://api.dc.library.northwestern.edu/api/v2/works/44886485-2245-457a-9d20-a375bd735b66,Work,ark:/81985/n2js9kv6t,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,7,https://dc.library.northwestern.edu/items/44886485-2245-457a-9d20-a375bd735b66,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)",2022-06-21T19:57:54.077895Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 22, 1970|May 23, 1970",,track 1|track 2|track 3|track 4|track 1|track 2|track 3|track 4|technical metadata file|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,44886485-2245-457a-9d20-a375bd735b66,tape 172,https://api.dc.library.northwestern.edu/api/v2/works/44886485-2245-457a-9d20-a375bd735b66?as=iiif,2023-02-20T16:22:36.230240,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.608840Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/89bf1214-90a3-47f0-b83a-1504a2f0eb44,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/44886485-2245-457a-9d20-a375bd735b66/thumbnail,"1970 Strike coverage, reel 40",Institution,Audio
,P0058_wnurvietnam_B7_176,,https://api.dc.library.northwestern.edu/api/v2/works/b071e3ab-d400-47e3-bcf2-198b6f013564,Work,ark:/81985/n2xw4bh3j,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,7,https://dc.library.northwestern.edu/items/b071e3ab-d400-47e3-bcf2-198b6f013564,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)|Tesser, Neil",2022-06-21T19:59:20.705830Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 24, 1970|May 25, 1970",,track 1|track 2|track 3|track 4|track 1|track 2|track 3|track 4|technical metadata file|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,b071e3ab-d400-47e3-bcf2-198b6f013564,tape 176,https://api.dc.library.northwestern.edu/api/v2/works/b071e3ab-d400-47e3-bcf2-198b6f013564?as=iiif,2023-02-20T16:22:36.608654,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.681325Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/b07633df-65e6-4cd5-ad7b-4bb98e49053c,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/b071e3ab-d400-47e3-bcf2-198b6f013564/thumbnail,"1970 Strike coverage, reel 44 - Neil Tesser with high school students, May 25",Institution,Audio
,P0058_wnurvietnam_B6_150,,https://api.dc.library.northwestern.edu/api/v2/works/ba2c1c85-b552-42b4-8946-668fc612720d,Work,ark:/81985/n23n2317p,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,6,https://dc.library.northwestern.edu/items/ba2c1c85-b552-42b4-8946-668fc612720d,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)",2022-06-21T19:58:47.690197Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 11, 1970|May 12, 1970",,track 1|track 2|track 3|track 4|track 1|track 2|track 3|track 4|technical metadata file|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,ba2c1c85-b552-42b4-8946-668fc612720d,tape 150,https://api.dc.library.northwestern.edu/api/v2/works/ba2c1c85-b552-42b4-8946-668fc612720d?as=iiif,2023-02-20T16:22:36.615689,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.681325Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/ee1c06b7-3c08-4615-bf30-9c2cf0474c5f,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/ba2c1c85-b552-42b4-8946-668fc612720d/thumbnail,"1970 Strike coverage, reel 14",Institution,Audio
,P0058_wnurvietnam_B7_173,,https://api.dc.library.northwestern.edu/api/v2/works/900d0f26-b4b5-471f-9305-29bab00f8898,Work,ark:/81985/n2z031w46,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,7,https://dc.library.northwestern.edu/items/900d0f26-b4b5-471f-9305-29bab00f8898,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)",2022-06-21T19:57:32.365334Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 23, 1970",,track 1|track 2|track 3|track 1|track 2|track 3|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,900d0f26-b4b5-471f-9305-29bab00f8898,tape 173,https://api.dc.library.northwestern.edu/api/v2/works/900d0f26-b4b5-471f-9305-29bab00f8898?as=iiif,2023-02-20T16:22:46.789827,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.384683Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/f4e504c5-46d4-4b16-a80a-532bfd55cd8a,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/900d0f26-b4b5-471f-9305-29bab00f8898/thumbnail,"1970 Strike coverage, reel 41",Institution,Audio
,P0058_wnurvietnam_B6_160,,https://api.dc.library.northwestern.edu/api/v2/works/fa01776f-bbfe-4ebf-92d5-9aa138447262,Work,ark:/81985/n2x06105v,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,6,https://dc.library.northwestern.edu/items/fa01776f-bbfe-4ebf-92d5-9aa138447262,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)",2022-06-21T19:58:04.959097Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 17, 1970",,track 1|track 2|track 3|track 4|track 1|track 2|track 3|track 4|technical metadata file|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,fa01776f-bbfe-4ebf-92d5-9aa138447262,tape 160,https://api.dc.library.northwestern.edu/api/v2/works/fa01776f-bbfe-4ebf-92d5-9aa138447262?as=iiif,2023-02-20T16:22:46.858972,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.384683Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/0a2f8578-4741-4c08-8f22-a5bbf81b8940,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/fa01776f-bbfe-4ebf-92d5-9aa138447262/thumbnail,"1970 Strike coverage, reel 28 - Benzequin et al. con't",Institution,Audio
,P0058_wnurvietnam_B6_153,,https://api.dc.library.northwestern.edu/api/v2/works/a764a82f-e823-4df4-a967-2912a708c5ff,Work,ark:/81985/n2pc2ww7x,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,6,https://dc.library.northwestern.edu/items/a764a82f-e823-4df4-a967-2912a708c5ff,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)",2022-06-21T19:59:28.520045Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 13, 1970",,track 1|track 2|track 3|track 4|track 1|track 2|track 3|track 4|technical metadata file|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,a764a82f-e823-4df4-a967-2912a708c5ff,tape 153,https://api.dc.library.northwestern.edu/api/v2/works/a764a82f-e823-4df4-a967-2912a708c5ff?as=iiif,2023-02-20T16:22:47.220050,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.681325Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/66f5f7ed-f0a5-4a7e-8229-89a898f69f99,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/a764a82f-e823-4df4-a967-2912a708c5ff/thumbnail,"1970 Strike coverage, reel 19 - Lunt Report Panel with professors Earle and Burnett",Institution,Audio
,P0058_wnurvietnam_B7_168,,https://api.dc.library.northwestern.edu/api/v2/works/c539375f-0b4b-4497-8498-9e9ae38917c3,Work,ark:/81985/n21n8178p,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,7,https://dc.library.northwestern.edu/items/c539375f-0b4b-4497-8498-9e9ae38917c3,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)",2022-06-21T20:00:07.123195Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 20, 1970",,track 1|track 2|track 3|track 4|track 4|track 1|track 2|track 3|track 4|track 4|technical metadata file|technical metadata file|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,c539375f-0b4b-4497-8498-9e9ae38917c3,tape 168,https://api.dc.library.northwestern.edu/api/v2/works/c539375f-0b4b-4497-8498-9e9ae38917c3?as=iiif,2023-02-20T16:22:47.225260,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.681325Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/65eb7b48-1f69-4726-b200-04660ff6f2a5,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/c539375f-0b4b-4497-8498-9e9ae38917c3/thumbnail,"1970 Strike coverage, reel 36",Institution,Audio
,P0058_wnurvietnam_B7_185,,https://api.dc.library.northwestern.edu/api/v2/works/c7272df9-e4d0-4e81-9fcc-db7c05de02fd,Work,ark:/81985/n2959fv59,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,7,https://dc.library.northwestern.edu/items/c7272df9-e4d0-4e81-9fcc-db7c05de02fd,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)",2022-06-21T19:59:59.280900Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 28, 1970",,track 1|track 2|track 3|track 4|track 1|track 2|track 3|track 4|technical metadata file|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,c7272df9-e4d0-4e81-9fcc-db7c05de02fd,tape 185,https://api.dc.library.northwestern.edu/api/v2/works/c7272df9-e4d0-4e81-9fcc-db7c05de02fd?as=iiif,2023-02-20T16:22:38.710562,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.384683Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/e2aae296-057d-4908-9d5a-20c538d10dc9,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/c7272df9-e4d0-4e81-9fcc-db7c05de02fd/thumbnail,"1970 Strike coverage, reel 54",Institution,Audio
,P0058_wnurvietnam_B6_155,,https://api.dc.library.northwestern.edu/api/v2/works/0b163323-e45c-4222-af00-eccb12dab097,Work,ark:/81985/n2pk09n91,435604d4-3bdf-4bcb-aece-75d5b6caee6c|ba262368-b042-4f15-be47-669211b8e971|fbc8692d-1579-4a5d-8145-fb5f12d41619|ff3169f9-3934-46c0-85ce-d4c7f6f89d17,,6,https://dc.library.northwestern.edu/items/0b163323-e45c-4222-af00-eccb12dab097,,,WNUR Audiotape Recordings,"WNUR (Radio station : Evanston, Ill.)",2022-06-21T19:57:51.541597Z,,22e5a554-2297-43bd-8be8-c08f55ac8f39,,"May 14, 1970",,track 1|track 2|track 3|track 4|track 1|track 2|track 3|track 4|technical metadata file|technical metadata file|technical metadata file|technical metadata file|Asset image|Asset image|Asset image,,,open reel audiotapes,0b163323-e45c-4222-af00-eccb12dab097,tape 155,https://api.dc.library.northwestern.edu/api/v2/works/0b163323-e45c-4222-af00-eccb12dab097?as=iiif,2023-02-20T16:22:40.943442,P0431_P0058_WNUR,P0058-wnur-meadow_ingest_inventory.csv,,English,,University Archives,None,,2022-12-05T21:58:19.526856Z,,,,Level 1,"{'cycle': '2022', 'desc': None, 'manager': 'Veronica Robinson', 'name': 'P0058 WNUR Recorded Sound - Vietnam era', 'proposer': 'Kevin Leonard', 'task_number': 'P0058, P0431'}",,True,,,Finding Aid,https://iiif.dc.library.northwestern.edu/iiif/2/88efa907-567c-4f33-b2ad-27331d548c4a,,In Copyright,,WNUR Audiotape Recordings,,Done,,"Northwestern University (Evanston, Ill.)|Illinois--Evanston|College radio stations|Vietnam War (1961-1975)|Student strikes",,,"These recordings are from material in the collections of the University Archives of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted",https://api.dc.library.northwestern.edu/api/v2/works/0b163323-e45c-4222-af00-eccb12dab097/thumbnail,"1970 Strike coverage, reel 21 - Cahn meeting",Institution,Audio
