abstract,accession_number,alternate_title,api_link,api_model,ark,batch_ids,box_name,box_number,canonical_link,caption,catalog_key,collection,contributor,create_date,creator,csv_metadata_update_jobs,cultural_context,date_created,description,file_sets,folder_name,folder_number,genre,id,identifier,iiif_manifest,indexed_at,ingest_project,ingest_sheet,keywords,language,legacy_identifier,library_unit,license,location,modified_date,notes,physical_description_material,physical_description_size,preservation_level,project,provenance,published,publisher,related_material,related_url,representative_file_set,rights_holder,rights_statement,scope_and_contents,series,source,status,style_period,subject,table_of_contents,technique,terms_of_use,thumbnail,title,visibility,work_type
,0003a,,https://api.dc.library.northwestern.edu/api/v2/works/d6bb2538-e590-4352-84a3-59a63439b82a,Work,ark:/81985/n2wh2dr3n,,,,https://dc.library.northwestern.edu/items/d6bb2538-e590-4352-84a3-59a63439b82a,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-16T19:07:57.528913Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936",,inu-dil-c69f6598-26ad-4977-9bff-c9401ec42c05.tif,,,black-and-white photographs,d6bb2538-e590-4352-84a3-59a63439b82a,,https://api.dc.library.northwestern.edu/api/v2/works/d6bb2538-e590-4352-84a3-59a63439b82a?as=iiif,2023-02-20T16:16:06.769304,None,None,,English,inu:dil-c69f6598-26ad-4977-9bff-c9401ec42c0,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/903bfe6a-fcd0-46c2-b5fc-56bab77edfcb,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 19b.",Done,,Illinois|Public service employment|Women--Employment|United States. Works Progress Administration (Ill.). Women and Professional Division,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/d6bb2538-e590-4352-84a3-59a63439b82a/thumbnail,Sewing class,Public,Image
,0004a,,https://api.dc.library.northwestern.edu/api/v2/works/fa839243-af4a-4911-aa6b-a8672d854202,Work,ark:/81985/n2rr1px8d,,,,https://dc.library.northwestern.edu/items/fa839243-af4a-4911-aa6b-a8672d854202,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-16T22:39:55.911356Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936",,inu-dil-aac63093-e350-4a35-b7ec-9ae4eaabf787.tif,,,black-and-white photographs,fa839243-af4a-4911-aa6b-a8672d854202,,https://api.dc.library.northwestern.edu/api/v2/works/fa839243-af4a-4911-aa6b-a8672d854202?as=iiif,2023-02-20T16:19:24.038653,None,None,,English,inu:dil-aac63093-e350-4a35-b7ec-9ae4eaabf78,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/e3df2d94-4cc6-45ae-b605-1ba972d164d3,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 20a.",Done,,Illinois|United States. Works Progress Administration (Ill.). Women and Professional Division|Women--Employment|Public service employment,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/fa839243-af4a-4911-aa6b-a8672d854202/thumbnail,Toy shop,Public,Image
,0021a,,https://api.dc.library.northwestern.edu/api/v2/works/49a548bb-94e7-492e-b459-65219ce479dc,Work,ark:/81985/n24x54s94,,,,https://dc.library.northwestern.edu/items/49a548bb-94e7-492e-b459-65219ce479dc,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-15T20:29:45.756555Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936",,inu-dil-3e760d35-e339-4204-969c-3bd3607aa8e3.tif,,,black-and-white photographs,49a548bb-94e7-492e-b459-65219ce479dc,,https://api.dc.library.northwestern.edu/api/v2/works/49a548bb-94e7-492e-b459-65219ce479dc?as=iiif,2023-02-20T16:39:49.373498,None,None,,English,inu:dil-3e760d35-e339-4204-969c-3bd3607aa8e,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/1717eff3-d35f-42de-969a-ecee5473b00f,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 26a.",Done,,Illinois|Public service employment|Women--Employment|United States. Works Progress Administration (Ill.). Women and Professional Division,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/49a548bb-94e7-492e-b459-65219ce479dc/thumbnail,Women repairing books,Public,Image
,0010a,,https://api.dc.library.northwestern.edu/api/v2/works/5cbad5f0-b051-44c1-a43f-d6c3effc3267,Work,ark:/81985/n2vh5cv2x,,,,https://dc.library.northwestern.edu/items/5cbad5f0-b051-44c1-a43f-d6c3effc3267,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-15T22:59:35.932053Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936",,inu-dil-21736110-ca3e-4d92-a276-3cbb9b4859e4.tif,,,black-and-white photographs,5cbad5f0-b051-44c1-a43f-d6c3effc3267,,https://api.dc.library.northwestern.edu/api/v2/works/5cbad5f0-b051-44c1-a43f-d6c3effc3267?as=iiif,2023-02-20T16:42:03.476274,None,None,,English,inu:dil-21736110-ca3e-4d92-a276-3cbb9b4859e,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/8083bff6-0ccf-4522-bb53-8f90a3c954c9,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 21b.",Done,,Illinois|Public service employment|Women--Employment|United States. Works Progress Administration (Ill.). Women and Professional Division,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/5cbad5f0-b051-44c1-a43f-d6c3effc3267/thumbnail,Patients in cheer shop,Public,Image
,0014a,,https://api.dc.library.northwestern.edu/api/v2/works/8bdb394f-c769-477c-8097-b194de21565e,Work,ark:/81985/n2hd7p36b,,,,https://dc.library.northwestern.edu/items/8bdb394f-c769-477c-8097-b194de21565e,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-16T05:51:11.666069Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936",,inu-dil-ba010123-952e-411a-bd78-dc972651a663.tif,,,black-and-white photographs,8bdb394f-c769-477c-8097-b194de21565e,,https://api.dc.library.northwestern.edu/api/v2/works/8bdb394f-c769-477c-8097-b194de21565e?as=iiif,2023-02-20T16:09:54.678122,None,None,,English,inu:dil-ba010123-952e-411a-bd78-dc972651a66,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/04a273e7-5eb1-4af4-b217-83892ae40b99,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 23a.",Done,,Illinois|United States. Works Progress Administration (Ill.). Women and Professional Division|Women--Employment|Public service employment,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/8bdb394f-c769-477c-8097-b194de21565e/thumbnail,View of chess set,Public,Image
,0013a,,https://api.dc.library.northwestern.edu/api/v2/works/d9c8c908-4d2b-4c0a-8a1f-2b9ded367375,Work,ark:/81985/n2h708b07,,,,https://dc.library.northwestern.edu/items/d9c8c908-4d2b-4c0a-8a1f-2b9ded367375,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-16T19:26:43.380495Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936",,inu-dil-cd1628c5-379d-48e0-aab8-07b0a5984c65.tif,,,black-and-white photographs,d9c8c908-4d2b-4c0a-8a1f-2b9ded367375,,https://api.dc.library.northwestern.edu/api/v2/works/d9c8c908-4d2b-4c0a-8a1f-2b9ded367375?as=iiif,2023-02-20T16:16:35.318613,None,None,,English,inu:dil-cd1628c5-379d-48e0-aab8-07b0a5984c6,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/e8640ce3-bb96-4b5d-b231-1b624f8a3ef5,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 22a.",Done,,Illinois|United States. Works Progress Administration (Ill.). Women and Professional Division|Women--Employment|Public service employment,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/d9c8c908-4d2b-4c0a-8a1f-2b9ded367375/thumbnail,Finished pottery,Public,Image
,0030a,,https://api.dc.library.northwestern.edu/api/v2/works/f4fb8343-bdfe-4103-9c43-b92dfcd58cda,Work,ark:/81985/n2m03z757,,,,https://dc.library.northwestern.edu/items/f4fb8343-bdfe-4103-9c43-b92dfcd58cda,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-16T22:06:43.543943Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936",,inu-dil-ed215342-77f3-40f6-b09e-0e57b7fa94a9.tif,,,black-and-white photographs,f4fb8343-bdfe-4103-9c43-b92dfcd58cda,,https://api.dc.library.northwestern.edu/api/v2/works/f4fb8343-bdfe-4103-9c43-b92dfcd58cda?as=iiif,2023-02-20T16:18:58.752743,None,None,,English,inu:dil-ed215342-77f3-40f6-b09e-0e57b7fa94a,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/b51b69be-bc89-4ad2-958c-b01e417b1335,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 43a.",Done,,Illinois|United States. Works Progress Administration (Ill.). Women and Professional Division|Women--Employment|Public service employment,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/f4fb8343-bdfe-4103-9c43-b92dfcd58cda/thumbnail,Man being examined,Public,Image
,0016a,,https://api.dc.library.northwestern.edu/api/v2/works/281ab80c-ebfe-4e87-8920-963a2ffbd7c3,Work,ark:/81985/n2445hp40,,,,https://dc.library.northwestern.edu/items/281ab80c-ebfe-4e87-8920-963a2ffbd7c3,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-15T18:02:57.056041Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936","Sign in center states, ""You will have more new books if proper care is taken of those we already have - use bookmarks""",inu-dil-783922cb-3007-4e8d-991d-38b35388bc39.tif,,,black-and-white photographs,281ab80c-ebfe-4e87-8920-963a2ffbd7c3,,https://api.dc.library.northwestern.edu/api/v2/works/281ab80c-ebfe-4e87-8920-963a2ffbd7c3?as=iiif,2023-02-20T16:35:45.707325,None,None,,English,inu:dil-783922cb-3007-4e8d-991d-38b35388bc3,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/3d0edfba-f7ac-4715-a0a2-e3dd52d1c3b3,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 24a.",Done,,Illinois|United States. Works Progress Administration (Ill.). Women and Professional Division|Women--Employment|Public service employment,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/281ab80c-ebfe-4e87-8920-963a2ffbd7c3/thumbnail,Books on display,Public,Image
,0027,,https://api.dc.library.northwestern.edu/api/v2/works/33e857f1-e505-4f7d-86a2-2b9ad226971d,Work,ark:/81985/n2tq5rq7v,,,,https://dc.library.northwestern.edu/items/33e857f1-e505-4f7d-86a2-2b9ad226971d,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-15T18:53:32.392833Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936","Title taken from verso. Verso includes ""Descriptive caption: Field Museum of Natural History. Girls cleaning by hand the skulls of birds.""",Recto|Verso,,,black-and-white photographs,33e857f1-e505-4f7d-86a2-2b9ad226971d,,https://api.dc.library.northwestern.edu/api/v2/works/33e857f1-e505-4f7d-86a2-2b9ad226971d?as=iiif,2023-02-20T16:36:59.253128,None,None,,English,inu:dil-661b389a-a258-4625-9d83-f53f72650cf|inu:dil-1e0c57b0-a99b-4cc4-8f93-f0b4bc3aaa5,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/7b855e38-9177-40d3-9f63-4be0fee37b33,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 38a.",Done,,Illinois|Public service employment|United States. Works Progress Administration (Ill.). Women and Professional Division|Women--Employment,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/33e857f1-e505-4f7d-86a2-2b9ad226971d/thumbnail,Womens' Work,Public,Image
,0006a,,https://api.dc.library.northwestern.edu/api/v2/works/39165d37-e045-4d3e-9b6e-3d93bdc43c41,Work,ark:/81985/n2416t91p,,,,https://dc.library.northwestern.edu/items/39165d37-e045-4d3e-9b6e-3d93bdc43c41,,9951102264202441,"WPA Digital Collection, 1935-1943",,2021-03-15T19:16:07.118845Z,United States. Works Progress Administration (Ill.). Women and Professional Division,,,"July 1, 1935 to April 30, 1936",,inu-dil-1f473271-77c2-4e58-bfed-8eb39bb29b56.tif,,,black-and-white photographs,39165d37-e045-4d3e-9b6e-3d93bdc43c41,,https://api.dc.library.northwestern.edu/api/v2/works/39165d37-e045-4d3e-9b6e-3d93bdc43c41?as=iiif,2023-02-20T16:38:54.817220,None,None,,English,inu:dil-1f473271-77c2-4e58-bfed-8eb39bb29b5,Government & Geographic Information Collection,None,,2021-06-10T16:43:09.761465Z,,1 photograph,28 cm,Level 1,"{'cycle': None, 'desc': None, 'manager': None, 'name': None, 'proposer': None, 'task_number': 'Job:11804'}",,True,,,,https://iiif.dc.library.northwestern.edu/iiif/2/60a05991-88e8-4d76-9bef-cead5f109143,,No Copyright - Non-Commercial Use Only ,,,"Narrative report, July 1935 to April 1936. Works Progress Administration, Illinois, Women and Professional Division, page 20b.",Done,,Illinois|United States. Works Progress Administration (Ill.). Women and Professional Division|Women--Employment|Public service employment,,,"Materials published by the U.S. Government Printing Office are in the public domain and, as such, not subject to copyright restriction. However, the Libraries request users to cite the URL and Northwestern University Libraries if they wish to reproduce images from this site.",https://api.dc.library.northwestern.edu/api/v2/works/39165d37-e045-4d3e-9b6e-3d93bdc43c41/thumbnail,Lip reading class,Public,Image
